"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"24","2016_Q1",82.3383606557377,"Down",177293000,-140627000,36666000,-25145000,-25145000,11521000,-620000,-1139000,519000,10901000,10901000,-3913000,6988000,6988000,6988000,6988000,107906000,97766000,10140000,29113000,29113000,94813000,66887000,22196000,35693000,298719000,55072000,28948000,171096000,90707000,255116000,553835000,118827000,18513000,100314000,125089000,20611000,20611000,75520000,200609000,241751000,110186000,1289000,353226000,353226000,553835000,6988000,1005000,578000,-100000.000000002,8471000,-1033000,-4461000,-5494000,-3040000,-246000,-246000,-1375000,1602000,1602000,1602000,12526000,61171000,15306000,0.20681,0.06498,0.03941,0.01978,0.01262,2.19033,2.38805,0.56793,0.11045,0.78398,0.77066,19.89048,39.62839,1.71718,0.01606,0.03519,-3.73104,-4.05651
"25","2016_Q2",92.223125,"Up",185141000,-151889000,33252000,-24687000,-24687000,8565000,-135000,-1161000,1026000,8430000,8430000,-2987000,5443000,5443000,5443000,5443000,111913000,102494000,9419000,28329000,28329000,94796000,70807000,23908000,37683000,305845000,56105000,29108000,169385000,89088000,254598000,560443000,121655000,18952000,102703000,127397000,20678000,20678000,74403000,201800000,241780000,115629000,1234000,358643000,358643000,560443000,5443000,946000,-1201000,3013000,8201000,-1865000,653000,-1212000,-1920000,-2287000,-2287000,-2261000,4728000,4728000,4728000,9511000,59467000,13646000,0.1796,0.04626,0.0294,0.01518,0.00971,2.50707,2.40072,0.56268,0.10611,0.60902,0.59912,20.71562,40.12894,1.52687,0.0124,0.0311,-5.51425,-6.12329
"26","2016_Q3",99.746875,"Up",188348000,-149241000,39107000,-25429000,-25429000,13678000,-580000,-1132000,552000,13098000,13098000,-3757000,9341000,9341000,9341000,9341000,125809000,115011000,10798000,32622000,32622000,92584000,79821000,23737000,47285000,330836000,56478000,29250000,159949000,79744000,245677000,576513000,127053000,22732000,104321000,133418000,20482000,20482000,72123000,205541000,243889000,124970000,2113000,370972000,370972000,576513000,9341000,906000,-6318000,10249000,14178000,-1175000,66000,-1109000,-1674000,781000,781000,-552000,12517000,12517000,12517000,14584000,58006000,27415000,0.20763,0.07262,0.04959,0.02518,0.0162,2.93491,2.4797,0.55406,0.10062,1.04017,1.02639,20.97346,41.30952,3.05279,0.02078,0.061,-4.64914,-4.95708
"27","2016_Q4",96.2420634920635,"Down",202310000,-158766000,43544000,-26003000,-26003000,17541000,-262000,-1091000,829000,17279000,17279000,-4996000,12283000,12283000,12283000,12283000,131914000,119745000,12169000,35736000,35736000,86644000,80273000,24163000,46695000,334567000,56889000,28855000,161763000,81650000,247507000,582074000,119672000,16576000,103096000,125766000,20670000,20670000,72329000,198095000,244360000,137253000,2366000,383979000,383979000,582074000,12283000,910000,-548000,-6225000,6420000,-1007000,-333000,-1340000,-431000,23000,23000,-346000,4734000,4734000,4734000,18451000,57753000,16215000,0.21523,0.0867,0.06071,0.03199,0.0211,1.32012,2.66023,0.5159,0.09922,1.36592,1.3494,22.49775,42.70013,1.80318,0.02656,0.03507,-4.01935,-4.22787
"28","2017_Q1",108.573387096774,"Up",197998000,-155864000,42134000,-25112000,-25112000,17022000,-548000,-1059000,511000,16474000,16474000,-5586000,10888000,10888000,10888000,10888000,143831000,132542000,11289000,29448000,29448000,93855000,89630000,29806000,50620000,356764000,56964000,30256000,163332000,83311000,250552000,607316000,133799000,24010000,109789000,140216000,21118000,21118000,72692000,212908000,244881000,148141000,1386000,394408000,394408000,607316000,10888000,925000,-1807000,5989000,15995000,-1103000,-2298000,-3401000,-4206000,90000,90000,203000,12797000,12797000,12797000,17947000,57991000,28419000,0.2128,0.08597,0.05499,0.02761,0.01793,2.61012,2.54439,0.53982,0.09549,1.21055,1.19196,22.01389,43.85121,3.15969,0.02299,0.06002,-4.78297,-5.04289
"29","2017_Q2",119.396031746032,"Up",206816000,-164850000,41966000,-26305000,-26305000,15661000,-10000,-1048000,1038000,15651000,15651000,-3898000,11753000,11753000,11753000,11753000,141895000,129509000,12386000,34490000,34490000,99080000,81179000,27317000,53862000,356644000,57587000,30440000,164984000,84855000,253011000,609655000,136229000,25003000,111226000,142378000,11429000,11429000,62869000,205247000,243614000,159963000,831000,404408000,404408000,609655000,11753000,974000,-3999000,-7024000,1704000,-207000,163000,-608000,-598000,-1780000,-1780000,-2378000,-1282000,-1282000,-1282000,16635000,57589000,13302000,0.20291,0.07572,0.05683,0.02906,0.01928,1.1318,2.50491,0.50752,0.09446,1.30487,1.28273,22.9617,44.89931,1.47685,0.02483,0.0281,-5.06799,-5.38318
"30","2017_Q3",133.200793650794,"Up",200507000,-165953000,34554000,-26153000,-26153000,8401000,98000,-1021000,1119000,8499000,8499000,-2317000,6182000,6182000,6182000,6182000,150967000,136788000,14179000,36237000,36237000,101515000,98726000,44249000,54477000,387445000,58714000,32077000,170849000,87805000,261640000,649085000,166137000,25296000,140841000,172091000,10957000,10957000,64026000,236117000,244833000,166145000,1990000,412968000,412968000,649085000,6182000,976000,-208000,30999.9999999981,6981000,-1161000,-4e+05,-1561000,1239000,197000,197000,1436000,6856000,6856000,6856000,9377000,59023000,10564000,0.17233,0.0419,0.03083,0.01497,0.00952,1.70883,2.2514,0.57176,0.09093,0.6853,0.67328,22.2271,45.77936,1.17107,0.0128,0.02187,-9.80527,-10.94441
"31","2017_Q4",150.202380952381,"Up",221383000,-171527000,49856000,-26045000,-26045000,23811000,-142000,-1236000,1094000,23669000,23669000,-2242000,21427000,21427000,21427000,21427000,153476000,138974000,14502000,41501000,41501000,105872000,83114000,34112000,49002000,383963000,58969000,34631000,166590000,83565000,260190000,644153000,143496000,19835000,123661000,149257000,7794000,7794000,59324000,208581000,245695000,187572000,2305000,435572000,435572000,644153000,21427000,1025000,-1518000,-15811000,5123000,-1221000,-2098000,-4393000,-1927000,479000,479000,-1448000,-718000,-718000,-718000,24836000,57291000,10046000,0.2252,0.10756,0.09679,0.04919,0.03326,0.46885,2.5725,0.47887,0.08894,2.37284,2.32526,24.51612,48.23557,1.1125,0.0428,0.02007,-3.87281,-4.03952
"32","2018_Q1",165.281967213115,"Up",242529000,-188225000,54304000,-28404000,-28404000,25900000,4804000,-1092000,5896000,30704000,30704000,-8564000,22140000,22140000,22140000,22140000,198632000,186766000,11866000,35043000,35043000,109152000,75766000,27961000,47805000,418593000,63355000,33573000,159259000,76239000,256187000,674780000,150285000,23785000,126500000,176329000,7577000,7577000,41345000,217674000,246287000,209381000,1438000,457106000,457106000,674780000,22140000,1051000,-6012000,27784000,44963000,-5323000,7214000,1891000,-6754000,189000,189000,2514000,49368000,49368000,49368000,26951000,59812000,57976000,0.22391,0.10679,0.09129,0.04844,0.03281,2.61861,2.37393,0.4762,0.08864,2.44917,2.39415,26.82898,50.56586,6.41341,0.04221,0.11054,-5.15083,-5.35985
"33","2018_Q2",187.915625,"Up",246403000,-194927000,51476000,-29213000,-29213000,22263000,1873000,-972000,2845000,24136000,24136000,-4445000,19691000,19691000,19691000,19691000,191755000,177487000,14268000,39922000,39922000,110437000,87123000,28853000,58270000,429237000,64005000,32879000,167440000,84504000,264324000,693561000,151389000,24615000,126774000,175626000,8364000,8364000,42248000,217874000,244718000,231147000,-178000,475687000,475687000,693561000,19691000,1104000,-4175000,-18735000,-2115000,-1630000,56999.9999999981,-1573000,-1931000,-2168000,-2168000,-4099000,-7787000,-7787000,-7787000,23367000,58121000,7447000,0.20891,0.09035,0.07991,0.04139,0.02839,0.37819,2.44404,0.45802,0.0838,2.17614,2.12484,27.23113,52.57035,0.823,0.03632,0.01374,-5.71892,-6.00252
"34","2018_Q3",231.518253968254,"Up",241530000,-192114000,49416000,-30035000,-30035000,19381000,136000,-941000,1077000,19517000,19517000,-3941000,15576000,15576000,15576000,15576000,208950000,195488000,13462000,38097000,38097000,111502000,90159000,34169000,55990000,448708000,65108000,33149000,168250000,85394000,266507000,715215000,155759000,25676000,130083000,196728000,8580000,8580000,23739000,220467000,248229000,246723000,-204000,494748000,494748000,715215000,15576000,1170000,5983000,-2806000.00000001,19923000,-2182000,585000,-1597000,-2097000,1995000,1995000,-102000,18224000,18224000,18224000,20551000,56128000,19504000,0.2046,0.08024,0.06449,0.03148,0.02178,1.25218,2.28085,0.44561,0.07848,1.71548,1.67408,26.60116,54.48959,2.14809,0.02784,0.03486,-7.43623,-7.88515
"35","2018_Q4",180.859047619048,"Down",233700000,-184679000,49021000,-30833000,-30833000,18188000,-1241000,-923000,-318000,16947000,16947000,-3563000,13384000,13384000,13384000,13384000,203427000,192869000,10558000,35903000,35903000,115409000,94998000,40096000,54902000,449737000,66378000,33125000,167961000,85185000,267464000,717201000,146512000,20284000,126228000,186108000,7001000,7001000,22021000,208129000,249109000,260107000,-144000,509072000,509072000,717201000,13384000,1194000,2665000,-18693000,-1450000,-2396000,391000,-2005000,-1692000,59000,59000,-1633000,-5088000,-5088000,-5088000,19382000,54616000,1856000,0.20976,0.07783,0.05727,0.02629,0.01866,0.13867,2.41654,0.40884,0.07615,1.47109,1.44376,25.68698,55.95432,0.204,0.02345,0.00325,-7.67779,-8.18182
"36","2019_Q1",136.72131147541,"Down",241113000,-185320000,55793000,-31487000,-31487000,24306000,1770000,-608000,2378000,26076000,26076000,-6105000,19971000,19971000,19971000,19971000,199990000,187370000,12620000,40701000,40701000,116203000,105155000,44654000,57440000,462049000,63484000,32137000,167546000,84850000,263167000,725216000,154486000,29305000,125181000,174008000,7002000,7002000,21620000,195628000,249538000,280078000,-28000,529588000,529588000,725216000,19971000,1230000,2551000,-7274000,16478000,-1303000,663000,-640000,-20576000,0,4.65661287307739e-10,-20576000,-4738000,-4738000,-4738000,25536000,34140000,23064000,0.2314,0.10081,0.08283,0.03771,0.02754,1.15487,2.65533,0.3694,0.04708,2.19528,2.16289,26.50391,58.21401,2.53527,0.03499,0.04041,-6.49475,-6.82342
"37","2019_Q2",136.182857142857,"Down",264042000,-203744000,60298000,-35264000,-35264000,25034000,2328000,-486000,2814000,27362000,27362000,-6080000,21282000,21282000,21282000,21282000,213050000,199820000,13230000,41952000,41952000,118532000,105514000,41903000,60581000,479048000,64376000,32533000,180126000,97510000,277035000,756083000,155187000,24816000,130371000,175330000,16217000,6957000,30416000,205746000,248916000,301360000,61000,550337000,550337000,756083000,21282000,1240000,-1401000,-4323000,16798000,-2021000,552000,-1469000,-922000.000000004,-1252000,-1252000,-2174000,13155000,13155000,13155000,26274000,34342000,26010000,0.22837,0.09481,0.0806,0.03867,0.02815,1.22216,2.73226,0.37385,0.04542,2.33799,2.30884,29.00705,60.45875,2.8574,0.03542,0.04329,-6.80171,-7.13861
"38","2019_Q3",177.09484375,"Up",268675000,-210208000,58467000,-36083000,-36083000,22384000,4871000,-302000,5173000,27255000,27255000,-6370000,20885000,20885000,20885000,20885000,203853000,190478000,13375000,44908000,44908000,115205000,122666000,54509000,68157000,486632000,70199000,32381000,184626000,94117000,287206000,773838000,167822000,29886000,137936000,169697000,16778000,8043000,31137000,200834000,250675000,322245000,84000,573004000,573004000,773838000,20885000,1408000,-6175000,10677000,26795000,-1859000,957000,-16839000,-18112000,941000,941000,-17171000,-7215000,-7215000,-7215000,23792000,16234000,38980000,0.21761,0.08331,0.07773,0.03645,0.02699,1.86641,2.86765,0.35049,0.02098,2.29006,2.25392,29.46051,62.83052,4.2742,0.03446,0.06432,-7.8858,-8.38184
"39","2019_Q4",195.98609375,"Up",273722000,-213867000,59855000,-36844000,-36844000,23011000,1721000,-490000,2211000,24732000,24732000,-3834000,20898000,20898000,20898000,20898000,230827000,216882000,13945000,39411000,39411000,110144000,121604000,55994000,65610000,501986000,71407000,31229000,182787000,92825000,285423000,787409000,159928000,27050000,132878000,161790000,16234000,8439000,30359000,192149000,252032000,343143000,85000,595260000,595260000,787409000,20898000,1560000,-1656000,3925000,24727000,-2534000,-6157000,-565000,-250000,537000,537000,287000,24449000,24449000,24449000,24571000,15987000,29796000,0.21867,0.08407,0.07635,0.03511,0.02654,1.42578,3.1027,0.3228,0.0203,2.28688,2.24856,29.95359,65.13972,3.2606,0.0333,0.04749,-8.74364,-9.3364
"40","2020_Q1",196.603870967742,"Up",255335000,-203437000,51898000,-37420000,-37420000,14478000,-848000,-217000,-631000,13630000,13630000,-1629000,12001000,12001000,12001000,12001000,256408000,241826000,14582000,42800000,42800000,113535000,103442000,42197000,61245000,516185000,77190000,31557000,185499000,95299000,294246000,810431000,169854000,29924000,139930000,172102000,30743000,7295000,30743000,202845000,252352000,355144000,90000,607586000,607586000,810431000,12001000,1575000,1467000,18374000,33417000,-1385000,3141000,-6370000,-405000,-1293000,-1293000,-1698000,25349000,25349000,25349000,16053000,0,34671000,0.20325,0.0567,0.047,0.01975,0.01481,2.88901,2.9993,0.33385,0,1.31046,1.29077,27.8816,66.34604,3.78594,0.0188,0.05432,-15.97259,-17.71018
"41","2020_Q2",163.823968253968,"Down",254801000,-199478000,55323000,-35323000,-35323000,2e+07,1680000,-196000,1876000,21680000,21680000,-5006000,16674000,16674000,16674000,16674000,286921000,270547000,16374000,38171000,38171000,106396000,116503000,37642000,78861000,547991000,77326000,30506000,182433000,92420000,290265000,838256000,176851000,34658000,142193000,179056000,35193000,7488000,35193000,214249000,252764000,371085000,158000,624007000,624007000,838256000,16674000,1613000,-11236000,28641000,35692000,-1851000,1956000,105000,-388999.999999999,-533000,-533000,-922000,34875000,34875000,34875000,21613000,0,53409000,0.21712,0.07849,0.06544,0.02672,0.01989,3.20313,3.06044,0.34334,0,1.81749,1.79974,27.7737,68.01773,5.82166,0.02529,0.08102,-13.27539,-14.34605
"42","2020_Q3",190.8496875,"Up",257976000,-204435000,53541000,-35453000,-35453000,18088000,1508000,-194000,1702000,19596000,19596000,-4547000,15049000,15049000,15049000,15049000,328832000,312243000,16589000,36852000,36852000,111872000,119868000,49193000,70675000,597424000,77836000,30278000,176972000,87146000,285086000,882510000,206103000,32919000,173184000,208221000,33601000,7066000,33601000,241822000,254389000,386134000,165000,640688000,640688000,882510000,15049000,1569000,-225000,22524000,38917000,-1845000,1658000,-186999.999999998,-465000,522000,522000,57000,38787000,38787000,38787000,19657000,0,44883000,0.20754,0.07012,0.05833,0.02349,0.01705,2.98246,2.86918,0.37744,0,1.63878,1.61896,28.09267,69.76865,4.8876,0.02232,0.06656,-16.72849,-18.17957
"43","2020_Q4",185.51734375,"Down",288772000,-229534000,59238000,-35414000,-35414000,23824000,2066000,-177000,2243000,25890000,25890000,-6189000,19701000,19701000,19701000,19701000,344453000,327487000,16966000,40932000,40932000,110624000,129710000,55805000,73905000,625719000,78493000,35485000,166869000,77229000,280847000,906566000,211202000,25176000,186026000,213342000,31483000,6809000,31483000,244825000,255756000,405835000,150000,661741000,661741000,906566000,19701000,1553000,-6147000,1850000,16957000,-2002000,-3014000,-5016000,-1066000,480000,480000,-586000,11355000,11355000,11355000,25377000,0,31414000,0.20514,0.0825,0.06822,0.02977,0.02173,1.59454,2.93294,0.36997,-4.33680868994202e-19,2.14368,2.1194,31.42154,72.00464,3.41819,0.02842,0.04532,-13.57343,-14.45824
"44","2021_Q1",208.360491803279,"Up",306502000,-235627000,70875000,-43962000,-43962000,26913000,2833000,-171000,3004000,29746000,29746000,-4524000,25222000,25222000,25222000,25222000,341775000,322279000,19496000,47396000,47396000,131234000,131394000,57779000,73615000,651799000,96794000,35010000,168230000,78777000,300034000,951833000,235253000,32120000,203133000,237104000,20754000,7393000,31089000,268193000,253927000,431057000,97000,683640000,683640000,951833000,25222000,1589000,1405000,-5751000,22465000,-19599000,1348000,-18251000,-804000,-4727000,-3286000,-5531000,-1317000,-1317000,-1317000,28502000,12186000,7676000,0.23124,0.08781,0.08229,0.03689,0.0265,0.30434,2.749,0.3923,0.0128,2.73892,2.70715,33.28383,74.23821,0.833559999999999,0.0352,0.01071,-11.56371,-12.24646
"45","2021_Q2",217.884920634921,"Up",330422000,-256409000,74013000,-40832000,-40832000,33181000,2297000,-164000,2461000,35478000,35478000,-8432000,27046000,27046000,27046000,27046000,349502000,329753000,19749000,51054000,51054000,150917000,116391000,48621000,67770000,667864000,97981000,38192000,166835000,77555000,303008000,970872000,240365000,30175000,210190000,242187000,19691000,6606000,29618000,271805000,255163000,458103000,84000,699067000,699067000,970872000,27046000,1576000,995000,-5342000,24275000,-2555000,-1061000,-3616000,-444000,-12706000,136000,-13150000,7509000,7509000,7509000,34757000,11749000,35292000,0.224,0.10042,0.08185,0.03869,0.02786,1.30489,2.75764,0.38881,0.0121,2.94329,2.91032,35.95823,76.07607,3.84066,0.03702,0.04831,-9.71755,-10.17911
"46","2021_Q3",240.50453125,"Up",359543000,-269615000,89928000,-45372000,-45372000,44556000,4465000,-203000,4668000,49021000,49021000,-11338000,37683000,37683000,37610000,37610000,243158000,224291000,18867000,72038000,72038000,190394000,127408000,49482000,77926000,632998000,156397000,35650000,231388000,89497000,423435000,1056433000,280011000,42549000,237462000,282271000,22613000,9373000,39918000,322189000,259209000,495713000,71000,733116000,734244000,1056433000,37683000,1614000,6155000,10360000,55812000,-2063000,943000,-152429000,-678000,-4839000,2755000,-5723000,-102340000,-102340000,-102340000,46170000,19565000,65805000,0.25012,0.12392,0.10461,0.05122,0.0356,1.74967,2.24252,0.4388,0.01852,4.09211,4.0558,39.1196,79.76572,7.15983,0.04844,0.08475,-4.84282,-5.01825
"47","2021_Q4",278.4621875,"Up",431714000,-316506000,115208000,-60322000,-60322000,54886000,4049000,-209000,4258000,58935000,58935000,20680000,79615000,79615000,79419000,79419000,288381000,267265000,21116000,64536000,64536000,200313000,150319000,79855000,70464000,703549000,157990000,35377000,215315000,84388000,408682000,1112231000,271964000,33756000,238208000,272762000,21023000,8541000,32053000,304815000,261689000,575132000,-42000,806212000,807416000,1112231000,79615000,3560000,-2952000,-34343000,45880000,-3029000,1351000,8203000,-8044000,-7253000,1437000,-15417000,38666000,38666000,38666000,58446000,11828000,394000,0.26686,0.12714,0.18396,0.09836,0.07141,0.00496,2.57935,0.37752,0.01063,8.64108,8.56442,46.97207,87.71883,0.04287,0.09452,0.000470000000000012,-4.73177,-5.03868
"48","2022_Q1",275.814677419355,"Down",505479000,-375879000,129600000,-59727000,-59727000,69873000,-1318000,-126000,-1192000,68555000,68555000,-15157000,53398000,53398000,53624000,53624000,264236000,244150000,20086000,96052000,96052000,243971000,139858000,71726000,68132000,744117000,164016000,34933000,211906000,82454000,410855000,1154972000,294170000,43082000,251088000,307328000,16364000,5528000,16364000,323692000,263142000,628756000,-403000,830455000,831280000,1154972000,53398000,4267000,4452000,-43860000,18257000,-9677000,-1582000,-11260000,-111000,-30645000,-172000,-30805000,-23808000,-23808000,-23808000,74140000,0,35760000,0.25639,0.13823,0.10609,0.06451,0.04643,0.66687,2.42125,0.38939,0,5.84229,5.78833,55.07151,90.47737,3.89602,0.06326,0.04219,-3.56401,-3.78166
"49","2022_Q2",222.683064516129,"Down",588338000,-443614000,144724000,-66136000,-66136000,78588000,722000,-161000,883000,79310000,79310000,-19616000,59694000,59694000,59602000,59602000,253936000,238072000,15864000,108128000,108128000,254722000,131239000,61941000,69298000,748025000,185534000,36815000,213426000,84482000,435775000,1183800000,304675000,44897000,259778000,304675000,26886000,3056000,26886000,331561000,263719000,688358000,-515000,851562000,852239000,1183800000,59694000,3946000,-1547000,-3853000,58240000,-24724000,325000,-24399000,-165000.000000001,-38960000,-552804.03047189,-40213000,-6372000,-6372000,-6372000,82534000,0,73573000,0.24599,0.13358,0.10131,0.06994,0.05035,1.2344,2.45516,0.38905,8.67361737988404e-19,6.68313,6.6306,65.9699,95.485,8.24968,0.0678,0.08369,-3.07674,-3.23123
"50","2022_Q3",236.96515625,"Up",577392000,-419793000,157599000,-66894000,-66894000,90705000,2106000,-233000,2339000,92811000,92811000,-18613000,74198000,74198000,74116000,74116000,349616000,333249000,16367000,96614000,96614000,233965000,139596000,73998000,65598000,819791000,189968000,38323000,216584000,88557000,444875000,1264666000,306051000,42655000,263396000,318340000,16468000,6048000,16468000,334808000,267276000,762474000,-818000,928932000,929858000,1264666000,74198000,4338000,5213000,20953000,104702000,-8062000,-2472000,-10534000,-228000,1591000,1591000,989000,95157000,95157000,95157000,95043000,0,126547000,0.27295,0.15709,0.12836,0.07971,0.05861,1.70742,2.57521,0.36006,0,8.31057,8.24525,64.74253,104.16044,14.18962,0.07832,0.13372,-3.6785,-3.85443
