"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",48.0204838709677,"Up",114603000,-88028000,26575000,-20307000,-20307000,6268000,-987000,-1403000,416000,5281000,5281000,-2260000,3021000,3021000,1457000,1457000,48633000,42451000,6182000,15478000,15478000,62636000,49073000,8564000,31959000,175820000,49790000,10324000,200461000,117504000,260575000,436395000,70222000,11041000,59181000,80526000,16292000,16292000,90512000,171038000,134823000,40198000,52000,175073000,265357000,436395000,3021000,986000,738000,-6504000,-1759000,1570000,-862000,708000,-3288000,0,0,-3288000,-4339000,-4339000,-4339000,7254000,84524000,4580000,0.23189,0.05469,0.01271,0.00549,0.00334,3.14345,2.18339,0.64456,0.19369,0.20911,0.20704,16.44827,25.12716,0.65734,0.00398,0.01251,4.94775,5.72607
"12","2013_Q1",48.1466666666667,"Up",108832000,-84814000,24018000,-18913000,-18913000,5105000,-937000,-1317000,380000,4168000,4168000,-1191000,2977000,2977000,1392000,1392000,54752000,47823000,6929000,18710000,18710000,68805000,52115000,10267000,30944000,194382000,46223000,10769000,193125000,110948000,250117000,444499000,76836000,14118000,62718000,87005000,16492000,16492000,88610000,175615000,135123000,41590000,177000,176890000,268884000,444499000,2977000,966000,6371000,-1719000,8595000,-163000,-807000,-970000,-2253000,0,0,-2253000,5372000,5372000,5372000,6071000,82287000,5380000,0.22069,0.04691,0.01279,0.00518,0.00313,3.86494,2.23415,0.65313,0.18512,0.19978,0.1972,15.61947,25.3871,0.77213,0.00379,0.01463,4.5355,5.39373
"13","2013_Q2",46.855,"Down",133987000,-104589000,29398000,-22480000,-22480000,6918000,-879000,-1254000,375000,6039000,6039000,-2178000,3861000,3861000,1826000,1826000,67777000,59835000,7942000,17925000,17925000,65495000,54490000,8724000,34665000,205687000,45983000,9620000,189584000,107944000,245187000,450874000,81502000,16987000,64515000,92198000,16467000,16467000,84877000,177075000,136319000,43416000,106000,179841000,273799000,450874000,3861000,961000,1797000,9011000,15630000,-381000,-91000,-472000,-3196000,50000,50000,-3146000,12012000,12012000,12012000,7879000,79106000,18687000,0.21941,0.05163,0.01363,0.00667,0.00405,10.23384,2.23093,0.64673,0.17545,0.26205,0.25904,19.22843,25.80892,2.68176,0.00494,0.05059,1.43787,1.63761
"14","2013_Q3",54.5384375,"Up",129826000,-99942000,29884000,-22082000,-22082000,7802000,-1073000,-1198000,125000,6729000,6729000,-1986000,4743000,4743000,4310000,4310000,67373000,61671000,5702000,21720000,21720000,69278000,57535000,9047000,32590000,215906000,45752000,13107000,183864000,105119000,242723000,458629000,85698000,17694000,68004000,95660000,18140000,18140000,83681000,179341000,231395000,47726000,167000,279288000,279288000,458629000,4743000,1017000,4456000,-3376000,6840000,-409000,-997000,-1406000,-3598000,2.91038304567337e-11,0,-3598000,1836000,1836000,1836000,8819000,75503000,7020000,0.23019,0.0601,0.0332,0.01543,0.0094,1.62877,2.25701,0.64214,0.16463,0.51173,0.50548,15.41446,33.16033,0.8335,0.01156,0.01882,0.92187,1.04204
"15","2013_Q4",60.9175,"Up",138317000,-106748000,31569000,-22019000,-22019000,9550000,-1046000,-1219000,173000,8504000,8504000,-2612000,5892000,5892000,5892000,5892000,66886000,59520000,7366000,27041000,27041000,67525000,54249000,11525000,28602000,215701000,45681000,14214000,181164000,102764000,241059000,456760000,80537000,11580000,68957000,90090000,17873000,17873000,81155000,171245000,231733000,53618000,164000,285515000,285515000,456760000,5892000,986000,6722000,-9413000,4187000,-822000,-2892000,-3714000,-2736000,112000,112000,-2624000,-2151000,-2151000,-2151000,10536000,72835000,2913000,0.22824,0.06904,0.0426,0.02064,0.0129,0.4944,2.39428,0.59978,0.15946,0.6666,0.65527,15.64879,32.30234,0.32957,0.01566,0.00774,0.56464,0.62293
"16","2014_Q1",76.0626229508197,"Up",131209000,-102577000,28632000,-21357000,-21357000,7275000,-742000,-1174000,432000,6533000,6533000,-2323000,4210000,4210000,4210000,4210000,81238000,72949000,8289000,20766000,20766000,69729000,56113000,12623000,30047000,227846000,48227000,17165000,176001000,97946000,241393000,469239000,88806000,15287000,73519000,98993000,19948000,19948000,79813000,178806000,232169000,57828000,436000,290433000,290433000,469239000,4210000,1036000,3e+06,11854000,20100000,-592000,-3480000,-4072000,-2845000,195000,195000,-2599000,13429000,13429000,13429000,8311000,70052000,21896000,0.21822,0.05545,0.03209,0.0145,0.00897,5.20095,2.30164,0.61565,0.14929,0.47725,0.47046,14.87395,32.92371,2.48215,0.01107,0.05756,-1.34593,-1.53759
"17","2014_Q2",77.8611111111111,"Up",139164000,-107446000,31718000,-22208000,-22208000,9510000,-568000,-1176000,608000,8942000,8942000,-3183000,5759000,5759000,5759000,5759000,82601000,73604000,8997000,25033000,25033000,73591000,53547000,12698000,30587000,234772000,47985000,16617000,175098000,97388000,239700000,474472000,88662000,15670000,72992000,98817000,19997000,19997000,78772000,177589000,232692000,63587000,604000,296883000,296883000,474472000,5759000,984000,3336000,-7900000,2179000,65000,118000,183000,-1948000,191000,191000,-1707000,655000,655000,655000,10494000,68930000,5842000,0.22792,0.06834,0.04138,0.0194,0.01214,1.01441,2.37583,0.59818,0.14528,0.65087,0.63902,15.72802,33.55309,0.66025,0.01493,0.01514,-1.30274,-1.43754
"18","2014_Q3",73.9903125,"Down",139315000,-107718000,31597000,-22270000,-22270000,9327000,-627000,-1161000,534000,8700000,8700000,-3233000,5467000,5467000,5467000,5467000,90197000,80830000,9367000,21546000,21546000,73575000,64153000,15335000,35605000,249471000,44591000,17338000,175862000,98496000,237791000,487262000,92974000,17130000,75844000,101024000,19978000,19978000,80042000,181066000,236640000,69054000,502000,306196000,306196000,487262000,5467000,937000,-6919000,7085000,6570000,-270000,-1280000,-1550000,-910000,250000,250000,2206000,7226000,7226000,7226000,10264000,68114000,20312000,0.2268,0.06695,0.03924,0.01785,0.01122,3.71538,2.46942,0.59134,0.13979,0.61754,0.60647,15.73672,34.58724,2.2944,0.01387,0.05152,-2.1515,-2.36764
"19","2014_Q4",73.4225,"Down",146932000,-115131000,31801000,-21997000,-21997000,9804000,748000,-1095000,1843000,10552000,10552000,-3914000,6638000,6638000,6638000,6638000,101155000,92241000,8914000,22758000,22758000,71834000,56471000,13709000,33864000,252218000,44772000,20185000,172431000,95410000,237388000,489606000,88160000,12837000,75323000,95855000,20059000,20059000,79981000,175836000,237676000,75692000,402000,313770000,313770000,489606000,6638000,909000,866000,476000,8889000,4551000,-2243000,2308000,-528000,0,0,214000,11411000,11411000,11411000,10713000,67617000,19654000,0.21643,0.06672,0.04518,0.02116,0.01356,2.96083,2.63125,0.5604,0.1381,0.74943,0.7362,16.58852,35.42442,2.21892,0.01654,0.04896,-3.13059,-3.42085
"20","2015_Q1",74.0085245901639,"Up",141248000,-110228000,31020000,-21184000,-21184000,9836000,-703000,-1155000,452000,9133000,9133000,-3180000,5953000,5953000,5953000,5953000,103703000,96597000,7106000,26994000,26994000,75334000,59433000,14460000,36400000,265464000,44712000,24813000,167593000,90917000,237118000,502582000,94881000,17805000,77076000,101471000,20587000,20587000,80957000,182428000,238005000,81645000,504000,320154000,320154000,502582000,5953000,927000,-558000.000000001,1738000,8060000,-521000.000000001,-2519000,-3040000,-4317000,59000,59000,-664000,4356000,4356000,4356000,10763000,66960000,15160000,0.21961,0.06964,0.04215,0.01859,0.01184,2.54662,2.61616,0.56981,0.13323,0.67197,0.66,15.94407,36.13896,1.71126,0.0146,0.03718,-3.41383,-3.73556
"21","2015_Q2",71.6688888888889,"Down",161668000,-129834000,31834000,-22659000,-22659000,9175000,-543000,-1015000,472000,8632000,8632000,-3247000,5385000,5385000,5385000,5385000,78612000,70216000,8396000,28280000,28280000,96614000,66684000,20279000,37564000,270190000,53795000,24305000,174654000,93639000,252754000,522944000,111205000,18527000,92678000,116354000,20525000,20525000,80892000,197246000,238573000,87030000,94999.9999999999,325698000,325698000,522944000,5385000,934000,918000,-3294000,3943000,-5e+05,-1571000,-29191000,-1370000,70000,70000,-1133000,-26381000,-26381000,-26381000,10109000,65516000,9562000,0.19691,0.05675,0.03331,0.01653,0.0103,1.77567,2.32214,0.60561,0.12528,0.60754,0.59699,18.23944,36.74537,1.07879,0.01308,0.02322,-1.29548,-1.42736
"22","2015_Q3",72.5346875,"Up",191964000,-152409000,39555000,-26571000,-26571000,12984000,-494000,-965000,471000,12490000,12490000,-4420000,8070000,8070000,8070000,8070000,100862000,92863000,7999000,30592000,30592000,89038000,64388000,18890000,35386000,284880000,53479000,24887000,173155000,92255000,251521000,536401000,117131000,19746000,97385000,123987000,20637000,20637000,77300000,201287000,240215000,95100000,-201000,335114000,335114000,536401000,8070000,944000,3539000,13322000,25875000,-578000,-627000,-2206000,-1878000,671000,671000,-1022000,22647000,22647000,22647000,13928000,63519000,31092000,0.20605,0.06764,0.04204,0.02408,0.01504,3.85279,2.29766,0.60065,0.11842,0.90898,0.89343,21.62225,37.74625,3.50211,0.01925,0.07416,-2.68115,-2.87608
"23","2015_Q4",84.92453125,"Up",181427000,-145037000,36390000,-23728000,-23728000,12662000,-657000,-1244000,587000,12005000,12005000,-3907000,8098000,8098000,8098000,8098000,103506000,96164000,7342000,29931000,29931000,91678000,66350000,20606000,35101000,291465000,53935000,25492000,171628000,90841000,251055000,542520000,115028000,17002000,98026000,121082000,20833000,20833000,77259000,198341000,241219000,103198000,-238000,344179000,344179000,542520000,8098000,1039000,1017000,-4900000,5254000,-1315000,-20999.9999999998,-1336000,-1226000,210000,210000,-617000,3301000,3301000,3301000,13701000,62480000,11393000,0.20058,0.06979,0.04464,0.02353,0.01493,1.40689,2.40717,0.57627,0.11517,0.90951,0.89334,20.37649,38.65555,1.27957,0.01894,0.02665,-2.99438,-3.24009
