"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"18","2019_Q4",75.96515625,"Down",49875000,-10339000,39536000,-27587000,-26179000,-1408000,11949000,-4243000,-4243000,7706000,7706000,-1801000,5905000,5905000,5905000,5905000,9472000,9472000,5859000,5859000,16852000,3540000,13312000,32183000,27291000,108593000,45941000,50172000,12480000,135884000,168067000,2359000,2359000,26432000,26432000,36991000,308081000,34570000,4355000,30215000,342651000,379642000,632000,-212207000,-211575000,-211575000,168067000,5905000,1408000,2579000,8203000,18095000,-19640000,-19640000,-19640000,-20869000,4200000,4200000,174000,174000,1030000,-1744000,-1744000,-1744000,13357000,316281000,3721000,0.7927,0.23958,0.1184,-0.02791,0.03513,0.63014,0.87002,-1.79436,1.88187,0.20052,0.19881,1.69361,-7.18445,0.12635,0.0657,0.02672,22.9699,25.67654
"19","2020_Q1",78.4714516129032,"Up",53186000,-10463000,42723000,-33829000,-32364000,-1465000,8894000,-4184000,-4184000,4710000,4710000,-1663000,3047000,3047000,3047000,3047000,12849000,12849000,5175000,5175000,12166000,2449000,9717000,30190000,27842000,108081000,45610000,50188000,12283000,135923000,166113000,3348000,3348000,26381000,26381000,32929000,307669000,34943000,4485000,30458000,342612000,375541000,847000,-210275000,-209428000,-209428000,166113000,3047000,1465000,2701000,2784000,9997000,-1404000,-1404000,-1404000,-1420000,-5800000,-5800000,209000,209000,-8865000,-288000,-288000,-288000,10359000,310869000,13402000,0.80328,0.16722,0.05729,-0.01455,0.01834,4.39842,0.91682,-1.79317,1.87143,0.10344,0.10267,1.80555,-7.10962,0.45497,0.0463,0.09827,28.76919,33.50798
"20","2020_Q2",106.937142857143,"Up",55436000,-11176000,44260000,-30789000,-29234000,-1555000,13471000,-4145000,-4145000,9326000,9326000,-1230000,8096000,8096000,8096000,8096000,31030000,31030000,5140000,5140000,16678000,1376000,15302000,52848000,28434000,107232000,45283000,50188000,11761000,135666000,188514000,3881000,3881000,25410000,25410000,45291000,310461000,35710000,5988000,29722000,346171000,391462000,515000,-203463000,-202948000,-202948000,188514000,8096000,1555000,3245000,-424999.999999999,12471000,-1579000,-1579000,-1579000,-1579000,15200000,15200000,505000,505000,12253000,23145000,23145000,23145000,15026000,326461000,14252000,0.7984,0.243,0.14604,-0.03989,0.04295,1.76038,1.16685,-1.92888,1.73176,0.27456,0.27221,1.88001,-6.88263,0.48333,0.07109,0.08951,19.66132,21.93089
"21","2020_Q3",134.926875,"Up",66105000,-13387000,52718000,-35197000,-33799000,-1398000,17521000,-4214000,-4214000,13307000,15323000,-3784000,11539000,11539000,11539000,11539000,45766000,45766000,5580000,5580000,16110000,4118000,11992000,67456000,27220000,106438000,44955000,50160000,11323000,133658000,201114000,2890000,2890000,28689000,28689000,47579000,310846000,35361000,6043000,29318000,346207000,393786000,339000,-193011000,-192672000,-192672000,201114000,11539000,1398000,574000,-370000,13141000,1209000,-1091000,-1091000,1209000,0,0,57000,57000,-3232000,11118000,11118000,11118000,18919000,326846000,23542000,0.79749,0.26505,0.17456,-0.05989,0.05738,2.04021,1.41777,-2.04382,1.62518,0.38998,0.38774,2.23411,-6.51161,0.79563,0.08739,0.13886,14.85702,16.04246
"22","2020_Q4",122.12921875,"Down",63988000,-11804000,52184000,-39116000,-36782000,-2334000,13068000,-4405000,-4405000,8663000,9896000,185000,10081000,10081000,10081000,10081000,48230000,48230000,5378000,5378000,28677000,5630000,23047000,82285000,27196000,110210000,44628000,53290000,12292000,137406000,219691000,2343000,2343000,39077000,39077000,57420000,311240000,34568000,6090000,28478000,345808000,403228000,793000,-184330000,-183537000,-183537000,219691000,10081000,2334000,846000,7906000,21167000,1441000,-1059000,-1059000,-4194000,0,0,329000,329000,-3953000,13020000,13020000,13020000,15402000,327240000,24564000,0.81553,0.20423,0.15755,-0.05493,0.04589,2.43666,1.43304,-2.19698,1.48955,0.34011,0.33748,2.15884,-6.19221,0.82874,0.08001,0.13779,18.11518,21.35063
"23","2021_Q1",134.400163934426,"Up",63282000,-12216000,51066000,-40829000,-38598000,-2231000,10237000,-4018000,-4018000,6219000,-7602000,1192000,-6410000,-6410000,-6410000,-6410000,40858000,40858000,4929000,4929000,26833000,5532000,21301000,72620000,27948000,110997000,44300000,53690000,13007000,138945000,211565000,3658000,3658000,43215000,43215000,50473000,466933000,35469000,4480000,30989000,502402000,552875000,718000,-342028000,-341310000,-341310000,211565000,-6410000,2231000,16028000,6902000,18751000,-2323000,-2323000,-2323000,-3423000,147200000,147200000,34000,34000,-24516000,-9188000,-9188000,-9188000,12468000,470533000,15855000,0.80696,0.16177,-0.10129,0.01878,-0.0303,-2.47348,1.43879,-1.61986,2.22406,-0.21591,-0.21479,2.13157,-11.49656,0.53405,0.89075,0.09627,34.46222,41.97275
"24","2021_Q2",137.904285714286,"Up",70690000,-13279000,57411000,-37608000,-35813000,-1795000,19803000,-3782000,-3782000,16021000,16021000,-2861000,13160000,13160000,13160000,13160000,39993000,39993000,5950000,5950000,35201000,8220000,26981000,81144000,30473000,106154000,43976000,53690000,8488000,136627000,217771000,3666000,3666000,39712000,39712000,48178000,466056000,35265000,5377000,29888000,501321000,549499000,324000,-332052000,-331728000,-331728000,217771000,13160000,1795000,3571000,-4738000,13788000,-2841000,-2841000,-2841000,-2841000,104461017.922365,99198677.5751162,156000,156000,-6368000,4579000,4579000,4579000,21598000,470856000,16880000,0.81215,0.28014,0.18616,-0.03967,0.06043,1.28267,1.68425,-1.65647,2.16216,0.44301,0.44096,2.37965,-11.16704,0.56824,0.10219,0.09679,19.94921,21.75746
"25","2021_Q3",162.4490625,"Up",7.4e+07,-14207000,59793000,-40890000,-39367000,-1523000,18903000,-3724000,-3724000,15179000,15179000,-3867000,11312000,11312000,11312000,11312000,43504000,43504000,5854000,5854000,35350000,9132000,26218000,84708000,39598000,109958000,43651000,53690000,12617000,149556000,234264000,3812000,3812000,46633000,46633000,51645000,468774000,36088000,5416000,30672000,504862000,556507000,892000,-323026000,-322243000,-322243000,234264000,11312000,1523000,2848000,2141000,17824000,-5417000,-5417000,-5417000,-9580000,-1200000,-1200000,0,0,-5438000,2806000,2806000,2806000,20426000,469974000,21017000,0.80801,0.25545,0.15286,-0.0351,0.04829,1.85794,1.6402,-1.72698,2.00617,0.3808,0.37904,2.49108,-10.84774,0.7075,0.08453,0.11434,20.87878,22.56097
"26","2021_Q4",160.75484375,"Down",65784000,-15206000,50578000,-33313000,-31252000,-2061000,17265000,-3702000,-3724000,13563000,17130000,-5840000,11290000,11290000,11290000,11290000,50125000,50125000,6052000,6052000,32625000,4156000,28469000,88802000,49151000,122446000,43326000,56877000,22243000,171597000,260399000,4382000,4382000,54927000,54927000,59309000,469084000,46138000,6475000,39663000,515222000,574531000,1366000,-315326000,-314132000,-314132000,260399000,11290000,2061000,60000.0000000005,9022000,22433000,-1078000,-8285000,-8285000,-5954000,-1200000,71771797.3900694,501000,501000,-6528000,9951000,9951000,9951000,19326000,469084000,33110000,0.76885,0.26245,0.17162,-0.03594,0.04336,2.93268,1.49728,-1.82895,1.8014,0.37952,0.37714,2.21138,-10.55977,1.11302,0.08499,0.16465,21.67852,24.26638
"27","2022_Q1",136.533548387097,"Down",72028000,-14724000,57304000,-43016000,-40452000,-2564000,14288000,-3641000,-3754000,10647000,10577000,-3681000,6896000,6896000,6896000,6896000,48583000,48583000,6993000,6993000,14573000,4928000,9645000,70149000,54503000,124551000,43002000,56877000,24672000,179054000,249203000,5414000,5414000,34267000,34267000,39681000,469394000,49653000,7432000,14197000,519047000,558728000,762000,-310031000,-309525000,-309525000,249203000,6896000,2564000,4009000,-18636000,-5167000,-11478000,-11478000,-11478000,-11478000,0,216611749.854287,91000,91000,-5055000,-21700000,-21700000,-21700000,16852000,469394000,-9581000,0.79558,0.19837,0.09574,-0.02228,0.02767,-1.38936,1.76782,-1.80511,1.88358,0.23024,0.22953,2.40478,-10.33403,-0.31988,0.05741,-0.04573,24.97098,29.45206
"28","2022_Q2",86.7440322580645,"Down",76205000,-15674000,60531000,-43480000,-41253000,-2227000,17051000,-4257000,-4192000,12794000,11536000,-2860000,8676000,8676000,8676000,8676000,287013000,287013000,6385000,6385000,30835000,3652000,27183000,324233000,57314000,125749000,42681000,56877000,26191000,183063000,507296000,125080000,4931000,41438000,41438000,171368000,710918000,49237000,6942000,42295000,760155000,931523000,708000,-424613000,-424227000,-424227000,507296000,8676000,2227000,3332000,6131000,20366000,-4814000,-6293000,-6293000,-4814000,2.5e+08,2.5e+08,125000,125000,239091000,254643000,254643000,254643000,19278000,715768000,23455000,0.79432,0.22375,0.11385,-0.02045,0.0171,2.70343,1.89203,-2.19581,1.41095,0.29115,0.28956,2.5573,-14.23628,0.78711,0.04099,0.06883,22.24064,25.14545
"29","2022_Q3",119.30234375,"Up",83777000,-14899000,68878000,-46181000,-43634000,-2547000,22697000,-6012000,-5986000,16685000,16362000,-3055000,13307000,13307000,13307000,13307000,165824000,165824000,7234000,7234000,36421000,5628000,30793000,209479000,60854000,125028000,42360000,56877000,25791000,185882000,395361000,3121000,3121000,42869000,42869000,52665000,709546000,48620000,5898000,42722000,758166000,810831000,945000,-415822000,-415470000,-415470000,395361000,13307000,2547000,-1816000,-4940000,9098000,-4244000,-6402000,-6402000,-4244000,0,0,1838000,1838000,-122778000,-117924000,-117924000,-117924000,25244000,716221000,19115000,0.82216,0.27092,0.15884,-0.03203,0.03366,1.43646,3.97758,-1.9516,1.81156,0.44532,0.44484,2.80359,-13.90369,0.63968,0.39476,0.05471,21.80308,24.24977
