"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",9.29370967741935,"Up",19131000,-2249000,-2249000,16882000,-13326000,-702000,-862000,-11762000,3556000,-788000,-788000,2768000,-1312000,-129000,-1441000,-12489000,-53000,-12542000,-12542000,18599000,18599000,662000,662000,1082000,7422000,863000,27765000,56786000,63820000,62681000,120606000,148371000,4997000,696000,4301000,7883000,18699000,34803000,21616000,15288000,6328000,56419000,75118000,62424000,7515000,69939000,3314000,73253000,148371000,-1441000,-12489000,862000,2359000,3387000,5167000,1214000,-1497000,-1433000,-708000,-708000,-1183000,-3324000,346000,783000,783000,4418000,42686000,9148000,0.88244,0.18588,-0.65559,-0.17121,-0.08453,-0.72939,1.48484,1.02546,0.2877,-1.29339,-1.29339,1.97288,7.21244,0.94338,-0.09118,0.0665,5.45201,6.77362
"2","2011_Q2",9.24333333333333,"Down",19668000,-2418000,-2418000,17250000,-12802000,-971000,-906000,-10925000,4448000,-1064000,-1064000,3384000,3532000,-1153000,2379000,2129000,-53000,2076000,2076000,19800949.1292482,19504911.8914098,1130090.74195745,1130090.74195745,1205641.17440587,4876447.56627817,1168746.4486854,27013128.6118897,54568042.9148582,66071680.3352587,65643892.3730554,120639723.250117,147652851.862007,4075109.89363986,200281.819684332,3874828.07395552,7964007.4993041,17821642.3324784,31569043.1913639,21568253.1780356,16669919.6343409,4898333.54369461,53137296.3693994,70958938.7018778,63703325.8832838,9624163.1607994,73312913.1891564,3380999.97097241,76693913.1601288,147652851.862007,2379000,2129000,906000,-136000,-238000,2911000,-656000,-1161000,-613000,-894000,-894000,-610000,-2117000,-367000,-340000,-340000,5354000,0,5613000,0.87706,0.22615,0.10555,-0.0789859414416604,-0.0391025962027088,2.70376,1.50836656385359,0.929723105442938,0.267767785720971,0.20671,0.20667,1.95838,7.4059684932745,0.5589,-0.042286233862209,-0.0234349027163984,4.18308384999187,4.99680926254224
"3","2011_Q3",7.29359375,"Down",21579000,-2665000,-2665000,18914000,-13325000,-842000,-948000,-11535000,5589000,-1114000,-1114000,4475000,4808000,-1556000,3252000,2976000,-54000,2922000,2922000,17034349.1292482,16586811.8914098,1077190.74195745,1077190.74195745,1211841.17440587,5265747.56627817,1301746.4486854,24589128.6118897,57267242.9148582,67129280.3352587,66691892.3730554,124396523.250117,148985651.862007,3791709.89363986,330181.819684331,3461528.07395552,7243507.4993041,17477642.3324784,30421743.1913639,22681253.1780356,18903819.6343409,3777433.54369461,53102996.3693994,70580638.7018778,63498725.8832838,11541363.1607994,75025513.1891564,3379499.97097241,78405013.1601288,148985651.862007,3252000,2976000,948000,765000,614000,5579000,-2824000,-3974000,-1154000,-501000,-501000,-843000,-2498000,-893000,-970000,-970000,6537000,0,5883000,0.8765,0.259,0.13541,-0.0207299414416604,-0.0101875962027088,2.01335,1.39930456385359,0.902438105442938,0.253016785720971,0.29405,0.27128,2.17158,7.5324854932745,0.59203,-0.011074233862209,-0.0325049027163984,4.04178084999187,4.81927526254224
"4","2011_Q4",7.36761904761905,"Up",20793000,-2710000,-2710000,18083000,-13702000,-838000,-971000,-11893000,4381000,-935000,-935000,3446000,4134000,-1541000,2593000,940000,-52000,888000,888000,12856000,12356000,840000,840000,1169000,6839000,1292000,21704000,62507000,67597000,66693000,130104000,151808000,3969000,781999.999999999,3187000,6238000,17613000,30699000,24214000,21275000,2939000,54913000,72526000,62543000,13401000,75939000,3343000,79282000,151808000,2593000,940000,971000,3439000,-3038000,3965000,-3612000,-6429000,-2839000,-743000,-743000,-218000,-3800000,-6264000,-4938000,-4938000,5352000,36937000,243000,0.86967,0.2107,0.04271,0.0112,0.00584999999999999,0.27365,1.23227,0.91479,0.24331,0.08948,0.08933,2.09522,7.65206,0.02449,0.00632000000000001,0.00173000000000005,4.49944,5.49669
"5","2012_Q1",8.955,"Up",21451000,-2634000,-2634000,18817000,-14441000,-820000,-1079000,-12542000,4376000,-699000,-699000,3677000,3181000,-1153000,2028000,2012000,-52000,1960000,1960000,10213000,9698000,779000,779000,1174000,7493000,1025000,19659000,65892000,67826000,66735000,133718000,153377000,3981000,1215000,2766000,5494000,17691000,30060000,25404000,23033000,2371000,55464000,73155000,61542000,15361000,76913000,3309000,80222000,153377000,2028000,2012000,1079000,-1171000,3399000,5335000,-4441000,-4755000,-1310000,-1129000,-1129000,-588000,-3027000,-2447000,-2653000,-2653000,5455000,35554000,5566000,0.87721,0.204,0.09137,0.02443,0.01278,2.8398,1.11124,0.91191,0.23181,0.19967,0.21848,2.18531,7.83547,0.56703,0.01388,0.03942,4.64546,5.7909
"6","2012_Q2",8.43015873015873,"Down",22019000,-2932000,-2932000,19087000,-14720000,-995000,-1120000,-12605000,4367000,-971000,-971000,3396000,3494000,-1208000,2286000,2238000,-53000,2185000,2185000,11467000,10937000,1219000,1219000,1281000,5653000,603000,19620000,66055000,68547000,67576000,134602000,154222000,3874000,1344000,2530000,5513000,17899000,28682000,25521000,23481000,2040000,54203000,72102000,61242000,17544000,78811000,3309000,82120000,154222000,2286000,2238000,1120000,1075000,744000,5225000,-1177000,-1557000,-1394000,-417000,-417000,-608000,-2419000,1249000,1239000,1239000,5487000,34195000,6262000,0.86684,0.19833,0.09923,0.02661,0.01417,2.8659,1.09615,0.87801,0.22173,0.22561,0.22556,2.27352,8.13743,0.64657,0.01541,0.04415,4.14215,5.20449
"7","2012_Q3",7.82190476190476,"Down",25413000,-3390000,-3390000,22023000,-17570000,-1040000,-1190000,-15340000,4453000,-1105000,-1105000,3348000,3388000,-1134000,2254000,2169000,-53000,2116000,2116000,12196000,11664000,1717000,1717000,1249000,5333000,1595000,20495000,82360000,70260000,69297000,152620000,173115000,7443000,1341000,6102000,5963000,22384000,41033000,24712000,23006000,1706000,65745000,88129000,61989000,19663000,81679000,3307000,84986000,173115000,2254000,2169000,1190000,1044000,2404000,6892000,-3572000,-4626000,-563000,-305000,-305000,-544000,-1412000,854000,727000,727000,5643000,46996000,5609000,0.8666,0.17523,0.08326,0.0249,0.01222,2.65076,0.91561,1.03698,0.27147,0.2177,0.21745,2.61451,8.40319,0.57706,0.0135,0.0358,6.16693,7.81496
"8","2012_Q4",7.78161290322581,"Down",23921000,-3279000,-3279000,20642000,-16270000,-959000,-1398000,-13913000,4372000,-1100000,-1100000,3272000,2922000,-1024000,1898000,1876000,-53000,1823000,1823000,10693000,9652000,1455000,1455000,1441000,5566000,1514000,19155000,79818000,70402000,69556000,150220000,169375000,5379000,1087000,4292000,6121000,20999000,37364000,24564000,23192000,1372000,61928000,82927000,61619000,21487000,83142000,3306000,86448000,169375000,1898000,1876000,1398000,-435000,-699000,2162000,905000,405000,-3416000,-654000,-654000,-501000,-4571000,-2004000,-2012000,-2012000,5770000,43485000,7e+06,0.86292,0.18277,0.07621,0.02109,0.01076,3.83982,0.91219,0.95927,0.25674,0.18746,0.18734,2.45974,8.54931,0.71979,0.0118,0.04531,5.68319,7.50046
"9","2013_Q1",8.12566666666667,"Up",23867000,-3043000,-3043000,20824000,-17425000,-1052000,-1257000,-15116000,3399000,-808000,-808000,2591000,2278000,-926000,1352000,1507000,-53000,1454000,1454000,6579000,5520000,1743000,1743000,1260000,5126000,1123000,14708000,79940000,97745000,53147000,177685000,192393000,6163000,1865000,4298000,6603000,22853000,56925000,25003000,23963000,1040000,81928000,104781000,61308000,22939000,84306000,3306000,87612000,192393000,1352000,1507000,1257000,846000,688000,4143000,-1809000,-5257000,-3033000,-716000,-716000,583000,-3166000,-4280000,-4135000,-4135000,4656000,63528000,4461000,0.8725,0.14241,0.06092,0.0166,0.00756,3.06809,0.64359,1.19597,0.3302,0.15092,0.15085,2.47737,8.75088,0.46305,0.00825,0.02533,12.23131,16.75463
"10","2013_Q2",8.2325,"Up",27141000,-3386000,-3386000,23755000,-17821000,-1109000,-1320000,-15392000,5934000,-1635000,-1635000,4299000,4298000,-1584000,2714000,2700000,-53000,2647000,2647000,7446000,6871000,1707000,1707000,1399000,4950000,584000,15502000,90907000,97798000,96742000,188705000,204207000,7860000,1609000,6251000,6361000,25182000,64090000,24751000,23815000,936000,88841000,114023000,61225000,25584000,86879000,3305000,90184000,204207000,2714000,2700000,1320000,219000,1995000,6248000,-2438000,-1938000,-2402000,-405000,-405000,-128000,-2935000,1375000,1351000,1351000,7254000,70451000,8395000,0.87524,0.21864,0.09753,0.02935,0.01296,3.17151,0.6156,1.26434,0.345,0.27645,0.2692,2.83457,9.07352,0.87676,0.01428,0.04528,8.68555,10.61763
