"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2010_Q2",22.225873015873,"Down",98765000,-29228000,69537000,-58721000,-49311000,-9410000,10816000,-347000,-347000,10469000,40437000,-14273000,26164000,26164000,26710000,26710000,26164000,1577000,2472000,5845000,36058000,-2149000,-21146000,5354000,5354000,1383000,-110784000,-95872000,-95872000,-29000,-95901000,12393000,0,30362000,0.70407,0.10951,0.27044,1.13673,0.45841,0.44175,1.69504,0.52108
"2","2010_Q3",22.724375,"Up",100080000,-29775000,70305000,-50055000,-41004000,-9051000,20250000,309000,309000,20559000,21319000,-7403000,13916000,13916000,14287000,14287000,13916000,1574000,5586000,-19281000,1795000,-2692000,73294000,308000,308000,-846000,-551000,74538000,74538000,280000,74818000,21824000,0,7254000,0.70249,0.20234,0.14276,0.507730000000001,0.24299,0.23604,1.70213,0.12337
"3","2010_Q4",28.2703125,"Up",100988000,-29376000,71612000,-48774000,-39547000,-9227000,22838000,1232000,1232000,24070000,24070000,-7376000,16694000,16694000,16419000,16419000,16694000,1604000,3117000,-5470000,15945000,-2482000,-2482000,615000,615000,-43000,557000,14020000,14020000,416000,14436000,24442000,0,23866000,0.70911,0.22615,0.16258,1.45356,0.27891,0.27099,1.7155,0.40542
"4","2011_Q1",28.4541935483871,"Up",49282000,-11934000,37348000,-8728000,-4715000,-4013000,28620000,-1240000,-1240000,27380000,-3646000,893999.999999999,-2752000,-2752000,-4188000,-4188000,-2752000,1224000,-554000,-4610000,-6692000,1836000,-114123000,-3702000,-3702000,-279000,113118000,-7697000,-7697000,-512000,-8209000,29844000,231000,26176000,0.75784,0.58074,-0.08498,-6.25024,-0.07081,-0.06882,0.83325,0.44258
"5","2011_Q2",29.9890476190476,"Up",113042000,-36210000,76832000,-51443000,-41468000,-9975000,25389000,194000,194000,25583000,25583000,-7429000,18154000,18154000,18013000,18013000,18154000,2044000,4830000,-8848000,16180000,-1306000,-1306000,2628000,2628000,-198000,2414000,17288000,17288000,11000,17299000,27433000,156000,24708000,0.67968,0.2246,0.15935,1.37168,0.30224,0.29534,1.89674,0.41458
"6","2011_Q3",24.07015625,"Down",109565000,-34314000,75251000,-53119000,-43673000,-9446000,22132000,528000,528000,22660000,22660000,-5751000,16909000,16909000,17038000,17038000,16909000,1796000,4655000,-4755000,18605000,-1665000,-1665000,2499000,2499000,287000,2775000,19715000,19715000,375000,20090000,23928000,146000,23259000,0.68682,0.202,0.15551,1.36513,0.28472,0.27839,1.8309,0.38867
"7","2011_Q4",19.615873015873,"Down",104040000,-35601000,68439000,-49506000,-40134000,-9372000,18933000,-240000,-240000,18693000,18693000,-3869000,14824000,14824000,14829000,14829000,14824000,1768000,3977000,-1288000,19281000,-2256000,-2256000,441000,441000,-31000,4e+05,17425000,17425000,73000,17498000,20701000,135000,21026000,0.65781,0.18198,0.14253,1.4179,0.24727,0.24288,1.73481,0.3506
"8","2012_Q1",20.473064516129,"Up",112341000,-38729000,73612000,-53549000,-43930000,-9619000,20063000,-468000,-468000,19595000,19595000,-5429000,14166000,14166000,13820000,13820000,14166000,1734000,-1189000,10180000,24891000,-2281000,-2281000,-35812000,375000,81999.9999999999,-35743000,-13133000,-13133000,-177000,-13310000,21797000,122000,35125000,0.65525,0.17859,0.12302,2.54161,0.23335,0.22982,1.89688,0.59309
"9","2012_Q2",19.8612698412698,"Down",119228000,-39923000,79305000,-56977000,-46472000,-10505000,22328000,-582000,-582000,21746000,21746000,-5980000,15766000,15766000,15774000,15774000,15766000,1760000,4281000,1441000,23248000,-2438000,-9614000,-14091000,275000,-167000,-14270000,-636000,-636000,-398000,-1034000,24088000,110000,29071000,0.66515,0.18727,0.1323,1.84297,0.27113,0.26671,2.04937,0.49969
"10","2012_Q3",21.7979365079365,"Up",122775000,-41343000,81432000,-58759000,-47649000,-11110000,22673000,-462000,-462000,22211000,22211000,-4443000,17768000,17768000,17697000,17697000,17768000,2213000,3977000,-16037000,7921000,-3624000,-3598000,-11584000,318000,-118000,-11713000,-7390000,-7390000,59000,-7331000,24886000,97000,9668000,0.66326,0.18467,0.14414,0.54631,0.3097,0.30469,2.14859,0.16919
