"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q4",7.65126984126984,"Down",24779396,-17411078,7368318,-6097207,1271111,-62498,-77362,14864,1208613,1208613,-275586,933027,648852,648852,648852,4748116.78098624,4748116.78098624,10521334.393263,10521334.393263,27825271.187941,22725789.0379023,1073665.21440105,65820511.4000926,2132985.41062128,8472803.08482836,10605788.4954496,76426299.8955422,5773699.91317619,2915486.95913968,2858212.95403652,12568428.9278755,3208951.61019025,3208951.61019025,1839273.20094799,14407702.1288235,50259974.3361118,-2499453.24452629,22987867.4205758,-8729790.74544253,62018597.7667187,62018597.7667187,76426299.8955422,648852,470702,3841462,-4221262,739754,-745747,-745747,-3308964,-1022503,-1028496,-1028496,-123913,-1152409,1741813,0,-2949610,0.29736,0.0513,0.02619,-0.0268217184684184,-0.015516408730768,-4.54589,6.16691322179069,0.268605090620893,0.0582463276953311,0.11926,0.11699,4.5546,10.4617303330415,-0.54216,-0.0200663638461709,0.00717958050397921,58.7486046706766,77.3351497467756
"2","2012_Q1",9.8791935483871,"Up",24824149,-16778926,8045223,-6331065,1714158,-39846,-82406,42560,1674312,1674312,-438581,1235731,1096646,1096646,1096646,8726916,8726916,14377188,14377188,45295295,10099447,2318214,78498846,11096329,11780808,22877137,101375983,10583512,6474468,4109044,10717502,3413081,3413081,16491240,27208742,50335300,-3012920,26193049,651812,74167241,74167241,101375983,1096647,497835,-3650241,-4413601,-6469360,-462711,-462711,3301581,7237268,305197,305197,314200,619397,2211993,13178209,-2225738,0.32409,0.06905,0.04418,0.01479,0.01082,-2.02959,7.32436,0.36686,0.12999,0.20158,0.19865,4.56296,13.63277,-0.40912,0.01208,-0.02452,2.01234,2.59678
"3","2012_Q2",8.82190476190476,"Down",25584829,-17322690,8262139,-6685703,1576436,-68904,-118381,49477,1507532,1728299,-407749,1320550,1163391,1163391,1163391,8600263.65633792,8600263.65633792,16302619.2022457,16302619.2022457,51489428.437353,5475299.2373659,2515794.67853298,81867610.5333025,14475542.1131262,14326428.8050572,28801970.9181835,110669581.451486,11380583.7789413,7372628.09695344,4007955.68198783,9900437.19070816,3480653.87993658,3480653.87993658,22364395.5163507,32264832.7070588,50483082.3046294,-3268918.3351579,27844886.9431414,3345697.83181418,78404748.7444271,78404748.7444271,110669581.451486,1163391,418813,114569,-5543036,-3846263,-578508,-578508,20834,4275575,-149196,-149196,100225,-48971,1995249,0,-3718546,0.32293,0.06162,0.04547,0.0238514061561395,0.0161396362435893,-3.1963,7.76658642606977,0.409353303126369,0.165753724101556,0.22276,0.2181,4.89883,14.8665598889862,-0.71201,0.018917121282057,-0.0240090268346597,-5.41535072355888,-8.77377824892522
"4","2012_Q3",6.76444444444444,"Down",25833493,-18034940,7798553,-6973429,825124,-120805,-140251,19446,704319,732402,-97857,634545,583798,583798,583798,6660525,6660525,16700175,16700175,50580548,5917655,2166486,79858903,14490120,15679377,30169497,110028400,9946734,6675508,3271226,10451392,3425484,3425484,22219983,32671375,50655844,-3352291,27940238,2113234,77357025,77357025,110028400,583798,405712,331461,-1545210,-224239,-548418,-548418,-58859.9999999995,1390695,618038,618038,16953,634991,1230836,19299157,-764935,0.30188,0.03194,0.0226,0.00755,0.00531,-1.31027,7.64098,0.42235,0.1754,0.11173,0.10921,4.94419,14.80512,-0.1464,0.00583,-0.00764000000000001,10.26833,15.31725
"5","2012_Q4",5.63435483870968,"Down",24744034,-17330989,7413045,-6840363,572682,-182460,-166839,-15621,390222,46419,93956,140375,-576535,-576535,-576535,5946651,5946651,15242845,15242845,47312694,8300730,1832480,76802920,13588861,14998689,28587550,105390470,8055008,5389716,2665292,9876723,3415191,3415191,20604764,30481487,50784364,-3352291,27363703,113207,74908983,74908983,105390470,-576535,382610,377516,2640256,2823847,-2607081,-2607081,-10293,-595109,-378343,-378343,-214095,-592438,955292,18645081,894511,0.29959,0.02314,-0.0233,-0.0077,-0.00547,-1.55153,7.77615,0.40691,0.17691,-0.11034,-0.10763,4.73568,14.33659,0.1712,-0.00595,0.00922,13.29272,22.17361
"6","2013_Q1",4.721,"Down",20164633,-14852572,5312061,-6544110,-1232049,-226543,-253615,27072,-1458592,-1668265,665969,-1002296,-1547479,-1547479,-1547479,8502145,8502145,12576362,12576362,45668355,9752198,1993151,76499060,13914826,11990968,25905794,102404854,7490149,4600437,2889712,9453188,3412320,3412320,19684809,29137997,50828413,-3352291,25816224,-25488.9999999999,73266857,73266857,102404854,-1547479,732334,-1184609,3241950,1242196,-1137925,-1137925,-2870.00000000003,-454782,-350511,-350511,114898,-235613,-499715,18170748,938341,0.26343,-0.0611,-0.07674,-0.02112,-0.01511,-0.60637,8.09241,0.3977,0.17744,-0.29614,-0.28722,3.85887,14.02095,0.17957,-0.01632,0.00989,-19.34823,-7.84758
"7","2013_Q2",4.1078125,"Down",23980711,-16669351,7311360,-7286423,24937,-177018,-236392,59374,-152081,-10467868,346402,-10121466,-10121466,-10121466,-10121466,7175039,7175039,16188680,16188680,42318674,10499009,2046753,76181402,13824167,11491180,25315347,101496749,9479065,6002025,3477040,34857599,3402418,3402418,5253286,40110885,50959804,-3352291,15694758,-1916407,61385864,61385864,101496749,-10121466,374889,9787760,291575,332758,-364185,-364185,-9903,-1011225,-1042652,-1042652,26618,-1016034,399826,10443759,-19186,0.30489,0.00104,-0.42207,-0.16488,-0.09972,0.0019,2.1855,0.65342,0.1029,-1.93695,-1.93695,4.58919,11.74742,-0.00367,-0.13454,-0.00026,8.17536,131.07912
"8","2013_Q3",4.6128125,"Up",23499324,-16368100,7131224,-6979250,151974,-285839,-259454,-26385,-133865,1616547,27282,1643829,1643829,1643829,1643829,8890855,8890855,14365294,14365294,43019214,10530888,1938651,76806251,13792540,10779142,24571682,101377933,11768639,8203955,3564684,30183517,8664260,8664260,10232583,40416100,50875447,-3352291,17338587,-3899910,60961833,60961833,101377933,1643829,371667,-3330469,3037574,1722601,-710014,-710014,-125135,872162,1884749,1884749,-117390,1767359,523641,9131493,2823919,0.30347,0.00647,0.06995,0.02696,0.01621,1.71789,2.54464,0.66297,0.09007,0.3118,0.30211,4.45739,11.56333,0.53565,0.02087,0.03586,0.459549999999998,1.58341999999999
"9","2013_Q4",5.2915625,"Up",24238573,-16951519,7287054,-7019656,267398,-131301,-270273,138972,136097,-12694,295340,282646,282646,282646,282646,7984261,7984261,15597842,15597842,41237295,11180286,1986041,75999684,14139625,10841733,24981358,100981042,10927922,7360507,3567415,29069558,8313564,8313564,9815708,38885266,51050825,-3352291,17621233,-3223991,62095776,62095776,100981042,282646,382228,785500,-1890266,-439892,-216998,-216998,-1703,-334242,-991132,-991132,80504,-910628,649626,8304901,-1752978,0.30064,0.01103,0.01166,0.00455,0.0028,-6.20203,2.61441,0.62621,0.08224,0.05303,0.05266,4.54733,11.64961,-0.32887,0.00359,-0.02227,0.49358,1.19911
"10","2014_Q1",6.51737704918033,"Up",23398931,-17801136,5597795,-7072272,-1474477,-401079,-147327,-253752,-1875556,-11867183,-5704788,-17571971,-18093678,-18093678,-18093678,9198348,9198348,13782908,13782908,39270675,4081338,1703322,66333269,14089987,2894747,16984734,83318003,10089213,6704001,3385212,27902396,8126422,8126422,9424507,37326903,51029951,-3352291,-472445,-1214115,45991100,45991100,83318003,-18093678,422081,16107145,2136358,571906,-93341.9999999999,-93342.0000000001,239429,673672,1152236,1152236,32991,1185227,-1052396,8527345,6695408,0.23923,-0.06301,-0.77327,-0.39342,-0.21716,-0.370040000000002,2.37733,0.81161,0.10235,-3.39242,-3.52879,4.38711,8.62295,1.25533,-0.28883,0.10688,0.6376,0.455079999999994
