"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital"
"1","2010_Q2",10.9196825396825,"Up",392958000,-341324000,51634000,-48489000,-48489000,3145000,-766000,-766000,-886000,120000,2379000,-172000,2207000,-487000,1720000,1720000,-733000,987000,987000,187625000,187625000,207786000,21718000,21718000,417129000,227269000,514687000,-287418000,176237000,2340000,154392000,15194000,4311000,403506000,820635000,121643000,82571000,683000,23654000,23654000,145980000,68881000,32145000,21640000,10505000,101026000,247006000,153470000,409605000,4061000,567136000,6493000,573629000,820635000,1720000,9455000,574000,-89392000,-77643000,-4433000,28000,-5039000,15686000,-401000,279000,-13000,15272000,-67410000,-67410000,-67410000,12600000,69564000,-80738000,0.1314,0.008,0.00251,0.00172,0.0012,-81.80142,2.85744,0.4306,0.08477,0.01708,0.01685,6.80164,9.81646,-1.39748,6,0.00146,-0.11955
"2","2010_Q3",8.5965625,"Down",638635000,-560749000,77886000,-54041000,-54041000,23845000,-833000,-833000,-903000,70000,23012000,-212000,22800000,-8332000,14468000,14468000,-752000,13716000,13716000,229199000,229199000,191569000,18110000,18110000,439573000,226426000,518816000,-292390000,177365000,2340000,156296000,13429000,5300000,403791000,843364000,138429000,83467000,692000,22995000,22995000,162116000,67932000,31747000,21539000,10208000,99679000,261795000,155040000,416562000,4018000,575620000,5949000,581569000,843364000,14468000,9334000,279000,-2411000,21670000,-6736000,-903999.999999999,-12840000,-941000,-1916000,1052000,-1407000,-8135000,695000,695000,695000,33179000,68624000,32364000,0.12196,0.03734,0.02148,0.02358,0.01626,2.35958000000001,2.71147,0.45015,0.08137,0.23741,0.23417,11.05402,9.96331,0.56018,5,0.02579,0.04746
"3","2010_Q4",9.7459375,"Up",480573000,-426159000,54414000,-47285000,-47285000,7129000,-777000,-777000,-888000,111000,6352000,-1137000,5215000,-2017000,3198000,3198000,-614000,2584000,2584000,166369000,166369000,172457000,18759000,18759000,399521000,221839000,516337000,-294498000,181120000,2340000,156992000,15719000,6069000,402959000,802480000,110113000,62621000,702000,21485000,21485000,132300000,52465000,33905000,21492000,12413000,86370000,218670000,155691000,417842000,3998000,577531000,6279000,583810000,802480000,3198000,8759000,1336000,54089000,67382000,-8559000,36000,-9218000,-15464000,-1243000,108000,-218000,-16923000,41241000,41241000,41241000,15888000,53167000,63435000,0.11323,0.01483,0.00538,0.00443,0.00322,24.54915,3.01981,0.37456,0.06625,0.04486,0.04436,8.34285,10.02606,1.10124,6,0.00385,0.09455
"4","2011_Q1",10.8077419354839,"Up",378685000,-332664000,46021000,-47802000,-47802000,-1781000,-802000,-872000,-872000,0,-2583000,-528000,-3111000,3636000,525000,525000,-401000,124000,124000,126780000,126780000,190390000,24459000,21197000,384992000,222151000,517793000,-295642000,182253000,2340000,154702000,15933000,9032569.96074567,404404000,789396000,103390000,59481000,712000.000000004,15135000,15135000,119237000,54579000,32734000,20631000,12103000,87313000,206550000,157906000,414108000,4165000,576179000,6667000,582846000,789396000,525000,9800000,-1526000,9059000,17858000,-10976000,-4525000,-15501000,2084000,894000,894000,55000,-825000,1531999.99999999,1531999.99999999,1602000,8019000,55291000,2466000,0.12153,-0.0047,0.00033,0.000209999999999997,0.00016,19.8871,3.2288,0.35438,0.07004,0.00215,0.00212999999999999,6.57063,9.99738,0.0427900000000001,7,0.00594,0.00368
"5","2011_Q2",8.86142857142857,"Down",387233000,-345819000,41414000,-46488000,-46488000,-5074000,-618000,-635000,-883000,248000,-5692000,-7000,-5699000,2287000,-3412000,-3412000,-258000,-3670000,-3670000,176970000,176970000,243639000,35433000,24526000,456042000,216802000,516588000,-299786000,183232000,2340000,154702000,14492000,11698000,400034000,856076000,101392000,66571000,74688000,14606000,14606000,190686000,52474000,31525000,20506000,11019000,83999000,274685000,159608000,410438000,4704000,574750000,6641000,581391000,856076000,-3412000,8343000,526000,-114936000,-109479000,-6132000,268000,-5864000,71817000,456000,456000,-334000,71939000,-43404000,-43404000,-43404000,3269000,127162000,-120086000,0.10695,-0.0131,-0.00948,-0.00631,-0.00429,32.72098,2.39159,0.47246,0.14854,-0.06337,-0.06337,6.68588,9.92351,-2.07338,2,-0.00496,-0.16226
"6","2011_Q3",8.01203125,"Down",544139000,-487552000,56587000,-45328000,-45328000,11259000,-779000,-797000,-929000,132000,10480000,-3482000,6998000,-2502000,4496000,4496000,-219000,4277000,4277000,200181000,200181000,204590000,30927000,22258000,435698000,216997000,525197000,-308200000,181631000,2340000,154702000,13136000,11453000,398628000,834326000,116262000,76521000,32443000,15573000,15573000,164278000,52200000,35498000,20478000,15020000,87698000,251976000,160162000,410814000,4839000,575815000,6535000,582350000,834326000,4496000,8982000,416000,37674000,51568000,-4907000,45000,-4862000,-51158000,119000,119000,-392000,-55336000,-8630000.00000001,-8630000.00000001,-8629999.99999999,20241000,84643000,55510000,0.10399,0.02069,0.00786,0.00734,0.00513,12.97872,2.6522,0.43269,0.10145,0.07343,0.0723,9.34273,9.88659,0.95309,4,0.01165,0.07902
"7","2011_Q4",8.05428571428571,"Up",468941000,-414583000,54358000,-44013000,-44013000,10345000,-840000,-857000,-926000,69000,9505000,-207000,9298000,-3293000,6005000,6005000,-389000,5616000,5616000,170030000,170030000,180882000,30510000,23649000,400071000,217920000,531431000,-313511000,180432000,2340000,154702000,11920000,11470000,398352000,798423000,104584000,65315000,266000,17554000,17554000,122404000,52200000,36411000,20354000,16057000,88611000,211015000,161405000,416433000,3844000,581682000,5726000,587408000,798423000,6005000,9064000,-94000,45061000,60036000,-9366000,95000,-9271000,-23513000,731000,731000,-663000,-23445000,27320000,27320000,27320000,19409000,52466000,58397000,0.11592,0.02206,0.01198,0.00956,0.00703,10.39833,3.26845,0.35923,0.06571,0.09629,0.09577,8.04041,9.97346,1.00127,6,0.0083,0.08635
"8","2012_Q1",9.84177419354839,"Up",422023000,-374655000,47368000,-45534000,-45534000,1834000,-987000,-877000,-994000,117000,847000,-2657000,-1810000,634000,-1176000,-1176000,-498000,-1674000,-1674000,127316000,127316000,194697000,25529000,12353000,358194000,222467000,537208000,-314741000,183346000,2340000,154702000,10924000,15380000,405813000,764007000,80353000,49433000,40270000,12172000,12172000,132795000,12200000,35158000,19049000,16109000,47358000,180153000,163612000,410848000,3600000,578060000,5794000,583854000,764007000,-1176000,9598000,1253000,-285000,9390000,-10888000,-2105000,-12993000,7.45058059692383e-09,1665000,1665000,-1224000,-3471999.99999999,-7075000,-7075000,-7334000,11432000,52470000,-375000,0.11224,0.00435,-0.00397,-0.00287,-0.00219,0.22401,2.69735,0.30856,0.06868,-0.02866,-0.02853,7.2263,9.89812,-0.00642000000000009,4,0.00333,-0.000560000000000005
"9","2012_Q2",10.8184126984127,"Up",457111000,-403445000,53666000,-45778000,-45778000,7888000,-708000,-770000,-1011000,241000,7180000,-95000,7085000,-2699000,4386000,4386000,-231000,4155000,4155000,192427000,192427000,218553000,24405000,12620000,435385000,221704000,540223000,-318519000,182954000,2340000,154702000,10200000,15712000,404658000,840043000,108013000,75347000,47709000,15075000,15075000,170797000,43668000,34032000,19008000,15024000,77700000,248497000,166239000,415003000,4234000,585476000,6070000,591546000,840043000,4386000,7923000,355000,-57485000,-44821000,-5846000,345000,-5501000,33968000,1036000,1036000,-445000,34559000,-15763000,-15763000,-15587000,15811000,91377000,-44821000,0.1174,0.01726,0.00909,0.00702,0.00495,-10.78724,2.54914,0.42008,0.10878,0.07078,0.0703,7.78631,9.97285,-0.76347,6,0.0058,-0.06252
"10","2012_Q3",11.2122222222222,"Up",593693000,-521618000,72075000,-49434000,-49434000,22641000,-971000,-919000,-1240000,321000,21670000,6878000,28548000,-10538000,18010000,18010000,-501000,17509000,17509000,212038000,212038000,207556000,24658000,14964000,449016000,217778000,537273000,-319495000,185843000,2340000,157836000,9491000,16176000,403621000,852637000,122110000,81117000,4e+07,16911000,16911000,179021000,32854000,35672000,20034000,15638000,68526000,247547000,166995000,428573000,3439000,599007000,6083000,605090000,852637000,18010000,8013000,-7715000,6874000,25182000,4673000,-1036000,1488000,-13588000,198000,198000,-38999.9999999999,-17375000,9295000,9295000,9046000,30654000,72854000,52739000,0.1214,0.03814,0.02949,0.02894,0.02054,3.01211,2.50818,0.40911,0.08545,0.29754,0.29881,10.0891,10.1794,0.89624,8,0.03007,0.0739
"11","2012_Q4",11.3674193548387,"Up",533366000,-478139000,55227000,-47186000,-44858000,8041000,-651000,-666000,-968000,302000,7390000,269000,7659000,-2903000,4756000,4756000,-558000,4198000,4198000,191178000,191178000,209138000,27717000,16757000,432388000,216931000,541473000,-324542000,184026000,2340000,157966000,8802000,14918000,400957000,833345000,111823000,72080000,4e+07,17656000,17656000,169479000,15918000,35218000,19889000,15329000,51136000,220615000,168371000,432772000,4554000,605697000,7033000,612730000,833345000,4756000,8436000,656000,8290000,22138000,-6017000,-491000,-6508000,-16936000,592000,592000,-115000,-16459000,-829000,-829000,-409000,16477000,55918000,21653000,0.10354,0.01508,0.00787,0.00685,0.00504,5.15793,2.55128,0.36005,0.0671,0.07122,0.07118,9.04823,10.27528,0.36733,5,0.00596,0.03076
