"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",23.56328125,"Up",136673000,-104283000,32390000,-21273000,-21273000,11117000,-358000,-470000,112000,10759000,10759000,-2609000,8150000,8150000,8150000,8150000,61666845.2887999,61666845.2887999,-4278692.89716217,-4278692.89716217,47048690.7344409,12299138.8887067,4180431.68245132,116735982.014785,44821166.5425388,116210968.249028,-71389801.7064889,38270287.1381677,5499956.52552674,29385936.5434987,3520872.73535838,-136478.666216127,83091453.6807065,199827435.695492,45039987.2802579,6718502.39425878,16343985.8983649,21977498.9876342,1507603.99034175,46368430.6537456,-78079427.0138851,6586225.06046656,10570063.6222587,-2583723.74916342,-71493201.9534185,-25124771.2996729,84683909.165418,-426000,168607743.095579,-27913445.2658321,224952206.995165,224952206.995165,199827435.695492,8150000,2729000,-626000,15043000,25296000,326000,324000,-707000,-22439000,391000,391000,-22754000,2866000,2866000,1364000,4230000,13846000,0,31824000,0.23699,0.08134,0.05963,0.0178404199075162,0.0188599967561177,3.90479,3.00169941244757,-0.0131514092265174,-0.126096648727819,0.6905,0.68453,11.57951,19.0225791152557,2.69626,0.0599,0.0270673916187512,0.634776607065482,0.08675,-9.10005018190493,-11.20912875519
"2","2011_Q1",25.4327419354839,"Up",132653000,-104945000,27708000,-21745000,-21745000,5963000,-291000,-504000,213000,5672000,5672000,-1568000,4104000,4104000,4104000,4104000,30243000,30243000,127388000,127388000,99304000,8125000,3864000,265060000,61184000,139674000,-78490000,44739000,5500000,34073000,4311000,855000,105923000,370983000,76532000,45152000,1567000,29813000,2319000,79189000,23106000,15428000,6168000,2109000,38534000,117723000,85564000,-426000,166589000,1533000,253260000,253260000,370983000,4104000,2702000,-4445000,5170000,7531000,-1248000,-820000,-709000,-226000,273000,273000,-708000,6003000,6003000,-142000,5861000,8665000,25425000,14155000,0.20888,0.04495,0.03094,0.0162,0.01106,3.44907,3.34718,0.46483,0.06853,0.34718,0.34342999999996,11.22181,21.42458,1.19745,0.05998,0.01636,0.04813,0.17276,-0.55603,-0.80798
"3","2011_Q2",23.6995238095238,"Down",140715000,-108814000,31901000,-22560000,-22560000,9341000,-840000,-693000,-147000,8501000,8501000,-2834000,5667000,5667000,5667000,5667000,22130801.5704,22130801.5704,174020564.299054,174020564.299054,120326853.08852,7665037.03709777,4172439.43918289,324143255.995072,64205111.1524871,146713843.916991,-82508732.7645037,47238654.2872774,5500014.49149109,35872687.8188338,4810875.75488054,1055076.22207204,111443765.439765,435587021.434836,87949337.5732474,58448499.2019137,-2311995.29945498,31812833.6707886,2080215.33655275,90463689.7820848,60017225.671295,17533341.6465111,5267145.45924711,3955907.9163878,77550567.3178062,168014257.099891,86076530.278194,-426000,171265418.96814,10656815.0886107,267572764.334945,267572764.334945,435587021.434836,5667000,2621000,23000,-32276000,-23965000,-1389000,-1389000,-710000,23108000,89000,89000,22505000,-2849000,-2849000,989000,-1860000,11962000,0,-18869000,0.22671,0.06638,0.04027,0.0233256933641613,0.0136708344146275,-3.32963,3.56874352918414,0.625312969742173,0.14018054957594,0.47896,473.0384,11.89275,22.6167269615814,-1.59474,0.06001,0.0192208694604163,-0.0988455356884939,0.12529,2.37271672730164,2.79369458506332
"4","2011_Q3",21.14046875,"Down",160824000,-123433000,37391000,-23685000,-23685000,13706000,-467000,-392000,-74999.9999999999,13239000,13239000,-4325000,8914000,8914000,8914000,8914000,26145000,26145000,169695000,169695000,122181000,8990000,4645000,327011000,60462000,144952000,-84490000,47054000,5500000,35636000,5057000,861000,107516000,434527000,86904000,56303000,0,30601000,1452000,88694000,56421000,16341000,6091000,4110000,72762000,161456000,86362000,-426000,179750000,7385000,273071000,273071000,434527000,8914000,2666000,174000,-21270000,-9516000,-1545000,-1545000,-710000,9182000,144000,144000,8717000,-2344000,-2344000,106000,-2238000,16372000,57873000,-2118000,0.2325,0.08522,0.05543,0.03264,0.02051,-0.237600000000001,3.68696,0.59126,0.13319,0.75249,744.94401,13.57623,23.05175,-0.17879,0.05994,0.02771,-0.0061,0.07965,1.93794,2.3149
"5","2011_Q4",23.7403174603175,"Up",155057000,-117834000,37223000,-22762000,-22762000,14461000,343000,-474000,817000,14804000,14804000,-4748000,10056000,10056000,10056000,10056000,25279000,25279000,148285000,148285000,116137000,9540000,4415000,299241000,57707000,143004000,-85297000,45255000,5500000,33949000,5081000,725000,102962000,402203000,79545000,47029000,3139000,29377000,915000,80798000,30777000,16094000,6505000,3862000,46871000,127669000,86591000,-426000,189094000,-725000,274534000,274534000,402203000,10056000,2698000,-206000,16118000,28666000,-1576000,-1576000,-712000,-26092000,25000,25000,-26742000,348000,348000,-1214000,-866000,17159000,31692000,36449000,0.24006,0.09326,0.06485,0.03663,0.025,3.6246,3.70357,0.46504,0.0788,0.84811,841.71759,13.07725,23.15375,3.07405,0.06005,0.03341,0.11308,0.0708,0.37374,0.44347
"6","2012_Q1",26.755,"Up",146997000,-118427000,28570000,-23340000,-23340000,5230000,-363000,-616000,253000,4867000,11585000,-3535000,8050000,8050000,8050000,8050000,10288000,10288000,143934000,143934000,114523000,7596000,3157000,276341000,62126000,148160000,-86034000,43198000,5500000,31751000,4921000,1026000,105324000,381665000,73972000,40782000,2617000,30573000,1190000,75805000,8621000,19963000,4852000,4319000,28584000,104389000,86894000,-426000,196431000,-5623000,277276000,277276000,381665000,8050000,2433000,-4020000,9019000,15482000,-816000,-7352000,-713000,-22768000,23000,23000,-23551000,-15421000,-15421000,430000,-14991000,7663000,9811000,19401000,0.19436,0.03558,0.05476,0.02903,0.02109,2.41006,3.64542,0.37648,0.02571,0.67892,0.168310000000133,12.39749,23.385,1.63625,0.06013,0.02854,0.06319,0.08857,-0.06225,-0.0912
"7","2012_Q2",29.5750793650794,"Up",155911000,-120673000,35238000,-24245000,-24245000,10993000,-962000,-388000,-574000,10031000,10031000,-3246000,6785000,6785000,6785000,6785000,37858000,37858000,170391000,170391000,127989000,9304000,4912000,345542000,61524000,150106000,-88582000,43979000,5500000,32365000,4922000,1192000,105503000,451045000,86662000,54353000,3314000,28995000,3272000,90583000,53512000,19794000,4924000,4383000,73306000,163889000,87129000,-426000,201887000,-1434000,287156000,287156000,451045000,6785000,2518000,234000,-27238000,-17701000,-1635000,-1635000,-712000,46929000,39000,39000,46293000,26957000,26957000,613000,27570000,13511000,56784000,-12116000,0.22601,0.07051,0.04352,0.02363,0.01504,-1.7857,3.81465,0.57073,0.12589,0.57146,564.14734,13.13156,24.18563,-1.02047,0.05997,0.02061,-0.03331,0.10494,1.40078,1.72164
"8","2012_Q3",28.7474603174603,"Down",167009000,-127848000,39161000,-24836000,-24836000,14325000,-315000,-467000,152000,14010000,14010000,-4666000,9344000,9344000,9344000,9344000,33520000,33520000,169974000,169974000,122781000,8548000,4230000,334823000,58717000,146986000,-88269000,43074000,5500000,31558000,4921000,1095000,101791000,436614000,81981000,49998000,2001000,29982000,810000,83435000,41384000,19420000,4863000,4453000,60804000,144239000,87745000,-426000,210519000,-5463000,292375000,292375000,436614000,9344000,2508000,376999.999999999,-124000.000000007,12105000,-630000,-630000.000000001,-713000,-14535000,212000,212000,-15002000,-3527000,-3527000,-811000,-4338000,16833000,42194000,20745000,0.23448,0.08577,0.05595,0.03196,0.0214,2.22014,4.01298,0.49334,0.09664,0.7862,774.92121,14.05208,24.60034,1.74548,0.05999,0.02841,0.0586,0.07631,0.5153,0.60551
"9","2012_Q4",30.7882258064516,"Up",156078000,-119008000,37070000,-23992000,-23992000,13078000,-560000,-326000,-234000,12518000,12518000,-3943000,8575000,8575000,8575000,8575000,38313000,38313000,153834000,153834000,119578000,8862000,4930000,320587000,57643000,147526000,-89883000,40992000,5500000,32019000,2471000,1002000,98635000,419222000,83648000,47516000,4170000,31962000,808000,84711000,13270000,16216000,2447000,4496000,29486000,114197000,88158000,-426000,218997000,-1704000,305025000,305025000,419222000,8575000,2672000,324000,21560000,33131000,-752000,-752000,-714000,-28125000,239000,239000,-28572000,3807000,3807000,986000,4793000,15750000,14078000,40501000,0.23751,0.08379,0.05494,0.02811,0.02045,4.72315,3.78448,0.37439,0.03358,0.72041,711.2641,13.11249,25.62589,3.40259,0.05998,0.0277,0.12078,0.08327,-1.53873,-1.85311
"10","2013_Q1",34.141,"Up",154033000,-121990000,32043000,-24434000,-24434000,7609000,-66000,-205000,139000,7543000,6887000,-2688000,4199000,4199000,4199000,4199000,48291000,48291000,140268000,140268000,108758000,9483000,5659000,306800000,56801000,146454000,-89653000,40738000,5500000,31648000,2593000,997000,97539000,404339000,77287000,41641000,4045000,31601000,588000,78128000,118000,15807000,2290000,3646000,15925000,94053000,89863000,-426000,222480000,-1631000,310286000,310286000,404339000,4199000,2250000,892000,16387000,23728000,-1073000,-1073000,-715000,-13386000,1641000,1641000,-12661000,9994000,9994000,-15999.9999999998,9978000,9859000,706000.000000002,27861000,0.20803,0.0494,0.02726,0.01353,0.01038,6.63515,3.92689,0.30312,0.00175,0.35182,0.0871200000000272,12.90599,25.99799,2.33439,0.05991,0.01504,0.08525,0.17028,-4.82655,-6.25378
"11","2013_Q2",38.82515625,"Up",158429000,-123517000,34912000,-25173000,-25173000,9739000,91000,-198000,289000,9830000,9830000,-2880000,6950000,6950000,6950000,6950000,33491000,33491000,169678000,169678000,118224000,9189000,5447000,330582000,56722000,147241000,-90519000,39936000,5500000,30870000,2594000,972000,96658000,427240000,89422000,55546000,2935000,30941000,571000,90239000,10049000,15402000,2261000,3693000,25451000,115690000,90620000,-426000,228591000,-7235000,311550000,311550000,427240000,6950000,2154000,83000,-29480000,-20293000,-2839000,-2839000,-840000,9927000,565000,565000,9672000,-13460000,-13460000,-1340000,-14800000,11893000,10620000,-17546000,0.22036,0.06147,0.04387,0.02231,0.01627,-2.5246,3.6634,0.37134,0.02486,0.57888,0.57164,13.19582,25.94953,-1.46144,0.06997,0.02308,-0.05198,0.12086,-1.92306,-2.34839
"12","2013_Q3",42.8971875,"Up",178064000,-133973000,44091000,-26530000,-26530000,17561000,48000,-295000,343000,17609000,17609000,-5822000,11787000,11787000,11787000,11787000,17841000,17841000,178993000,178993000,120978000,9009000,5387000,326821000,58492000,149995000,-91503000,39857000,5500000,30923000,2579000,855000,98349000,425170000,87164000,53602000,2214000,31348000,519000,87922000,35000,14843000,2119000,3765000,14878000,102800000,91374000,-426000,239535000,-8113000,322370000,322370000,425170000,11787000,2186000,315000,-15560000,-1272000,-3983000,-3983000,-842000,-10073000,3e+05,3e+05,-10524000,-15779000,-15779000,129000,-15650000,19747000,554000.000000002,6026000,0.24761,0.09862,0.0662,0.03656,0.02772,0.51124,3.71717,0.31889,0.0013,0.97866,0.966149999999983,14.78446,26.76602,0.50033,0.06991,0.03739,0.01784,0.07143,-0.87542,-0.9844
"13","2013_Q4",49.431875,"Up",174738000,-131582000,43156000,-27830000,-27830000,15326000,283000,-275000,558000,15609000,15609000,-4276000,11333000,11333000,11333000,11333000,53603000,53603000,161704000,161704000,121639000,11128000,5883000,348074000,60633000,154884000,-94251000,40937000,5500000,31814000,2597000,1026000,101570000,449644000,93950000,55911000,1869000,36170000,499000,94692000,90000,14663000,2705000,3710000,14753000,109445000,92257000,-426000,250025000,-1657000,340199000,340199000,449644000,11333000,2245000,-687000,25628000,38519000,-2659000,-3680000,-844000,-77000,383000,383000,-428000,34411000,34411000,1351000,35762000,17571000,589000,44816000,0.24698,0.08771,0.06486,0.03331,0.0252,3.95447,3.67585,0.32171,0.00131,0.93902,0.92673,14.47825,28.18784,3.71332,0.06993,0.03426,0.12608,0.07447,-3.01713,-3.45909
"14","2014_Q1",51.5009836065574,"Up",170859000,-134508000,36351000,-28240000,-28240000,8111000,229000,-207000,436000,8340000,8340000,-2316000,6024000,6024000,6024000,6024000,63960000,63960000,151396000,151396000,109104000,12493000,5129000,336953000,61904000,158376000,-96472000,39619000,5500000,32073000,457000,1589000,101523000,438476000,80201000,45593000,1126000,33482000,420000,80621000,8000,7382000,1350000,3494000,7390000,88011000,92650000,-426000,255203000,3038000,350465000,350465000,438476000,6024000,2313000,833000,5503000,14673000,-3683000,-3664000,-845000,-176000,38000,38000,-1204000,9805000,9805000,552000,10357000,10424000,428000,14560000,0.21275,0.04747,0.03526,0.01719,0.01374,2.417,4.17947,0.25113,0.00098,0.49863,0.491310000000001,14.14279,29.0096,1.2052,0.06994,0.01917,0.04064,0.14027,-6.09478,-7.83282
