"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",28.7563492063492,"Up",319300000,-201700000,117600000,-88300000,-88300000,29300000,-4800000,-5e+06,2e+05,24500000,-3300000,21200000,-9e+06,12200000,8100000,8100000,8100000,135427251.623639,131548884.779242,167648250.630355,167648250.630355,143538435.18646,38964780.4512063,-3951657.20520708,485578717.89166,156595379.061348,476046127.036289,141918706.681273,329219257.391395,-2071047.92276151,6979210.88638284,632641506.097637,1118220223.9893,154747390.332141,133677098.186842,21070292.1452999,211722261.097867,265496857.223064,51169061.4933972,23433602.8440037,27735458.6493935,316665918.716461,528388179.814328,5.87782212059856e-17,395868501.395938,450788206.21318,-257268553.412188,589388154.196929,589388154.196929,1117776334.01126,12200000,11600000,-1e+06,-18100000,4700000,-6600000,-6800000,-4200000,-6e+05,3427714.27275868,-5300000,-7400000,-4100000,-1400000,-5500000,40900000,0,25200000,0.36831,0.09176,0.02537,0.027931573857407,0.0142524777525466,3.11111,2.47657330959408,0.893311198222948,0.239604019276732,0.21833,0.21716,8.60647,15.3429866827001,0.67925,0.11321,0.0219140626107355,0.0516893448603713,0.51852,2.63985720073305,3.76375420219228
"2","2010_Q3",27.80046875,"Down",3.24e+08,-203400000,120600000,-84800000,-84800000,35800000,-4500000,-5100000,6e+05,31300000,-2500000,28800000,-6600000,22200000,22100000,22100000,22100000,258700000,254700000,200600000,200600000,269100000,9.2e+07,32500000,820400000,193500000,582100000,150200000,415100000,6e+06,10800000,775600000,1.596e+09,151400000,113700000,37700000,282800000,378100000,91400000,41800000,49600000,469500000,752300000,0,404300000,473200000,-3.4e+07,843500000,843500000,1595800000,22200000,10900000,-2200000,-2400000,28500000,-4900000,-38300000,-4100000,24500000,1800000,19400000,9600000,9100000,-7100000,2e+06,46700000,378800000,4.6e+07,0.37222,0.11049,0.06821,0.0262,0.01385,2.08145,2.90099,0.89188,0.23734,0.59409,0.59091,8.70968,22.67473,1.23656,0.11022,0.01994,0.03501,0.18552,2.57173,3.35475
"3","2010_Q4",30.578125,"Up",314600000,-200800000,113800000,-79300000,-79300000,34500000,-5400000,-5900000,5e+05,29100000,-3e+06,26100000,-8800000,17300000,17300000,17300000,17300000,296300000,292300000,196100000,196100000,284500000,89200000,30400000,866100000,201300000,603300000,153400000,434200000,4700000,1.1e+07,804600000,1670700000,152800000,109400000,43400000,291400000,378200000,96100000,4.4e+07,52100000,474300000,765700000,0,406400000,485800000,12600000,904800000,904800000,1670500000,17300000,10500000,3600000,10700000,42100000,-5700000,-5700000,-4e+06,-6e+05,8e+05,-3700000,32700000,32600000,5e+06,37600000,4.5e+07,378900000,58800000,0.36173,0.10966,0.05499,0.01912,0.01035,3.39884,2.9722,0.84626,0.22679,0.46381,0.46133,8.43432,24.25737,1.57641,0.10724,0.01543,0.04261,0.23121,1.83556,2.3942
"4","2011_Q1",33.3758064516129,"Up",316700000,-203800000,112900000,-84300000,-84300000,28600000,-5e+06,-5800000,8e+05,23600000,-5200000,18400000,-7e+06,11400000,11300000,11300000,11300000,333200000,329200000,186900000,186900000,265600000,71300000,18400000,8.57e+08,197500000,591600000,152600000,4.28e+08,9e+05,10100000,789100000,1646100000,156500000,113900000,42600000,278600000,3.78e+08,8.8e+07,40100000,47900000,4.66e+08,744600000,0,408700000,492900000,-3e+05,901300000,901300000,1645900000,11400000,11800000,9.31322574615479e-10,14900000,38100000,-6200000,-6400000,-4100000,-400000.000000007,8e+05,-3500000,28200000,36100000,8e+05,36900000,40400000,378700000,56100000,0.35649,0.09031,0.03568,0.01254,0.00686,4.9646,3.07609,0.82614,0.23006,0.30053,0.30214,8.42287,23.97074,1.49202,0.10904,0.01126,0.041,0.36283,1.12624,1.59091
"5","2011_Q2",31.4107936507937,"Down",329900000,-208900000,1.21e+08,-9.7e+07,-9.7e+07,2.4e+07,-5700000,-5600000,-1e+05,18300000,-1100000,17200000,-6100000,11100000,11100000,11100000,11100000,422600000,418500000,204400000,204400000,283700000,75700000,22500000,986400000,203200000,606200000,153400000,441500000,9e+05,10400000,809400000,1795800000,162900000,122300000,40600000,284800000,470100000,90400000,41500000,48900000,560500000,845300000,-1.23259516440783e-32,416500000,499500000,34500000,950500000,950500000,1795800000,11100000,11300000,4200000,-25700000,9e+05,-6600000,-7100000,-4100000,91600000,2600000,90500000,84300000,84100000,5200000,89300000,35300000,470900000,9100000,0.36678,0.07275,0.03365,0.01168,0.00618,0.81982,3.46348,0.88932,0.26222,0.296,0.29443,8.79733,25.34667,0.24267,0.10933,0.01005,0.00601999999999999,0.36937,1.36827,2.0125
"6","2011_Q3",26.79734375,"Down",375700000,-245400000,130300000,-98200000,-98200000,32100000,-7100000,-6500000,-6e+05,2.5e+07,-5500000,19500000,-6600000,12900000,14600000,14600000,14600000,270800000,266700000,2.38e+08,2.38e+08,316900000,81300000,2.5e+07,9.07e+08,252200000,721200000,195100000,514700000,9e+05,10500000,973400000,1880400000,189100000,141100000,4.8e+07,313400000,474400000,114100000,62600000,51500000,588500000,901900000,0,418400000,510100000,5e+07,978500000,978500000,1880400000,12900000,14100000,-2600000,-4600000.00000001,19800000,-4800000,-167200000,-4200000,-8800000,4e+05,-12600000,-1.6e+08,-159800000,8e+06,-151800000,46200000,475900000,43400000,0.34682,0.08544,0.03886,0.01492,0.00776,2.9726,2.89407,0.92172,0.25308,0.38727,0.38727,9.96552,25.95491,1.15119,0.11141,0.01199,0.02767,0.28767,4.43939,6.38941
"7","2011_Q4",29.5649206349206,"Up",370800000,-235100000,135700000,-92600000,-92600000,43100000,-6e+06,-6300000,3e+05,37100000,-1900000,35200000,-11600000,23600000,23700000,23700000,23700000,250400000,246300000,228600000,228600000,309600000,76300000,22700000,864900000,2.37e+08,690900000,179600000,500800000,4e+05,10100000,927900000,1792800000,169500000,122800000,46700000,301800000,453100000,105200000,58600000,46600000,558300000,860100000,-1.97215226305253e-31,420100000,501900000,10700000,932700000,932700000,1792800000,23600000,12700000,3100000,-3600000,35800000,-4400000,-4400000,-4e+06,-1.7e+07,-26800000,-47700000,-16300000,-16100000,-4300000,-20400000,55800000,454200000,59400000,0.36597,0.11624,0.06392,0.02541,0.01322,2.50633,2.86581,0.92216,0.25335,0.63539,0.62865,9.94102,25.00536,1.59249,0.10724,0.01856,0.03981,0.16878,3.65233,4.72854
"8","2012_Q1",35.0472580645161,"Up",3.31e+08,-209600000,121400000,-83700000,-83700000,37700000,-6800000,-6400000,-4e+05,30900000,5100000,3.6e+07,-6400000,29600000,1.7e+07,1.7e+07,1.7e+07,254700000,250600000,205900000,205900000,280600000,73300000,26400000,814500000,223100000,656400000,1.51e+08,488600000,6700000,10100000,879500000,1.694e+09,1.72e+08,126100000,45900000,285600000,397400000,91200000,52700000,38500000,488600000,774200000,0,423700000,515100000,-1.9e+07,919800000,919800000,1.694e+09,29600000,9800000,-2500000,32700000,69600000,-6800000,-9399999.99999997,-4e+06,-52400000,2e+06,-54100000,6100000.00000001,5499999.99999999,-1600000,3900000,47500000,399400000,79800000,0.36677,0.1139,0.05136,0.01848,0.01004,4.69412,2.85189,0.8417,0.23577,0.46322,0.4607,9.01907,25.06267,2.17439,0.10899,0.01489,0.05658,0.23529,3.04632,3.8382
"9","2012_Q2",31.4568253968254,"Down",361200000,-232700000,128500000,-100200000,-100200000,28300000,-5100000,-6e+06,9e+05,23200000,-1700000,21500000,-6e+06,15500000,15700000,15700000,15700000,234900000,230800000,225400000,225400000,294400000,71400000,42700000,826100000,227500000,695400000,162100000,512400000,10500000,10400000,922900000,1.749e+09,1.72e+08,132700000,39300000,295600000,393500000,1.04e+08,61500000,42500000,497500000,793100000,0,434200000,5.24e+08,-2300000,955900000,955900000,1.749e+09,15500000,12500000,4400000,-29400000,3e+06,-4600000,-22200000,-4200000,-4600000,5999999.99999999,-2400000,-21600000,-21400000,1600000,-19800000,40800000,395600000,12800000,0.35576,0.07835,0.04347,0.01642,0.00898,0.81529,2.79465,0.82969,0.22619,0.42547,0.42432,9.78862,25.90515,0.34688,0.11382,0.01367,0.00879,0.26752,3.93873,5.67845
"10","2012_Q3",32.5080952380952,"Up",367400000,-2.37e+08,130400000,-9.6e+07,-9.6e+07,34400000,-5900000,-5900000,0,28500000,-1200000,27300000,-9100000,18200000,18500000,18500000,18500000,171900000,167800000,223300000,223300000,286800000,78300000,35800000,760300000,212100000,658900000,149500000,490500000,9100000,9800000,8.71e+08,1631300000,165400000,125900000,39500000,359800000,308100000,94300000,55900000,38400000,402400000,762200000,0,435800000,475200000,-41900000,869100000,869100000,1631300000,18200000,12300000,-2e+06,-8600000.00000001,19900000,-4e+06,-3900000,-4e+06,-10200000,-63200000,-77400000,-61400000,-60600000,-2400000,-6.3e+07,46700000,385100000,43200000,0.35493,0.09363,0.05035,0.02129,0.01134,2.33514,2.11312,0.877,0.23607,0.50685,0.50546,10.06575,23.81096,1.18356,0.10959,0.01669,0.03204,0.21622,4.56531,6.19767
