"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",6.73903225806452,"Up",7.46e+08,-3.34e+08,4.12e+08,-2.35e+08,-1.34e+08,-2.6e+07,-7.5e+07,1.77e+08,-2.3e+07,-2.3e+07,1.54e+08,-2.1e+07,1.33e+08,-4.5e+07,8.8e+07,8.8e+07,8.8e+07,8.8e+07,5.95e+08,4.38e+08,1.57e+08,3.27e+08,3.27e+08,4.07e+08,3.91e+08,1.329e+09,2.03e+08,7.388e+09,1.645e+09,5.286e+09,1.54e+08,7.591e+09,8.92e+09,2.59e+08,1.49e+08,1.1e+08,5.01e+08,1.65e+08,3.09e+08,8.05e+08,1.941e+09,1.038e+09,6.86e+08,1.92e+08,2.979e+09,3.784e+09,3.806e+09,-1.063e+09,2.614e+09,-2.22e+08,5.135e+09,5.136e+09,8.92e+09,8.8e+07,2.6e+07,4.6e+07,-1.22e+08,3.8e+07,-2.2e+07,4.9e+07,-1.3e+07,-1.2e+07,-5.2e+07,-1e+06,-8.6e+07,-6.1e+07,-6.1e+07,8e+06,-5.3e+07,2.03e+08,1.986e+09,1.04e+08,0.55228,0.23727,0.11796,0.01713,0.00987,1.18182,1.65093,0.73676,0.22265,0.17646,0.1723,1.49587,10.29665,0.20854,0.01336,0.01275,6.85222,7.85876
"12","2013_Q1",8.4285,"Up",7.55e+08,-3.34e+08,4.21e+08,-2.35e+08,-1.37e+08,-2.7e+07,-7.1e+07,1.86e+08,-2.1e+07,-2e+07,1.65e+08,-1.2e+07,1.53e+08,-6.8e+07,8.5e+07,8.5e+07,8.6e+07,8.6e+07,7.2e+08,4.97e+08,2.23e+08,3.33e+08,3.33e+08,4.39e+08,4.06e+08,1.492e+09,2.11e+08,7.429e+09,1.65e+09,5.335e+09,1.5e+08,7.64e+09,9.132e+09,3.8e+08,1.72e+08,2.08e+08,5.02e+08,1.39e+08,3.28e+08,1.018e+09,1.84e+09,1.065e+09,7.13e+08,1.96e+08,2.905e+09,3.923e+09,3.773e+09,-1.058e+09,2.678e+09,-1.85e+08,5.208e+09,5.209e+09,9.132e+09,8.5e+07,2.7e+07,4.7e+07,7.3e+07,2.32e+08,-2.4e+07,-6.2e+07,-1.01e+08,-1.1e+07,-4.4e+07,1e+06,-7.6e+07,5.5e+07,5.5e+07,4e+06,5.9e+07,2.13e+08,1.976e+09,3.3e+08,0.55762,0.24636,0.11391,0.01651,0.00942,3.83721,1.46562,0.75312,0.21638,0.1743,0.1688,1.53018,10.55522,0.66882,0.01309,0.04,5.89671,6.75269
"13","2013_Q2",8.6725,"Up",7.44e+08,-3.26e+08,4.18e+08,-2.49e+08,-1.49e+08,-2.7e+07,-7.3e+07,1.69e+08,-2.1e+07,-2.1e+07,1.48e+08,-8.9e+07,5.9e+07,-1.7e+07,4.2e+07,4.2e+07,4.2e+07,4.2e+07,8.09e+08,5.91e+08,2.18e+08,3.17e+08,3.17e+08,4.82e+08,4.36e+08,1.608e+09,2.15e+08,7.365e+09,1.619e+09,5.309e+09,1.46e+08,7.58e+09,9.188e+09,3.47e+08,2.17e+08,1.3e+08,6.3e+08,2.5e+08,3.45e+08,1.114e+09,1.829e+09,1.042e+09,7.02e+08,1.92e+08,2.871e+09,3.985e+09,3.778e+09,-1.059e+09,2.699e+09,-2.18e+08,5.2e+09,5.203e+09,9.188e+09,4.2e+07,2.7e+07,-3e+06,8.3e+07,1.49e+08,-2e+07,6e+06,-1.4e+07,-1.1e+07,-5e+06,2e+06,-3.5e+07,1e+08,1e+08,-6e+06,9.4e+07,1.96e+08,1.966e+09,2.76e+08,0.56183,0.22715,0.05645,0.00807,0.00457,6.57143,1.44345,0.7659,0.21397,0.08449,0.08252,1.49665,10.46046,0.55521,0.00767,0.03361,5.90306,6.84615
"14","2013_Q3",9.1375,"Up",8.13e+08,-3.62e+08,4.51e+08,-2.67e+08,-1.51e+08,-2.8e+07,-8.8e+07,1.84e+08,-2.4e+07,-2.4e+07,1.6e+08,-2.5e+07,1.35e+08,-4.7e+07,8.8e+07,8.8e+07,8.8e+07,8.8e+07,5.49e+08,3.79e+08,1.7e+08,3.62e+08,3.62e+08,1.699e+09,1.648e+09,2.61e+09,2.27e+08,9.116e+09,2.383e+09,6.048e+09,2.07e+08,9.343e+09,1.1953e+10,4.81e+08,2.52e+08,2.29e+08,1.797e+09,2.22e+08,1.539e+09,2.416e+09,2.647e+09,1.027e+09,6.89e+08,1.92e+08,3.674e+09,6.09e+09,4.263e+09,-1.027e+09,2.765e+09,-1.39e+08,5.862e+09,5.863e+09,1.1953e+10,8.8e+07,2.8e+07,-8e+06,-2e+06,1.06e+08,-2.5e+07,5.7e+07,-1.089e+09,8.13e+08,1.4e+07,-3.2e+07,7.73e+08,-2.1e+08,-2.1e+08,-2e+06,-2.12e+08,2.12e+08,2.785e+09,2.32e+08,0.55474,0.22632,0.10824,0.01501,0.00736,2.63636,1.0803,1.03872,0.233,0.17631,0.17241,1.62885,11.74452,0.46481,0.01137,0.02398,10.54717,12.15217
"15","2013_Q4",10.49453125,"Up",8.05e+08,-2.99e+08,5.06e+08,-3.05e+08,-1.77e+08,-3.3e+07,-9.5e+07,2.01e+08,-3e+07,-2.9e+07,1.71e+08,-7.45058059692383e-09,1.71e+08,-5.8e+07,1.13e+08,1.13e+08,1.14e+08,1.14e+08,4.9e+08,3e+08,1.9e+08,3.72e+08,3.72e+08,2.21e+09,2.156e+09,3.072e+09,2.49e+08,9.165e+09,2.409e+09,6.191e+09,1.66e+08,9.414e+09,1.2486e+10,3.89e+08,2.55e+08,1.34e+08,2.273e+09,1.87e+08,2.048e+09,2.707e+09,2.673e+09,1.05e+09,7.16e+08,1.82e+08,3.723e+09,6.43e+09,4.272e+09,-1.023e+09,2.857e+09,-5.1e+07,6.055e+09,6.056e+09,1.2486e+10,1.13e+08,3.3e+07,3.9e+07,-1.02e+08,8.3e+07,-3.5e+07,-7e+06,-4.2e+07,-9.8e+07,2e+06,-3e+06,-1.21e+08,-8e+07,-8e+07,2e+06,-7.8e+07,2.34e+08,2.718e+09,1.55e+08,0.62857,0.24969,0.14161,0.01882,0.00913,1.35965,1.13484,1.06176,0.21768,0.22707,0.22069,1.60341,12.06041,0.30873,0.01384,0.01578,9.52137,11.08458
"16","2014_Q1",11.1255737704918,"Up",8.49e+08,-3.29e+08,5.2e+08,-3.11e+08,-1.72e+08,-3.4e+07,-1.05e+08,2.09e+08,-2.9e+07,-2.8e+07,1.8e+08,5.5e+07,2.35e+08,-9.4e+07,1.41e+08,1.41e+08,1.41e+08,1.41e+08,5.87e+08,3.98e+08,1.89e+08,3.93e+08,3.93e+08,2.183e+09,2.171e+09,3.163e+09,2.68e+08,9.146e+09,2.386e+09,6.186e+09,1.7e+08,9.414e+09,1.2577e+10,4.64e+08,2.28e+08,2.36e+08,2.291e+09,1.51e+08,2.102e+09,2.8e+09,2.589e+09,1.004e+09,7.08e+08,1.53e+08,3.593e+09,6.393e+09,4.28e+09,-1.005e+09,2.976e+09,-6.7e+07,6.184e+09,6.184e+09,1.2577e+10,1.41e+08,3.4e+07,2.7e+07,3.4e+07,2.36e+08,-3.5e+07,-4.1e+07,-27999999.9999999,-98000000.0000001,1.4e+07,-7e+06,-1.13e+08,9.5e+07,9.5e+07,2e+06,9.7e+07,2.43e+08,2.634e+09,3.36e+08,0.61249,0.24617,0.16608,0.0228,0.01121,2.38298,1.12964,1.0338,0.20943,0.27927,0.27156,1.68154,12.24814,0.66549,0.0166,0.03421,8.42387,9.79426
"17","2014_Q2",10.5577777777778,"Down",8.98e+08,-3.69e+08,5.29e+08,-3.17e+08,-1.89e+08,-3.5e+07,-9.3e+07,2.12e+08,-2.8e+07,-2.8e+07,1.84e+08,-2.8e+07,1.56e+08,-5.3e+07,1.03e+08,1.03e+08,1.03e+08,1.03e+08,601635463.362063,399168563.447522,202466899.914541,407557411.815061,407557411.815061,2464039623.22879,2460472745.9393,3473232498.40591,275975006.003184,9193517233.74973,2372942986.88204,6181461363.4412,217094211.682006,9469492239.75292,12942724738.1588,522054195.852483,203142301.818026,318911894.034458,2621145100.0805,189535469.828646,2393349404.2804,3171924929.03216,2502377560.60156,1036485779.19737,700949116.366468,148267134.814702,3538863339.79893,6710788268.83109,4233842609.30964,-975711254.088865,3060115458.45721,-87263577.1779957,6230983236.49999,6231936469.32774,12942724738.1588,1.03e+08,3.5e+07,2.3e+07,2.2e+07,1.83e+08,-3.1e+07,-1e+07,-4.6e+07,-1.21e+08,7e+06,-1.7e+07,-1.53e+08,-1.6e+07,-1.6e+07,2e+06,-1.4e+07,2.47e+08,0,2.91e+08,0.58909,0.23608,0.1147,0.0195900612941851,0.00948315454501655,2.82524,1.09250496091534,1.07730098687824,0.195916084814522,0.20244,0.1977,1.76498,12.2781671141273,0.57195,0.0148131977706134,0.0434944701669835,8.01585853572131,9.30683170196038
"18","2014_Q3",12.1728125,"Up",8.64e+08,-3.41e+08,5.23e+08,-3.18e+08,-1.88e+08,-3.4e+07,-9.6e+07,2.05e+08,-2.8e+07,-2.8e+07,1.77e+08,-1.4e+07,1.63e+08,-6.1e+07,1.02e+08,1.02e+08,1.02e+08,1.02e+08,5.17e+08,3.14e+08,2.03e+08,3.95e+08,3.95e+08,2.806e+09,2.784e+09,3.718e+09,2.8e+08,9.118e+09,2.313e+09,6.068e+09,2.55e+08,9.398e+09,1.3116e+10,4.42e+08,1.88e+08,2.54e+08,2.982e+09,2.3e+08,2.714e+09,3.424e+09,2.408e+09,1.077e+09,6.97e+08,1.48e+08,3.485e+09,6.909e+09,4.33e+09,-1.117e+09,3.134e+09,-1.42e+08,6.205e+09,6.207e+09,1.3116e+10,1.02e+08,3.4e+07,1.8e+07,4.6e+07,2e+08,-3.5e+07,-1e+06,-4.8e+07,-1.14e+08,-8.2e+07,1e+06,-2.2e+08,-6.8e+07,-6.8e+07,-2e+06,-7e+07,2.39e+08,2.408e+09,3.11e+08,0.60532,0.23727,0.11806,0.01643,0.00778,3.04902,1.08586,1.1131,0.18359,0.20073,0.19705,1.70031,12.21117,0.61203,0.0131,0.03209,7.91213,9.22439
"19","2014_Q4",12.7984375,"Up",8.18e+08,-3.21e+08,4.97e+08,-2.87e+08,-1.6e+08,-3.5e+07,-9.2e+07,2.1e+08,-2.8e+07,-2.8e+07,1.82e+08,-4e+06,1.78e+08,-5.6e+07,1.22e+08,1.22e+08,1.23e+08,1.23e+08,4.55e+08,2.86e+08,1.69e+08,3.7e+08,3.7e+08,2.732e+09,2.702e+09,3.557e+09,2.88e+08,8.847e+09,2.213e+09,5.802e+09,2.47e+08,9.135e+09,1.2692e+10,3.18e+08,1.82e+08,1.36e+08,2.876e+09,1.91e+08,2.648e+09,3.194e+09,2.345e+09,1.035e+09,6.77e+08,1.37e+08,3.38e+09,6.574e+09,4.356e+09,-1.145e+09,3.231e+09,-3.25e+08,6.117e+09,6.118e+09,1.2692e+10,1.22e+08,3.5e+07,1.8e+07,-1.51e+08,2.4e+07,-2.7e+07,8e+06,-2e+06,0,-1.6e+07,0,-4.2e+07,-2e+07,-2e+07,-8e+06,-2.8e+07,2.45e+08,2.345e+09,1.23e+08,0.60758,0.25672,0.15037,0.0201,0.00969,1,1.11365,1.07453,0.18476,0.24321,0.23681,1.61745,12.09529,0.24321,0.01569,0.01295,7.71429,9
"20","2015_Q1",14.2131147540984,"Up",9.2e+08,-4.02e+08,5.18e+08,-3.1e+08,-1.72e+08,-3.3e+07,-1.05e+08,2.08e+08,-2.7e+07,-2.7e+07,1.81e+08,-8.4e+07,9.7e+07,-1.1e+07,8.6e+07,8.6e+07,8.6e+07,8.6e+07,6.01e+08,4.27e+08,1.74e+08,3.89e+08,3.89e+08,2.41e+09,2.394e+09,3.4e+09,2.92e+08,8.379e+09,2.077e+09,5.538e+09,2.28e+08,8.671e+09,1.2071e+10,4.56e+08,1.89e+08,2.67e+08,2.524e+09,1.77e+08,2.31e+09,2.98e+09,2.297e+09,1e+09,6.26e+08,1.59e+08,3.297e+09,6.277e+09,3.224e+09,-4.1e+07,3.292e+09,-6.82e+08,5.793e+09,5.794e+09,1.2071e+10,8.6e+07,3.3e+07,7.9e+07,2.7e+07,2.25e+08,-4.7e+07,-9e+06,-5.9e+07,-7.45058059692383e-09,-4.7e+07,2.7e+07,-4.5e+07,1.21e+08,1.21e+08,-1.5e+07,1.06e+08,2.41e+08,2.297e+09,2.32e+08,0.56304,0.22609,0.09348,0.01484,0.00712,2.69767,1.14094,1.08336,0.19029,0.17048,0.16596,1.82374,11.48362,0.4599,0.01221,0.02552,7.03734,8.15385
"21","2015_Q2",14.704126984127,"Up",8.58e+08,-3.51e+08,5.07e+08,-3.3e+08,-2e+08,-3.4e+07,-9.6e+07,1.77e+08,-1.3e+07,-2.7e+07,1.64e+08,-1.5e+08,1.4e+07,-5e+06,9e+06,9e+06,9e+06,9e+06,5.22e+08,3.28e+08,1.94e+08,3.44e+08,3.44e+08,2.822e+09,2.799e+09,3.688e+09,2.81e+08,8.273e+09,1.995e+09,5.35e+09,2.76e+08,8.554e+09,1.2242e+10,3.6e+08,2.07e+08,1.53e+08,3.08e+09,2.82e+08,2.768e+09,3.44e+09,2.306e+09,9.51e+08,5.87e+08,1.54e+08,3.257e+09,6.697e+09,3.245e+09,-9.4e+07,3.276e+09,-8.83e+08,5.544e+09,5.545e+09,1.2242e+10,9e+06,3.4e+07,7.4e+07,1.14e+08,2.31e+08,-2.4e+07,-3.7e+07,-2.96e+08,7.5e+07,-2.4e+07,-5.2e+07,-2.6e+07,-9.1e+07,-9.1e+07,-8e+06,-9.9e+07,2.11e+08,2.306e+09,3.06e+08,0.59091,0.20629,0.01049,0.00162,0.00074,34,1.07209,1.20775,0.18837,0.01775,0.01737,1.69245,10.93582,0.6036,0.00386,0.03476,8.45498,10.0791
"22","2015_Q3",15.09765625,"Up",8.08e+08,-2.9e+08,5.18e+08,-2.96e+08,-1.69e+08,-3.3e+07,-9.4e+07,2.22e+08,-2.6e+07,-2.7e+07,1.96e+08,-5e+06,1.91e+08,-5.9e+07,1.32e+08,1.32e+08,1.33e+08,1.33e+08,5.88e+08,3.24e+08,2.64e+08,3.23e+08,3.23e+08,2.535e+09,2.5e+09,3.446e+09,2.95e+08,8.363e+09,2.009e+09,5.469e+09,2.64e+08,8.658e+09,1.2104e+10,4.29e+08,1.88e+08,2.41e+08,2.717e+09,2.31e+08,2.456e+09,3.146e+09,2.281e+09,9.61e+08,6.06e+08,1.47e+08,3.242e+09,6.388e+09,3.259e+09,-1.04e+08,3.366e+09,-8.05e+08,5.716e+09,5.716e+09,1.2104e+10,1.32e+08,3.3e+07,1.7e+07,-7e+06,1.75e+08,-3.5e+07,-4.2e+07,-9.2e+07,-3.5e+07,-1.4e+07,1.49011611938477e-08,-9.2e+07,-9e+06,-9e+06,5e+06,-4e+06,2.55e+08,2.281e+09,2.72e+08,0.64109,0.27475,0.1646,0.02327,0.01099,2.04511,1.09536,1.11756,0.18845,0.26277,0.25758,1.59637,11.29312,0.53739,0.01965,0.03036,6.63922,7.62613
"23","2015_Q4",16.8471875,"Up",8.72e+08,-3.43e+08,5.29e+08,-2.86e+08,-1.69e+08,-3.5e+07,-8.2e+07,2.43e+08,-2.5e+07,-2.6e+07,2.18e+08,-1.2e+07,2.06e+08,-6.8e+07,1.38e+08,1.38e+08,1.38e+08,1.38e+08,4.83e+08,2.9e+08,1.93e+08,2.78e+08,2.78e+08,2.399e+09,2.35e+09,3.16e+09,3.05e+08,8.305e+09,1.981e+09,5.421e+09,2.73e+08,8.61e+09,1.177e+10,3.19e+08,1.73e+08,1.46e+08,2.513e+09,1.64e+08,2.322e+09,2.852e+09,2.415e+09,9.57e+08,6.03e+08,1.43e+08,3.372e+09,6.224e+09,3.034e+09,-1.05e+08,3.464e+09,-8.47e+08,5.546e+09,5.546e+09,1.177e+10,1.38e+08,3.5e+07,8e+06,-1.15e+08,6.6e+07,-3.2e+07,4.1e+07,3.6e+07,1.5e+08,-2.53e+08,1e+07,-1.33e+08,-3.1e+07,-3.1e+07,-3e+06,-3.4e+07,2.78e+08,2.435e+09,1.99e+08,0.60665,0.27867,0.15826,0.02488,0.01172,1.44203,1.10799,1.12225,0.20688,0.2756,0.26843,1.74148,11.07598,0.39743,0.01991,0.02226,7.02158,8.03292
"24","2016_Q1",18.2977049180328,"Up",8.65e+08,-3.29e+08,5.36e+08,-2.76e+08,-1.45e+08,-3.6e+07,-9.5e+07,2.6e+08,-2.6e+07,-2.7e+07,2.34e+08,-1.5e+07,2.19e+08,-7.1e+07,1.48e+08,1.48e+08,1.48e+08,1.48e+08,5.02e+08,3.01e+08,2.01e+08,3.16e+08,3.16e+08,2.442e+09,2.442e+09,3.26e+09,3.23e+08,8.278e+09,1.959e+09,5.395e+09,2.81e+08,8.601e+09,1.1861e+10,4.27e+08,1.58e+08,2.69e+08,2.493e+09,1.27e+08,2.366e+09,2.92e+09,2.364e+09,9.68e+08,6.26e+08,1.42e+08,3.332e+09,6.252e+09,3.013e+09,-1.11e+08,3.571e+09,-8.64e+08,5.609e+09,5.609e+09,1.1861e+10,1.48e+08,3.6e+07,8.1e+07,-1e+07,2.55e+08,-4.2e+07,1e+06,-5.3e+07,-5.3e+07,-5.7e+07,-2.8e+07,-1.79e+08,2.3e+07,2.3e+07,-5e+06,1.8e+07,2.96e+08,2.364e+09,3.15e+08,0.61965,0.30058,0.1711,0.02639,0.01248,2.12838,1.11644,1.11464,0.19931,0.29984,0.29196,1.75245,11.36355,0.63817,0.02114,0.03523,6.29054,7.16154
"25","2016_Q2",19.078125,"Up",9.05e+08,-3.71e+08,5.34e+08,-2.97e+08,-1.72e+08,-3.8e+07,-8.7e+07,2.37e+08,-2.4e+07,-2.7e+07,2.13e+08,-1.8e+07,1.95e+08,-6.3e+07,1.32e+08,1.32e+08,1.32e+08,1.32e+08,5.9e+08,3.31e+08,2.59e+08,3.33e+08,3.33e+08,3.799e+09,3.799e+09,4.722e+09,3.26e+08,8.669e+09,2.085e+09,5.663e+09,3.17e+08,8.995e+09,1.3717e+10,3.42e+08,1.75e+08,1.67e+08,4.087e+09,3.04e+08,3.783e+09,4.429e+09,2.565e+09,1.026e+09,6.78e+08,1.6e+08,3.591e+09,8.02e+09,3.003e+09,-1.45e+08,3.609e+09,-7.7e+08,5.697e+09,5.697e+09,1.3717e+10,1.32e+08,3.8e+07,2e+07,6.5e+07,2.55e+08,-2.3e+07,-6e+07,-2.94e+08,1.69e+08,-2.8e+07,-7.2e+07,2.8e+07,-1.1e+07,-1.1e+07,6e+06,-5e+06,2.75e+08,2.565e+09,3.8e+08,0.59006,0.26188,0.14586,0.02317,0.00962,2.87879,1.06615,1.40776,0.18699,0.26783,0.26133,1.83628,11.55941,0.77103,0.01863,0.04091,7.18182,8.33333
"26","2016_Q3",20.70609375,"Up",8.98e+08,-3.39e+08,5.59e+08,-3.18e+08,-1.9e+08,-4.1e+07,-8.7e+07,2.41e+08,-2.8e+07,-3.1e+07,2.13e+08,-6.7e+07,1.46e+08,-7.6e+07,7e+07,7e+07,7e+07,7e+07,5.99e+08,3.44e+08,2.55e+08,3.99e+08,3.99e+08,3.598e+09,3.598e+09,4.596e+09,3.32e+08,1.0171e+10,2.771e+09,6.236e+09,4.23e+08,1.0503e+10,1.5099e+10,4.61e+08,1.72e+08,2.89e+08,3.847e+09,2.75e+08,3.572e+09,4.308e+09,3.731e+09,1.343e+09,9.83e+08,1.61e+08,5.074e+09,9.382e+09,3.064e+09,-1.66e+08,3.679e+09,-8.6e+08,5.717e+09,5.717e+09,1.5099e+10,7e+07,4.1e+07,1.7e+07,4.6e+07,1.74e+08,-2.8e+07,-1000000.00000001,-1.279e+09,1.189e+09,1.1e+07,-2.3e+07,1.124e+09,1.9e+07,1.9e+07,-5e+06,1.4e+07,2.82e+08,3.731e+09,3.76e+08,0.62249,0.26837,0.07795,0.01224,0.00464,5.37143,1.06685,1.64107,0.2471,0.1414,0.13881,1.81393,11.54817,0.75951,0.0114,0.03484,11.10638,12.99585
"27","2016_Q4",19.8650793650794,"Down",9.29e+08,-3.44e+08,5.85e+08,-3.4e+08,-1.94e+08,-4.6e+07,-1e+08,2.45e+08,-3.3e+07,-3.6e+07,2.12e+08,-1.2e+07,2e+08,-6.9e+07,1.31e+08,1.31e+08,1.31e+08,1.31e+08,4.95e+08,2.57e+08,2.38e+08,3.49e+08,3.49e+08,3.502e+09,3.502e+09,4.346e+09,3.42e+08,1.012e+10,2.74e+09,6.206e+09,4.06e+08,1.0462e+10,1.4808e+10,3.61e+08,1.59e+08,2.02e+08,3.673e+09,2.16e+08,3.457e+09,4.054e+09,3.689e+09,1.311e+09,9.8e+08,1.4e+08,5e+09,9.054e+09,3.048e+09,-1.69e+08,3.757e+09,-8.82e+08,5.754e+09,5.754e+09,1.4808e+10,1.31e+08,4.6e+07,1.5e+07,-1.29e+08,6.3e+07,-3.4e+07,3e+06,-1.8e+07,-4e+07,-4.1e+07,-1e+06,-1.35e+08,-9e+07,-9e+07,0,-9e+07,2.91e+08,3.709e+09,1.97e+08,0.62971,0.26372,0.14101,0.02277,0.00885,1.50382,1.07203,1.57351,0.25047,0.26367,0.2576,1.86982,11.5812,0.39651,0.01708,0.01828,11.04467,13.11837
"28","2017_Q1",21.0056451612903,"Up",9.72e+08,-3.74e+08,5.98e+08,-3.68e+08,-2.12e+08,-4.5e+07,-1.11e+08,2.3e+08,-4e+07,-3.6e+07,1.9e+08,-5.98e+08,-4.08e+08,1.81e+08,-2.27e+08,-2.27e+08,-2.27e+08,-2.27e+08,6.48e+08,4.03e+08,2.45e+08,4.29e+08,4.29e+08,3.483e+09,3.483e+09,4.56e+09,3.62e+08,9.228e+09,2.094e+09,6.027e+09,3.9e+08,9.59e+09,1.415e+10,4.9e+08,1.75e+08,3.15e+08,3.592e+09,1.62e+08,3.43e+09,4.082e+09,3.603e+09,1.035e+09,7.2e+08,1.44e+08,4.638e+09,8.72e+09,3.106e+09,-1.76e+08,3.479e+09,-9.79e+08,5.43e+09,5.43e+09,1.415e+10,-2.27e+08,4.5e+07,4.9e+08,-2.4e+07,2.84e+08,-4.9e+07,1e+06,-65999999.9999999,-1.8e+07,1.2e+07,-1e+07,-69000000.0000001,1.49e+08,1.49e+08,-7e+06,1.42e+08,2.75e+08,3.603e+09,2.1e+07,0.61523,0.23663,-0.23354,-0.0418,-0.01604,-0.0925100000000001,1.1171,1.60589,0.25463,-0.45633,-0.44714,1.95398,10.91576,0.0422200000000001,-0.01728,0.00209,10.74545,12.84783
"29","2017_Q2",20.8988888888889,"Down",9.69e+08,-3.88e+08,5.81e+08,-3.29e+08,-1.87e+08,-4.5e+07,-9.7e+07,2.52e+08,-3.1e+07,-3.5e+07,2.21e+08,-5999999.99999976,2.15e+08,-4.7e+07,1.68e+08,1.68e+08,1.68e+08,1.68e+08,6.06e+08,3.86e+08,2.2e+08,4.67e+08,4.67e+08,3.874e+09,3.874e+09,4.947e+09,3.76e+08,9.167e+09,2.082e+09,6.07e+09,3.98e+08,9.543e+09,1.449e+10,3.78e+08,1.87e+08,1.91e+08,4.129e+09,3.22e+08,3.807e+09,4.886e+09,3.242e+09,1.01e+09,7.02e+08,1.44e+08,4.252e+09,9.138e+09,2.965e+09,-2.21e+08,3.595e+09,-9.87e+08,5.352e+09,5.352e+09,1.449e+10,1.68e+08,4.5e+07,4.7e+07,-1.6e+07,2.44e+08,-3.6e+07,2.7e+07,-8e+06,0,-1.55e+08,1.6e+07,-1.92e+08,4.4e+07,4.4e+07,2e+06,4.6e+07,2.97e+08,3.621e+09,2.92e+08,0.59959,0.26006,0.17337,0.03139,0.01159,1.7381,1.01248,1.7074,0.2499,0.33639,0.33639,1.94025,10.71645,0.58468,0.02214,0.02925,10.15152,11.96429
"30","2017_Q3",22.7079365079365,"Up",9.94e+08,-3.98e+08,5.96e+08,-3.43e+08,-1.99e+08,-4.7e+07,-9.7e+07,2.53e+08,-3e+07,-3.4e+07,2.23e+08,-1.1e+07,2.12e+08,-6.6e+07,1.46e+08,1.46e+08,1.46e+08,1.46e+08,6.56e+08,3.56e+08,3e+08,3.92e+08,3.92e+08,3.873e+09,3.873e+09,4.921e+09,3.84e+08,9.355e+09,2.102e+09,6.237e+09,3.83e+08,9.739e+09,1.466e+10,4.42e+08,1.49e+08,2.93e+08,4.051e+09,2.65e+08,3.786e+09,4.987e+09,3.058e+09,1.039e+09,7.32e+08,1.46e+08,4.097e+09,9.084e+09,3.013e+09,-2.25e+08,3.68e+09,-8.92e+08,5.576e+09,5.576e+09,1.466e+10,1.46e+08,4.7e+07,9999999.99999994,6.7e+07,2.7e+08,-2.8e+07,-6.1e+07,-9.6e+07,-6.69e+08,2.9e+07,4.31e+08,-2.72e+08,-9.8e+07,-9.8e+07,8e+06,-9e+07,3e+08,3.552e+09,4.05e+08,0.5996,0.25453,0.14688,0.02618,0.00996,2.77397,0.98677,1.62912,0.24229,0.29421,0.28884,2.00303,11.23632,0.81612,0.02056,0.03983,9.65333,11.44664
