"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",9.24095238095238,"Down",50020000,-37861000,12159000,-13777000,-7093000,-6392000,-1618000,-110000,-84000,-118000,34000,-26000,-1728000,0,-1728000,-372000,-2100000,-1935000,-1935000,-18991000,-42490604.2363704,29771480.4060725,156072977.736158,156072977.736158,1256192.55582808,21417714.1101305,10078380.2723321,3908461.52666885,136256280.165746,83082440.8029697,48088668.5230405,55256443.7774177,2278176.18034327,245589561.179333,381845841.34508,78646211.1891993,57810445.1293366,-45746409.5759538,143782649.353866,-211472663.61225,9878466.10977635,7845405.50886638,81821616.6358144,225604265.98968,396169493.755177,-249003839.923752,9075921.52397376,156241575.355399,156241575.355399,381845841.34508,-1935000,2793000,2092000,-12238000,-9288000,-2659000,0,84988000,-8811000,127000,127000,-8684000,67016000,67016000,58000,67074000,1175000,0,-13350000,0.24308,-0.03235,-0.37967,-0.0613230750253335,0.010209606424101,0.70296,-1.53837061406068,1.28875711559176,0.310321363987023,-1.26024,-1.26024,3.31931,6.08445805059297,-0.8859,0.00725108841549005,-0.118247448140308,-665.93187688859,-2491.35453195162
"2","2011_Q3",6.84859375,"Down",50977000,-37346000,13631000,-13495000,-6858000,-6365000,136000,14118000,-16000,-60000,44000,14134000,14254000,0,14254000,-547000,13707000,13580000,13580000,13580000,79315000,32325000,70727000,70727000,28877000,7271000,4339000,2932000,186190000,43398000,6842000,1703000,816000,78474000,264664000,55903000,39866000,-15248803.1919846,66682000,-70074887.87075,1834000,1286000,1834000,68516000,390781000,-204154000,9521000,196148000,196148000,264664000,13580000,2726000,-13400000,-4821000,-1915000,-2676000,-75138000,-57441000,-1025000,109000,109000,-916000,-60272000,-60272000,58000,-60214000,2862000,-1.86264514923096e-09,-4088000,0.2674,0.00267000000000003,0.26639,0.06923,0.05131,-0.30103,2.79221,0.34931,0,0.54992,0.53126,2.0643,7.94296,-0.16554,0.06859,-0.02065,-27.71314,-583.19853
"3","2011_Q4",4.98952380952381,"Down",42848000,-30827000,12021000,-16143000,-8980000,-7059000,-4122000,216000,25000,-52000,77000,191000,-3906000,0,-3906000,-258000,-4164000,-4090000,-4090000,-4090000,103375000,31502000,58236000,58236000,35877000,6909000,3982000,2927000,204397000,44167000,6752000,1610000,819000,50977000,255374000,50256000,35746000,0,59699000,0,1977000,1420000,1977000,61676000,391505000,-208243000,10436000,193698000,193698000,255374000,-4090000,2640000,543000,2200000,1293000,-3255000,2661000,-498000,-1791000,55000,55000,-1736000,-941000,-941000,118000,-823000,-1482000,0,-2279000,0.28055,-0.0962,-0.09545,-0.02112,-0.01602,0.55721,3.42379,0.31841,0,-0.16529,-0.16529,1.73162,7.82795,-0.0921,-0.0209,-0.01165,69.75371,25.0788500000001
"4","2012_Q1",5.23225806451613,"Up",57184000,-44910000,12274000,-21031000,-9666000,-11039000,-8757000,7000,60000,-192000,252000,-53000.0000000019,-8750000,-14105000,-22855000,22000,-22833000,-22309000,-22309000,-22309000,86384000,32321000,68877000,68877000,35341000,10796000,5882000,3227000,201398000,56344000,19215000,17999000,1216000,75651000,277049000,52219000,37599000,5e+06,77199000,22166000,4030000,3103000,26196000,103395000,392854000,-230553000,11353000,173654000,173654000,277049000,-22309000,4772000,13205000,1732000,-2600000,-3087000,18037000,-24500000,26646000,913000,913000,27559000,459000.000000007,459000.000000007,524000,983000.000000007,-3985000,27166000,-5362000,0.21464,-0.15314,-0.39013,-0.12847,-0.08052,0.24035,2.60882,0.59541,0.09805,-0.89484,-0.92709,2.29371,6.96543,-0.21508,-0.1089,-0.02618,14.86023,6.76236
"5","2012_Q2",4.48253968253968,"Down",54223000,-42817000,11406000,-20516000,-9624000,-10538000,-9110000,-297000,-22000,-154000,132000,-275000,-9407000,-2431000,-11838000,60000,-11778000,-11608000,-11608000,-11608000,83780000,36890000,59664000,59664000,39007000,10116000,6954000,3162000,192567000,53643000,18089000,17041000,1048000,71862000,264429000,52957000,38451000,5e+06,77394000,20917000,2423000,1770000,23340000,100734000,394082000,-242161000,11774000,163695000,163695000,264429000,-11608000,5353000,1542000,3075000,-1638000,-2019000,7275000,7149000,-1379000,64000,64000,-1315000,4196000,4196000,209000,4405000,-3757000,25917000,-2761000,0.21035,-0.16801,-0.21408,-0.07091,-0.0439,0.23785,2.48814,0.61538,0.09801,-0.46673,-0.46673,2.1802,6.58185,-0.11101,-0.06045,-0.01438,15.40138,6.35159
"6","2012_Q3",5.31380952380952,"Up",63025000,-47837000,15188000,-19588000,-9945000,-9322000,-4400000,0,0,-145000,145000,-2.3283064365387e-10,-4400000,1121000,-3279000,-377000,-3656000,-3656000,-3656000,-3656000,107087000,23229000,75305000,75305000,40074000,9141000,6571000,2570000,231607000,53637000,17138000,16093000,1045000,70919000,302526000,53041000,41773000,5e+06,79239000,19667000,2384000,1733000,22051000,101290000,435811000,-245817000,11242000,201236000,201236000,302526000,-3656000,4474000,3740000,-14734000,-10176000,-2946000,-37222000,-39589000,-3503000,39760000,39760000,36257000,-13508000,-13508000,-153000,-13661000,74000,24667000,-17229000,0.24098,-0.06981,-0.05801,-0.01817,-0.01208,4.71253,2.92289,0.50334,0.08154,-0.12872,-0.12872,2.21896,7.08504,-0.60659,-0.01601,-0.07547,-1113.78378,18.73182
"7","2012_Q4",5.43403225806452,"Up",66152000,-45536000,20616000,-20132000,-9918000,-9893000,484000,166000,12000,-135000,147000,154000,650000,644000,1294000,-571000,723000,723000,723000,723000,105875000,38579000,68816000,68816000,44092000,10666000,7927000,2739000,229449000,54016000,16191000,15148000,1043000,70369000,299818000,48781000,37683000,5e+06,76104000,18417000,2370000,1720000,20787000,96891000,436806000,-245094000,11215000,202927000,202927000,299818000,723000,4475000,2156000,-2917000,4437000,-3998000,16499000,12325000,-2315000,963000,963000,-1352000,15410000,15410000,-60000,15350000,4959000,23417000,-1385000,0.31165,0.00732,0.01093,0.00356,0.00241,-1.91563,3.01494,0.47747,0.0781,0.02393,0.02362,2.18937,6.71607,-0.04584,0.00316,-0.00605999999999997,-16.6279500000001,-170.36777
"8","2013_Q1",5.50216666666667,"Up",62023000,-47973000,14050000,-16970000,-8115000,-8535000,-2920000,730000,34000,-134000,168000,696000,-2190000,-295000,-2485000,-476000,-2961000,-2989000,-2989000,-2989000,101241000,36940000,70354000,70354000,43793000,10256000,7630000,2626000,225644000,54440000,15548000,14213000,1335000,69988000,295632000,48311000,36308000,5e+06,73270000,17167000,2515000,1862000,19682000,92952000,438934000,-248083000,11829000,202680000,202680000,295632000,-2989000,4414000,437000,-3275000,-1413000,-3775000,2753999.99999999,-884000,-445000,919000,919000,474000,-1823000,-1823000,184000,-1639000,1494000,22167000,-5080000,0.22653,-0.04708,-0.04819,-0.01475,-0.01011,1.69957,3.07962,0.45861,0.07498,-0.09758,-0.09886,2.02483,6.61677,-0.16584,-0.01315,-0.02234,-52.92771,27.08014
"9","2013_Q2",6.42734375,"Up",56063000,-44306000,11757000,-18673000,-8645000,-9707000,-6916000,-306000,-32000,-163000,131000,-274000,-7222000,-4835000,-12057000,-183000,-12240000,-12240000,-12240000,-12240000,99760000,51404000,63267000,63267000,61859000,12588000,10480000,2108000,237474000,70001000,20127000,18766000,1361000,90459000,327933000,51248000,40817000,8960000,85082000,42170000,8802000,8147000,50972000,136054000,440220000,-260323000,11982000,191879000,191879000,327933000,-12240000,4152000,1714000,7535000,1161000,-5134000,15617000,-3080000,16232000,151000,151000,16311000,14392000,14392000,72000,14464000,-2764000,51130000,-180000,0.20971,-0.12336,-0.21833,-0.06379,-0.03732,0.01471,2.79112,0.70906,0.15592,-0.40034,-0.40034,1.83368,6.27589,-0.00589,-0.04861,-0.000709999999999999,17.59407,7.03152
"10","2013_Q3",7.78296875,"Up",74990000,-59389000,15601000,-23076000,-11563000,-11087000,-7475000,-543000,-270000,-342000,72000,-273000,-8018000,-356000,-8374000,90000,-8284000,-8284000,-8284000,-8284000,74432000,37558000,72998000,72998000,58227000,10676000,8863000,1813000,216333000,70761000,18680000,17362000,1318000,89796000,306129000,52935000,43894000,8785000,82250000,28070000,8546000,7882000,36616000,118866000,443234000,-268607000,12636000,187263000,187263000,306129000,-8284000,5360000,2794000,-5137000,-5267000,-5319000,11114000,5238000,-14177000,501000,501000,-13684000,-13713000,-13713000,-133000,-13846000,-2115000,36855000,-12661000,0.20804,-0.09968,-0.11047,-0.04424,-0.02706,1.52837,2.63019,0.63475,0.12039,-0.26914,-0.26914,2.43632,6.08392,-0.41134,-0.0356,-0.05442,17.7669,5.02702
