"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",43.30375,"Down",-14775000,-2669000,-12106000,-14775000,11000,-77087.9300615039,-77102.5688774647,-14764000,-14764000,-14764000,-14764000,-14764000,-14764000,158497000,158497000,2230000,1623000,160727000,2168000,140000,140000,2308000,163035000,5872000,1419000,4453000,701000,701000,6573000,1645000,1645000,1645000,8218000,237697000,-82880000,154817000,154817000,163035000,-14764000,217000,5366000,341000,-8840000,-220000,-220000,126360000,126360000,622000,126982000,117922000,117922000,117922000,-14558000,0,-0.09536,-0.09056,24.45261,0.05308,0,-0.84578,-0.84578,8.86896,-0.09436,10.88728,10.72738
"2","2016_Q1",17.7686885245902,"Down",-15598000,-4198000,-11400000,-15598000,13000,64637.3566461654,64632.4770408451,-15585000,-15585000,-15585000,-15585000,-15585000,-15585000,148502000,148502000,1222000,1222000,149724000,2114000,140000,140000,2254000,151978000,8907000,3254000,5653000,720000,720000,9627000,1556000,1556000,1556000,11183000,239260000,-98465000,140795000,140795000,151978000,-15585000,267000,1496000,4175000,-9647000,-218000,-218000,-130000,-130000,2.3283064365387e-10,-130000,-9994999.99999997,-9994999.99999997,-9995000,-15331000,0,-0.11069,-0.10255,15.55251,0.07943,0,-0.52832,-0.52832,4.77286,-0.10948,9.68639,9.52058
"3","2016_Q2",20.17453125,"Up",-16717000,-4302000,-12415000,-16717000,117000,117000,117000,-16600000,-16600000,-16600000,-16600000,-16600000,-16600000,133984000,133984000,2554000,1907000,136538000,2293000,140000,140000,2433000,138971000,10748000,4295000,6453000,747000,747000,11495000,1354000,1354000,1354000,12849000,241187000,-115065000,126122000,126122000,138971000,-16600000,242000,1267000,457000,-14634000,-378000,-378000,69171464.0689245,69171464.0689245,494000,494000,-14518000,-14518000,-14518000,-16475000,0,-0.13162,-0.11945,11.87803,0.10188,0,-0.56383,-0.56383,4.28383,-0.13022,8.13256,8.01484
"4","2016_Q3",19.05984375,"Down",-17806000,-4379000,-13427000,-17806000,131000,131000,131000,-17675000,-17675000,-17675000,-17675000,-17675000,-17675000,231910000,231910000,2190000,1637000,234100000,2562000,140000,140000,2702000,236802000,12509000,4815000,7694000,654000,654000,13163000,1232000,1232000,1232000,14395000,355147000,-132740000,222407000,222407000,236802000,-17675000,278000,1465000,1703000,-14229000,-577000,-576999.999999999,112728000,112728000,4000.00000000012,112732000,97926000,97926000,97926000,-17528000,1.11022302462516e-16,-0.07947,-0.07464,17.7847,0.06472,1.03397576569128e-25,-0.58176,-0.58176,7.32037,-0.07903,13.23083,13.02426
"5","2016_Q4",17.5690476190476,"Down",-21145000,-5731000,-15414000,-21145000,159000,159000,159000,-20986000,-20986000,-20986000,-20986000,-20986000,-20986000,217837000,217837000,3429000,1706000,221266000,2626000,140000,140000,2766000,224032000,12252000,3038000,9214000,905000,905000,13157000,775000,775000,775000,13932000,363826000,-153726000,210100000,210100000,224032000,-20986000,321000,3152000,-1295000,-18808000,-151000,-151000,4267000,4267000,619000,4886000,-14073000,-14073000,-14073000,-20824000,0,-0.09989,-0.09367,16.81736,0.06631,0,-0.57652,-0.57652,5.77182,-0.09952,10.46086,10.30206
"6","2017_Q1",25.1854838709677,"Up",-27459000,-6552000,-20907000,-27459000,252000,252000,252000,-27207000,-27207000,-27207000,-27207000,-27207000,-27207000,147274000,92072000,2495000,1983000,149769000,2420000,140000,140000,52618000,202387000,14606000,4320000,10286000,909000,909000,15515000,563000,563000,563000,16078000,367408000,-180933000,186309000,186309000,202387000,-27207000,319000,3426000,3410000,-20052000,-246000,-105746000,0,0,32999.9999999999,33000,-125765000,-125765000,-125765000,-27140000,-8.88178419700125e-16,-0.14603,-0.13443,9.65317,0.0863,-1.65436122510606e-24,-0.74326,-0.74326,5.08969,-0.14559,5.42646,5.36341
"7","2017_Q2",29.7555555555556,"Up",-23721000,-6438000,-17283000,-23721000,389000,441000,441000,-23332000,-23332000,-23332000,-23332000,-23332000,-23332000,244324000,135744000,3996000,3996000,248320000,2373000,1046000,1046000,69355000,317675000,13832000,3141000,10691000,915000,915000,14747000,437000,437000,437000,15184000,506935000,-204265000,302491000,302491000,317675000,-23332000,333000,2758000,-2334000,-22575000,-174000,-69628000,135705000,135705000,1076000,136781000,44578000,44578000,44578000,-23388000,0,-0.07713,-0.07345,16.83868,0.0502,0,-0.59633,-0.59633,7.73123,-0.07702,10.44655,10.2999
"8","2017_Q3",28.1222222222222,"Down",-24430000,-6152000,-18278000,-24430000,547000,689000,689000,-23883000,-23883000,-23883000,-23883000,-23883000,-23883000,229816000,93741000,5036000,5036000,234852000,5200000,1046000,1046000,67025000,301877000,16044000,4966000,11078000,1104000,1104000,17148000,3019000,3019000,3019000,20167000,510126000,-228148000,281710000,281710000,301877000,-23883000,275000,2856000,1274000,-19478000,-401000,-23023000,-80000,-80000,578000,498000,-42003000,-42003000,-42003000,-24155000,-1.4210854715202e-14,-0.08478,-0.07912,13.69559,0.07159,0,-0.55415,-0.55415,6.53639,-0.08388,9.51422,9.40712
"9","2017_Q4",37.3487301587302,"Up",-29179000,-8227000,-20952000,-29179000,622000,726000,726000,-28557000,-28557000,-28557000,-28557000,-28557000,-28557000,219355000,84149000,10415000,10415000,229770000,13169000,1046000,1046000,54288000,284058000,15220000,3382000,11838000,1137000,1137000,16357000,9434000,9434000,9434000,25791000,515169000,-256705000,258267000,258267000,284058000,-28557000,4e+05,3888000,-1343000,-25612000,-1198000,15266000,0,0,754000,754000,-9592000,-9592000,-9592000,-28779000,0,-0.11057,-0.10053,14.0472,0.09986,0,-0.65994,-0.65994,5.96842,-0.10667,7.62205,7.51756
"10","2018_Q1",55.7783606557377,"Up",-41915000,-10621000,-31294000,-41915000,663000,699000,699000,-41252000,-41252000,-41252000,-41252000,-41252000,-41252000,314825000,198332000,9487000,9487000,324312000,16571000,1230000,1230000,32408000,356720000,25891000,7177000,18714000,373000,373000,26264000,11652000,11652000,11652000,37916000,617097000,-297957000,318804000,318804000,356720000,-41252000,650000,4884000,10361000,-25357000,-1503000,42385000,96330000,96330000,825000,97155000,114183000,114183000,114183000,-41265000,0,-0.1294,-0.11564,12.34816,0.11893,0,-0.94187,-0.94187,7.27897,-0.12483,7.62935,7.51103
