"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",15.7450793650794,"Down",566762000,-443385000,-305642000,-82056000,-55687000,123377000,-78627000,-78696000,69000,44750000,48349000,-18669000,29680000,30808000,30808000,30808000,-21897095.9340317,-21897095.9340317,-83286970.1122033,-83286970.1122033,10654690.7129528,3325171113.23776,156856598.522764,3329778341.70362,8218092105.7722,8218092111.9014,1881014760.93147,1063632757.3359,817382003.595568,10099106866.7037,13428885208.4073,-88984456.8500251,230509855.02931,-267289180.800108,622667116.746666,574720655.754843,47946460.9918227,1409167256.42986,159274692.871698,1942849916.3265,5212775371.1657,2528180567.69782,798834950.1409,880274486.191213,849071131.365708,7740955938.86352,9683805855.19002,22080590.0331146,6140658099.21906,-2315650207.13492,-101925501.393084,3745079353.21727,3745079353.21727,13428885208.4073,30808000,82056000,28496000,34630000,175990000,-148505000,-528000,-137782000,-36679000,-8504000,-3439000,-47831000,-9623000,-9623000,-9623000,205433000,0,110227000,0.21769,0.05436,-0.0777872101235329,-0.023439349981909,3.57787,2.29181244140459,2.5658072273619,0.433618954999217,0.17633,0.17625,3.24383,21.3315920775461,0.63088,0.20993,-0.0215020437920189,-0.0753911440256124,1.19057,62.030961757009,108.593774321205
"2","2010_Q3",16.7475,"Up",626168000,-439638000,-308957000,-80698000,-49983000,186530000,-76202000,-78192000,1990000,110328000,113735000,-46211000,67524000,72751000,72751000,72751000,20610000,20610000,171905000,171905000,29908000,217298000,213225000,590113000,10872323000,10872323000,2311080000,1250692000,1060388000,13183403000,13773516000,262476000,147573000,59997000,309825000,265807000,44018000,181136000,181136000,753437000,5305167000,3647108000,649181000,968969000,2028958000,8952275000,9705712000,28485000,6148191000,-2046326000,-62546000,4067804000,4067804000,13773516000,72751000,80698000,39619000,-71548999.9999999,121519000,-195771000,-1044000,-193444000,-36689000,113330000,2203000,79901999.9999999,7977000,7977000,7977000,267228000,5614992000,46118999.9999999,0.29789,0.11618,0.01788,0.00528,0.63393,0.78323,2.38598,0.40767,0.41626,0.41609,3.58273,23.11167,0.26388,0.20992,0.00821,0.00346,0.50431,20.93486,29.99186
"3","2010_Q4",18.626875,"Up",748953000,-483489000,-346180000,-84005000,-53304000,265464000,-74063000,-74568000,505000,191401000,195119000,-75762000,119357000,124114000,124114000,124114000,23501000,23501000,201354000,201354000,31345000,220272000,213878000,627399000,11013347000,11013347000,2342929000,1250692000,1092237000,13356276000,13983675000,326509000,166388000,103119000,225825000,181841000,43984000,189090000,189090000,741424000,5371548000,3711148000,619090000,1050293000,2041765000,9082696000,9824120000,28349000,6153098000,-1960806000,-61086000,4159555000,4159555000,13983675000,124114000,84005000,73296000,8103000,289518000,-205934000,-98000,-174726000,-38457000,-76390000,1122000,-111901000,2891000,2891000,2891000,349469000,5597373000,227400000,0.35445,0.16572,0.02984,0.00888,1.83219,0.84621,2.36182,0.40028,0.70979,0.70875,4.28313,23.62566,1.30046,0.21993,0.01207,0.01688,0.30985,15.94955,20.99672
"4","2011_Q1",20.5806451612903,"Up",613152000,-464806000,-330162000,-83505000,-51139000,148346000,-80159000,-82309000,2150000,68187000,72221000,-33710000,38511000,40154000,40154000,40154000,13112000,13112000,145747000,145747000,27743000,1138297000,194119000,1457775000,10381640000,10381640000,2246831000,1195585000,1051246000,12628471000,14086246000,285747000,188343000,60465000,264997000,228905000,36092000,556020000,182060000,1106764000,5394135000,3430940000,628730000,1110250000,1691960000,8825075000,9931839000,26682000,6158425000,-1959235000,-71446000,4154407000,4154407000,14086246000,40154000,83505000,-10026000,74273000,187906000,-258882000,28000,-240791000,-38476000,77625000,537000,42496000,-10389000,-10389000,-10389000,231851000,5659132000,80952000,0.24194,0.06549,0.00967,0.00285,2.01604,1.31715,2.39068,0.40175,0.22948,0.22849,3.50419,23.5901,0.46264,0.21989,0.00594,0.00611,0.95821,24.35193,38.05981
"5","2011_Q2",22.5211111111111,"Up",596715000,-454489000,-310821000,-86878000,-56790000,142226000,-77346000,-76191000,-1155000,64880000,68644000,-27945000,40699000,26233000,26233000,26233000,13528000,13528000,138317000,138317000,30606000,994562000,187698000,1305539000,10555698000,10555698000,2267570000,1204227000,1063343000,12823268000,14128807000,301638000,132725000,103622000,335652000,323484000,12168000,497590000,166750000,1134880000,5362325000,3457681000,607760000,1136432000,1713489000,8820006000,9954886000,27814000,6166636000,-1950571000,-69958000,4173921000,4173921000,14128807000,26233000,86878000,18445000,29970000,161526000,-184850000,-1445000,-166188000,-38525000,32350000,4559000,5078000,416000,416000,416000,229104000,5697977000,102169000,0.23835,0.04396,0.00628,0.00186,3.89467,1.15038,2.38502,0.40329,0.14968,0.14901,3.40476,23.65703,0.58296,0.21982,0.00486,0.00766,1.46857,24.81165,39.96772
"6","2011_Q3",22.72953125,"Up",668873000,-468705000,-327157000,-87342000,-54206000,200168000,-77789000,-78469000,680000,122379000,126084000,-51267000,74817000,81110000,81110000,81110000,13466000,13466000,165686000,165686000,31414000,1137148000,196503000,1493214000,10599942000,10599942000,2254060000,1195510000,1058550000,12854002000,14347216000,265655000,159024000,59156000,458379000,449940000,8439000,603612000,222924000,1327646000,5362604000,3472376000,600039000,1163854000,1708483000,8834980000,10162626000,26670000,6171801000,-1945185000,-68696000,4184590000,4184590000,14347216000,81110000,87342000,42259000,-109841000,100870000,-224323000,-3324000,-209237000,-38580000,138252000,6481000,108305000,-61999.9999999981,-61999.9999999981,-61999.9999999981,287510000,5820983000,4613000,0.29926,0.12126,0.01938,0.00565,0.05687,1.12471,2.42858,0.40572,0.46225,0.45965,3.81192,23.69604,0.02629,0.21987,0.00888,0.00034,0.47565,20.19936,29.01321
"7","2011_Q4",24.1706349206349,"Up",760869000,-482346000,-340339000,-88323000,-53684000,278523000,-78550000,-78562000,12000,199973000,206890000,-78395000,128495000,137422000,137422000,137422000,15621000,15621000,184235000,184235000,30491000,1106812000,163523000,1479461000,10787844000,10787844000,2271428000,1195510000,1075918000,13059272000,14538733000,341702000,190556000,103184000,417947000,408998000,8949000,620365000,232208000,1380014000,5361531000,3512014000,553308000,1235554000,1723152000,8873545000,10253559000,26531000,6175536000,-1848338000,-68555000,4285174000,4285174000,14538733000,137422000,88323000,36830000,51073000,313648000,-244638000,-1612000,-230576000,-40358000,-46509000,4573000,-80917000,2155000,2155000,2155000,366846000,5779478000,251676000,0.36606,0.18061,0.03207,0.00945,1.83141,1.07206,2.3928,0.39752,0.78281,0.77747,4.3342,24.25886,1.43364,0.22989,0.01309,0.01854,0.29368,15.71193,20.69437
"8","2012_Q1",26.5588709677419,"Up",639779000,-463608000,-323477000,-89278000,-50853000,176171000,-79770000,-79193000,-577000,96401000,102062000,-41144000,60918000,64848000,64848000,64848000,14207000,14207000,200352000,200352000,28598000,969121000,31591000,1397659000,11021098000,11021098000,2357634000,1195069000,1162565000,13378732000,14776391000,339382000,243709000,59067000,543908000,515050000,28858000,605815000,223597000,1489105000,5339947000,3685818000,649084000,1241836000,1794898000,9025765000,10514870000,25684000,6182315000,-1848801000,-97677000,4261521000,4261521000,14776391000,64848000,89278000,41484000,36703000,232313000,-314209000,-839000,-306396000,-40392000,104534000,6772000,72669000,-1414000,-1414000,-1414000,265449000,5883855000,29087000,0.27536,0.10136,0.01522,0.00439,0.448540000000001,0.93859,2.4674,0.39819,0.36917,0.36667,3.64219,24.11411,0.16559,0.22995,0.00761,0.0021,0.62287,22.11215,33.3179
"9","2012_Q2",27.0906349206349,"Up",618554000,-460495000,-310004000,-92104000,-58387000,158059000,-80270000,-79654000,-616000,77789000,84645000,-35393000,49252000,41754000,41754000,41754000,9502000,9502000,141415000,141415000,30355000,280769000,140639000,589109000,11139499000,11139499000,2359131000,1195069000,1164062000,13498630000,14087739000,324588000,162414000,103037000,177338000,147212000,30126000,241763000,208982000,743689000,5350514000,3718820000,627744000,1332331000,1758745000,9069334000,9813023000,23827000,6194188000,-1847750000,-95549000,4274716000,4274716000,14087739000,41754000,92104000,13204000,1037000,148099000,217082000,-104000,229605000,-40414000,-360378000,9849000,-382409000,-4705000,-4705000,-4705000,250163000,5527852000,503675000,0.25553,0.0675,0.00977,0.00296,12.06292,0.79214,2.2956,0.39239,0.23735,0.23586,3.51623,24.16459,2.86319,0.22974,0.00608,0.03725,0.96791,22.05902,34.91323
"10","2012_Q3",29.6020634920635,"Up",745607000,-476549000,-327577000,-92329000,-56643000,269058000,-79395000,-79730000,335000,189663000,197265000,-80602000,116663000,107026000,107026000,107026000,12919000,12919000,187738000,187738000,31712000,212154000,206332000,606374000,11387311000,11387311000,2419076000,1207572000,1211504000,13806387000,14412761000,280436000,183908000,57406000,482261000,361972000,120289000,255267000,255267000,1017964000,5203133000,3846414000,625840000,1434201000,1786373000,9049547000,10067511000,23822000,6200357000,-1785039000,-93890000,4345250000,4345250000,14412761000,107026000,92329000,44838000,-75421000,168772000,-158006000,-44189000,-199936000,-40529000,63030999.9999999,9119000,34581000,3417000,3417000,3417000,361387000,5685394000,208562000,0.36086,0.14354,0.02463,0.00743,1.9487,0.59567,2.3169,0.39447,0.60696,0.60299,4.22845,24.50748,1.18279,0.22985,0.01063,0.01503,0.37868,15.6964,21.08272
