"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",14.7459677419355,"Up",5439000,-1369000,4070000,-3834000,-3037000,-797000,236000,-65000,171000,171000,-45000,126000,126000,126000,126000,3358000,3358000,5038000,5038000,541000,433000,433000,9370000,1237000,4038000,-2801000,7660000,84000,8897000,18267000,1890000,1138000,752000,552000,5486000,5486000,7928000,1040000,2162000,85000,3202000,11130000,186010000,37000,185973000,-169000,-178678000,-26000,7137000,7137000,18267000,126000,212000,138000,573000,1049000,-171000,-171000,-83000,67000,67000,-16000,862000,862000,862000,448000,1592000,895000,0.7483,0.04339,0.02317,0.01765,0.0069,7.10317,1.18189,1.55948,0.08715,0.03468,0.03468,1.49717,1.96457,0.24636,0.01157,0.08218,-3.94196,-7.48305
"2","2011_Q2",13.7909523809524,"Down",5930000,-1669000,4261000,-3915000,-3081000,-834000,346000,-63000,283000,283000,-60000,223000,223000,223000,223000,997270.841613224,997270.841613224,6174171.77121631,6174171.77121631,955210.140344763,382065.076219244,382065.076221625,8508717.82939354,1428194.20678316,4538405.14453973,-3110210.93775657,7650320.05232184,74325.2284127765,9081358.65246847,17590076.481862,688779.645033005,727263.461744168,-38483.816711163,417481.051569192,4655557.43845658,4655557.45608828,5761818.13505878,746644.461438393,2494495.1511998,423637.409375656,3241139.6126382,9002957.74769698,186884114.7891,38289.3400714225,186845825.449029,-169000,-178102000.245646,-25995.8092889427,8587118.73416504,8587118.73416504,17590076.481862,223000,172000,240000,-138000,497000,-258000,-258000,-84000,372000,372000,288000,527000,527000,527000,518000,0,182000,0.71855,0.05835,0.03761,0.134959896895187,0.0581782996669412,0.816139999999999,1.42581715805185,1.09132026000349,0.068968596683064,0.06102,0.05754,1.62255,2.3253093775628,0.0498,0.0946848562249075,-0.390385440074218,-10.1320502245139,31.3273959968204
"3","2011_Q3",11.5965625,"Down",5525000,-1655000,3870000,-4022000,-3160000,-862000,-152000,-60000,-212000,-212000,-60000,-272000,-272000,-272000,-272000,1925370.84161322,1925370.84161322,6487671.77121631,6487671.77121631,851310.140344763,478965.076219244,478965.076221625,9743317.82939354,1356494.20678316,4606905.14453973,-3250410.93775657,7639920.05232184,63925.2284127765,8999258.65246847,18742576.481862,1136179.64503301,873963.461744168,262216.183288837,595281.051569192,4756657.43845658,4756657.45608828,6488118.13505878,646144.461438393,2403995.1511998,296137.409375656,3050139.6126382,9538257.74769698,187537414.7891,38389.3400714225,187499025.449029,-169000,-178138100.245646,-25995.8092889427,9204318.73416504,9204318.73416504,18742576.481862,-272000,184000,267000,-456000,-277000,-8000,-8000,-85000,693000,693000,608000,323000,323000,323000,32000,0,-372000,0.70045,-0.02751,-0.04923,0.111676896895187,0.0485292996669412,1.36765,1.46054315805185,1.04461026000349,0.067910596683064,-0.07288,-0.07746,1.48039,2.4598743775628,-0.09967,0.0786138562249075,-0.329642440074218,-8.50665922451386,20.0576779968204
"4","2011_Q4",8.60873015873016,"Down",7090000,-2162000,4928000,-4567000,-3704000,-863000,361000,-89000,272000,272000,-60000,212000,212000,212000,212000,4213000,4213000,6234000,6234000,574000,638000,638000,11659000,1294000,4602000,-3308000,7628000,52000,8922000,20581000,2267000,1234000,1033000,874000,5251000,5251000,8392000,698000,2182000,20999.9999999999,2880000,11272000,188019000,38000,187981000,-169000,-178515000,-26000,9309000,9309000,20581000,212000,204000,263000,-926000,-247000,-151000,-151000,6000,417000,417000,403000,5000,5000,4999.99999999988,565000,1572000,-452000,0.69506,0.05092,0.0299,0.02277,0.0103,-2.13208,1.3893,1.21087,0.07638,0.05599,0.04817,1.87252,2.45857,-0.11938,0.01623,-0.0346,-4.67434,-7.31579000000002
"5","2012_Q1",7.7108064516129,"Down",6677000,-1825000,4852000,-4601000,-3621000,-980000,251000,-98000,153000,-375000,-31000,-406000,-406000,-406000,-406000,5515000,5515000,5799000,5799000,536000,740000,740000,12590000,1636000,5027000,-3391000,7614000,38000,9250000,21840000,2974000,1373000,1601000,986000,5547000,5547000,9507000,871000,2201000,0,3072000,12579000,188377000,38000,188339000,-169000,-178921000,-26000,9261000,9261000,21840000,-406000,352000,162000,1333000,1441000,-322000,-322000,-37000,221000,221000,183000,1302000,1302000,1302000,603000,1857000,1645000,0.72667,0.03759,-0.06081,-0.04384,-0.01859,-4.05172,1.32429,1.35828,0.08503,-0.10622,-0.12659,1.74694,2.423,0.43039,-0.03048,0.12351,-6.06633,-14.57371
"6","2012_Q2",7.51777777777778,"Down",6185000,-1678000,4507000,-4579000,-3597000,-982000,-72000,-52000,-124000,-124000,-60000,-184000,-184000,-184000,-184000,4110000,4110000,5373000,5373000,1048000,716000,716000,11247000,2593000,6168000,-3575000,7597000,21000,10190000,21437000,2363000,992000,1371000,748000,5133000,5133000,8244000,1120000,2712000,510000,3832000,12076000,188661000,39000,188622000,-169000,-179105000,-26000,9361000,9361000,21437000,-184000,201000,384000,-1309000,-908000,-528000,-528000,-21000,52000,52000,31000,-1405000,-1405000,-1405000,129000,1868000,-1648000,0.7287,-0.01164,-0.02975,-0.01966,-0.00858,8.95652,1.36426,1.29003,0.08714,-0.04792,-0.04792,1.61072,2.43782,-0.42918,-0.0132,-0.11821,-17.37984,31.13889
"7","2012_Q3",7.48253968253968,"Down",5928000,-1644000,4284000,-4317000,-3355000,-962000,-33000,-23000,-56000,-56000,-60000,-116000,-116000,-116000,-116000,4400000,4400000,4518000,4518000,1166000,921000,921000,11005000,2688000,6465000,-3777000,7581000,5000,10269000,21274000,2196000,1136000,1060000,791000,4779000,4779000,7766000,1229000,2785000,576000,4014000,11780000,188910000,39000,188871000,-169000,-179221000,-26000,9494000,9494000,21274000,-116000,218000,178000,89000,369000,-297000,-297000,152000,66000,66000,218000,290000,290000,290000,185000,2020000,37000,0.72267,-0.00557,-0.01957,-0.01222,-0.00545,-0.31897,1.41707,1.24078,0.09495,-0.03011,-0.03011,1.5387,2.46431,0.0096,-0.00811,0.00259,-12.86486,72.12121
"8","2012_Q4",7.17806451612903,"Down",7757000,-2202000,5555000,-5155000,-4066000,-1089000,4e+05,-31000,369000,619000,-60000,559000,559000,559000,559000,4253000,4253000,6609000,6609000,749000,922000,922000,12533000,2848000,6853000,-4005000,7596000,20000,10694000,23227000,2893000,1408000,1485000,790000,5330000,5330000,9013000,1096000,2840000,554000,3936000,12949000,189135000,39000,189096000,-169000,-178662000,-26000,10278000,10278000,23227000,559000,233000,-14000,-432000,346000,-294000,-294000,-228000,49000,49000,-199000,-147000,-147000,-147000,633000,1886000,-32999.9999999998,0.71613,0.05157,0.07206,0.05439,0.02407,-0.0590299999999988,1.39055,1.25988,0.0812,0.14495,0.13904,2.01141,2.66511,-0.00856000000000001,0.03726,-0.0022,-3.73934,-5.9175
"9","2013_Q1",6.61616666666667,"Down",6220000,-1722000,4498000,-4684000,-3638000,-1046000,-186000,-26000,-212000,-42000,-60000,-102000,-102000,-102000,-102000,4478000,4478000,5578000,5578000,1053000,757000,757000,11866000,2944000,5568000,-2624000,7591000,15000,10955000,22821000,2454000,1604000,850000,796000,5284000,5284000,8534000,897000,2851000,532000,3748000,12282000,189498000,39000,189459000,-169000,-178764000,-26000,10539000,10539000,22821000,-102000,278000,9000,358000,543000,-337000,-337000,-193000,212000,212000,19000,225000,225000,225000,92000,1693000,173000,0.72315,-0.0299,-0.0164,-0.00968,-0.00447,-1.69608,1.39044,1.16539,0.07419,-0.02629,-0.02603,1.60324,2.71649,0.04459,-0.00676,0.01147,-30.27174,14.97312
"10","2013_Q2",8.0728125,"Up",6552000,-1685000,4867000,-4998000,-3822000,-1176000,-131000,-26000,-157000,-79000.0000000001,-60000,-139000,-139000,-139000,-139000,4286000,4286000,5316000,5316000,1243000,937000,937000,11782000,2923000,5799000,-2876000,7586000,9999.99999999999,11007000,22789000,2103000,1162000,941000,823000,5521000,5521000,8447000,757000,2975000,510000,3732000,12179000,189708000,39000,189669000,-169000,-178903000,-26000,10610000,10610000,22789000,-139000,257000,164000,-158000,124000,-143000,-143000,-201000,28000,28000,-173000,-192000,-192000,-192000,126000,1580000,-115000,0.74283,-0.01999,-0.02121,-0.0131,-0.00609999999999999,0.827340000000001,1.39481,1.14788,0.06933,-0.03566,-0.03566,1.68091,2.72199,-0.0295,-0.00917,-0.00758,-21.47619,20.65649
