"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",8.01484375,"Up",9088814,6947069,840155,1301590,1147829,153761,-4501433,-1959518,-1940542,687321,687321,687321,-63359,623962,623962,623962,623962,137529014.628651,-695766.047496314,-3944582.22632333,4103892.09197899,13504987.1386157,153057114.03328,77078988.5572703,1123232.32229865,1638815.71505832,79841036.5946273,3592764.72618573,68298886.1963968,1324426.51607035,73216077.4386529,73216077.4386529,153057114.03328,-2395647.38843593,91233.7018890827,688883.572123242,2789377.11730217,1173847.00287856,140266.467579434,32931578.6661926,-27449341.3347386,5622503.79903344,-7499313.29531118,-702962.49339918,-702962.49339918,-702962.49339918,-3775507.16846921,0,-2316957.06550997,0.07562,0.06865,0.05257853776179,0.0260291284813379,8.34670538397667,1.09697484340738,0,0.11737,0.11657,1.70966,48.1950207066659,-33.573174050454,0.0579827967979144,0.888455502194194,0.90783331494029
"2","2011_Q1",8.56032258064516,"Up",8747089,6674272,804978,1267839,1074989,192850,-4085918,-1868162,-1658851,1134158,1134158,1134158,-376384,757774,757774,757774,757774,133177631,45210,1630574,4300927,14155985,157674720,77489643,6001515,829746,84320904,3554973,67547780,2251063,73353816,73353816,157674720,757774,31215,-3621646,1142455,-1690202,-28771,4250000,-953575,3267654,-1833323,-255871,-255871,-255871,1165373,0,2655441,0.12966,0.08663,0.01033,0.00481,3.50427,1.14951,0,0.14246,0.14155,1.64443,13.7903,0.49922,0.01764,-0.03879,-0.03986
"3","2011_Q2",8.71619047619048,"Up",8607845,6636138,773397,1198310,1024397,173913,-3387067,-1827327,-1667277,1726174,1726174,1726174,-611827,1114347,1114347,1114347,1114347,131750391.623783,199857.265832105,2877228.32544111,4385043.55267367,13252049.5371281,157778120.238907,75945004.4809099,6861316.72590045,780377.928313894,83586699.1351242,3544626.59127142,68120125.4345344,2526669.07797655,74191421.1037824,74191421.1037824,157778120.238907,1114347,13548,-3260420,779811,-1352714,-71731,1196998,212909,1338176,2.99999999976717,-14535,-14535,-14535,1739722,0,3059629,0.20053,0.12946,0.00116382074607,0.000292790506220716,2.74567,1.12589755219754,0,2.08906,0.20797,16.13706,3.57600893111137,5.73586,0.00362740106736186,-0.235758500731398,-0.241453604980097
"4","2011_Q3",9.3275,"Up",8578999,6710484,766901,1101614,929669,171945,-3871531,-1828806,-1790976,1087686,1087686,1087686,-380999,706687,706687,706687,706687,131790847,70055.0000000001,1701094,4377725,11683831,155277975,73449753,5508271,1094529,80052553,3554424,69358406,2312592,75225422,75225422,155277975,706687,15021,-1538255,904585,88038,-27358,9613000,-9623341,-37699,-10959,39380,39380,39380,1102707,0,2360933,0.12678,0.08237,0.00939,0.00455,3.34085,1.06417,0,0.0697300000000003,0.1319,0.846479999999996,7.42241,0.23295,0.00471999999999999,-0.0635300000000002,-0.0644100000000001
"5","2011_Q4",10.1869841269841,"Up",9077819,6700560,733735,1643524,891805,751719,-3357803,-1833823,-1939839,1946354,1946354,1946354,-671702,1274652,1274652,1274652,1274652,131485191,71108,205685,4294382,10567618,152184453,71298439,3719299,1222022,76239760,3579395,70633059,1732239,75944693,75944693,152184453,1274652,14285,-1453906,729666,564697,49207,16696000,-17310719,-565512,1868,1053,1053,1053,1960639,0,3411214,0.21441,0.14041,0.01678,0.00838,2.67619,1.00389,0,0.23893,0.2379,1.70159,14.23545,0.63941,0.00859,-0.03627,-0.03653
"6","2012_Q1",10.348064516129,"Up",8312038,6676761,624592,1010685,923458,87227,-3770926,-1815906,-1735252,989954,989954,989954,-345764,644190,644190,644190,644190,129496093,467087,230781,4158522,10718848,150375045,70399119,3309605,818006,74526730,3611461,71277250,959604,75848315,75848315,150375045,644190,16629,-1352134,318194,-373121,-41725,20533000,-19746669,744606,24494,395979,395979,395979,1006583,0,1628816,0.1191,0.0775,0.00849,0.00428,2.52847,0.98258,0,0.12066,0.12017,1.55689,14.20683,0.30509,0.00438,-0.46403,-0.47183
"7","2012_Q2",10.074126984127,"Down",8335186,6715166,582073,1037947,922235,115712,-3721783,-1821735,-2018690,772978,772978,772978,-272608,500370,500370,500370,500370,128414318,156066,320943,4076855,10529095,149369717,68504157,4593401,1345961,74443519,3616991,70702893,606314,74926198,74926198,149369717,500370,13361,-1551177,317383,-720063,-103523,1544000,-1024761,415716,-6674.00000000006,-311021,-311021,-311021,786339,0,1272807,0.09274,0.06003,0.00668,0.00335,2.54373,0.99356,0,0.09367,0.09334,1.56039,14.02655,0.23828,0.00346,-0.19847,-0.2019
"8","2012_Q3",9.46698412698413,"Down",8266835,6780495,474396,1011944,825363,186581,-4326428,-1763358,-1978177,198872,198872,198872,-42096.9999999999,156775,156775,156775,156775,124621017,296873,561138,4025978,12541841,148118979,69237527,3077924,1025270,73340721,3621664,70814337,342257,74778258,74778258,148118979,156775,26869,-47141,-1980192,-1843689,-267064,20796000,-17429707,3099229,-1114733,140807,140807,140807,225741,0,-1979418,0.02406,0.01896,0.0021,0.00106,-12.62585,0.98078,0,0.02934,0.02924,1.54687,13.99232,-0.37038,0.00845,-1.3151,-1.49278
"9","2012_Q4",11.6683870967742,"Up",8228464,6941010,303541,983913,839232,144681,-3571972,-1719171,-1802892,1134429,1134429,1134429,-388834,745595,745595,745595,745595,124842897,94519,664664,3928234,11328708,146878808,67619517,3103359,930060,71652936,3633189,71396365,196318,75225872,75225872,146878808,745595,50899,-1115726,886596,567364,-154425,22295000,-22752475,-611899.999999999,-157818,-202354,-202354,-202354,1185328,0,2306333,0.13787,0.09061,0.00991,0.00508,3.09328,0.9525,0,0.13968,0.13941,1.54151,14.09275,0.43207,0.00519,-0.07974,-0.08332
"10","2013_Q1",12.9381666666667,"Up",7926085,6881489,168965,875631,822256,53375,-3613220,-1676068,-1888040,748757,748757,748757,-197769,550988,550988,550988,550988,119884251,160506,856850,3785594,9576233,140008026,65814959,3040312,756190,69611461,3685620,66589643,121302,70396565,70396565,140008026,550988,48164,-1347295,1530372,782229,-240350,13445000,-8609837,4594813,-5311055,65987,65987,65987,796921,0,2284712,0.09447,0.06952,0.00783,0.00394,4.14657,0.98885,0,0.10331,0.10315,1.4861,13.199,0.42837,0.04302,-0.20141,-0.21436
"11","2013_Q2",13.37671875,"Up",7949783,6689517,121660,1138606,902132,236474,-4556450,-1494698,-1842457,56178,56178,56178,-47842,8336,8336,8336,8336,119639617,169563,1049151,3843121,8764327,139029658,65362983,2690567,613233,68666783,3691396,66597979,73500,70362875,70362875,139029658,8336,52587,-303998,329796,86721,-244888,7948000,-7780776,-77664,0,9057,9057,9057,108765,0,241515,0.00707,0.00105,0.00012,6e-05,28.97253,0.9759,0,0.00156,0.00156,1.4884,13.17374,0.04522,6e-05,-1.55898,-3.01832
"12","2013_Q3",11.97484375,"Down",7763234,6757719,111447,894068,847106,46962,-3890736,-1605987,-1880440,386071,386071,386071,-135864,250207,250207,250207,250207,118552240,87724,1175081,3817817,7841071,137446161,63885156,2413958,576864,66875978,3697172,66848186,24825,70570183,70570183,137446161,250207,54064,-1978580,758313,-915996,-179994,3647000,-2632849,834157,0,-81839,-81839,-81839,440135,0,1154318,0.04973,0.03223,0.00355,0.00182,4.61345,0.94765,0,0.04685,0.04682,1.45348,13.21255,0.21612,0.00185,-0.19931,-0.22722
"13","2013_Q4",12.45015625,"Up",7682727,6758626,68622,855479,797520,57959,-4765616,-1593568,-1867405,-543862,-543862,-543862,175496,-368366,-368366,-368366,-368366,107119874,164262,10282910,3797830,8917428,136109916,62890616,2512278,524450,65927344,3702948,66479821,-197,70182572,70182572,136109916,-368366,54776,-956310,-885625,-2155525,-162605,11196000,-8801332,2232063,0,76538,76538,76538,-489086,0,-1712812,-0.07079,-0.04795,-0.00525,-0.00271,4.64976,0.93937,0,-0.06897,-0.06905,1.4384,13.13998,-0.32068,-0.00276,0.33586,0.30203
"14","2014_Q1",13.0931147540984,"Up",7735148,6656445,31268,1047435,769494,277941,-2876373,-1569975,-1946412,1342388,1342388,1342388,-628897,713491,713491,713491,713491,105743123,376388,10169940,3636003,7771017,132853188,59137611,2354494,464828,61956933,3708724,67193311,-5780,70896255,70896255,132853188,713491,145810,-2338113,355308,-1123504,-32840,8099000,-6730530,1335630,0,212126,212126,212126,1488198,0,2439563,0.17354,0.09224,0.01006,0.00537,3.41919,0.87391,0,0.13358,0.13328,1.44822,13.2736,0.45675,0.00547,-0.25292,-0.28039
"15","2014_Q2",12.8,"Down",7440111,6388241,31344,1020526,751983,268543,-2892350,-1520571,-2120853,906337,906337,906337,-314554,591783,591783,591783,591783,106305808,97257,10168025,3668055,7622309,132960816,58265356,2707321,489960,61462637,3714500,67785092,-1413,71498179,71498179,132960816,591783,138186,-505986,188632,412615,-136271,2e+05,-755475,-691746,0,-279131,-279131,-279131,1044523,0,1411438,0.12182,0.07954,0.00828,0.00445,2.38506,0.85964,0,0.1108,0.11071,1.39298,13.3863,0.26426,0.00454,-0.09311,-0.10731
