"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","total_claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",16.1061904761905,"Up",2.421e+09,1.47e+09,7.65e+08,1.86e+08,2.56e+08,-7e+07,-1.528e+09,-6.59e+08,2.34e+08,-1.15e+08,-1.15e+08,1.19e+08,1.19e+08,9.3e+07,2.12e+08,2.12e+08,-3.4e+07,1.78e+08,1.78e+08,6.5872e+10,3.466e+09,7.252e+09,3.2503e+10,1.09093e+11,6.8753e+10,3.638e+09,1.7446e+10,9.5068e+10,1.2065e+10,-2.7e+09,3.179e+09,3.47e+08,1.2891e+10,1.134e+09,1.4025e+10,1.09093e+11,2.12e+08,1.84e+08,-3.02e+08,3.6e+07,1.3e+08,-1.525e+09,3.51e+08,-1.174e+09,-6e+06,-4.71e+08,-4.87e+08,-1.531e+09,-1.531e+09,-5e+06,-1.536e+09,4.18e+08,4.568e+09,0.09665,0.07352,0.01269,0.00163,6.77847,0.04187,0.36416,0.36069,4.95295,26.37275,0.00179,2.63636,4.7094
"2","2010_Q3",12.81171875,"Down",2.41e+09,1.47e+09,8.23e+08,1.17e+08,2.56e+08,-1.39e+08,-1.551e+09,-6.78e+08,1.81e+08,-1.09e+08,-1.09e+08,72000000.0000001,7.2e+07,5e+06,7.7e+07,7.7e+07,-3.5e+07,4.2e+07,4.2e+07,6.7211e+10,4.586e+09,7.17e+09,3.1385e+10,1.10352e+11,6.8807e+10,4.331e+09,1.6571e+10,9.5305e+10,1.2079e+10,-2.7e+09,3.221e+09,1.331e+09,1.3931e+10,1.116e+09,1.5047e+10,1.10352e+11,7.7e+07,1.79e+08,-2.59e+08,4.3e+08,4.27e+08,-6.29e+08,1.08e+09,4.51e+08,6.6e+08,-4.05e+08,2.44e+08,1.122e+09,1.122e+09,-2e+06,1.12e+09,3.6e+08,5.061e+09,0.0751,0.01743,0.00279,0.00038,6.33382,0.04586,0.08587,0.0849900000000001,4.92742,28.48293,5e-04,1.31944,2.62431
"3","2010_Q4",12.49859375,"Down",2.667e+09,1.447e+09,8.15e+08,4.05e+08,3e+08,1.05e+08,-1.714e+09,-6.99e+08,2.54e+08,-1.14e+08,-1.14e+08,1.4e+08,1.4e+08,-1.8e+07,1.22e+08,1.22e+08,-3.9e+07,8.3e+07,8.3e+07,7.1208e+10,3.598e+09,7.055e+09,3.2839e+10,1.147e+11,6.9412e+10,4.373e+09,1.8012e+10,9.8629e+10,1.2085e+10,-2.7e+09,3.133e+09,2.484e+09,1.5002e+10,1.069e+09,1.6071e+10,1.147e+11,1.22e+08,2.27e+08,-4.03e+08,4.73e+08,4.19e+08,-9.45e+08,-2e+07,-9.65e+08,-6e+06,-5.05e+08,-5.22e+08,-1.068e+09,-1.068e+09,8e+07,-9.88e+08,4.81e+08,5.103e+09,0.09524,0.03112,0.00516,0.00072,6.13708,0.04449,0.16956,0.16805,5.44842,30.6476,0.00087,3.1289,5.9252
"4","2011_Q1",13.325,"Up",2.591e+09,1.467e+09,8.63e+08,2.61e+08,3e+08,-3.9e+07,-2.049e+09,-8.07e+08,-2.65e+08,-1.19e+08,-1.19e+08,-3.84e+08,-3.84e+08,1.68e+08,-2.16e+08,-2.16e+08,-3.5e+07,-2.51e+08,-2.51e+08,6.8437e+10,3.132e+09,7.256e+09,3.357e+10,1.12395e+11,6.9169e+10,4.952e+09,1.7751e+10,9.7424e+10,1.2096e+10,-2.7e+09,2.973e+09,1.492e+09,1.3861e+10,1.11e+09,1.4971e+10,1.12395e+11,-2.16e+08,3.6e+07,-3.3e+08,8.7e+08,3.6e+08,-1.37e+08,1e+07,-1.27e+08,5.44e+08,-1.28e+09,-7.47e+08,-5.14e+08,-5.14e+08,4.8e+07,-4.66e+08,-2.29e+08,4.952e+09,-0.10228,-0.09687,-0.01677,-0.00223,6.50751,0.04406,-0.51245,-0.5081,5.28991,28.29931,-0.00225,-7.9476,-6.86792
"5","2011_Q2",11.3742857142857,"Down",2.568e+09,1.437e+09,8.3e+08,3.01e+08,3.29e+08,-2.8e+07,-1.614e+09,-7.14e+08,2.4e+08,-1.27e+08,-1.27e+08,1.13e+08,1.13e+08,-2e+07,9.3e+07,9.3e+07,-3.4e+07,5.9e+07,5.9e+07,6.8046e+10,3.742e+09,7.334e+09,3.3818e+10,1.1294e+11,6.8759e+10,5.347e+09,1.7996e+10,9.7711e+10,1.2102e+10,-2.7e+09,3.055e+09,1.62e+09,1.4077e+10,1.152e+09,1.5229e+10,1.1294e+11,9.3e+07,1.51e+08,-3.55e+08,4.47e+08,3.36e+08,5.84e+08,-8.8e+07,4.96e+08,3.91e+08,-6e+08,-2.21e+08,6.11e+08,6.11e+08,-1e+06,6.1e+08,3.91e+08,5.347e+09,0.09346,0.02298,0.00387,0.00052,6.41611,0.04734,0.12038,0.11934,5.23975,28.72271,0.00066,4.10486,6.6875
"6","2011_Q3",7.23328125,"Down",2.655e+09,1.455e+09,8.81e+08,3.19e+08,3.59e+08,-4e+07,-1.883e+09,-7.43e+08,2.9e+07,-1.34e+08,-1.34e+08,-1.05e+08,-1.05e+08,5e+06,-1e+08,-99999999.9999999,-3.6e+07,-1.36e+08,-1.36e+08,6.8706e+10,2.831e+09,7.362e+09,3.3448e+10,1.12347e+11,6.9182e+10,4.755e+09,1.7089e+10,9.6789e+10,1.2111e+10,-2.7e+09,2.959e+09,2.062e+09,1.4432e+10,1.126e+09,1.5558e+10,1.12347e+11,-1e+08,1.62e+08,-3.54e+08,7.98e+08,5.06e+08,-3.94e+08,-1.08e+08,-5.02e+08,-6.51e+08,-2.85e+08,-9.48e+08,-9.44e+08,-9.44e+08,3.3e+07,-9.11e+08,1.91e+08,4.755e+09,0.01092,-0.05122,-0.00874,-0.00121,6.22117,0.04232,-0.27721,-0.27721,5.41174,29.41704,-0.00116,10.0733,66.34483
"7","2011_Q4",6.18206349206349,"Down",2.521e+09,1.461e+09,8.42e+08,2.18e+08,3.75e+08,-1.57e+08,-1.651e+09,-7.33e+08,1.37e+08,-1.24e+08,-1.24e+08,1.3e+07,1.3e+07,7e+06,2e+07,2e+07,-3.6e+07,-1.6e+07,-1.6e+07,7.243e+10,3.648e+09,7.359e+09,3.0449e+10,1.13886e+11,6.9814e+10,4.708e+09,1.6549e+10,9.6518e+10,1.2118e+10,-2.7e+09,2.988e+09,3.872e+09,1.6278e+10,1.09e+09,1.7368e+10,1.13886e+11,2e+07,1.52e+08,-2.61e+08,1.279e+09,1.19e+09,1.66e+08,-7.4e+07,9.2e+07,-6.7e+07,-2.6e+08,-3.38e+08,9.44e+08,9.44e+08,-1.27e+08,8.17e+08,2.89e+08,4.708e+09,0.05434,-0.00635,-0.00092,-0.00014,5.55723,0.04134,-0.0326,-0.0326,5.13651,33.16626,-5e-05,3.66782,7.73723
"8","2012_Q1",8.47322580645161,"Up",2.179e+09,1.335e+09,8.27e+08,1.7e+07,-13000000.0000001,3e+07,-1.587e+09,-3.33e+08,2.59e+08,-1.21e+08,-1.21e+08,1.38e+08,1.09e+08,1.9e+07,1.28e+08,1.64e+08,-3.3e+07,1.31e+08,1.31e+08,7.1904e+10,4.488e+09,5.193e+09,3.0602e+10,1.12187e+11,7.0363e+10,4.726e+09,1.643e+10,9.6009e+10,1.2137e+10,-2.7e+09,1.584e+09,4.047e+09,1.5068e+10,1.11e+09,1.6178e+10,1.12187e+11,1.28e+08,1.28e+08,-5.65e+08,1.332e+09,1.093e+09,1.88e+08,-3.34e+08,-1.45e+08,-1.8e+07,-2e+07,-1.34e+08,8.14e+08,8.14e+08,2.6e+07,8.4e+08,3.87e+08,4.726e+09,0.11886,0.06012,0.0081,0.00117,5.93454,0.04213,0.26686,0.26295,4.43879,30.69464,0.00151,0.614990000000001,0.918920000000004
"9","2012_Q2",5.88063492063492,"Down",2.315e+09,1.106e+09,8.32e+08,3.77e+08,3.4e+08,3.7e+07,-1.427e+09,-7.11e+08,1.77e+08,-9.5e+07,-9.5e+07,8.2e+07,8.2e+07,-1.5e+07,6.7e+07,7.9e+07,-3.3e+07,4.6e+07,4.6e+07,7.0328e+10,4.187e+09,5.06e+09,3.1408e+10,1.10983e+11,7.0456e+10,5.095e+09,1.5954e+10,9.51e+10,1.2151e+10,-2.7e+09,1.631e+09,3.656e+09,1.4738e+10,1.145e+09,1.5883e+10,1.10983e+11,6.7e+07,2.71e+08,-3.67e+08,-2.32e+08,-2.52e+08,-2.21e+08,3.63e+08,1.24e+08,-2.02e+08,2.6e+07,-1.89e+08,-3.17e+08,-3.17e+08,1.6e+07,-3.01e+08,4.48e+08,5.095e+09,0.07646,0.01987,0.0029,0.00041,5.98753,0.04591,0.09365,0.0928,4.71295,30.00407,0.00054,2.02679,5.12994
"10","2012_Q3",5.23222222222222,"Down",2.402e+09,1.302e+09,8.46e+08,2.54e+08,2.87e+08,-3.3e+07,-1.576e+09,-5.86e+08,2.4e+08,-1.31e+08,-1.31e+08,1.09e+08,1.09e+08,-2.7e+07,8.2e+07,1.09e+08,-3.3e+07,7.6e+07,7.6e+07,7.3001e+10,3.874e+09,5.023e+09,3.0638e+10,1.12536e+11,7.0693e+10,4.865e+09,1.5823e+10,9.557e+10,1.2157e+10,-2.7e+09,1.707e+09,4.653e+09,1.5817e+10,1.149e+09,1.6966e+10,1.12536e+11,8.2e+07,1.47e+08,-3.23e+08,5.33e+08,4.72e+08,-7e+07,-1.37e+08,-2.3e+08,-2.26e+08,-2.73e+08,-5.36e+08,-2.94e+08,-2.94e+08,-1.9e+07,-3.13e+08,3.87e+08,4.865e+09,0.09992,0.03164,0.00448,0.00068,5.63303,0.04323,0.15463,0.15388,4.88708,32.18108,0.00081,2.56072,4.12917
"11","2012_Q4",6.01354838709677,"Up",2.456e+09,1.313e+09,8.25e+08,3.18e+08,3.09e+08,9e+06,-1.556e+09,-6.03e+08,2.97e+08,-1.26e+08,-1.26e+08,1.71e+08,8.2e+07,-2.3e+07,5.9e+07,7.1e+07,-3.6e+07,3.5e+07,3.5e+07,7.4893e+10,3.741e+09,5.02e+09,3.0733e+10,1.14387e+11,7.1506e+10,4.88e+09,1.6239e+10,9.674e+10,1.2163e+10,-2.7e+09,1.741e+09,5.223e+09,1.6427e+10,1.22e+09,1.7647e+10,1.14387e+11,5.9e+07,1.6e+08,-3.07e+08,2.85e+08,2.07e+08,-5.07e+08,8.3e+07,-4.24e+08,-2.34e+08,3.17e+08,6.2e+07,-1.55e+08,-1.55e+08,2.2e+07,-1.33e+08,4.57e+08,4.88e+09,0.12093,0.01425,0.00198,0.00031,5.48195,0.04266,0.07118,0.07086,4.99492,33.40858,0.00043,2.49234,3.83502
