"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",27.5275806451613,"Down",4.035e+09,-1.702e+09,2.333e+09,-1.445e+09,-3.31e+08,-1.114e+09,8.88e+08,-1.73e+08,-2.3e+08,1.8e+07,7.15e+08,7.15e+08,-3.01e+08,4.14e+08,4.25e+08,4.25e+08,4.25e+08,1.5e+08,1.5e+08,1.604e+09,1.604e+09,8.75e+08,1.08e+09,2.27e+08,6.29e+08,3.709e+09,3.1441e+10,4.3875e+10,-1.2434e+10,1.3378e+10,6.444e+09,6.934e+09,4.5029e+10,4.8738e+10,1.238e+09,9.25e+08,3.13e+08,3.077e+09,1.605e+09,5.08e+08,1.097e+09,5.92e+09,1.5627e+10,1.3742e+10,6.543e+09,7.199e+09,2.9369e+10,3.5289e+10,9.8e+09,3.266e+09,3.67e+08,1.3433e+10,1.3449e+10,4.8738e+10,4.25e+08,2.7e+08,3.45e+08,2.89e+08,5.6e+07,1.74e+08,1.214e+09,-7.75e+08,-7.75e+08,-4e+06,-2.1e+08,-9.89e+08,-2.3e+08,6.8e+07,-7e+06,-1.69e+08,5.6e+07,5.6e+07,5.6e+07,1.158e+09,1.8704e+10,8.58e+08,0.57819,0.22007,0.10533,0.0316,0.00872,2.01882,0.62652,2.62391,0.38377,1.01675,1.01432,9.65311,32.13636,2.05263,0.55024,0.01427,0.01869,0.54118,16.02245,20.89414
"12","2013_Q1",26.3,"Down",3.475e+09,-1.517e+09,1.958e+09,-1.406e+09,-1.9e+07,-1.387e+09,5.52e+08,-2.01e+08,-2.51e+08,3.6e+07,3.51e+08,-2.58e+08,1.05e+08,-1.53e+08,-1.48e+08,-1.48e+08,-1.48e+08,1.72e+08,1.72e+08,1.614e+09,1.614e+09,8.61e+08,1.121e+09,1.19e+08,6.83e+08,3.768e+09,3.3036e+10,4.5503e+10,-1.2467e+10,1.3636e+10,6.447e+09,7.189e+09,4.6726e+10,5.0494e+10,1.93e+09,1.599e+09,3.31e+08,3.968e+09,1.707e+09,5.43e+08,1.164e+09,7.605e+09,1.5179e+10,1.4617e+10,6.616e+09,8.001e+09,2.9796e+10,3.7401e+10,9.811e+09,2.888e+09,3.85e+08,1.3084e+10,1.3093e+10,5.0494e+10,-1.48e+08,2.85e+08,3.42e+08,-64999999.9999999,4.07e+08,5.65e+08,1.044e+09,-9.92e+08,-9.92e+08,1.7e+07,-2.09e+08,-1.167e+09,-2.3e+08,3.85e+08,-1e+07,1.45e+08,2.2e+07,2.2e+07,2.2e+07,8.37e+08,1.9147e+10,3.05e+08,0.56345,0.15885,-0.04259,-0.0113,-0.00293,-2.06081,0.49546,2.85656,0.37919,-0.35407,-0.35322,8.3134,31.30144,0.72967,0.55024,0.00175,0.00651,-1.55405,22.67025,34.375
"13","2013_Q2",27.628125,"Up",3.723e+09,-1.576e+09,2.147e+09,-1.499e+09,-3.52e+08,-1.147e+09,6.48e+08,-2.25e+08,-2.58e+08,1.5e+07,4.23e+08,3.06e+08,-1.14e+08,1.92e+08,1.96e+08,1.96e+08,1.96e+08,6.7e+07,6.7e+07,1.631e+09,1.631e+09,8.35e+08,9.66e+08,2.52e+08,6.24e+08,3.499e+09,3.3286e+10,4.6109e+10,-1.2823e+10,1.3585e+10,6.447e+09,7.138e+09,4.6925e+10,5.0424e+10,1.222e+09,9.82e+08,2.4e+08,4.446e+09,1.464e+09,3.92e+08,1.072e+09,7.132e+09,1.5814e+10,1.4478e+10,6.542e+09,7.936e+09,3.0292e+10,3.7424e+10,9.781e+09,2.854e+09,3.61e+08,1.2996e+10,1.3e+10,5.0424e+10,1.96e+08,2.93e+08,3.11e+08,1.34e+08,1.77e+08,-7.5e+08,5e+07,-8.26e+08,-8.26e+08,-2e+07,-8.1e+07,-9.27e+08,-2.3e+08,1.135e+09,-1.33e+08,7.72e+08,-1.05e+08,-1.05e+08,-1.05e+08,9.41e+08,2.026e+10,-5.21e+08,0.57669,0.17405,0.05265,0.01508,0.00389,-2.65816,0.49061,2.87877,0.40179,0.4689,0.46778,8.9067,31.09091,-1.24641,0.55024,0.00892,-0.01091,1.17347,21.45909,31.16204
"14","2013_Q3",25.0178125,"Down",3.504e+09,-1.494e+09,2.01e+09,-1.498e+09,-3.72e+08,-1.126e+09,5.12e+08,-2.45e+08,-2.56e+08,2.6e+07,2.67e+08,-2.3e+08,6.2e+07,-1.68e+08,-1.64e+08,-1.64e+08,-1.64e+08,7.1e+07,7.1e+07,1.646e+09,1.646e+09,8.06e+08,1.037e+09,2.88e+08,6.98e+08,3.56e+09,3.3091e+10,4.6118e+10,-1.3027e+10,1.346e+10,6.447e+09,7.013e+09,4.6597e+10,5.0157e+10,1.248e+09,9.5e+08,2.98e+08,5.206e+09,1.079e+09,3.38e+08,7.41e+08,7.533e+09,1.5449e+10,1.4372e+10,6.427e+09,7.945e+09,2.9821e+10,3.7354e+10,9.786e+09,2.69e+09,3.23e+08,1.2799e+10,1.2803e+10,5.0157e+10,-1.64e+08,3e+08,4.34e+08,-1.5e+07,4.49e+08,-1.27e+08,4.43e+08,-5.86e+08,-5.86e+08,2.4e+07,-8.1e+07,-6.43e+08,-2.3e+08,4.27e+08,7000000.00000003,2.04e+08,4e+06,4e+06,4e+06,8.12e+08,2.0655e+10,3.7e+07,0.57363,0.14612,-0.0468,-0.01281,-0.00327,-0.22561,0.47259,2.9176,0.41181,-0.39234,-0.39141,8.38278,30.61962,0.0885200000000002,0.55024,0.00138,0.00077,-1.40244,25.34975,40.20312
"15","2013_Q4",23.80453125,"Down",4.032e+09,-1.777e+09,2.255e+09,-1.747e+09,-6.28e+08,-1.119e+09,5.08e+08,-2.31e+08,-2.57e+08,2.1e+07,2.77e+08,2.86e+08,-7.7e+07,2.09e+08,2.18e+08,2.18e+08,2.18e+08,2.22e+08,2.22e+08,1.579e+09,1.579e+09,7.31e+08,1.261e+09,1.04e+08,6.33e+08,3.793e+09,3.3223e+10,4.639e+10,-1.3167e+10,1.3321e+10,6.418e+09,6.903e+09,4.659e+10,5.0383e+10,1.284e+09,9.95e+08,2.89e+08,5.293e+09,1.378e+09,4.01e+08,9.77e+08,7.955e+09,1.5291e+10,1.459e+10,6.603e+09,7.987e+09,2.9881e+10,3.7836e+10,9.797e+09,2.448e+09,2.99e+08,1.2544e+10,1.2547e+10,5.0383e+10,2.01e+08,3.16e+08,2.18e+08,-5e+06,2.23e+08,4.43e+08,1.178e+09,-5.48e+08,-5.48e+08,-3.8e+07,-1.19e+08,-7.05e+08,-2.3e+08,-4.4e+07,-4.8e+07,-3.22e+08,1.51e+08,1.51e+08,1.51e+08,8.24e+08,2.0584e+10,7.96e+08,0.55928,0.12599,0.05407,0.01737,0.00433,3.65138,0.47681,3.01554,0.40855,0.52153,0.52029,9.64593,30.00957,1.90431,0.55024,0.00939,0.01668,1.05505,24.71117,40.08268
"16","2014_Q1",21.6485245901639,"Down",3.633e+09,-1.612e+09,2.021e+09,-1.568e+09,-3.89e+08,-1.179e+09,4.53e+08,-1.79e+08,-2.45e+08,4.1e+07,2.74e+08,2.08e+08,-6.6e+07,1.42e+08,1.42e+08,1.42e+08,1.42e+08,2.18e+08,2.18e+08,1.72e+09,1.72e+09,7.52e+08,1.558e+09,2.26e+08,7.31e+08,4.248e+09,3.3252e+10,4.6532e+10,-1.328e+10,1.2924e+10,6.418e+09,6.506e+09,4.6176e+10,5.0424e+10,1.601e+09,1.25e+09,3.51e+08,4.819e+09,1.217e+09,4.85e+08,7.32e+08,7.637e+09,1.5831e+10,1.4261e+10,6.968e+09,7.293e+09,3.0092e+10,3.7729e+10,9.818e+09,2.59e+09,2.84e+08,1.2692e+10,1.2695e+10,5.0424e+10,1.59e+08,1.113e+09,-5.34e+08,1.29e+08,-6.63e+08,2.53e+08,9.91e+08,-6.78e+08,-6.78e+08,-3.8e+07,-1.06e+08,-8.18e+08,-2.3e+08,6.2e+07,-9e+06,-1.77e+08,-4e+06,-4e+06,-4e+06,1.566e+09,2.065e+10,1.207e+09,0.55629,0.12469,0.03909,0.01119,0.00282,8.5,0.55624,2.97196,0.40953,0.33971,0.3389,8.69139,30.36364,2.88756,0.55024,0.00781,0.02535,1.61972,13.04725,45.10375
"17","2014_Q2",23.3065079365079,"Up",4.182e+09,-2.072e+09,2.11e+09,-1.719e+09,-2.66e+08,-1.453e+09,3.91e+08,-2.14e+08,-2.65e+08,2.9e+07,1.77e+08,1.7e+08,-4.8e+07,1.22e+08,2.08e+08,2.08e+08,2.08e+08,1.09e+08,1.09e+08,1.869e+09,1.869e+09,7.4e+08,1.859e+09,2.4e+08,1.244e+09,4.577e+09,3.3888e+10,4.7443e+10,-1.3555e+10,1.2763e+10,6.418e+09,6.345e+09,4.6651e+10,5.1228e+10,1.687e+09,1.455e+09,2.32e+08,4.501e+09,1.549e+09,5.27e+08,1.022e+09,7.737e+09,1.6804e+10,1.4082e+10,7.028e+09,7.054e+09,3.0886e+10,3.8623e+10,9.835e+09,2.496e+09,2.71e+08,1.2602e+10,1.2605e+10,5.1228e+10,1.22e+08,2.94e+08,1.59e+08,1.81e+08,-2.2e+07,-6.67e+08,-9.2e+07,-8.21e+08,-8.21e+08,3e+06,-9.1e+07,-5.15e+08,-1.51e+08,6.59e+08,-1e+07,4.98e+08,-1.09e+08,-1.09e+08,-1.09e+08,6.85e+08,2.1305e+10,-7.55e+08,0.50454,0.0935,0.04974,0.0165,0.00406,-3.62981,0.59157,3.0641,0.41589,0.49642,0.49524,9.98091,30.07637,-1.80191,0.36038,0.00748,-0.01573,0.72596,30.94307,54.20972
"18","2014_Q3",23.1571875,"Down",3.496e+09,-1.633e+09,1.863e+09,-1.571e+09,-3.22e+08,-1.249e+09,2.92e+08,-2.01e+08,-2.62e+08,3.2e+07,9.1e+07,9e+07,-2.6e+07,6.4e+07,6.4e+07,63999999.9999999,6.4e+07,7.6e+07,7.6e+07,1.731e+09,1.731e+09,8.02e+08,1.574e+09,2.46e+08,9.51e+08,4.183e+09,3.4516e+10,4.8313e+10,-1.3797e+10,1.2689e+10,6.418e+09,6.271e+09,4.7205e+10,5.1388e+10,1.624e+09,1.341e+09,2.83e+08,3.339e+09,1.21e+09,3.97e+08,8.13e+08,6.173e+09,1.8415e+10,1.4115e+10,7.081e+09,7.034e+09,3.253e+10,3.8703e+10,9.859e+09,2.56e+09,2.64e+08,1.2683e+10,1.2685e+10,5.1388e+10,6.4e+07,3.02e+08,43000000.0000001,-2.2e+07,65000000.0000001,3.05e+08,7.14e+08,-9.88e+08,-9.88e+08,-6e+07,-6e+06,-1.054e+09,-1.51e+08,4.72e+08,-1.4e+07,3.07e+08,-3.3e+07,-3.3e+07,-3.3e+07,5.94e+08,2.1754e+10,-63000000.0000002,0.53289,0.08352,0.01831,0.00505,0.00125,-0.98438,0.67763,3.05108,0.42333,0.15238,0.15202,8.32381,30.19762,-0.15,0.35952,0.00443,-0.0013,2.35938,36.49495,74.23973
"19","2014_Q4",25.93890625,"Up",3.888e+09,-1.732e+09,2.156e+09,-1.44e+09,-3.43e+08,-1.097e+09,7.16e+08,-2.31e+08,-2.75e+08,2.8e+07,4.85e+08,4.85e+08,-1.52e+08,3.33e+08,3.33e+08,3.33e+08,3.33e+08,1.09e+08,1.09e+08,1.605e+09,1.605e+09,7.71e+08,1.3e+09,1.85e+08,7.88e+08,3.785e+09,3.4925e+10,4.8965e+10,-1.404e+10,1.2514e+10,6.418e+09,6.096e+09,4.7439e+10,5.1224e+10,1.467e+09,1.19e+09,2.77e+08,3.007e+09,1.505e+09,4.89e+08,1.016e+09,5.979e+09,1.8531e+10,1.401e+10,7.188e+09,6.822e+09,3.2541e+10,3.852e+10,9.878e+09,2.592e+09,2.32e+08,1.2702e+10,1.2704e+10,5.1224e+10,3.33e+08,3.08e+08,2.68e+08,1.68e+08,1e+08,2.06e+08,1.115e+09,-6.64e+08,-6.64e+08,1.7e+07,-7.4e+07,-7.21e+08,-1.5e+08,-1.98e+08,-1.3e+07,-3.61e+08,3.3e+07,3.3e+07,3.3e+07,1.024e+09,2.1538e+10,7.18e+08,0.55453,0.18416,0.08565,0.02621,0.0065,2.15616,0.63305,3.03212,0.42047,0.79286,0.79097,9.25714,30.24286,1.70952,0.35714,0.01001,0.01488,0.45045,20.92676,29.92877
"20","2015_Q1",26.7001639344262,"Up",3.483e+09,-1.559e+09,1.924e+09,-1.426e+09,-3.01e+08,-1.125e+09,4.98e+08,-2.45e+08,-2.79e+08,2.9e+07,2.53e+08,-5.74e+08,2.68e+08,-3.06e+08,-3.06e+08,-3.06e+08,-3.06e+08,8.5e+07,8.5e+07,1.554e+09,1.554e+09,8.17e+08,9.02e+08,1.28e+08,7.74e+08,3.358e+09,3.5783e+10,4.9933e+10,-1.415e+10,1.2507e+10,6.418e+09,6.089e+09,4.829e+10,5.1648e+10,1.608e+09,1.279e+09,3.29e+08,2.603e+09,1.35e+09,4.9e+08,8.6e+08,5.561e+09,1.9176e+10,1.4489e+10,6.539e+09,7.95e+09,3.3665e+10,3.9226e+10,9.889e+09,2.285e+09,2.46e+08,1.242e+10,1.2422e+10,5.1648e+10,-2.2e+08,6.88e+08,2.49e+08,-1.65e+08,4.14e+08,2.59e+08,9.76e+08,-8.39e+08,-8.39e+08,-6.3e+07,-1.67e+08,-1.069e+09,-1.52e+08,2.31e+08,-1e+07,6.9e+07,-2.4e+07,-2.4e+07,-2.4e+07,1.186e+09,2.1779e+10,3.38e+08,0.5524,0.14298,-0.08786,-0.02463,-0.00592,-1.10458,0.60385,3.15778,0.42168,-0.72684,-0.72512,8.27316,29.50119,0.80285,0.36105,-0.00316,0.00694,-0.49673,18.29174,43.56225
"21","2015_Q2",25.2115873015873,"Down",3.897e+09,-1.626e+09,2.271e+09,-1.677e+09,-3.51e+08,-1.326e+09,5.94e+08,-2.28e+08,-2.79e+08,3.4e+07,3.66e+08,3.66e+08,-1.44e+08,2.22e+08,2.22e+08,2.22e+08,2.22e+08,9e+07,9e+07,1.675e+09,1.675e+09,7.62e+08,1.484e+09,2.25e+08,7.11e+08,4.011e+09,3.6117e+10,5.0625e+10,-1.4508e+10,1.2393e+10,6.418e+09,5.975e+09,4.851e+10,5.2521e+10,1.351e+09,1.102e+09,2.49e+08,3.346e+09,1.565e+09,5.03e+08,1.062e+09,6.262e+09,1.913e+10,1.4779e+10,7.211e+09,7.568e+09,3.3909e+10,4.0171e+10,9.913e+09,2.205e+09,2.3e+08,1.2348e+10,1.235e+10,5.2521e+10,2.22e+08,4.25e+08,-3.7e+07,1.27e+08,-1.64e+08,-4.17e+08,1.93e+08,-6.68e+08,-6.68e+08,-2e+06,-7.8e+07,-7.48e+08,-1.52e+08,7.12e+08,-3708530.00541736,5.6e+08,5e+06,5e+06,5e+06,1.019e+09,2.2476e+10,7.8e+07,0.58276,0.15242,0.05697,0.01798,0.00423,0.35135,0.64053,3.25271,0.42794,0.52732,0.52482,9.25653,29.33017,0.18527,0.36105,0.00754,0.00157,0.68468,21.9686,37.68687
"22","2015_Q3",23.8321875,"Down",3.465e+09,-1.372e+09,2.093e+09,-1.523e+09,-3.81e+08,-1.142e+09,5.7e+08,-2.52e+08,-2.82e+08,3.3e+07,3.18e+08,3.02e+08,-1.15e+08,1.87e+08,1.87e+08,1.87e+08,1.87e+08,9.4e+07,9.4e+07,1.59e+09,1.59e+09,7.92e+08,1.637e+09,2.35e+08,6.59e+08,4.113e+09,3.6416e+10,5.1144e+10,-1.4728e+10,1.2476e+10,6.418e+09,6.058e+09,4.8892e+10,5.3005e+10,1.357e+09,1.034e+09,3.23e+08,4.2e+09,1.232e+09,4.67e+08,7.65e+08,6.789e+09,1.857e+10,1.5115e+10,7.485e+09,7.63e+09,3.3685e+10,4.0474e+10,9.937e+09,2.391e+09,2.02e+08,1.253e+10,1.2531e+10,5.3005e+10,1.87e+08,4.44e+08,7000000.00000003,9.2e+07,-8.5e+07,1.59e+08,7.97e+08,-8.18e+08,-8.18e+08,-6e+07,-6.7e+07,-9.45e+08,-1.51e+08,3.05e+08,-2e+06,1.52e+08,4e+06,4e+06,4e+06,1.014e+09,2.277e+10,4.7e+08,0.60404,0.1645,0.05397,0.01492,0.00353,2.51337,0.60583,3.22991,0.42958,0.44313,0.44208,8.2109,29.69194,1.11374,0.35782,0.0067,0.00932,0.80749,22.36292,39.78246
"23","2015_Q4",23.148125,"Down",4.123e+09,-1.691e+09,2.432e+09,-1.516e+09,-4.38e+08,-1.078e+09,9.16e+08,-2.87e+08,-2.85e+08,2.6e+07,6.29e+08,6.21e+08,-2.26e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,8.6e+07,8.6e+07,1.592e+09,1.592e+09,7.38e+08,1.417e+09,1.48e+08,6.3e+08,3.833e+09,3.661e+10,5.1527e+10,-1.4917e+10,1.222e+10,6.418e+09,5.802e+09,4.883e+10,5.2663e+10,1.339e+09,9.94e+08,3.45e+08,3.081e+09,1.456e+09,5.08e+08,9.48e+08,5.876e+09,1.9093e+10,1.5066e+10,7.581e+09,7.485e+09,3.4159e+10,4.0035e+10,9.968e+09,2.482e+09,1.77e+08,1.2627e+10,1.2628e+10,5.2663e+10,3.95e+08,5.14e+08,1.89e+08,2.09e+08,-2e+07,2.29e+08,1.327e+09,-5.39e+08,-5.39e+08,-2.5e+07,-3e+07,-5.94e+08,-1.52e+08,-5.8e+08,-9e+06,-7.41e+08,-8e+06,-8e+06,-8e+06,1.43e+09,2.2174e+10,1.346e+09,0.58986,0.22217,0.0958,0.03128,0.0075,3.40759,0.65231,3.17034,0.42105,0.93381,0.9316,9.74704,29.85106,3.18203,0.35934,0.01097,0.02699,0.38481,15.44615,24.11354
"24","2016_Q1",25.05,"Up",3.541e+09,-1.589e+09,1.952e+09,-1.456e+09,-2.84e+08,-1.172e+09,4.96e+08,-2.7e+08,-2.86e+08,2.4e+07,2.26e+08,-3.96e+08,1.7e+08,-2.26e+08,-2.26e+08,-2.26e+08,-2.26e+08,1.31e+08,1.31e+08,1.415e+09,1.415e+09,7.85e+08,7.09e+08,1.35e+08,5.74e+08,3.04e+09,3.7214e+10,5.2374e+10,-1.516e+10,1.184e+10,6.418e+09,5.422e+09,4.9054e+10,5.2094e+10,1.409e+09,1.075e+09,3.34e+08,2.874e+09,1.267e+09,5.19e+08,7.48e+08,5.55e+09,1.9151e+10,1.4971e+10,6.773e+09,3.953e+09,3.4122e+10,3.9672e+10,9.994e+09,2.256e+09,1.71e+08,1.2421e+10,1.2422e+10,5.2094e+10,-2.26e+08,4.43e+08,5.86e+08,-1.44e+08,7.3e+08,3.4e+08,1.143e+09,-6.79e+08,-6.79e+08,-2.7e+07,-1.49e+08,-8.35e+08,-1.52e+08,-95999999.9999999,-1.5e+07,-2.63e+08,4.5e+07,4.5e+07,4.5e+07,9.39e+08,2.2025e+10,4.3e+08,0.55126,0.14007,-0.06382,-0.01819,-0.00434,-1.90265,0.54775,3.19369,0.42279,-0.53555,-0.53052,8.391,29.43365,1.01896,0.36019,-0.0015,0.0087,-0.67257,23.31629,44.14113
"25","2016_Q2",25.50265625,"Up",3.869e+09,-1.505e+09,2.364e+09,-1.588e+09,-3.9e+08,-1.198e+09,7.76e+08,-2.35e+08,-2.88e+08,2.5e+07,5.41e+08,5.41e+08,-2.13e+08,3.28e+08,3.28e+08,3.28e+08,3.28e+08,1.46e+08,1.46e+08,1.432e+09,1.432e+09,7.81e+08,8.71e+08,2.67e+08,6.04e+08,3.23e+09,3.7644e+10,5.3065e+10,-1.5421e+10,1.1821e+10,6.418e+09,5.403e+09,4.9465e+10,5.2695e+10,1.309e+09,1e+09,3.09e+08,3.48e+09,1.6e+09,5.13e+08,1.087e+09,6.389e+09,1.8878e+10,1.4964e+10,6.996e+09,7.968e+09,3.3842e+10,4.0231e+10,1.0005e+10,2.279e+09,1.79e+08,1.2463e+10,1.2464e+10,5.2695e+10,3.28e+08,4.61e+08,0,2.06e+08,-2.06e+08,-1.39e+08,6.5e+08,-6.98e+08,-6.98e+08,-2.3e+07,-1.44e+08,-8.65e+08,-1.52e+08,3.94e+08,-1.2e+07,2.3e+08,1.5e+07,1.5e+07,1.5e+07,1.237e+09,2.2358e+10,6.13e+08,0.61101,0.20057,0.08478,0.02632,0.00622,1.8689,0.50556,3.22778,0.42429,0.77358,0.76995,9.125,29.39387,1.44575,0.35849,0.00964,0.01231,0.46341,17.95635,28.62371
"26","2016_Q3",25.85515625,"Up",3.401e+09,-1.327e+09,2.074e+09,-1.602e+09,-3.97e+08,-1.205e+09,4.72e+08,-2.44e+08,-2.89e+08,2.6e+07,2.28e+08,-1.219e+09,1.3e+08,-1.089e+09,-1.089e+09,-1.089e+09,-1.089e+09,1.99e+08,1.99e+08,1.341e+09,1.341e+09,7.59e+08,7.77e+08,2.8e+08,4.97e+08,3.076e+09,3.7461e+10,5.2756e+10,-1.5295e+10,1.0864e+10,5.618e+09,5.246e+09,4.8325e+10,5.1401e+10,1.279e+09,9.38e+08,3.41e+08,4.252e+09,1.228e+09,4.39e+08,7.89e+08,6.759e+09,1.8348e+10,1.4887e+10,6.888e+09,7.999e+09,3.3235e+10,3.9994e+10,1.0026e+10,1.19e+09,1.91e+08,1.1407e+10,1.1407e+10,5.1401e+10,-1.089e+09,4.89e+08,1.302e+09,-1.34e+08,1.436e+09,1.2e+08,8.22e+08,-7.94e+08,-7.94e+08,-2.6e+07,-8.2e+07,-9.02e+08,-1.53e+08,2.5e+08,3.6e+07,1.33e+08,5.3e+07,5.3e+07,5.3e+07,9.61e+08,2.26e+10,1.57e+08,0.60982,0.13878,-0.3202,-0.09547,-0.02119,-0.144169999999999,0.4551,3.50609,0.43968,-2.56235,-2.56235,8.00235,26.84,0.36941,0.36,-0.01914,0.00321,-0.1405,23.31009,47.45975
"27","2016_Q4",24.634126984127,"Down",3.917e+09,-1.429e+09,2.488e+09,-1.627e+09,-4.09e+08,-1.218e+09,8.61e+08,-2.3e+08,-2.86e+08,2.8e+07,6.31e+08,6.31e+08,-2.51e+08,3.8e+08,3.8e+08,3.8e+08,3.8e+08,5.51e+08,5.51e+08,1.47e+09,1.47e+09,6.99e+08,7.6e+08,2.04e+08,5.56e+08,3.48e+09,3.7833e+10,5.3283e+10,-1.545e+10,1.0648e+10,5.618e+09,5.03e+09,4.8481e+10,5.1961e+10,1.309e+09,9.44e+08,3.65e+08,4.191e+09,1.543e+09,5.37e+08,1.006e+09,7.043e+09,1.8532e+10,1.4883e+10,7.136e+09,7.747e+09,3.3415e+10,4.0458e+10,1.0055e+10,1.264e+09,1.84e+08,1.1503e+10,1.1503e+10,5.1961e+10,3.8e+08,5.27e+08,1.22e+08,2.46e+08,-1.24e+08,9.1e+07,1.12e+09,-6.64e+08,-6.64e+08,-2.7e+07,-1.8e+07,-7.09e+08,-1.53e+08,1.35e+08,-4.1e+07,-5.9e+07,3.52e+08,3.52e+08,3.52e+08,1.388e+09,2.2723e+10,1.066e+09,0.63518,0.21981,0.09701,0.03303,0.00731,2.80526,0.49411,3.51717,0.43731,0.89412,0.88993,9.21647,27.06588,2.50824,0.36,0.01085,0.02171,0.40263,15.97406,25.75145
"28","2017_Q1",24.01,"Down",3.375e+09,-1.248e+09,2.127e+09,-1.686e+09,-4.14e+08,-1.272e+09,4.41e+08,-2.61e+08,-2.94e+08,2.4e+07,1.8e+08,-9.185e+09,3.389e+09,-5.796e+09,-5.796e+09,-5.796e+09,-5.796e+09,1.99e+08,1.99e+08,1.44e+09,1.44e+09,5.64e+08,7.47e+08,2.56e+08,4.91e+08,2.95e+09,2.9387e+10,4.5118e+10,-1.5731e+10,1.0811e+10,5.618e+09,5.193e+09,4.0198e+10,4.3148e+10,1.406e+09,1.043e+09,3.63e+08,4.36e+09,1.318e+09,5.8e+08,7.38e+08,7.084e+09,1.8234e+10,1.1589e+10,3.765e+09,4.105e+09,2.9823e+10,3.6907e+10,1.0599e+10,-4.532e+09,1.74e+08,6.241e+09,6.241e+09,4.3148e+10,-5.796e+09,4.97e+08,6.02e+09,-3.381e+09,9.401e+09,7e+07,7.91e+08,-6.79e+08,-6.79e+08,-3.5e+07,-1.27e+08,-8.26e+08,-1.53e+08,-1.59e+08,-2.6e+07,-3.38e+08,-3.73e+08,-3.73e+08,-3.73e+08,9.38e+08,2.2594e+10,-3.06e+09,0.63022,0.13067,-1.71733,-0.9287,-0.13433,0.52795,0.41643,5.91364,0.52364,-13.47907,-13.60563,7.84884,14.51395,-7.11628,0.35581,-0.1396,-0.0757,-0.0264000000000001,23.87527,50.78231
"29","2017_Q2",23.4073015873016,"Down",2.855e+09,-9.95e+08,1.86e+09,-1.232e+09,-3.33e+08,-8.99e+08,6.28e+08,-2.19e+08,-2.45e+08,2.6e+07,4.09e+08,4.09e+08,-1.52e+08,2.57e+08,2.05e+08,2.05e+08,2.05e+08,1.64e+08,1.64e+08,1.396e+09,1.396e+09,5.31e+08,1.435e+09,2.02e+08,3.12e+08,3.526e+09,2.8795e+10,4.4564e+10,-1.5769e+10,1.0891e+10,5.618e+09,5.273e+09,3.9686e+10,4.3212e+10,1.284e+09,9.77e+08,3.07e+08,4.897e+09,1.43e+09,5.55e+08,8.75e+08,7.611e+09,1.7808e+10,1.1654e+10,3.882e+09,4.016e+09,2.9462e+10,3.7073e+10,1.0297e+10,-4.333e+09,1.75e+08,6.139e+09,6.139e+09,4.3212e+10,2.05e+08,4.16e+08,1.71e+08,1.14e+08,5.7e+07,-7e+06,7.85e+08,-5.88e+08,-5.88e+08,-2.3e+07,-1.68e+08,-7.79e+08,-1.59e+08,1.14e+08,-1.3e+07,-5.8e+07,-5.2e+07,-5.2e+07,-5.2e+07,1.044e+09,2.2705e+10,6.01e+08,0.65149,0.21996,0.0718,0.03339,0.00474,2.93171,0.46328,6.03893,0.52543,0.46275,0.46171,6.4447,13.85779,1.35666,0.35892,0.00899,0.01484,0.77561,21.591,35.89331
