"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",2.34809523809524,"Down",2050434,-353656,1696778,-886805,-686051,-200754,809973,23961,23961,833934,833934,-257150,576784,567493,567493,567493,-18104364.608044,-18104364.608044,25941528.3731744,25941528.3731744,26361164.4437256,1708910.89155572,157592.159803719,34198328.208856,-1610544.00817035,13397622.532955,6459546.28303945,6938107.85819743,11787078.5247847,45985406.7336407,37888071.3582596,384393.15245537,-1126730.30291059,10971337.349442,3271361.86134723,48859408.7077016,-3367093.31190025,-4049700.34684343,-3367093.31190025,45492315.3958014,9274825.97556227,-8781734.63772295,493091.337839328,493091.337839328,45985406.7336407,567493,7904,361760,-349737,631699,75960.2316872744,-158000,-213720,18410235.7711172,-1176661,13325,-1176661,-758682,-758682,-758682,817877,0,-7001879.04521679,0.82752,0.39503,0.27677,-1.2860923951273,-1.25636455732714,-2.15347035272001,-230.309276645898,3.08882588586038,0,0.03617,0.03434,0.13067,0.154357099887467,-0.453192756492028,-1.15640437020831,-2.32938684930069,-2.23826876824749,-20.1038928167151,-1617.12734076249,-1731.98356399327
"2","2011_Q3",2.4825,"Up",2621686,-412778,2208908,-899535,-665641,-233894,1309373,28658,20317,1338031,1338271,-471190,867081,907480,907480,907480,-4230192.30402201,-4230192.30402201,11663863.6865872,11663863.6865872,13432037.2218628,813597.94577786,208513.07990186,20865708.604428,-734217.504085176,7459524.26647752,3981263.64151972,3478276.42909872,6725306.76239235,27591015.3668204,16048612.1791298,116144.576227685,-385326.651455294,5346687.67472102,1496699.93067362,21395299.8538508,-1097898.65595012,-1439202.17342172,-1097898.65595012,20297401.1979007,6289098.48778114,1004515.68113852,7293614.16891966,7293614.16891966,27591015.3668204,907480,7919,315100,-493267,921674,-2635,-242864,-266077,7618274.88555862,-793871,64315,-769790,-114193,-114193,-114193,1317292,0,1292580,0.84255,0.49944,0.34614,-0.58951619756365,-0.572087278663572,1.42436,-92.6947483229488,1.39038794293019,0,0.05865,0.05596,0.16944,0.519773549943733,0.08354,-0.478532185104156,-1.01818842465034,-1.01681438412374,-8.22658640835755,-818.699115381245,-876.254401996634
"3","2011_Q4",2.40714285714286,"Down",2639508,-476326,2163182,-855173,-861638,6465,1308009,57611,22948,1365620,1365620,-322268,1043352,1054143,1054143,1054143,4874258.565326,4874258.565326,4032251.2288624,4032251.2288624,5723092.74062094,322418.981925953,242460.359967287,14629602.5348093,-212462.834695059,4064247.75549251,2665728.21383991,1398524.80969957,3851784.92079745,18481387.4556068,4633353.05970993,78384.1920758951,57059.4495149018,2064327.22490701,528619.976891206,6697680.28461694,160365.448016625,24225.6088594275,160365.448016625,6858045.73263356,4719418.49592705,6903923.22704617,11623341.7229732,11623341.7229732,18481387.4556068,1054143,7377,199923,174867,1439140,-5171,-216425,-370548,2010477.29518621,66121,66121,66121,1134713,1134713,1134713,1315386,0,1807350,0.81954,0.49555,0.39937,-0.180575399187883,-0.173745759554524,1.71452,-17.8658327743163,0.478389314310064,0,0.06824,0.06572,0.17087,0.761134516647911,0.117,-0.126287395034719,-0.292366141550115,-0.311338128041248,-2.13374213611918,-336.176065127082,-359.213147332211
"4","2012_Q1",2.91322580645161,"Up",1427111,-315418,1111693,-1008767,-972669,-36098,102926,57367,23955,160293,160293,15134.9999999999,175428,185525,185525,185525,10181049,10181049,1170861,1170861,1922917,123954,259434,13274827,43010,2549501,2190852,358649,2592511,15867338,621360,176136,276327,519758,141191,1141118,689605,656047,689605,1830723,4171694,9864921,14036615,14036615,15867338,185525,6352,170758,111351,505030,-11295,-179790,-218780,0,1199,1199.00000000001,1198.99999999994,287449,287449,287449,109278,0,194199,0.77898,0.07212,0.13,0.01322,0.01169,1.04675,11.63318,0.13042,0,0.01193,0.01193,0.09178,0.90273,0.01249,0,0.0126,0.01319,0,-93.1665,-98.9162
"5","2012_Q2",3.40253968253968,"Up",2247956,-352370,1895586,-952048,-859681,-92367,943538,120256,21870,1063794,1063794,-308695,755099,971021,971021,971021,12662240,12662240,1203863,1203863,720096,106783,259434,14586199,120491,2252992,2234547,18445,2373483,16959682,991699,314424,348375,108482,108482,1100181,771726,771726,771726,1871907,4251833,10835942,15087775,15087775,16959682,971021,10035,217635,280144,789973,-86518,-201892,1691218,1.16415321826935e-10,115983.708809024,162769.75321452,0,2481191,2481191,2481191,953573,0,1455894,0.84325,0.41973,0.43196,0.06436,0.05725,1.49934,13.258,0.12407,0,0.06235,0.0602,0.14435,0.96885,0.09349,0,0.06123,0.0918,0,-13.27873,-13.41996
"6","2012_Q3",3.51634920634921,"Up",2789226,-396566,2392660,-1220906,-796757,-424149,1171754,88241,25083,1259995,1259562,-420985,838577,838577,838577,838577,13240930,13240930,2175756,2175756,742087,140433,259434,16158773,113090,2465839,2447394,18445,2578929,18737702,2392445,387848,354071,180932,180932,2573377,738974,738974,738974,3312351,4541524,10883827,15425351,15425351,18737702,838577,11224,69670,-234183,685288,-78832,-284407,-363239,0,256641,256641,256641,578690,578690,578690,1182978,0,1290948,0.85782,0.4201,0.30065,0.05436,0.04475,1.53945,6.27921,0.21473,0,0.05363,0.05243,0.17839,0.98653,0.08256,0,0.05188,0.07986,0,-11.19288,-11.30009
"7","2012_Q4",3.73322580645161,"Up",2771500,-437734,2333766,-1119294,-891131,-228163,1214472,77385,22572,1291857,1291857,-422524,869333,869333,869333,869333,12889180,12889180,2210710,2210710,677476,113484,259434,15777366,109097,2525750,2507305,18445,2634847,18412213,1802664,301432,369314,132610,132610,1935274,873255,873255,873255,2808529,4646675,10957009,15603684,15603684,18412213,869333,11054,338488,210809,1429684,-6811,-232780,-239591,-1586843,45000,45000,-1541843,-351750,-351750,-351750,1225526,0,1852048,0.84206,0.4382,0.31367,0.05571,0.04722,2.13042,8.15252,0.17999,0,0.0546,0.05404,0.17408,0.98006,0.11633,0.09967,0.14907,0.1124,1.82536,-10.51726,-10.61299
"8","2013_Q1",3.61283333333333,"Down",1639926,-323478,1316448,-1034325,-831448,-202877,282123,57319,19737,339442,339442,9511,348953,348953,348953,348953,12701075,12701075,1451864,1451864,517357,150856,153896,14670296,107410,2569163,2550718,18445,2676573,17346869,1283654,177509,372912,131782,131782,1415436,788857,788857,788857,2204293,4632765,10509811,15142576,15142576,17346869,348953,11360,187935,330791,879039,-9674,-239228,-248902,-796151,0,0,-818242,-188105,-188105,-188105,293483,0,605089,0.80275,0.17203,0.21279,0.02304,0.02012,1.73401,10.36451,0.14557,0,0.02191,0.02128,0.10298,0.95089,0.038,0.04999,0.07188,0.03798,2.28154,-43.27704,-45.01964
"9","2013_Q2",3.5678125,"Down",2290094,-386870,1903224,-1111395,-931060,-180335,791829,103786,13728,895615,895615,-308629,586986,586986,586986,586986,11379378,11379378,1720669,1720669,684125,115764,249918,13784172,98358,2647286,2628841,18445,2745644,16529816,531912,194107,337805,207228,207228,739140,819405,819405,819405,1558545,4670864,10300407,14971271,14971271,16529816,586986,10690,268398,-1127660,-261586,-1638,-262083,-263721,-796390,0,0,-796390,-1321697,-1321697,-1321697,802519,0,-18150,0.83107,0.34576,0.25632,0.03921,0.03551,-0.0309200000000001,18.64893,0.1041,0,0.03685,0.03587,0.14378,0.93995,-0.00114000000000001,0.05,0.08761,-0.00115,1.35674,-14.17957,-14.371
"10","2013_Q3",4.03515625,"Up",3118121,-498778,2619343,-1102505,-854983,-247522,1516838,55452,17074,1572290,1572290,-510715,1061575,1061575,1061575,1061575,9754861,9754861,2535816,2535816,468452,168351,2650,12759129,94091,2788480,2770035,18445,2882571,15641700,621188,254737,338592,222735,222735,843923,876968,876968,876968,1720891,4801810,9118999,13920809,13920809,15641700,1061575,14059,161429,-391350,845713,-6042,-319997,-326039,-2242983,27986,27986,-2144191,-1624517,-1624517,-1624517,1530897,0,1644220,0.84004,0.48646,0.34045,0.07626,0.06787,1.54885,15.11883,0.12362,0,0.06633,0.06535,0.19483,0.86983,0.10274,0.14015,0.22331,0.11111,2.11288,-6.37199,-6.43105
