"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q2",30.6825,"Up",527631000,-362689000,164942000,-133954000,-85206000,-48748000,30988000,-126292000,-127656000,1364000,-95304000,-95304000,-2196000,-97500000,-97500000,-96395000,-96395000,81201000,81201000,13387000,13387000,42291000,69888000,69888000,206767000,4997543000,787420000,176090000,5784963000,5991730000,323433000,67699000,255734000,221747000,500962000,500962000,1046142000,2416580000,127420000,127420000,2.544e+09,3590142000,2806839000,-395580000,-38544000,2372715000,2401588000,5991730000,-97500000,55480000,34950000,89165000,82095000,-85152000,-85152000,-348484000,473017000,-85775000,38758000,35701000,35701000,35701000,86468000,2638327000,92677000,0.31261,0.05873,-0.18269,-0.04014,-0.01609,-0.96143,0.19765,1.4949,0.44033,-0.48598,-0.48598,2.6601,11.96224,0.46724,-0.01865,0.01794,29.57309,82.51988
"2","2013_Q3",31.42265625,"Up",644433000,-421079000,223354000,-127965000,-74111000,-53854000,95389000,-103256000,-103686000,430000,-7867000,-7867000,-1048000,-8915000.00000006,-8915000.00000006,-8840999.99999997,-8840999.99999997,82840000,82840000,16370000,16370000,45429000,56380000,56380000,201019000,5601690000,785924000,174594000,6387614000,6588633000,318773000,97100000,221673000,272644000,579666000,579666000,1171083000,2918566000,114691000,114691000,3033257000,4204340000,2805481000,-404421000,-47407000,2353653000,2384293000,6588633000,-8915000.00000006,60466000,23461000,95673000,170685000,-673868000,-673868000,556217000,0,-51395000,504822000,1639000,1639000,1639000,155855000,3191210000,-421292000,0.34659,0.14802,-0.01372,-0.00371,-0.00134,47.65208,0.17165,1.76335,0.48435,-0.04334,-0.0433399999999999,3.15902,11.53766,-2.06518,-0.00155,-0.07404,19.94399,32.58625
"3","2013_Q4",32.4521875,"Up",797885000,-456102000,341783000,-133703000,-77606000,-56097000,208080000,-27253000,-26627000,-626000,180827000,180827000,-7933000,172894000,172894000,170858000,170858000,56960000,56960000,17717000,17717000,45901000,66473000,66473000,187051000,5622574000,795924000,184594000,6418498000,6605549000,323825000,98559000,225266000,282564000,471356000,471356000,1077745000,2830477000,122439000,122439000,2952916000,4030661000,2819358000,-233563000,-33098000,2552697000,2574888000,6605549000,172894000,64197000,10060000,-101588000,145563000,-76745000,-76745000,-78244000,1268000,-17722000,-94698000,-25880000,-25880000,-25880000,272277000,3113041000,101877000,0.42836,0.26079,0.21414,0.06636,0.02587,0.59627,0.17356,1.56537,0.47128,0.8358,0.81089,3.90306,12.48719,0.49836,0.02941,0.01753,11.22416,14.68705
"4","2014_Q1",34.1777049180328,"Up",600345000,-417789000,182556000,-121126000,-64232000,-56894000,61430000,-24398000,-24633000,235000,37032000,37032000,-625000,36407000,36407000,36092000,36092000,56467000,56467000,18260000,18260000,43715000,64482000,64482000,182924000,5647670000,820384000,209054000,6468054000,6650978000,340540000,86788000,253752000,286575000,448373000,448373000,1075488000,2841214000,103010000,103010000,2944224000,4019712000,2823069000,-197471000,-16690000,2608908000,2631266000,6650978000,36407000,64968000,-7056000,-17381000,76938000,-41517000,-59086000,-791000,1649000.00000001,-19203000,-18345000,-493000.000000004,-493000.000000004,-492999.999999996,126398000,3127789000,68125000,0.30409,0.10232,0.06012,0.01372,0.00543,1.88754,0.17008,1.52767,0.47028,0.17589,0.16119,2.92563,12.71385,0.33199,0.00616,0.01162,24.29882,49.9971
"5","2014_Q2",32.3093650793651,"Down",664028000,-445910000,218118000,-145029000,-83389000,-61640000,73089000,-30784000,-31172000,388000,42305000,42305000,9387000,51692000,51692000,51267000,51267000,64760000,64760000,1.8e+07,1.8e+07,48106000,56359000,56359000,187225000,6327263000,804411000,193081000,7131674000,7318899000,324474000,79590000,244884000,363697000,568719000,568719000,1256890000,3290493000,101551000,101551000,3392044000,4648934000,2812846000,-146204000,-31662000,2634980000,2669965000,7318899000,51692000,69708000,2787000,103947000,228134000,-746310000,-746310000,526326000,340000,-197000,526469000,8293000,8293000,8293000,142797000,3654190000,-508953000,0.32848,0.11007,0.07721,0.0192,0.007,-9.9275,0.14896,1.7412,0.49928,0.24988,0.24296,3.23658,12.84333,-2.48072,0.00798,-0.07921,25.13659,49.1104
"6","2014_Q3",33.9578125,"Up",765927000,-470796000,295131000,-146543000,-83084000,-63459000,148588000,-32185000,-31860000,-325000,116403000,116403000,-3124000,113279000,113279000,111616000,111616000,63483000,63483000,27145000,27145000,52566000,67030000,67030000,210224000,6305328000,799251000,187921000,7104579000,7314803000,359324000,102755000,256569000,372911000,647665000,647665000,1379900000,3129337000,90785000,90785000,3220122000,4600022000,2822413000,-34588000,-23011000,2685659000,2714781000,7314803000,113279000,71520000,5016000,101159000,290974000,-41256000,-41256000.0000002,-152018000,-77337000,-21640000,-250995000,-1277000,-1277000,-1277000,220108000,3502248000,283135000,0.38533,0.194,0.14573,0.04111,0.01526,2.53669,0.15235,1.69444,0.47879,0.54456,0.53031,3.73685,13.10297,1.38138,0.01769,0.04489,15.62308,23.14295
"7","2014_Q4",40.1453125,"Up",907017000,-511298000,395719000,-160897000,-97111000,-63786000,234822000,-29042000,-32284000,3242000,205780000,205780000,-2502000,203278000,203278000,201078000,201078000,55869000,55869000,25936000,25936000,51263000,57568000,57568000,190636000,6319933000,863480000,252150000,7183413000,7374049000,380474000,99884000,280590000,381565000,540985000,540985000,1303024000,3082346000,104695000,104695000,3187041000,4490065000,2826601000,166490000,-58479000,2852612000,2883984000,7374049000,203278000,72078000,-1361000,-92379000,181616000,-77271000,-77271000,-38969000,-1922000,-71068000,-111959000,-7614000,-7614000,-7614000,306900000,3463911000,139752000,0.43629,0.25889,0.22169,0.06972,0.02727,0.69501,0.1463,1.5569,0.46974,0.98946,0.96437,4.46322,14.03705,0.68769,0.03116,0.02166,11.10473,14.5133
"8","2015_Q1",47.7611475409836,"Up",788909000,-518620000,270289000,-223847000,-139585000,-84262000,46442000,-70596000,-56438000,-14158000,-24154000,-24153999.9999999,-1494000,-25648000,-25648000,-25609000,-25609000,84824000,84824000,32432000,32432000,56555000,109924000,109924000,283735000,8623773000,2561488000,355032000,11185261000,11468996000,654497000,101983000,552514000,576947000,855155000,855155000,2086599000,5503076000,360508000,360508000,5863584000,7950183000,3702574000,140881000,-242642000,3518813000,3518813000,11468996000,-25648000,91571000,37264000,-168310000,-65123000,-99803000,-931823000,1083662000,2776000.00000001,-60537000,1025901000,28955000,28955000,28955000,138013000,6080023000,-128606000,0.34261,0.05887,-0.03246,-0.00728,-0.00223,5.02191,0.13598,2.25934,0.53013,-0.12037,-0.11743,3.70814,16.53961,-0.60449,-0.00257,-0.01291,43.43938,129.09003
"9","2015_Q2",53.7706349206349,"Up",938182000,-623700000,314482000,-254133000,-154157000,-99976000,60349000,-81128000,-50989000,-30139000,-20779000,-20779000,-677000,-21456000,-21456000,-21456000,-21456000,121422000,121422000,30958000,30958000,56635000,115611000,115611000,324626000,8628870000,2639241000,273543000,11268111000,11592737000,699398000,84769000,614629000,579670000,1094706000,1094706000,2373774000,5379082000,360489000,360489000,5739571000,8113345000,3766369000,119425000,-324402000,3479392000,3479392000,11592737000,-21456000,104533000,32187000,199526000,314790000,-73131000,-73131000,-253191000,51790000,-3660000,-205061000,36598000,36598000,36598000,164882000,5958752000,291954000,0.3352,0.06433,-0.02287,-0.00617,-0.00185,-13.6071,0.13676,2.33183,0.51401,-0.09566,-0.09566,4.18269,15.51215,1.30162,-0.00219,0.0298,35.40308,96.72621
"10","2015_Q3",58.92546875,"Up",1085433000,-656279000,429154000,-211771000,-107164000,-104607000,217383000,-56163000,-52446000,-3717000,161220000,161220000,-2726000,158494000,158494000,158494000,158494000,172958000,172958000,36801000,36801000,59801000,130357000,130357000,399917000,8674815000,2612655000,265330000,11287470000,11687387000,636277000,55061000,581216000,585875000,1251936000,1251936000,2474088000,5178044000,294800000,294800000,5472844000,7946932000,3771763000,277919000,-227227000,3740455000,3740455000,11687387000,158494000,110184000,-33327000,161554000,396905000,-131925000,-131925000,-198152000,3232999.99999999,-18525000,-213444000,51536000,51536000,51536000,327567000,5763919000,359922000,0.39538,0.20027,0.14602,0.04237,0.01356,2.27089,0.16164,2.12459,0.49317,0.70224,0.68842,4.80923,16.57283,1.59471,0.01617,0.03673,17.06814,25.7194
"11","2015_Q4",58.84625,"Down",1284910000,-717722000,567188000,-260356000,-150558000,-109798000,306832000,-51517000,-49784000,-1733000,255315000,255315000,-3528000,251787000,251787000,251787000,251787000,230180000,230180000,41995000,41995000,54946000,114075000,114075000,441196000,8723844000,2582125000,375669000,11305969000,11747165000,701121000,44262000,656859000,587504000,1142657000,1142657000,2431282000,5096237000,300752000,300752000,5396989000,7828271000,3797816000,529706000,-319203000,3918894000,3918894000,11747165000,251787000,113144000,8543000,-111783000,261691000,-126502000,-125412000,-81583000,4937000,-2411000,-79057000,57222000,57222000,57222000,419976000,5683741000,185219000,0.44142,0.2388,0.19596,0.06425,0.02143,0.73562,0.18147,1.99757,0.48384,1.10732,1.09342,5.65082,17.23465,0.81456,0.02542,0.0187,12.98541,17.77377
"12","2016_Q1",48.1655737704918,"Down",1036523000,-657748000,378775000,-260853000,-143120000,-117733000,117922000,-79769000,-68690000,-11079000,38152999.9999999,38153000,159000,38312000,38312000,38312000,38312000,115937000,115937000,44996000,44996000,58173000,121305000,121305000,340411000,9458805000,2465541000,259085000,11924346000,12264757000,691937000,45488000,646449000,629840000,1044742000,1044742000,2366519000,5767697000,349661000,349661000,6117358000,8483877000,3814768000,568018000,-412650000,3780880000,3780880000,12264757000,38312000,122474000,26652000,-118646000,68792000,-791176000,-875785000,819422000,-97231000,-29441000,692750000,-114243000,-114243000,-114243000,240396000,6397537000,-669585000,0.36543,0.11377,0.03696,0.01013,0.00312,-17.47716,0.14384,2.24389,0.52162,0.16731,0.16278,4.52666,16.5117,-2.92418,0.00364,-0.0636,26.13022,53.26911
"13","2016_Q2",47.65828125,"Down",1077632000,-664481000,413151000,-281869000,-180574000,-101295000,131282000,-56949000,-59754000,2805000,74333000,74333000,-1104000,73229000,73229000,73229000,73229000,154867000,154867000,45613000,45613000,62383000,130053000,130053000,392916000,9489153000,2523670000,317214000,12012823000,12405739000,660411000,54250000,606161000,629953000,1199725000,1199725000,2490089000,5670144000,317895000,317895000,5988039000,8478128000,3833161000,641247000,-307542000,3927611000,3927611000,12405739000,73229000,104686000,4030000,148151000,330096000,-132027000,-133194000,-104248000,-46851000,-6873000,-157972000,38930000,38930000,38930000,235968000,6300097000,253196000,0.38339,0.12182,0.06795,0.01864,0.0059,3.45759,0.15779,2.1586,0.50784,0.32225,0.32102,4.74227,17.28401,1.11423,0.00694,0.02401,26.04264,46.80939
"14","2016_Q3",38.77453125,"Down",1186835000,-705900000,480935000,-253917000,-149307000,-104610000,227018000,-79173000,-68420000,-10753000,147845000,147845000,-2599000,145246000,145246000,145246000,145246000,145964000,145964000,60366000,60366000,67697000,166003000,166003000,440030000,10068499000,2449220000,242764000,12517719000,12957749000,620323000,46511000,573812000,581804000,1390137000,1390137000,2592264000,5971143000,275981000,275981000,6247124000,8839388000,3849769000,786493000,-278646000,4118361000,4118361000,12957749000,145246000,107582000,43215000,121899000,417942000,-632872000,-665834000,281937000,1031000,-43979000,238989000,-8903000,-8903000,-8903000,334600000,6552947000,-173774000,0.40522,0.19128,0.12238,0.03527,0.01121,-1.19641,0.16975,2.14634,0.50572,0.63993,0.63737,5.22899,18.14479,-0.765620000000001,0.01327,-0.01587,19.14819,28.22236
