"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",5.746875,"Up",50469000,7071383.17632524,11888045.8387507,25464000,-6597000,-14041000,8422000,-6236000,-9629000,-9648000,3393000,2186000,-5183000,-2997000,-2997000,-1115000,-780000,-1895000,-1895000,51541870.1422292,51541870.1422292,38237903.5018003,38342858.4670896,89779773.6440295,678006187.594004,928585868.502082,-250579680.908077,-41380327.4133122,-41380327.4133122,692952812.213031,782732585.857061,470254870.309193,79290982.404413,508206.956266973,6835215.64109099,6835167.15866653,477090085.950284,-61083612.9388333,414830.840801307,414830.840801307,-60668782.098032,416421303.852252,562709399.745394,-205925523.839354,-30770648.3795885,325960885.064315,40350396.9404929,366311282.004808,782732585.857061,-1115000,17156000,888000,6580000,23509000,-35093000,-36404000,-2312000,-9823000,20080000,20080000,-3724000,4221000,-8674000,-8674000,-8674000,25578000,0,0.75265615699257,0.16687,-0.03755,0.061717431271101,0.0330467386429469,0.204130418894069,0.95535686245552,0.0601573617322013,-0.02022,-0.02022,0.53849,6.52424441114528,0.02467,0.0445072429519422,-1.22005,-7.98109177337187,-121.066540740681
"2","2011_Q1",6.57274193548387,"Up",44498000,-18268000,26230000,-19055000,-6098000,-12957000,7175000,-8558000,-9086000,-8470000,527999.999999999,-1383000,-2039000,-3422000,-3422000,2677000,-594000,2083000,2083000,5891000,5891000,25861000,25861000,31752000,1428491000,1743021000,-314530000,18576000,18576000,1447067000,1478819000,415904000,36172000,7275000,8873000,8873000,424777000,2.43e+08,489000,489000,243489000,668266000,1027938000,-302601000,-1121000,724216000,86337000,810553000,1478819000,2677000,17814000,3014000,-2935000,20570000,-59404000,-20711000,-2401000,-40629000,27135000,27135000,-1276000,-17171000,-17312000,-17312000,-17312000,24989000,2.43e+08,0.58946,0.16124,0.04681,0.00257,0.00141,0.07475,0.82446,0.16432,0.02216,0.02216,0.47339,7.70459,0.02554,0.00425,1.15266,9.48853,33.04655
"3","2011_Q2",7.12079365079365,"Up",55752000,-24745000,31007000,-21244000,-6033000,-15211000,9763000,-8107000,-8113000,-8113000,6000,1656000,-1745000,-89000,-89000,476000,-593000,-117000,-117000,-5046123.38074305,-5046123.38074305,21893948.8327332,21858963.8443035,16847825.4519902,1586059687.46867,1915575043.83264,-329515356.363974,32021359.1377707,32021359.1377707,1605802145.92899,1622649971.38098,392151959.896936,27167589.198529,8513597.68124434,9570678.11963634,9570694.28044449,401722638.016572,332111204.312944,504639.719732898,504639.719732898,332615844.032677,734338482.049249,1114634700.08487,-329750492.053549,5946382.79319616,790840288.311895,97471201.0198357,888311489.331731,1622649971.38098,476000,17208000,1328000,-3765000,15247000,-8043000,-8170000,-6940000,-551000,60000,60000,-1448000,-8879000,-1802000,-1802000,-1802000,26971000,0,0.55616,0.17511,-0.0021,-0.0100091437570337,-0.00533141288098229,0.0433623603686436,0.82934104584816,0.203597546089266,-0.00118,-0.00118,0.56447,7.67899686295157,0.07026,-0.0025932476506474,-59.31624,13.7849497577906,61.7260069135604
"4","2011_Q3",6.7734375,"Down",55412000,-23370000,32042000,-21918000,-6841000,-15077000,10124000,-8213000,-8020000,-8020000,-193000,1911000,-3626000,-1715000,-1715000,1588000,-686000,902000,902000,1845000.00000001,1845000.00000001,22419000,22419000,24264000,1462561000,1781331000,-318770000,22637000,22637000,1485198000,1509462000,392010000,37105000,7260000,9532000,9532000,401542000,3.09e+08,490000,490000,309490000,711032000,1029629000,-321053000,-112999.999999996,708463000,89967000,798430000,1509462000,1588000,17223000,2764000,1345000,22920000,-48336000,-48288000,-6971000,33671000,61000,61000,-3637000,23124000,-2244000,-2244000,-2244000,27347000,3.09e+08,0.57825,0.1827,0.01628,0.00113,0.000599999999999995,0.06043,0.89054,0.20471,0.00913000000000001,0.00913,0.5606,7.16749,0.07053,0.00711,7.72837999999998,11.23176,30.33929
"5","2011_Q4",6.47761904761905,"Down",57008000,-23390000,33618000,-20761000,-5476000,-15285000,12857000,-8479000,-8463000,-8463000,8000,4378000,-1467000,2911000,2911000,7928000,-1100000,6828000,6828000,12491000,12491000,22802000,22802000,35293000,1433205000,1740880000,-307675000,19182000,19182000,1467825000,1503118000,403339000,50028000,7293000,9326000,9326000,412665000,3e+08,476000,476000,300476000,713141000,1031837000,-314380000,-9484000,707973000,82004000,789977000,1503118000,7928000,16960000,-4327000,5647000,26208000,-25599000,1825000,-6962000,-10416000,1452000,1452000,-1461000,-17387000,10646000,10646000,10646000,29817000,3e+08,0.58971,0.22553,0.11977,0.00864,0.00454,0.08552,0.90274,0.19959,0.06904,0.06809,0.57645,7.15884,0.0704,0.01265,1.01963,9.64245,22.36206
"6","2012_Q1",7.78225806451613,"Up",42832000,-16065000,26767000,-22742000,-6343000,-16399000,4025000,-8352000,-8191000,-8191000,96000,-4327000,-10180000,-14507000,-14507000,-7545000,-466000,-8011000,-9229000,9069000,9069000,19364000,19364000,28433000,1788720000,2107469000,-318749000,43645000,43645000,1847546000,1875979000,420867000,51025000,11401000,9568000,9568000,430435000,4e+08,490000,490000,400490000,830925000,1310726000,-342013000,-12831000,955913000,89141000,1045054000,1875979000,-7545000,22311000,7042000,-1856000,19952000,-389210000,-387467000,-6976000,98512000,277415000,277415000,-4858000,364093000,-3422000,-3422000,-3422000,26336000,4e+08,0.62493,0.09397,-0.21547,-0.00883,-0.00492,0.06606,0.7951,0.21322,-0.07998,-0.08095,0.37117,8.28349,0.06045,-0.00156,-0.755880000000004,14.84398,97.12571
"7","2012_Q2",8.0652380952381,"Up",64112000,-25943000,38169000,-31527000,-6444000,-25083000,6642000,-9643000,-9321000,-9321000,-71000,-3001000,-1322000,-4323000,-4323000,-3258000,-585000,-3843000,-5345000,7465000,7465000,19129000,19129000,26594000,1856071000,2190998000,-334927000,40684000,40684000,1911319000,1937913000,445775000,46263000,11710000,10630000,10630000,456405000,4.5e+08,506000,506000,450506000,906911000,1311979000,-363576000,-12052000,936382000,94620000,1031002000,1937913000,-3258000,27486000,775000,-4250000,20753000,-53307000,-52795000,-11026000,42219000,768000,768000,-1523000,30438000,-1604000,-1604000,-1604000,34128000,4.5e+08,0.59535,0.1036,-0.08337,-0.00518,-0.00276,0.05827,0.87964,0.23221,-0.04372,-0.04372,0.52436,7.65831,0.09018,0.00383,-2.06286,12.96692,66.62677
"8","2012_Q3",8.64126984126984,"Up",67269000,-26707000,40562000,-33355000,-6278000,-27077000,7207000,-9566000,-9249000,-9249000,-107000,-2359000,-1458000,-3817000,-3817000,3355000,-812000,2543000,1041000,137796000,137796000,20546000,15808000,158342000,1883421000,2226295000,-342874000,33128000,33128000,1930636000,2088978000,311921000,55453000,11712000,10607000,10607000,322528000,7.5e+08,501000,501000,750501000,1073029000,1316651000,-372082000,-18710000,925890000,90059000,1015949000,2088978000,3355000,27811000,-1830000,2506000,31842000,-42658000,-18086000,-11337000,131456000,204000,204000,-3748000,116575000,130331000,130331000,130331000,35018000,7.5e+08,0.60298,0.10714,0.01548,0.00102,5e-04,0.49094,1.05618,0.35903,0.00848999999999999,0.00849,0.54869,7.55193,0.09247,0.00701,10.89049,17.48255,84.94575
"9","2012_Q4",9.39451612903226,"Up",62747000,-24111000,38636000,-33707000,-6860000,-26847000,4929000,-11240000,-11122000,-11122000,166000,-6311000,4828000,-1483000,-1483000,2051000,-415000,1636000,134000,2707000,2707000,22974000,16522000,25681000,2092050000,2432415000,-340365000,49982000,49982000,2142032000,2167713000,333992000,63033000,12110000,10950000,10950000,344942000,815500000,487000,487000,815987000,1160929000,1359162000,-388061000,-21203000,949929000,56855000,1006784000,2167713000,2051000,30615000,-5711000,6519000,33474000,-115799000,-189778000,-11359000,35011000,59532000,59532000,-61969000,21215000,-135089000,-135089000,-135089000,35544000,815500000,0.61574,0.07855,0.00214,0.00013,6e-05,0.07445,1.15311,0.3762,0.00108,0.00108,0.50534,7.65004,0.09148,0.00631,84.76866,22.86723,164.90018
"10","2013_Q1",10.592,"Up",72194000,-26727000,45467000,-37372000,-6549000,-30823000,8095000,-10358000,-10626000,-10626000,268000,-2263000,-1390000,-3653000,-3653000,1480000,1000,1481000,-21000.0000000002,4494999.99999999,4494999.99999999,14323000,14323000,18818000,2089707000,2443022000,-353315000,41794000,41794000,2131501000,2150319000,305886000,60708000,16419000,11090000,11090000,316976000,7.95e+08,444000,444000,795444000,1112420000,1419781000,-410225000,-19796000,989791000,48108000,1037899000,2150319000,1480000,32661000,-1935000,153000,32359000,-35649000,-11277000,-11757000,-50388000,43204000,43204000,-353000,-19294000,1788000,1788000,1788000,40756000,7.95e+08,0.62979,0.11213,-0.000290000000000003,-2e-05,-9.99999999999986e-06,0.05937,1.0718,0.36971,-0.00016,-0.00016,0.55896,7.66317,0.09103,0.0064,-559.85714,19.39604,97.65349
