"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",15.42078125,"Down",245420000,-204042000,41378000,-44554000,-30368000,-14186000,-3176000,-226000,-613000,387000,-3402000,-3402000,44000,-3358000,-3358000,-3358000,-3380000,141326828.725022,141326828.725022,21941468.0426815,21941468.0426815,37369200.7640204,9774881.93526616,6465857.77995949,3309166.03942021,210412379.46699,28776905.2273162,4386193.09779183,2784000.01298886,1602766.49131252,33163422.011204,243575801.478194,129103304.546306,74087140.7897433,55016163.7565631,-13261841.3440934,15407434.9084473,92051987.8099271,2446424.79001998,2446424.79001998,128739919.164085,220791906.974012,349275092.592414,-74397009.9474181,-252094188.160482,22783894.5045889,22783894.5041827,243575801.478194,-3358000,3825000,1640000,6109000,8216000,-4870000,-6474000,-1305000,13000,-50000,-1342000,4e+05,4e+05,4e+05,649000,0,1844000,0.1686,-0.01294,-0.01377,0.828692137892001,0.192014890652779,-0.54556,1.94036692548693,9.37255932779391,0.466193844851734,-0.14692,-0.14692,10.66765,1.00814608777318,0.08015,0.666058723070815,-1.42964668793407,88.5245781022595,18.9594399832976
"2","2011_Q1",15.3272580645161,"Down",348870000,-289458000,59412000,-44264000,-28749000,-15515000,15148000,-8000,-686000,678000,15140000,15140000,-281000,14859000,14859000,14859000,14846000,124021000,124021000,13560000,13560000,34196000,14193000,11651000,2542000,185970000,27800000,4189000,2784000,1405000,31989000,217959000,108062000,67311000,40751000,24027000,24027000,171224000,3175000,3175000,15507000,186731000,350319000,-76764000,-242327000,31228000,31228000,217959000,14859000,4109000,924000,28152000,48044000,-1210000,-1246000,897000,-5000,-77000,815000,47613000,47613000,47613000,19257000,51467000,46480000,0.1703,0.04342,0.04255,0.47541,0.06811,3.13081000000001,1.08612,5.9796,0.23613,0.64385,0.6073,15.13011,1.35432,2.01579,0.17289,0.54128,-3.76767,-4.78968
"3","2011_Q2",14.3673015873016,"Down",265470000,-215386000,50084000,-50071000,-33411000,-16660000,13000,-435000,-624000,189000,-422000,-422000,-22000,-444000,-444000,-444000,-454000,101979557.091659,101979557.091659,8523927.31910618,8523927.31910618,28543099.7453265,17146372.6882446,14815047.4066802,2331277.98685993,156192956.844337,27643031.5908946,4387018.96740272,2783999.99567038,1602827.83622916,32029942.662932,188222899.507269,86121565.1512312,52536536.4034189,33585028.7478123,29749697.1146978,24443271.6971842,165199004.063358,3360108.40332667,3360108.40332667,-6725556.38802821,158473447.675329,351226885.802529,-77953330.0175273,-243524103.946506,29749451.8318037,29749451.8319391,188222899.507269,-444000,3999000,1096000,-13879000,-9228000,-1676000,-1715000,-11161000,-1589000,-52000,-12802000,-23745000,-23745000,-23745000,4012000,0,-11521000,0.18866,5e-05,-0.00171,0.0351801207026665,-0.0103466302175931,25.37665,0.904803524837691,5.11652939073536,0.213562885049422,-0.01956,-0.01956,11.43528,1.28203963740894,-0.49627,-0.055878741023605,0.557231395978022,-13.8698168674198,-19.9527349944325
"4","2011_Q3",11.80265625,"Down",234992000,-195222000,39770000,-47188000,-30380000,-16808000,-7418000,-364000,-584000,220000,-7782000,-7782000,-16000,-7798000,-7798000,-7798000,-7800000,82680000,82680000,6642000,6642000,22747000,18344000,15949000,2395000,130413000,27645000,4748000,2784000,1964000,32393000,162806000,71060000,38838000,32222000,21454000,21454000,122455000,3223000,3223000,17257000,139712000,352027000,-78364000,-250569000,23094000,23094000,162806000,-7798000,4264000,846000,-11620000,-14308000,-2348000,-2388000,-835000,-11000,-54000,-899999.999999998,-17596000,-17596000,-17596000,-3154000,43975000,-17106000,0.16924,-0.03157,-0.03319,-0.33775,-0.04791,2.19308,1.06499,6.04971,0.27011,-0.33527,-0.33527,10.10067,0.99265,-0.73527,-0.11097,-0.24336,12.27172,5.21771
"5","2011_Q4",8.59984126984127,"Down",239738000,-201365000,38373000,-46314000,-29143000,-17171000,-7941000,-86000,-639000,553000,-8027000,-8027000,240000,-7787000,-7787000,-7787000,-7787000,79138000,79138000,8445000,8445000,20625000,17637000,15254000,2383000,125845000,27085000,5045000,2784000,2261000,32130000,157975000,80236000,42552000,37684000,21180000,21180000,107445000,3034000,3034000,34522000,141967000,352730000,-78366000,-258356000,16008000,16008000,157975000,-7787000,4209000,759000,10055000,7236000,-2327000,-2367000,-8234000,-2000,-175000,-8411000,-3542000,-3542000,-3542000,-3732000,37517000,3756000,0.16006,-0.03312,-0.03248,-0.48644,-0.04929,-0.48234,1.17125,8.8685,0.23749,-0.33455,-0.33455,10.29979,0.68775,0.16137,-0.13768,0.06641,11.15247,5.24128
"6","2012_Q1",6.41596774193548,"Down",314077000,-263216000,50861000,-53049000,-36645000,-16404000,-2188000,-1161000,-477000,-684000,-3349000,-3349000,-60000,-3409000,-3409000,-3409000,-3409000,96985000,96985000,13501000,13501000,24020000,14687000,12651000,2036000,149193000,25322000,5044000,2784000,2260000,30366000,179559000,118234000,70332000,47902000,44978000,27978000,163322000,2998000,2998000,3e+06,166322000,353370000,-78368000,-261765000,13237000,13237000,179559000,-3409000,3878000,2236000,39258000,41963000,-2394000,-2435000,-21604000,-2000,-75000,-21681000,17847000,17847000,17847000,1690000,112000.000000007,38614000,0.16194,-0.00697,-0.01085,-0.25754,-0.01899,-11.32708,0.91349,12.56493,0.000620000000000009,-0.14643,-0.14643,13.49128,0.5686,1.65868,-0.20854,2.36215,-57.3213,44.27468
"7","2012_Q2",6.29253968253968,"Down",262367000,-214859000,47508000,-45033000,-29297000,-15736000,2475000,253000,-179000,432000,2728000,2728000,-9000,2719000,2719000,2719000,2719000,72105000,72105000,11941000,11941000,18555000,11193000,9140000,2053000,113794000,23345000,4576000,2784000,1792000,27921000,141715000,78931000,42804000,36127000,43814000,26814000,122778000,2630000,2630000,2632000,125410000,354183000,-78832000,-259046000,16305000,16305000,141715000,2719000,4034000,1007000,-29994000,-22234000,-2127000,-2048000,-77000,-464000,-57000,-598000,-24880000,-24880000,-24880000,6509000,35000,-25603000,0.18107,0.00943,0.01036,0.16676,0.01919,-9.41633,0.92683,7.69151,0.00025,0.11624,0.11613,11.2161,0.69703,-1.09452,0.14333,-1.34966,-11.07236,-29.11919
"8","2012_Q3",8.40730158730159,"Up",239536000,-196367000,43169000,-43150000,-28028000,-15122000,18999.9999999995,493000,-226000,719000,512000,512000,-42000,470000,470000,470000,470000,59998000,59998000,10084000,10084000,22828000,17141000,15097000,2044000,110051000,23250000,4432000,2784000,1648000,27682000,137733000,76434000,40625000,35809000,41263000,24263000,117697000,2431000,2431000,2431000,120128000,355013000,-78832000,-258576000,17605000,17605000,137733000,470000,4062000,817000,-13056000,-7707000.00000001,-4327000,-4307000,-35000,1.16415321826935e-10,-58000,-92999.9999999981,-12107000,-12107000,-12107000,4081000,-9.31322574615479e-10,-13260000,0.18022,8.00000000000002e-05,0.00196,0.0267,0.00340999999999999,-28.21277,0.93504,6.82352,-7.15573433840433e-18,0.02005,0.02003,10.22042,0.75116,-0.56577,0.02346,-0.66181,-14.70179,-3157.78947
"9","2012_Q4",13.5075806451613,"Up",255352000,-208810000,46542000,-44767000,-28727000,-16040000,1775000,1049000,-164000,1213000,2824000,2824000,-131000,2693000,2693000,2693000,2693000,72469000,72469000,14020000,14020000,23058000,15610000,13550000,2060000,125157000,23084000,5427000,2784000,2643000,28511000,153668000,83810000,43302000,40508000,45814000,28814000,129624000,2765000,2765000,2765000,132389000,355994000,-78832000,-255883000,21279000,21279000,153668000,2693000,3839000,948000,9124000,16604000,-4059000,-4073000,0,0,-60000,-60000,12471000,12471000,12471000,5614000,0,10810000,0.18227,0.00695,0.01055,0.12656,0.01752,4.01411,0.96554,6.22158,0,0.11485,0.11337,10.8906,0.90754,0.46104,0.112,0.44959,-12.90862,-40.82761
"10","2013_Q1",13.1628333333333,"Down",342034000,-280823000,61211000,-53319000,-34674000,-18645000,7892000,1198000,-124000,1322000,9090000,9090000,-303000,8787000,8787000,8787000,8787000,93547000,93547000,19273000,19273000,28376000,14802000,12897000,1905000,155998000,21037000,4950000,2784000,2166000,25987000,181985000,110090000,62416000,47674000,38411000,38411000,148501000,2522000,2522000,2522000,151023000,356897000,-78839000,-247096000,30962000,30962000,181985000,8787000,4074000,1098000,27523000,41482000,-1926000,-3336000,-1.7e+07,-7000.00000000006,-61000,-17068000,21078000,21078000,21078000,11966000,-5.82076609134674e-11,37866000,0.17896,0.02307,0.02569,0.2838,0.04828,4.30932,1.05048,4.87769,4.33680868994202e-19,0.37758,0.36527,14.69723,1.33044,1.62711,0.26242,1.13087,-7.81773,-11.8534000000001
"11","2013_Q2",22.27640625,"Up",311994000,-253058000,58936000,-51521000,-33793000,-17728000,7415000,328000,-17000,345000,7743000,7743000,-46000,7697000,7697000,7697000,7697000,81895000,81895000,15851000,15851000,23523000,12369000,10589000,1780000,133638000,25937000,5651000,2784000,2867000,31588000,165226000,93624000,46753000,46871000,31531000,31531000,125155000,2049000,2049000,2049000,127204000,357649000,-80228000,-239399000,38022000,38022000,165226000,7697000,3863000,438000,-13651000,-1653000,-6062000,-5985000,-2563000,-1389000,-62000,-4014000,-11652000,-11652000,-11652000,11278000,0,-8389000,0.1889,0.02377,0.02467,0.20244,0.04658,-1.08991,1.06778,3.34554,0,0.32623,0.32049,13.22345,1.61151,-0.35556,0.19208,-0.20935,-7.26148,-11.0445
