"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"22","2016_Q1",11.422131147541,"Up",237505000,-208156000,29349000,-27774000,-20752000,-4742000,-2280000,1575000,-1235000,-1251000,16000,339999.999999999,-8414000,3426000,-4988000,-4988000,-4988000,-4988000,1604000,1604000,92877000,92877000,7820000,7820000,308946000,166538000,372129000,-205591000,36396000,24757000,11639000,202934000,511880000,74370000,55685000,18685000,77060000,145800000,34325000,24496000,9829000,180125000,257185000,128129000,127335000,254695000,254695000,511880000,-4988000,4971000,1960000,36205000,38148000,-1300000,-1300000,-1300000,-1300000,-219000,-39380000,14000,-40284000,-3436000,-3436000,-3436000,6546000,148490000,38025000,0.12357,0.00663,-0.021,-0.01958,-0.00974000000000001,-7.62329999999999,4.00916,1.00978,0.29009,-0.44659,-0.44659,21.26466,22.80374,3.40451,0.01961,-0.0109,0.08691,-0.04391,22.43905,93.26095
"23","2016_Q2",21.52953125,"Up",258349000,-220312000,38037000,-28795000,-21727000,-4731000,-2337000,9242000,-1290000,-1285000,-5000,7952000,-1255000,488000,-767000,-767000,-767000,-767000,2430000,2430000,114702000,114702000,7847000,7847000,314793000,163425000,371886000,-208461000,39427000,24535000,14892000,202852000,517645000,78929000,56038000,22891000,81619000,145214000,36235000,23443000,12792000,181449000,263068000,128949000,126350000,254577000,254577000,517645000,-767000,4960000,-853000,-495000,2845000,-1236000,-1396000,-1396000,-1236000,-219000,-587000,23000,-783000,826000,826000,826000,14202000,147904000,11983000,0.14723,0.03577,-0.00297,-0.00301,-0.00148,-15.62321,3.85686,1.03335,0.28572,-0.06859,-0.06859,23.10401,22.76668,1.07163,0.01959,-0.00125,0.02731,-0.28553,10.24321,15.74053
"24","2016_Q3",23.0346875,"Up",273608000,-226723000,46885000,-28986000,-22056000,-4772000,-2158000,17899000,-1332000,-1274000,-58000,16567000,7007000,-3457000,3550000,3550000,3550000,3550000,3990000,3990000,113400000,113400000,7237000,7237000,335411000,161076000,374031000,-212955000,41648000,24313000,17335000,202724000,538135000,95497000,71230000,24267000,97322000,142484000,40961000,25711000,15250000,183445000,280767000,128387000,129680000,257368000,257368000,538135000,3550000,5001000,1537000,-2399999.99999999,7688000,-2201000,-2201000,-2201000,-2201000,-219000,-3594000,-114000,-3927000,1560000,1560000,1560000,22900000,144309000,21756000,0.17136,0.06542,0.01297,0.01379,0.0066,6.12845,3.4464,1.09092,0.26817,0.31651,0.31651,24.39444,22.9465,1.93973,0.01953,0.00851,0.04915,0.06169,6.12747,7.83949
"25","2016_Q4",22.7685714285714,"Down",268255000,-231071000,37184000,-28162000,-21632000,-4395000,-2135000,9022000,-1315000,-1336000,21000,7707000,-1288000,-469000,-1757000,-1757000,-1757000,-1757000,2845000,2845000,110989000,110989000,6225000,6225000,350879000,158642000,373585000,-214943000,40446000,24091000,16355000,199088000,549967000,89022000,65079000,23943000,90847000,163516000,40037000,25369000,14668000,203553000,294400000,128563000,127703000,255567000,255567000,549967000,-1757000,4625000,34000,-23123000,-20221000,-1737000,-1738000,-1738000,-1737000,-219000,21032000,0,20813000,-1145000,-1145000,-1145000,13647000,165341000,-10744000,0.13861,0.03363,-0.00655,-0.00687,-0.00319,6.11497,3.86231,1.15195,0.30064,-0.15661,-0.15661,23.91078,22.77984,-0.95766,0.01952,-0.00334,-0.02331,-0.12464,11.90709,18.01108
"26","2017_Q1",21.9370967741935,"Down",254904000,-221455000,33449000,-27374000,-20699000,-4587000,-2088000,6075000,-1391000,-1378000,-13000,4684000,-4044000,1940000,-2104000,-2104000,-2104000,-2104000,2315000,2315000,101902000,101902000,6197000,6197000,364940000,155766000,374242000,-218476000,35362000,23869000,11493000,191128000,556068000,103073000,79458000,23615000,104898000,164599000,33181000,23119000,10062000,197780000,302678000,128619000,125380000,253390000,253390000,556068000,-2104000,4816000,-2272000,-565000,-125000.000000004,-1274000,-1489000,-1489000,-1274000,-220000,1083000,6000,869000.000000004,-530000,-530000,-530000,10891000,166424000,7112000,0.13122,0.02383,-0.00825,-0.0083,-0.00378,-3.38023,3.479,1.19451,0.29929,-0.18747,-0.18747,22.71264,22.57774,0.6337,0.0196,-0.00416,0.0157,-0.10456,15.06831,27.01383
"27","2017_Q2",17.7034920634921,"Down",334893000,-281955000,52938000,-31522000,-24676000,-4536000,-2310000,21416000,-1652000,-1626000,-26000,19764000,9399000,-1700000,7699000,7699000,7699000,7699000,2804000,2804000,140281000,140281000,4088000,4088000,410363000,153427000,375938000,-222511000,35279000,23646000,11633000,188706000,599069000,110963000,87211000,23752000,112788000,192971000,31775000,21731000,10044000,224746000,337534000,129285000,132859000,261535000,261535000,599069000,7699000,4766000,-1078000,-37079000,-25692000,-1982000,-2066000,-2066000,-1982000,-219000,28372000,10000,28163000,489000,489000,489000,26182000,194796000,-11179000,0.15807,0.06395,0.02299,0.02944,0.01285,-1.45201,3.63836,1.29059,0.32516,0.67719,0.67719,29.45668,23.00422,-0.98329,0.01926,0.01622,-0.0229,0.02845,7.33298,8.96489
"28","2017_Q3",17.772380952381,"Up",356195000,-304879000,51316000,-31115000,-24383000,-4541000,-2191000,20201000,-1816000,-1788000,-28000,18385000,7817000,-3020000,4797000,4797000,4797000,4797000,4126000,4126000,158202000,158202000,7189000,6345000,432257000,150667000,375808000,-225141000,35285000,23424000,11861000,185952000,618209000,107780000,83834000,23946000,108710000,210728000,32509000,21728000,10781000,243237000,351947000,129392000,137438000,266262000,266262000,618209000,4797000,4771000,456000,-22815000,-12791000,-2402000,-2403000,-2403000,-2402000,-220000,16861000,-126000,16515000,1322000,1322000,1322000,24972000,211658000,2774999.99999999,0.14407,0.05671,0.01347,0.01802,0.00776,0.57849,3.97624,1.32181,0.34237,0.42142,0.42116,31.29184,23.3912,0.24378,0.01933,0.00983,0.00544,0.04586,8.31059,10.27335
"29","2017_Q4",19.7422222222222,"Up",331442000,-285882000,45560000,-29700000,-23444000,-4106000,-2150000,15860000,-1988000,-1966000,-22000,13872000,3298000,-1018000,2280000,2280000,2280000,2280000,4157000,4157000,150692000,150692000,6354000,5510000,441426000,148100000,374653000,-226553000,35372000,23202000,12170000,183472000,624898000,103439000,80189000,23250000,104369000,220409000,31658000,20176000,11482000,252067000,356436000,129490000,139499000,268462000,268462000,624898000,2280000,4335000,-1259000,-13515000,-8159000,-1272000,-2001000,-2001000,-1272000,-219000,9681000,0,9462000,31000,31000,31000,20195000,221339000,6426000,0.13746,0.04785,0.00688,0.00849,0.00365,2.81842,4.22947,1.3277,0.3542,0.20025,0.20025,29.10961,23.57825,0.56438,0.01923,0.00479,0.01232,0.09605,10.75425,13.69369
"30","2018_Q1",22.0614754098361,"Up",308166000,-269921000,38245000,-29947000,-23441000,-4295000,-2211000,8298000,-2180000,-2138000,-42000,6118000,-4164000,8351000,4187000,4187000,4187000,4187000,3009000,3009000,132737000,132737000,9083000,8333000,420136000,147648000,376710000,-229062000,36374000,22980000,13394000,184022000,604158000,110217000,84034000,26183000,111147000,196235000,24193000,12145000,12048000,220428000,331575000,129453000,143467000,272583000,272583000,604158000,4187000,4715000,-8937000,27636000,27601000,-3513000,-3690000,-3690000,-3513000,-220000,-24173000,-843000,-25236000,-1148000,-1148000,-1148000,13013000,197165000,28785000,0.12411,0.02693,0.01359,0.01536,0.00693,6.87485,3.78,1.21642,0.32635,0.36773,0.36796,27.06534,23.94019,2.5281,0.01932,0.00892,0.05828,0.05254,14.92016,23.39793
"31","2018_Q2",21.805,"Down",375598000,-318213000,57385000,-32901000,-26100000,-4246000,-2555000,24484000,-2032000,-1986000,-46000,22452000,10313000,-2684000,7629000,7629000,7629000,7629000,3412000,3412000,174813000,174813000,6448000,5698000,503697000,151310000,384218000,-232908000,35872000,22758000,13114000,187182000,690879000,136867000,112518000,24349000,136867000,248955000,24042000,12827000,11215000,272997000,409864000,130379000,150875000,281015000,281015000,690879000,7629000,4357000,1087000,-56528000,-43455000,-7693000,-7743000,-7743000,-7693000,-220000,51790000,-19000,51551000,403000,403000,403000,28841000,248955000,-32696000,0.15278,0.06519,0.02031,0.02715,0.01104,-4.28575,3.68019,1.45851,0.36035,0.66816,0.66816,32.89525,24.61158,-2.86355,0.01927,0.01417,-0.05902,0.02884,8.51368,10.02871
"32","2018_Q3",21.132380952381,"Down",452917000,-379874000,73043000,-35338000,-28631000,-4410000,-2297000,37705000,-2763000,-2670000,-93000,34942000,21556000,-5708000,15848000,15848000,15848000,15848000,5501000,5501000,205245000,205245000,6023000,5273000,580364000,157508000,394470000,-236962000,41084000,27766000,13318000,198592000,778956000,158034000,127113000,30921000,158034000,297674000,26460000,14562000,11898000,324134000,482168000,130417000,166503000,296788000,296788000,778956000,15848000,4528000,2213000,-41017000,-18428000,-6022000,-6032000,-6032000,-27929000,-220000,48717000,-51000,48446000,2089000,2089000,2089000,42233000,297674000,902000,0.16127,0.08325,0.03499,0.0534,0.02035,0.0569199999999981,3.6724,1.62462,0.38214,1.38592,1.38592,39.60796,25.95435,0.0788799999999998,0.01924,0.02588,0.00144999999999999,0.01388,6.91812,7.74892
"33","2018_Q4",17.6636507936508,"Down",456976000,-390692000,66284000,-35118000,-28569000,-4201000,-2348000,31166000,-2906000,-2923000,17000,28260000,15708000,-4109000,11599000,11599000,11599000,11599000,4267000,4267000,213422000,213422000,5219000,5219000,589106000,158662000,398524000,-239862000,41499000,27519000,13980000,200161000,789267000,148994000,118134000,30860000,148994000,304484000,27442000,14718000,12724000,331926000,480920000,130597000,177882000,308347000,308347000,789267000,11599000,4314000,432000,-17595000,-1250000,-6571000,-6591000,-6591000,-6571000,-220000,6807000,0,6587000,-1234000,-1234000,-1234000,35480000,304484000,15423000,0.14505,0.0682,0.02538,0.03762,0.0147,1.32968,3.95389,1.55967,0.38578,1.01354,1.01337,39.93149,26.94399,1.34769,0.01922,0.01846,0.02409,0.01897,8.46158,9.63284
"34","2019_Q1",17.4898360655738,"Down",429590000,-381740000,47850000,-84153000,-26827000,-4751000,-52575000,-36303000,-3287000,-3102000,-185000,-39590000,-1513000,196000,-1317000,-1317000,-1317000,-1317000,9319000,9319000,175252000,175252000,9460000,9460000,562769000,159609000,403785000,-244176000,38362000,24914000,11090000,197971000,760740000,128427000,95367000,33060000,128427000,302530000,22792000,13465000,9327000,325322000,453749000,130778000,176345000,306991000,306991000,760740000,-1317000,4836000,-3606000,12719000,12632000,-5303000,-5349000,-5349000,-5303000,-220000,-1026000,-1031000,-2277000,5052000,5052000,5052000,-31467000,302530000,-24247000,0.11139,-0.08451,-0.00307,-0.00429,-0.00173,18.41078,4.38201,1.47805,0.39768,-0.11521,-0.11491,37.58114,26.85601,-2.12116,0.01925,-0.00173,-0.03835,-0.16705,-9.31805,-8.07677
"35","2019_Q2",14.4838095238095,"Down",445919000,-391993000,53926000,-35017000,-27469000,-4750000,-2798000,18909000,-3228000,-3242000,14000,15681000,2846000,-772000,2074000,2074000,2074000,2074000,5113000,5113000,204448000,204448000,9886000,9886000,562323000,161707000,410053000,-248346000,75332000,30192000,41876000,237039000,799362000,123844000,99524000,24320000,129705000,313269000,47188000,12686000,34502000,360457000,490162000,132275000,178199000,309200000,309200000,799362000,2074000,4879000,-215000,-7903000,-1165000,-2394000,-2399000,-2399000,-13394000,-220000,10737000,-1e+05,10353000,-4206000,-4206000,-4206000,23788000,313269000,14263000,0.12093,0.0424,0.00465,0.00671,0.00259,6.87705,4.3354,1.58526,0.3919,0.18054,0.18054,38.81607,26.91504,1.24156,0.01915,0.00343,0.0213,0.10608,12.95426,16.29679
"36","2019_Q3",12.1284375,"Down",429151000,-376617000,52534000,-34099000,-26816000,-4817000,-2466000,18435000,-3233000,-3174000,-59000,15202000,2707000,-626000,2081000,2081000,2081000,2081000,6373000,6373000,185048000,185048000,9973000,9973000,489577000,159211000,410995000,-251784000,75617000,29873000,42488000,234828000,724405000,97328000,70457000,26871000,103121000,264649000,48172000,13055000,35117000,312821000,415942000,132420000,180061000,308463000,308463000,724405000,2081000,4947000,-1143000,47467000,53352000,-1793000,-2022000,-2022000,-1793000,-219000,-48623000,-1.16415321826935e-10,-50299000,1260000,1260000,1260000,23382000,264649000,69682000,0.12241,0.04296,0.00485,0.00675,0.00287,33.48486,4.7476,1.34843,0.36533,0.18133,0.18133,37.39552,26.87896,6.07198,0.01908,0.0037,0.11216,0.10524,11.04593,14.01009
"37","2019_Q4",15.53296875,"Up",384230000,-336308000,47922000,-32501000,-25551000,-4642000,-2308000,15421000,-2557000,-2569000,12000,12864000,1024000,-433000,591000,591000,591000,591000,8488000,8488000,168037000,168037000,6274000,6274000,465945000,158044000,414040000,-255996000,74754000,29576000,41755000,232798000,698743000,111886000,89293000,22593000,117628000,223004000,49463000,12904000,36559000,272467000,390095000,132676000,180432000,308648000,308648000,698743000,591000,4771000,1509000,40297000,47168000,-3058000,-3058000,-3058000,-3191000,-220000,-41641000,0,-41862000,2115000,2115000,2115000,20192000,223004000,57864000,0.12472,0.04013,0.00154,0.00191,0.00085,97.90863,3.96117,1.26388,0.31915,0.05089,0.05089,33.08335,26.57551,4.98226,0.01894,0.0014,0.09957,0.37225,10.62381,13.91064
"38","2020_Q1",13.1343548387097,"Down",319740000,-274649000,45091000,-81246000,-74025000,-4821000,-2400000,-36155000,-2303000,-2304000,1000,-38458000,-1288000,398000,-890000,-890000,-890000,-890000,5742000,5742000,133572000,133572000,6997000,6997000,419842000,156793000,417124000,-260331000,72920000,29259000,40238000,229713000,649555000,95606000,69452000,26154000,101087000,192925000,47191000,12262000,34929000,240116000,341203000,131647000,179321000,308352000,308352000,649555000,-890000,4951000,3098000,23107000,30266000,-2651000,-2686000,-2686000,-2651000,-220000,-30141000,0,-30361000,-2746000,-2746000,-2746000,-31204000,192925000,-11146000,0.14102,-0.11308,-0.00278,-0.00289,-0.00137,12.5236,4.15327,1.10654,0.29701,-0.07767,-0.07767,27.90539,26.9115,-0.972769999999999,0.0192,-0.00122,-0.02032,-0.24719,-5.99869,-5.17724
"39","2020_Q2",9.70285714285714,"Down",354380000,-305598000,48782000,-33442000,-25869000,-4913000,-2660000,15340000,-2256000,-2239000,-17000,13084000,795000,-202000,593000,593000,593000,593000,5284000,5284000,165782000,165782000,6364000,6364000,444984000,155895000,420594000,-264699000,77088000,28940000,44725000,232983000,677967000,104148000,82962000,21186000,110243000,209052000,52280000,12127000,40153000,261332000,371575000,132006000,179695000,306392000,306392000,677967000,593000,5042000,-334000,-17286000,-11985000,-4235000,-4235000,-4235000,-4235000,-220000,16127000,-115855.481397917,15762000,-458000,-458000,-458000,20382000,209052000,-937000,0.13765,0.04329,0.00167,0.00194,0.00087,-1.5801,4.03639,1.21274,0.30835,0.05182,0.05175,30.96645,26.77316,-0.08188,0.01922,0.00143,-0.00165,0.37099,9.99745,13.28344
"40","2020_Q3",10.890625,"Up",248296000,-215863000,32433000,-30300000,-22934000,-4927000,-2439000,2133000,-1917000,-1891000,-26000,216000.000000007,-9402000,2948000,-6454000,-6454000,-6454000,-6454000,7105000,7105000,129618000,129618000,8766000,8766000,415210000,150628000,419050000,-268422000,77297000,28623000,45251000,227925000,643135000,88451000,65933000,22518000,94445000,196946000,51806000,10068000,41738000,248752000,343197000,131803000,173020000,299938000,299938000,643135000,-6454000,5014000,3097000,13840000,15497000,-1348000,-1948000,-1948000,-1348000,-222000,-12106000,-256391.465329516,-12328000,1821000,1821000,1821000,7147000.00000001,196946000,16691000,0.13062,0.00858999999999999,-0.02599,-0.02152,-0.01004,-2.58615,4.39632,1.14423,0.30623,-0.56387,-0.56461,21.69282,26.20461,1.45824,0.0194,-0.01136,0.03042,-0.0343999999999998,26.56233,89.00188
"41","2020_Q4",13.22875,"Up",299921000,-259438000,40483000,-62753000,-55770000,-4727000,-2256000,-22270000,-1718000,-1693000,-25000,-23988000,-2081000,561000,-1520000,-1520000,-1520000,-1520000,5144000,5144000,148555000,148555000,8120000,8120000,394716000,147613000,420382000,-272769000,76974000,28305000,45246000,224587000,619303000,90519000,69665000,20854000,96504000,171299000,52665000,10011000,42654000,223964000,320468000,132089000,171278000,298835000,298835000,619303000,-1520000,4899000,189000,21573000,25141000,-1235000,-1785000,-1785000,-1235000,-221000,-25646000,-299731.716596357,-25867000,-1961000,-1961000,-1961000,-17371000,171299000,2406000,0.13498,-0.07425,-0.00507,-0.00509,-0.00245,-1.58289,4.09015,1.07239,0.2766,-0.13274,-0.13274,26.19169,26.09685,0.21011,0.0193,-0.00248,0.0046,-0.14539,-9.56508,-7.46093
"42","2021_Q1",19.1116393442623,"Up",331547000,-281291000,50256000,-44886000,-37656000,-4923000,-2307000,5370000,-1593000,-1588000,-5000,3777000,3777000,-1991000,1786000,1786000,1786000,1786000,5533000,5533000,151601000,151601000,5069000,5069000,402204000,157200000,434579000,-277379000,81201000,32593000,43485000,238401000,640605000,121145000,87291000,33854000,126725000,160609000,52261000,9818000,42443000,212870000,339595000,132382000,172843000,301010000,301010000,640605000,1786000,5053000,1509000,24651000,32999000,-1831000,-1835000,-1835000,-21331000,-222000,-10933000,-124000,-11279000,389000,389000,389000,10423000,160609000,35234000,0.15158,0.0162,0.00539,0.00593,0.00279,19.72788,3.17383,1.12819,0.25071,0.15602,0.15602,28.96366,26.29597,3.07801,0.01939,0.00391,0.06856,0.1243,14.87825,28.87821
"43","2021_Q2",31.0790476190476,"Up",463124000,-378072000,85052000,-53462000,-45082000,-5235000,-3145000,31590000,-1665000,-1655000,-10000,29925000,29925000,-7917000,22008000,22008000,22008000,22008000,8309000,8309000,210695000,210695000,10940000,10940000,508118000,154624000,436850000,-282226000,75617000,32026000,38357000,230241000,738359000,167976000,122485000,45491000,173412000,191903000,49269000,13968000,35301000,241172000,414584000,132644000,194630000,323775000,323775000,738359000,22008000,5372000,-1313000,-51787000,-25720000,-2286000,-2286000,-2286000,-2286000,-221000,31118000,-115000,30782000,2776000,2776000,2776000,36962000,191903000,-9194000,0.18365,0.06821,0.04752,0.06797,0.02981,-0.41776,2.93012,1.28047,0.2599,1.9154,1.91441,40.3067,28.17885,-0.80017,0.01923,0.03935,-0.01627,0.01004,4.9671,5.81178
"44","2021_Q3",27.24984375,"Down",556077000,-455241000,100836000,-58400000,-50350000,-5273000,-2777000,42436000,-2015000,-2016000,1000,40421000,40421000,-10772000,29649000,29649000,29649000,29649000,11636000,11636000,264451000,264451000,10295000,10295000,659659000,152019000,434506000,-282487000,76011000,31666000,39111000,228030000,887689000,210845000,154390000,56455000,216370000,268975000,48524000,12968000,35556000,317499000,533869000,132916000,224057000,353820000,353820000,887689000,29649000,5540000,55000.0000000005,-105268000,-70024000,-2270000,-2293000,-2293000,-2270000,-222000,76895000,-1052000,75621000,3327000,3327000,3327000,47976000,268975000,-48790000,0.18133,0.07631,0.05332,0.0838,0.0334,-1.64559,3.04875,1.50887,0.30301,2.58042,2.57907,48.39661,30.79373,-4.2463,0.01932,0.0445,-0.07268,0.00749000000000002,5.36391,6.06417
"45","2021_Q4",23.89703125,"Down",668466000,-547074000,121392000,-59232000,-51390000,-4813000,-3029000,62160000,-1962000,-1947000,-15000,60198000,60198000,-15665000,44533000,44533000,44533000,44533000,15143000,15143000,721215000,721215000,12459000,12459000,748817000,147275000,412635000,-265360000,75214000,31307000,38673000,222489000,971306000,223977000,160034000,63943000,229434000,297880000,45277000,10365000,34912000,343157000,572591000,133174000,268368000,398715000,398715000,971306000,44533000,4925000,-4066000,-76585000,-31193000,6356000,-1226316.88249535,-1226316.88249535,6356000,-222000,28602000,-36000,28344000,3507000,3507000,3507000,67085000,297880000,12521000,0.1816,0.09299,0.06662,0.11169,0.04585,0.28116,3.26376,1.43609,0.30668,3.87547,3.86941,58.173,34.69802,1.08964,0.01932,0.06033,0.01688,0.00499,4.21461,4.54854
"46","2022_Q1",26.756935483871,"Up",624586000,-524682000,99904000,-63624000,-55080000,-4995000,-3549000,36280000,-2025000,-2013000,-12000,34255000,34255000,-9394000,24861000,24861000,24861000,24861000,9812000,9812000,769599000,769599000,9989000,9989000,789400000,147056000,413396000,-266340000,87116000,33653000,42967000,234172000,1023572000,218396000,148649000,69747000,224336000,327764000,47033000,9890000,37143000,374797000,599133000,133427000,293008000,424439000,424439000,1023572000,24861000,5117000,-5952000,-43463000,-19437000,-3159000,-524065.288860677,-524065.288860677,-15264000,-221000,29713000,-122000,29370000,-5331000,-5331000,-5331000,41397000,327764000,4169000.00000001,0.15995,0.05809,0.0398,0.05857,0.02429,0.16769,3.51883,1.41159,0.32022,2.16277,2.15564,54.33545,36.92379,0.36268,0.01923,0.03138,0.00522000000000001,0.00889,7.68056,8.76384
"47","2022_Q2",33.4175806451613,"Up",696333000,-579155000,117178000,-64056000,-55485000,-4982000,-3589000,53122000,-2004000,-1998000,-6000,51118000,51118000,-13816000,37302000,37302000,37302000,37302000,8009000,8009000,794983000,794983000,11602000,11602000,814594000,143594000,413136000,-269542000,85515000,33248000,41771000,229109000,1043703000,214182000,163449000,50733000,219983000,311185000,49749000,16279000,33470000,360934000,580917000,133754000,329309000,462786000,462786000,1043703000,37302000,5096000,2635000,-30150000,14883000,1176000,-2116000,-2116000,1176000,-1001000,-16761000,-1e+05,-17862000,-1803000,-1803000,-1803000,58218000,311185000,43060000,0.16828,0.07629,0.05357,0.0806,0.03574,1.15436,3.70299,1.25526,0.29815,3.24591,3.24083,60.59285,40.27027,3.74695,0.0871,0.0465,0.05228,0.02684,5.2076,5.70716
"48","2022_Q3",26.8371875,"Down",709176000,-588170000,121006000,-67141000,-58904000,-4946000,-3291000,53865000,-2286000,-2271000,-15000,51579000,51579000,-13955000,37624000,37624000,37624000,37624000,8446000,8446000,832052000,832052000,14398000,14398000,854896000,146946000,419732000,-272786000,84274000,32844000,40934000,231220000,1086116000,238472000,182410000,56062000,244599000,287880000,54078000,20790000,33288000,341958000,586557000,134089000,365932000,499559000,499559000,1086116000,37624000,5060000,4582000,-14462000,32804000,-7906000,-7906000,-7906000,-7906000,-1002000,-23459000,1.45519152283669e-11,-24461000,437000,437000,437000,58925000,287880000,50512000,0.17063,0.07595,0.05305,0.07531,0.03464,1.34255,3.49509,1.17415,0.26505,3.26088,3.2589,61.46438,43.29685,4.37788,0.08684,0.0459,0.06002,0.02663,4.7422,5.18767
