"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"12","2013_Q3",25.7621875,"Up",330804000,-283413000,47391000,-32386000,-24541000,-5523000,-2322000,15005000,-1708000,-1668000,-40000,13297000,4316000,-1790000,2526000,2526000,2526000,2526000,3798000,3798000,143108000,143108000,9049000,9049000,404742000,189400000,349393000,-159993000,88788000,34979000,13022000,278188000,682930000,130601000,102358000,28243000,143691000,194499000,46320000,33812000,12508000,240819000,384510000,123454000,175414000,298420000,298420000,682930000,2526000,5860000,-1107000,25193000,32472000,-2057000,-2065000,-2065000,-2057000,-219000,-29288000,90999.9999999999,-29416000,999000,999000,999000,20865000,207589000,45791000,0.14326,0.04536,0.00764,0.00846,0.0037,18.12787,2.81675,1.28849,0.30397,0.22835,0.22814,29.90454,26.97704,4.13949,0.0198,0.00497,0.08291,0.0867,9.76712,13.58154
"13","2013_Q4",26.62828125,"Up",303990000,-261926000,42064000,-29150000,-21603000,-5347000,-2200000,12914000,-1690000,-1689000,-1000,11224000,2485000,-1145000,1340000,1340000,1340000,1340000,5999000,5999000,131478000,131478000,11749000,11749000,394997000,193125000,358169000,-165044000,89587000,34757000,14043000,282712000,677709000,129804000,101050000,28754000,142894000,188037000,46821000,32583000,14238000,234858000,377752000,123909000,176536000,299957000,299957000,677709000,1340000,5681000,1099000,6326000,14446000,-5811000,-5811000,-5811000,-5811000,-219000,-6462000,247000,-6434000,2201000,2201000,2201000,18595000,201127000,20255000,0.13837,0.04248,0.00441,0.00447,0.00198,15.11567,2.76427,1.25935,0.29677,0.12109,0.12097,27.47063,27.10618,1.83038,0.01979,0.00285,0.03697,0.16343,10.49357,15.1098
"14","2014_Q1",26.8260655737705,"Up",290473000,-251540000,38933000,-30676000,-22546000,-5856000,-2274000,8257000,-1658000,-1648000,-9999.99999999999,6599000,-1783000,401000,-1382000,-1382000,-1382000,-1382000,3186000,3186000,115288000,115288000,12786000,12786000,417631000,190884000,361368000,-170484000,88834000,34535000,13512000,279718000,697349000,152543000,126012000,26531000,165633000,186179000,46921000,33476000,13445000,233100000,398733000,124118000,174935000,298616000,298616000,697349000,-1382000,6191000,958000,329000,6096000,-6496000,-6508000,-6508000,-6496000,-219000,-1858000,-336000,-2413000,-2813000,-2813000,-2813000,14448000,199269000,7880000,0.13403,0.02843,-0.00476,-0.00463,-0.00198,-5.70188,2.52142,1.33527,0.28575,-0.12453,-0.12445,26.17345,26.90719,0.71004,0.01973,-0.00213,0.01446,-0.15847,13.57164,23.74749
"15","2014_Q2",23.7285714285714,"Down",346913000,-296827000,50086000,-34001000,-25455000,-5676000,-2870000,16085000,-1752000,-1754000,2000,14333000,4477000,-1700000,2777000,2777000,2777000,2777000,5399000,5399000,149906000,149906000,11439000,11439000,450608000,187752000,363560000,-175808000,89127000,34313000,14027000,276879000,727487000,146654000,119272000,27382000,159744000,218797000,46672000,32728000,13944000,265469000,425213000,125169000,177491000,302274000,302274000,727487000,2777000,6011000,-124000,-36653000,-27989000,-2334000,-2341000,-2341000,-2334000,-219000,32618000,137000,32536000,2213000,2213000,2213000,22096000,231887000,-15191000,0.14438,0.04637,0.008,0.00919,0.00382,-5.47029,2.82081,1.40671,0.31875,0.25043,0.25041,31.28443,27.25891,-1.36992,0.01975,0.00516,-0.02615,0.07886,10.25018,14.0807
"16","2014_Q3",22.11765625,"Down",386047000,-335206000,50841000,-32743000,-24628000,-5689000,-2426000,18098000,-1782000,-1778000,-4000,16316000,5326000,-1832000,3494000,3494000,3494000,3494000,4705000,4705000,163819000,163819000,9880000,9880000,489358000,185068000,366265000,-181197000,90005000,34091000,15127000,275073000,764431000,174984000,147405000,27579000,178514000,233783000,46142000,31841000,14301000,279925000,458439000,125586000,180766000,305992000,305992000,764431000,3494000,6024000,-675000,-10909000,-2066000.00000001,-2783000,-2783000,-2783000,-2783000,-220000,5426000,-1051000,4155000,-694000.000000001,-694000.000000001,-694000.000000001,24122000,237313000,12262000,0.1317,0.04688,0.00905,0.01142,0.00457,3.50944,2.74129,1.49821,0.31044,0.31509,0.31509,34.81351,27.59419,1.10578,0.01984,0.0063,0.0208,0.06297,9.64298,12.85269
"17","2014_Q4",17.3678125,"Down",376617000,-330006000,46611000,-31553000,-24564000,-4641000,-2348000,15058000,-1622000,-1602000,-20000,13436000,2495000,-939000,1556000,1556000,1556000,1556000,9090000,9090000,152668000,152668000,9419000,9419000,500609000,182689000,368089000,-185400000,89390000,33868000,14735000,272079000,772688000,146717000,121382000,25335000,150247000,269475000,45163000,30716000,14447000,314638000,464885000,125974000,182103000,307803000,307803000,772688000,1556000,4832000,2000,-35338000,-28948000,-2060000,-2090000,-2090000,-2060000,-220000,35692000,-79000,35393000,4385000,4385000,4385000,19890000,273005000,-16569000,0.12376,0.03998,0.00413,0.00506,0.00201,-10.64846,3.33191,1.51033,0.35332,0.13993,0.13993,33.86844,27.68013,-1.49002,0.01978,0.00284,-0.02647,0.14139,13.26873,17.52656
"18","2015_Q1",14.0637704918033,"Down",326693000,-290441000,36252000,-29553000,-22371000,-4774000,-2408000,6699000,-1750000,-1646000,-104000,4949000,-28412000,1521000,-26891000,-26891000,-26891000,-26891000,2238000,2238000,123804000,123804000,21559000,20434000,458709000,177386000,366989000,-189603000,64653000,33646000,14056000,242039000,700748000,128447000,91252000,37195000,131977000,244090000,43900000,30651000,13249000,287990000,419967000,126339000,154991000,280781000,280781000,700748000,-26891000,4973000,23435000,17902000,19419000,-589000,-620000,-620000,-589000,-219000,-25385000,-77999.9999999999,-25682000,-6852000,-6852000,-6852000,11672000,247620000,27464000,0.11097,0.02051,-0.08231,-0.09577,-0.03837,-1.02131,3.47567,1.49571,0.35337,-2.40485,-2.40506,29.21597,25.11009,2.45609,0.01959,-0.0466,0.04799,-0.00814000000000004,21.02313,36.62965
"19","2015_Q2",15.7330158730159,"Up",345865000,-302476000,43389000,-30743000,-23221000,-4812000,-2710000,12646000,-1594000,-1563000,-31000,11052000,1751000,-682000,1069000,1069000,1069000,1069000,4914000,4914000,151477000,151477000,16484000,15359000,453141000,174487000,366754000,-192267000,64466000,33424000,14091000,238953000,692094000,131754000,97308000,34446000,135284000,234100000,40753000,29104000,11649000,274853000,410137000,127301000,155841000,281957000,281957000,692094000,1069000,5007000,-3060000,11552000,14568000,-1691000,-1691000,-1691000,-1691000,-220000,-9990000,9000,-10201000,2676000,2676000,2676000,17653000,237630000,28196000,0.12545,0.03656,0.00309,0.00379,0.00154,26.37605,3.34955,1.45461,0.34335,0.09549,0.09549,30.8946,25.18598,2.51862,0.01965,0.0023,0.05032,0.2058,13.1828,18.40234
"20","2015_Q3",12.1196875,"Down",315251000,-277560000,37691000,-28069000,-20913000,-4850000,-2306000,9622000,-1497000,-1470000,-27000,8125000,-25895000,3635000,-22260000,-22260000,-22260000,-22260000,6926000,6926000,137712000,137712000,11454000,11454000,399552000,172398000,369219000,-196821000,40390000,25202000,14688000,212788000,612340000,102470000,72704000,29766000,105160000,209395000,37526000,25114000,12412000,246921000,352081000,127662000,133360000,260259000,260259000,612340000,-22260000,5045000,21208000,26318000,30311000,-2539000,-2542000,-2542000,-2539000,-220000,-25545000,5000,-25760000,2012000,2012000,2012000,14667000,212085000,34811000,0.11956,0.03052,-0.07061,-0.08553,-0.03635,-1.56384,3.79947,1.35281,0.34635,-1.98732,-1.98732,28.1449,23.23534,3.10785,0.01964,-0.04323,0.06827,-0.00988,13.9878,21.32187
"21","2015_Q4",10.2878125,"Down",276922000,-239433000,37489000,-28087000,-21259000,-4632000,-2196000,9402000,-1489000,-1406000,-83000,7913000,-1036000,438000,-598000,-598000,-598000,-598000,5040000,5040000,115155000,115155000,7753000,7753000,356979000,169773000,370909000,-201136000,38246000,24980000,12766000,208019000,564998000,82726000,57395000,25331000,85416000,185180000,34397000,23655000,10742000,219577000,304993000,128033000,132542000,260005000,260005000,564998000,-598000,4850000,-839000,21045000,24458000,-1784000,-1784000,-1784000,-1784000,-220000,-24215000,-125000,-24560000,-1886000,-1886000,-1886000,14252000,187870000,33075000,0.13538,0.03395,-0.00216,-0.0023,-0.00106,-55.30936,4.1793,1.17303,0.33251,-0.05338,-0.05338,24.71856,23.20852,2.95233,0.01964,-0.00078,0.06858,-0.36789,12.82837,19.44586
