"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q1",2.12274193548387,"Down",2362745,-1828842,533903,-752862,-103368,-14781,-634713,-218959,-603,-2201,-2201,1598,-219562,-219562,-219562,-219562,-219562,-219562,606644,606644,391235,391235,2574438,35256,35256,3607573,549854,285526,0,243000,42526,835380,4442953,690735,643793,46942,23443,128740,128740,842918,41726,0,0,41726,884644,4707964,-1149655,3558309,3558309,4442953,-219562,14781,31838,-253823,-64051,-180489,-9283,-426766,-81081,-81081,-81081,0,-81081,-15330,618347,618347,603017,95170,95170,95170,-204178,65169,0.22597,-0.09267,-0.09293,-0.0617,-0.04942,4.27986,0.24861,0.01467,-0.04518,-0.04518,0.48622,0.73225,-0.06059,2.65198,2.47295
"2","2017_Q2",2.00793650793651,"Down",2583925,-1903065,680860,-963018,-187153,-20523,-755342,-282158,-1151,-1151,-1151,26957.2008819552,-283309,-283309,-283309,-283309,-283309,-283309,1324221,1324221,507582,507582,3517440,31765,31764.9999999999,5381008,653260,564537,5833,493000,65704,1217797,6598805,879841,813957,65884,154240,116673,116673,1150754,35931,0,0,35931,1186685,6845084,-1432964,5412120,5412120,6598805,-283309,20522,77000,-771201,-116347,-943002,288148,-956988,-379761,-379761,-123648,-256113,-379761,-5794,2060120,2060120,2054326,717577,717577,717577,-261636,190171,0.2635,-0.1092,-0.10964,-0.05235,-0.04293,4.67607,0.21926,0.02882,-0.02338,-0.02338,0.21328,0.44672,-0.05057,4.33446,4.0192
"3","2017_Q3",1.87285714285714,"Down",4111034,-2960275,1150759,-1488525,-219671,-19524,-1249330,-337766,-2610,-2610,-2610,20191.4008819552,-340376,-340376,-340376,-340376,-340376,-340376,2155092,2155092,542228,542228,4436136,547745,547745,7681201,954878,600136,18811,523000,58325,1555014,9236215,1566741,1475722,91019,62896,143093,143093,1772730,100889,0,0,100889,1873619,9135936,-1773340,7362596,7362596,9236215,-340376,19525,325408,-618153,-34646,-918696,335189,-613596,-279153,-279153,-235895,-43258,-279153,-10924,1734544,1734544,1723620,830871,830871,830871,-318241,163785,0.27992,-0.08216,-0.0828,-0.04623,-0.03685,4.33298,0.25448,0.01773,-0.02331,-0.02331,0.28157,0.50428,-0.04522,6.25723,5.89552
"4","2017_Q4",2.32634920634921,"Up",4027779,-2912378,1115401,-1573951,-237884,-22988,-1313079,-458550,-2358,-3420,-3420,1062.00000000001,-460908,-460908,-460908,-460908,-460908,-460908,1905477,1905477,683795,683795,5023727,607450,607450,8220449,1136351,641902,25337,523000,93565,1778253,9998702,1414172,1318787,95385,54112,191849,191849,1660133,89639.0000000001,0,4.54747350886464e-13,89639,1749772,10483178,-2234248,8248930,8248930,9998702,-460908,22988,242984,-825159,-141567,-587591,-96001,-1020095,-210987,-210987,-204181,-6805.99999999999,-210987,-20034.0000000001,1001501,1001501,981467,-249615,-249615,-249615,-435562,143751,0.27693,-0.11385,-0.11443,-0.05587,-0.0461,4.95168,0.21212,0.01438,-0.03102,-0.03102,0.27111,0.55524,-0.05492,4.04472,3.84195
"5","2018_Q1",5.25934426229508,"Up",3641148,-3318613,322535,-2094574,-377693,-88526,-1628355,-1772039,-8008,-8158,-8158,150,-1780047,-1457989,-1457989,-1457989,-1457989,-1457989,1215265,1215265,653568,653568,4585341,711852,711852,7166026,1259483,828899,53286,592500,183113,2088382,9254408,1211106,1067857,143249,41707,340237,340237,1593050,82537,0,0,82537,1675587,11271058,-3692237,7578821,7578821,9254408,-1457989,88526,556188,-2221,-19773,364738,-347186,-815496,-309107,-309107,-211377,-97730,-309107,-19507,453898,453898,434391,-690212,-690212,-690212,-1683513,124244,0.08858,-0.48667,-0.40042,-0.19238,-0.15755,4.49831,0.22109,0.01343,-0.08852,-0.08852,0.22108,0.46015,-0.18927,0.64806,0.61569
"6","2018_Q2",4.41265625,"Down",4381018,-3191402,1189616,-1849580,-363778,-45012,-1440790,-659964,23789,-8018,-8018,31807,-636175,-953430,-953430,-953430,-953430,-953430,8762663,8762663,745116,745116,6712771,576331,576331,16796881,1297621,2943966,60531,2717785,165650,4241587,21038468,1586580,1472677,113903,315271,611642,611642,2513493,4680934,-60608.3439428089,-60609.5294924451,4680934,7194427,18489708,-4645667,13844041,13844041,21038468,-953430,45011,533455,-1409576,-91548,-2127430,809402,-1784540,-661023,-661023,-53613,-607410,-661023,8832803,1160158,1160158,9992961,7547398,7547398,7547398,-614953,4996205,0.27154,-0.15064,-0.21763,-0.06887,-0.04532,6.68268,0.51968,0.23748,-0.05176,-0.05176,0.23785,0.7516,-0.05061,6.12479,5.70707
"7","2018_Q3",4.0484126984127,"Down",7153540,-5423317,1730223,-2350293,-399095,-81982,-1869216,-620070,-5048,18315,-11312,-23363,-625118,-929959,-929959,-929959,-929959,-929959,17433339,17433339,954309,954309,8089018,610141,610141,27086807,1411591,3556252,60251,3399412,96589,4967843,32054650,1978052,1754952,223100,323118,312907,312907,2614077,4803409,0,2.91038304567337e-11,4803409,7417486,30212790,-5575626,24637164,24637164,32054650,-929959,81982,641989,-1530299,-209193,-1376247,55141,-1736287,-421231,-421231,-168754,-252477,-421231,-54470,10882664,10882664,10828194,8670676,8670676,8670676,-538088,5126527,0.24187,-0.08668,-0.13,-0.03775,-0.02901,10.3619,0.30107,0.15993,-0.04219,-0.04219,0.32456,1.1178,-0.03124,22.87137,19.84746
"8","2018_Q4",3.35142857142857,"Down",8405014,-6248881,2156133,-2733251,-375037,-103076,-2255138,-577118,28037,28379,4795,-341.999999999985,-549081,-785609,-785609,-785609,-785609,-785609,14330758,14330758,1009242,1009242,9476416,658416,658416,25474832,1771441,8963246,86133,8752912,124201,10734687,36209519,1570724,1340990,229734,435029,329545,329545,2335298,2950554,0,0,2950554,5285852,37284902,-6361235,30923667,30923667,36209519,-785609,103076,603626,1725792,-54933,2257552,-476827,1646885,593755,593755,-232632,826387,-5169008,-84308.0000000009,503850,503850,419542,-3102581,-3102581,-3102581,-474042,3385583,0.25653,-0.06866,-0.09347,-0.0254,-0.0217,10.9086,0.17093,0.0935,-0.03056,-0.03056,0.32692,1.2028,-0.0229,23.08904,18.96523
"9","2019_Q1",2.98295081967213,"Down",9061158,-7692572,1368586,-3767082,-465511,-121000,-3180571,-2398496,124716,16943,-9030,107773,-2273780,-2404757,-2404757,-2404757,-2404757,-2404757,14639981,14639981,862397,862397,8869469,606037,606037,24977884,1820821,9094269,114155,8752909,227205,10915090,35892974,2051520,1819411,232109,436813,926383,926383,3414716,2419739,1.16415321826935e-10,1.16415321826935e-10,2419739,5834455,38824511,-8765992,30058519,30058519,35892974,-2404757,121000,1294606,1322062,111386,453550,757126,332911,-198403,-198403,-170380,-28023,-116049,-236239,328600,328600,92361,309223,309223,309223,-2277496,2856552,0.15104,-0.2647,-0.26539,-0.08,-0.067,7.31478,0.1941,0.07959,-0.0865,-0.0865,0.32593,1.08122,-0.07306,5.17385,4.91284
"10","2019_Q2",3.06793650793651,"Up",13087222,-9400591,3686631,-3337120,-493096,-146624,-2697400,349511,-120090,-112804,-131637,-7286,229421,229421,229421,229421,229421,229421,6560853,6560853,1077706,1077706,15064585,916492,916492,23619636,2254345,17831809,219655,12419235,5192919,20086154,43705790,3370015,3028954,341061,436813,2422958,2422958,6229786,2445124,3445216,3445216,5890340,12120126,40122235,-8536571,31585664,31585664,43705790,229421,146624,205224,-3042838,-215309,-4050616,1223087,-2461569,-535648,-535648,-430148,-105500,-5519723,-99560,1725,1725,-97835,-8079127,-8079127,-8079127,496135,2881937,0.2817,0.02671,0.01753,0.00726,0.00525,3.7914,0.38372,0.06594,0.00794999999999998,0.0067,0.45372,1.09503,0.00605000000000001,-7.41515,-10.52589
