"","YQ","p","d","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","accrued_liabilities","pension_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",25.71609375,"Up",6726232,-9431394,-3452815,-5760105,-218474,-2705162,58416,58416,-2646746,-7186570,0,-7186570,-7186570,-7186570,-7186570,-283756494.85095,-113802749.684228,-169953745.166722,28764094.8355002,28764094.8355002,920597.651111476,-3227878.4088745,-3227622.03663533,-252737268.825212,9823868.073184,188484.743931094,152380.997048199,36305.2230751185,10111218.796906,-242626050.028306,19078003.1979962,11730224.5675852,7347778.63041099,13759381.1199367,10756178.4956914,3003202.62424531,32837384.3179328,6540642.81827273,134999.644977125,6405643.17329561,6540642.81827273,39378027.1362056,2000,-85133989.3707259,-192495512.356446,-4384202.116534,-282004077.164511,-282004077.164511,-242626050.028306,-7186570,771217,5030803,-831216,-2215766,-74233,-2466264,1145586,1145586,-15101,1130485,-3551545,-3551545,-3551545,-1933945,0,-2839394,-0.223301835041538,-0.135770725740339,0.3951,-14.3814307894032,1.36078837192872,0,-0.19039,-0.19039,-5.76835095224884,-0.07522,-0.189374159312148,-0.0629349948026766,851.517999775294,1523.21439202112
"2","2011_Q1",39.07,"Up",10554326,-13566854,-3321357,-5605591,-4639906,-3012528,69511,69511,-2943017,-4985842,-330162,-5316004,-5316004,-5316004,-5316004,73163397,20368852,52794545,7247873,7247873,2209,1986030,1986030,82399509,9711093,216529,0,216529,9927622,92327131,9061778,2155489,6906289,15982909,5323154,10659755,25044687,9852925,2775024,7077901,9852925,34897612,2000,280491593,-217026115,-6037959,57429519,57429519,92327131,-5316004,377449,7553364,-1841062,773747,-150391,3906296.99999999,7505820,7505820,-19478.0000000002,7486342,12166386,12166386,12166386,-2635079,0,-4296370,-0.09257,-0.05758,0.8082,3.2901,0.60766,0,-0.13942,-0.13942,1.50614,-0.11268,-0.07901,-0.06386,27.76516,24.28638
"3","2011_Q2",44.9731746031746,"Up",9498000,-10629000,-3872000,-6555000,-202000,-1131000,86000,86000,-1045000,-11584000,-297000,-11881000,-11881000,-11881000,-11881000,258226205.866983,65928040.0614094,192298165.805574,2332728.80483328,2332728.80483328,40883.774444262,3486038.96962483,3485953.51221178,262746026.858404,9994884.22560533,353910.835356302,51738.8343172671,302104.842308294,10315839.7343647,273061866.592769,6737071.43400127,557854.394138266,6179217.039863,13688243.0433544,3936325.00143622,9751918.04191823,20425314.4773557,10998857.1439091,3606197.61834096,7392659.52556813,10998857.1439091,31424171.6212648,2000,474265362.040242,-226282888.631185,-6344236.21115533,241637694.971504,241637694.971504,273061866.592769,-11881000,377000,10180000,2941000,1617000,-475000,-14865000,249803000,249803000,1182000,250985000,237737000,237737000,237737000,-754000,0,2009000,-0.0198893883194872,-0.0116147580865537,-0.16909,13.5767394298011,0.224386376023759,0,-0.30546,-0.30546,5.44252365074961,0.05165,-0.016687780229284,-0.0345500017324411,-294.675700758431,-491.232166507039
"4","2011_Q3",38.97,"Down",11110000,-10265000,-4496000,-5551000,-218000,845000,176000,176000,1021000,3602000,-289000,3313000,3313000,3313000,3313000,326398791,65240065,261158726,6541232,6541232,846921.074444262,2841934,2841934,335781957,10487827,743340,420105,323235,11231167,347013124,8829798,3161943,5667855,9405060,4816882,4588178,18234858,10988180,3446843,7541337,10988180,29223038,2000,549326677,-225594271,-5944320,317790086,317790086,347013124,3313000,376000,-3586000,120000,223000,-1035000,-195489000,19000.0000000596,19000,2381000,2400000,-192866000,-192866000,-192866000,1221000,0,595000,0.01043,0.00955,0.1796,18.41429,0.0919600000000002,0,0.0735299999999999,0.07353,7.05283,0.01321,0.01008,0.00181000000000001,-267.32088,-386.27076
"5","2011_Q4",42.568253968254,"Up",19371000,-11499000,-4957000,-6080000,-462000,7872000,351000,351000,8223000,6525000,-536000,5989000,5989000,5989000,5989000,337953614,67124442,270829172,11761280,11761280,2230620,1715179,1715179,353660693,10827191,717834,405450,312384,11545025,365205718,12300169,5780710,6519459,5936468,5911922,24546,18236637,11054899,3281843,7773056,11054899,29291536,2000,561096254,-219604845,-5579227,335914182,335914182,365205718,5989000,339000,1075000,-1448000,5955000,-698000,-9837000,45000,45000,5721000,5766000,1884000,1884000,1884000,8211000,0,6601000,0.01783,0.0164,1.10219,19.39287,0.0872,0,0.13206,0.13206,7.40685,0.14555,0.01726,0.01902,-41.15864,-42.9311
"6","2012_Q1",40.0308064516129,"Down",17579000,-19478000,-5615000,-5943000,-7920000,-1899000,331000,331000,-1568000,3898000,1836000,5734000,5734000,5734000,5734000,346089000,111795000,234294000,10727000,10727000,3843000,1645000,1645000,362304000,10884000,690000,391000,299000,11574000,373878000,13796000,4776000,9020000,5721000,5534000,187000,19517000,12134000,3874000,8260000,12134000,31651000,2000,561953000,-213871000,-5857000,342227000,342227000,373878000,5734000,408000,537999.999999999,1934000,8614000,-416000,36402000,13412000,13412000,-13757000,-345000.000000007,44671000,44671000,44671000,-1491000,0,-1809000,0.01675,0.01534,-0.31549,18.56351,0.09249,0,0.12562,0.11187,7.49736,-0.03963,0.01618,-0.0051,232.11871,182.24803
"7","2012_Q2",33.3646031746032,"Down",11532000,-13090000,-4311000,-6661000,-2118000,-1558000,337000,337000,-1221000,-1221000,0,-1221000,-1221000,-1221000,-1221000,338577000,144246000,194331000,8708000,8708000,5574000,2472000,2472000,355331000,12268000,660000,376000,284000,13899000,369230000,11106000,4600000,6506000,6181000,5897000,284000,17287000,12037000,3636000,8401000,12037000,29324000,2000,560809000,-215092000,-5813000,339906000,339906000,369230000,-1221000,433000,484000,-1708000,-2012000,-1802000,37324000,612000,612000,-3473000,-2861000,32451000,32451000,32451000,-1125000,0,-4635000,-0.00359,-0.00331,3.79607,20.55481,0.08627,0,-0.02669,-0.02669,7.42975,-0.10131,-0.00347,-0.01317,300.95733,217.31515
"8","2012_Q3",36.7380952380952,"Up",28376000,-15452000,-5175000,-7236000,-3041000,12924000,339000,339000,13263000,13263000,-2299000,10964000,10964000,10964000,10964000,350016000,159599000,190417000,9580000,9580000,8571000,3902000,3902000,372069000,12011000,669000,379999.999999996,289000,13852000,385921000,14991000,7071000,7920000,5927000,5338000,589000,20918000,12111000,3568000,8543000,12111000,33029000,2000,562617000,-204128000,-5599000,352892000,352892000,385921000,10964000,523000,844000,-1118000,11213000,-252000,3707000,468000,468000,-35000,432999.999999999,15353000,15353000,15353000,13447000,0,14376000,0.03107,0.02841,1.3112,17.78703,0.0936,0,0.23838,0.2282,7.67265,0.31257,0.03004,0.03939,-26.0293,-27.08264
"9","2012_Q4",27.4506451612903,"Down",11410000,-17471000,-5275000,-8177000,-4019000,-6061000,267000,267000,-5794000,-5794000,326000,-5468000,-5468000,-5468000,-5468000,238778000,74193000,164585000,7871000,7871000,9451000,4390000,4390000,260490000,11713000,107629000,107367000,262000,120511000,381001000,14630000,5451000,9179000,5479000,5001000,478000,20109000,12034000,3349000,8685000,12034000,32143000,2000,563848000,-209596000,-5396000,348858000,348858000,381001000,-5468000,2619000,911000,-84000,-2022000,-224000,-83243000,487000,487000,-628000,-141000,-85406000,-85406000,-85406000,-3442000,0,-4076000,-0.01567,-0.01435,0.74543,12.9539,0.09214,0,-0.11885,-0.11648,7.58263,-0.08859,-0.01515,-0.01129,69.37188,39.39581
"10","2013_Q1",29.4798333333333,"Up",27398000,-19027000,-4789000,-7958000,-6280000,8371000,249000,249000,8620000,8620000,-3235000,5385000,5385000,5385000,5385000,243941000,85923000,158018000,8657000,8657000,11018000,3929000,3918000,267545000,11808000,104901000,104624000,277000,117979000,385524000,17990000,7596000,10394000,4309000,4273000,36000,22299000,12990000,3153000,9837000,12990000,35289000,2000,565348000,-204211000,-5702000,350235000,350235000,385524000,5385000,3272000,-890000,2808000,10575000,-459000,6126000,-4965000,237000,-6000,-4971000,11730000,11730000,11730000,11643000,0,17227000,0.01538,0.01397,3.19907,11.99807,0.10076,0,0.11692,0.11507,7.60459,0.37405,0.01483,0.04743,-20.95173,-29.1412
