"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.7185714285714,"Up",2807462000,-1577283000,1230179000,-826514000,-480973000,-206126000,-139415000,403665000,-114427000,-143830000,7401000,22002000,289238000,289238000,-121898000,167340000,167118000,167118000,166058000,79504000,79504000,748058000,748058000,452421000,1064311000,289276000,56984000,586170000,2344294000,18744541000,4245666000,275124000,3970542000,22990207000,25334501000,1411685000,842794000,302256000,266635000,1010356000,4.66e+08,544356000,337797000,46972000,290825000,2759838000,7862888000,7250924000,832779000,3386149000,3031996000,15113812000,17873650000,7355871000,7355871000,5360519942.88443,-1340024874.08001,269982716.040086,7460851000,7460851000,25334501000,167340000,210481000,106112000,67644000,551577000,-481242000,-910889000,933256000,-460112000,-105965000,-18355000,-121731000,-30266000,-30266000,-30266000,614146000,8873244000,322446000,0.43818,0.14378,0.05915,0.02226,0.00655,1.94177,0.84943,2.39566,0.35024,0.36185,0.36123,6.11757,16.02873,0.70262,0.2309,41.4717665292594,0.01153,0.01367,0.63812,14.31865,21.78475
"2","2010_Q3",14.63109375,"Up",2307764000,-1117755000,1190009000,-864705000,-516640000,-211506000,-136559000,325304000,-112813000,-141455000,7362000,21280000,212491000,212491000,-76866000,135625000,139776000,139776000,138716000,65988000,65988000,662461000,662461000,464383000,1071115000,305275000,63905000,611944000,2263947000,19074194000,4225071000,260094000,3964977000,23299265000,25563212000,1287570000,842277000,166742000,278551000,674637000,1.29e+08,545637000,383460000,52150000,331310000,2345667000,8409815000,7310928000,830913000,3448079000,3031936000,15720743000,18066410000,7391822000,7391822000,5279494471.44221,365377562.959996,77353858.0200428,7496802000,7496802000,25563212000,135625000,211339000,96863000,-82189000,361638000,-486089000,-2090309000,2103752000,-474314000,-106422000,206700000,101983000,-10693000,-10693000,-10693000,536643000,9084452000,45231000,0.51565,0.14096,0.06011,0.0185,0.00543,0.32607,0.96516,2.40988,0.35537,0.30153,0.30127,5.01643,16.06775,0.0983199999999997,0.23133,21.7849421489383,0.01026,0.00189000000000001,0.76719,16.80533,27.72319
"3","2010_Q4",15.7034375,"Up",2628787000,-1186200000,1442587000,-873957000,-509634000,-221671000,-142652000,568630000,-89942000,-144849000,7670000,47237000,478688000,478688000,-166200000,312488000,312306000,312306000,311246000,213455000,213455000,703960000,703960000,591725000,1020373000,296097000,65573000,562254000,2529513000,19444841000,4327112000,261748000,4065364000,23771953000,26301466000,1297653000,794381000,224483000,278789000,454443000,4e+07,414443000,447388000,80929000,366459000,2199484000,8864759000,7526566000,830286000,3616378000,3079902000,16391325000,18590809000,7605677000,7605677000,5238704157.1474,1304493520.98667,-20182047.3266524,7710657000,7710657000,26301466000,312488000,226269000,142391000,-68040000,613108000,-594656000,-307895000,319233000,-586532000,-109800000,230571000,122346000,148922000,148922000,148922000,794899000,9319202000,298403000,0.54877,0.21631,0.1184,0.04037,0.01183,0.95874,1.15005,2.41105,0.35432,0.67593,0.67366,5.70891,16.51717,0.64804,0.23845,10.2943533058519,0.01715,0.01215,0.35278,11.45523,16.01348
"4","2011_Q1",15.9403225806452,"Up",2566934000,-1321888000,1245046000,-922676000,-550002000,-219579000,-153095000,322370000,-114196000,-147157000,7515000,25446000,208174000,208174000,-71671000,136503000,136634000,136634000,135573000,108437000,108437000,718474000,718474000,560800000,1344932000,193621000,54079000,1097232000,2732643000,20663082000,3991965000,184026000,3807939000,24655047000,27387690000,1520824000,979750000,254320000,286754000,521815000,466400000,55415000,493894000,61745000,432149000,2536533000,9263144000,7399514000,962767000,3390027000,3046720000,16662658000,19199191000,6434909000,1205834000,5229075000,1701703000,-53093000,8188499000,8188499000,27387690000,136503000,224097000,180571000,-173552000,367619000,-1298878000,-472345000,487384000,-1285766000,-109923000,461507000,802973000,-115174000,-115174000,-115174000,546467000,9784959000,-854292000,0.48503,0.12559,0.05282,0.01656,0.00495,-6.30134,1.07731,2.34465,0.35728,0.28921,0.28759,5.4758,17.24381,-1.82238,0.23449,5,0.00968,-0.03367,0.8108,17.70742,30.01682
"5","2011_Q2",16.5096825396825,"Up",2816540000,-1483259000,1333281000,-906618000,-510027000,-224723000,-171868000,426663000,-111195000,-144354000,7713000,25446000,315468000,315468000,-112001000,203467000,203569000,203569000,202509000,94338000,94338000,765421000,765421000,442205000,1212165000,184791000,55932000,971442000,2514129000,20908333000,4044187000,177469000,3866718000,24952520000,27466649000,1442777000,848568000,312669000,281540000,586261000,531500000,54761000,455718000,30799000,424919000,2484756000,9264123000,7431307000,824500000,3567061000,3039746000,16695430000,19180186000,6451944000,1210411000,5241533000,1781386000,-51847000,8286463000,8286463000,27466649000,203467000,229217000,153734000,73025000,659443000,-540339000,-699156000,616048000,-624348000,-115621000,64549000,-49194000,-14099000,-14099000,-14099000,655880000,9850384000,300567000,0.47338,0.15148,0.0719,0.02444,0.00737,1.48422,1.01182,2.31464,0.35863,0.41872,0.41815,5.82362,16.91644,0.62147,0.23906,3.90188223138271,0.01244,0.01176,0.57094,14.87474,22.86593
"6","2011_Q3",16.53578125,"Up",2438222000,-1159360000,1278862000,-919420000,-532170000,-229264000,-157986000,359442000,-116238000,-146338000,7677000,22423000,243204000,243204000,-84533000,158671000,158762000,158762000,157702000,101603000,101603000,679560000,679560000,484772000,1213028000,186884000,53832000,972312000,2478963000,21513539000,4010722000,169067000,3841655000,25524261000,28003224000,1439438000,957521000,189564000,292353000,709927000,6.56e+08,53927000,489394000,39990000,449404000,2638759000,9263556000,7761364000,828500000,3665418000,3267446000,17024920000,19663679000,6473043000,1211356000,5261687000,1812505000,-50983000,8339545000,8339545000,28003224000,158671000,233796000,102345000,-31139000,463673000,-581930000,-527348000,643803000,-465535000,-116094000,123310000,9127000,7265000,7265000,7265000,593238000,9973483000,64702000,0.52451,0.14742,0.06468,0.01891,0.00563,0.41028,0.93944,2.35788,0.35615,0.32521,0.325,5.02811,16.98136,0.13343,0.23941,5,0.0105,0.00248,0.73616,16.64067,27.46446
"7","2011_Q4",17.8663492063492,"Up",2831598000,-1244513000,1587085000,-935589000,-532962000,-242329000,-160298000,651496000,-119897000,-148011000,7423000,20691000,531599000,531599000,-193304000,338295000,338332000,338332000,333658000,194155000,194155000,752123000,752123000,608007000,1307188000,191852000,50281000,1065055000,2861473000,21729488000,3946893000,158362000,3788531000,25676381000,28537854000,1377265000,837259000,250135000,289871000,512414000,5e+07,462414000,763504000,125514000,637990000,2653183000,9450157000,7898231000,829364000,3809638000,3259229000,17348388000,20001571000,6492832000,1212369000,5280463000,2019440000,-80969000,8536283000,8536283000,28537854000,338295000,246923000,222265000,-6481000,801002000,-481937000,-515403000,427075000,-571072000,-119655000,-20098000,-137378000,92552000,92552000,92552000,898419000,9962571000,603305000,0.56049,0.23008,0.11783,0.03909,0.01169,1.80815,1.07851,2.34312,0.3491,0.68747,0.68669,5.83421,17.37181,1.24305,0.24654,6,0.01717,0.02285,0.35862,10.8729,14.99382
"8","2012_Q1",18.6082258064516,"Up",2568410000,-1298935000,1269475000,-925474000,-565130000,-194303000,-166041000,344001000,-124784000,-152597000,7714000,20099000,219217000,219217000,-78478000,140739000,140509000,140509000,140509000,60684000,60684000,753120000,753120000,618232000,1550528000,121480000,64340000,1186262000,2982564000,22353367000,4161336000,152887000,4008449000,26514703000,29497267000,1495389000,902078000,289713000,303598000,1278922000,2.19e+08,1059922000,814328000,157414000,656914000,3588639000,8848513000,8577917000,1001906000,4020377000,3555634000,17426430000,21015069000,6543677000,1216234000,5327443000,2032556000,-94035000,8482198000,8482198000,29497267000,140739000,198917000,144524000,-2776000,481404000,-601361000,-356735000,371928000,-586846000,-123390000,167814000,-28029000,-133471000,-133471000,-133471000,542918000,10127435000,17259000,0.49426,0.13394,0.05471,0.01657,0.00476,0.12283,0.83111,2.47755,0.34333,0.28896,0.28851,5.28204,17.444,0.0354899999999998,0.25376,5,0.00971,0.000629999999999999,0.87816,18.54194,29.26373
"9","2012_Q2",19.371746031746,"Up",2578079000,-1289230000,1288849000,-908687000,-510684000,-228672000,-169331000,380162000,-120878000,-151830000,7158000,23794000,259284000,259284000,-75515000,183769000,183893000,183893000,183893000,99742000,99742000,718145000,718145000,474359000,1250588000,192746000,61971000,833518000,2542834000,22672686000,4237733000,146438000,4091295000,26910419000,29453253000,1433782000,786187000,359064000,288531000,1648681000,3.39e+08,1309681000,625579000,56132000,569447000,3708042000,8598363000,8609177000,813792000,4212924000,3582461000,17207540000,20915582000,6515911000,1217339000,5298572000,2089275000,-67515000,8537671000,8537671000,29453253000,183769000,233097000,192192000,-131575000,477483000,-497218000,-213618000,311996000,-399012000,-119162000,119987000,-39413000,39058000,39058000,39058000,613259000,10247044000,59981000,0.49993,0.14746,0.07133,0.02154,0.00624,0.32617,0.68576,2.4498,0.34791,0.37732,0.37683,5.28989,17.5182,0.12307,0.24451,5,0.01106,0.00219,0.648,16.54652,26.69205
"10","2012_Q3",20.2769841269841,"Up",2274668000,-950076000,1324592000,-918902000,-534014000,-226641000,-158247000,405690000,-120814000,-151921000,7502000,23605000,284876000,284876000,-101801000,183075000,183060000,183060000,183060000,63530000,63530000,645264000,645264000,473137000,1378477000,195357000,88368000,916282000,2560408000,23047854000,4211881000,137015000,4074866000,27259735000,29820143000,1394648000,871069000,215159000,308420000,1792594000,4.81e+08,1311594000,643980000,111836000,532144000,3831222000,8706403000,8709013000,826413000,4320320000,3562280000,17415416000,21246638000,6534872000,1218214000,5316658000,2140639000,-102006000,8573505000,8573505000,29820143000,183075000,231020000,125890000,-152172000,387813000,-606344000,-157743000,206944000,-557350000,-119348000,250573000,133325000,-36211999.9999999,-36211999.9999999,-36211999.9999999,636710000,10498997000,-20005000.0000001,0.58232,0.17835,0.08048,0.02135,0.00614,-0.10928,0.6683,2.47817,0.35208,0.37534,0.37511,4.66391,17.57885,-0.04102,0.24471,6,0.01089,-0.000719999999999998,0.65196,16.38967,25.72276
