"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",4.21741935483871,"Up",23182739,-20276211,2906528,-1994637,-1708987,-285650,911891,-5779,-5779,-2162.01584059057,906112,906112,-297624,608488,608488,-1644,606844,606844,1672921,1672921,8852372,8852372,8190420,2179207,512373,20894920,1560940,1465279,326250,440000,699029,3026219,23921139,7358816,7124072,234744,2306749,2306749,9665565,763057,540642,204756,763057,10428622,7587553,-295261,6151054,13443346,49171,13492517,23921139,608488,123838,380266,-30855,1081737,-110342,-110342,246829,79840,1051235,1051235,1051235,1035729,0,1192156,0.12537,0.03933,0.02618,0.04498,0.02537,1.96452,2.16179,0.77292,0,0.11051,0.11075,4.22186,2.4482,0.21711,0.05428,0.08363,-1.61521,-1.83456
"2","2011_Q2",7.94888888888889,"Up",25641093,-22560399,3080694,-1686096,-1506246,-179850,1394598,47950,47950,0,1442548,1442548,-391417,1051131,1051131,-10059,1041072,1041072,4607547.01035615,4607547.01035615,8988532.32448594,8988532.32438163,9612289.44246643,1519588.78572884,-273279.705068315,24727957.5630373,1586497.22293479,1897516.9622989,324375.000001118,440000.000005319,986951.761901763,3383939.851874,28111897.4149113,11017398.9813696,9603024.92757794,1414373.27039389,10147383.8833454,10147383.8833453,21164782.864715,844089.838845889,700754.538063781,213293.284431655,844089.838845889,22008872.7035609,-4486547.11266498,-328892.270105352,10875331.6709623,6059892.28819196,43132.4231585045,6103024.71135047,28111897.4149113,1051131,111066,46478,776803,1985478,-132506,-132506,-489890,-656879,1196093,1196093,1196093,1505664,0,2541378,0.12015,0.05439,0.0406,0.246634816041782,0.137006297875514,2.44112,0.991316027851608,1.87834967980688,-3.08870688880209e-18,0.1896,0.18926,4.66981,1.1306301015374,0.46284,0.251057668700436,0.263009918411706,-24.4836615339215,-29.6637783396507
"3","2011_Q3",17.213125,"Up",37332017,-33732593,3599424,-1788971,-1639121,-149850,1810453,-55279,-55279,0,1755174,1755174,-567239,1187935,1187935,22,1187957,1187957,4755282.61035615,4755282.61035615,10751723.0244859,10751723.0243816,11497468.9424664,1668572.18572884,-168591.305068315,28673046.7630373,1627988.52293479,1846588.6622989,322500.000001118,440000.000005319,939310.261901763,3374502.851874,32047549.6149113,11960073.1813696,10623275.9275779,1336796.47039389,10881940.2833454,10881940.2833453,22842013.464715,837457.138845889,693957.438063781,200805.384431655,837457.138845889,23679470.6035609,-1995493.51266497,-321953.870105352,10633582.8709623,8316135.48819196,51943.5231585045,8368079.01135046,32047549.6149113,1187935,108567,-206281,-1436909,-346688,-151074,-151074,-295636,-462625,-960387,-960387,-960387,1919020,0,898276,0.09642,0.0485,0.03182,0.183548816041782,0.101327297875514,0.75615,1.01186002785161,1.87468767980688,-3.08870688880209e-18,0.21635,0.21596,6.79898,1.5582271015374,0.1636,0.189434668700436,0.0698429184117058,-22.5111025339215,-27.6467353396507
"4","2011_Q4",9.13968253968254,"Down",35764866,-33670408,2094458,-1754022,-1604173,-149849,340436,-56520,-56520,0,283916,283916,-106161,177755,177755,-9519,168236,168236,3772322,3772322,13107671,13107671,13125081,2068454,346151,32073528,1662538,1579595,320625,440000,750370,3242133,35315661,11529168,10899650,629517.999999998,7591144,7591144,19120312,786979,606599,180380,786979,19907291,7587552.99999999,-295261,8047352,15339644,68726,15408370,35315661,177755,103606,745234,-4051142,-3024547,-135632,-135632,5190863,5023874,1863695,1863695,1863695,444042,6.46234853557053e-27,-3636571,0.05856,0.00952,0.0047,0.01092,0.00475999999999987,-21.61589,1.67746,1.29198,0,0.03064,0.03058,6.51357,2.79369,-0.6623,0.0207000000000002,-0.22454,-8.49541999999999,-11.08086
"5","2012_Q1",9.36822580645161,"Up",48017189,-48246877,-229688,-2116063,-1966213,-149850,-2345751,-60382,-75230,-4.54747350886464e-13,-2406133,-2406133,835295,-1570838,-1570838,-14497,-1585335,-1585335,4244335,4244335,16021581,16021581,13475855,1938805,653651,35680576,1661759,1436356,318750,440000,677606,3098115,38778691,12379514,12379414,100,3687667,3687667,16067181,741028,538707,166421,741028,16808209,15891065,-272133,6268326,21887258,83224,21970482,38778691,-1570838,109960,805174,-2011099,-2666803,-107306,-107306,-4891977,3246122,472013,472013,472013,-2235791,0,-5189491,-0.00478,-0.04885,-0.03302,-0.07216,-0.04088,3.27343,2.22071,0.76504,0,-0.27415,-0.23175,8.30354,3.78493,-0.89741,-0.06127,-0.2285,1.89836,1.80937
"6","2012_Q2",7.53904761904762,"Down",56601684,-52151940,4449744,-1829492,-1682334,-147158,2620252,-71983,-51846,-20137,2548269,2548269,-962900,1585369,1585369,-7024,1578345,1578345,7362778,7362778,17959441,17959441,11978110,833285,342126,38133614,1605531,1647613,316875,440000,883679,3253144,41386758,15197190,15161172,36017.9999999999,2086262,2086262,17283452,741148,569790,171358,741148,18024600,15891065,-272133,7652978,23271910,90248,23362158,41386758,1585369,112693,-953220,2845991,3590833,-54590,-254590,-24111,-217800,3118443,3118443,3118443,2732945,0,6487246,0.07862,0.04629,0.02789,0.06756,0.03814,4.11016,2.20637,0.77153,0,0.24769,0.23755,8.88244,3.65204,1.01804,0.07352,0.26914,-2.69408,-2.80995
"7","2012_Q3",6.1184126984127,"Down",37085559,-35701668,1383891,-1902748,-1761648,-141100,-518857,-47006,-36045,-10961,-565863,-565863,232087,-333776,-333776,-36471,-370247,-370247,2432001,2432001,9634929,9634929,11993084,1124597,708336,25184611,1630751,1440165,315000,440000,683643,5039818,30224429,5950502,5950502,0,708445,708445,6658947,730785,554490,176295,730785,7389732,15891065,-272133,7089046,22707978,126719,22834697,30224429,-333776,110705,190579,-1112048,-1144540,-134050,-1934050,-1658498,-1852187,-4930777,-4930777,-4930777,-408152,0,-1886337,0.03732,-0.01399,-0.00998,-0.01621,-0.01225,5.09481,3.78207,0.32362,0,-0.0581,-0.05572,5.8198,3.56354,-0.29602,-0.00749,-0.08005,5.95857,4.68723
"8","2012_Q4",6.79225806451613,"Up",44484452,-40618641,3865811,-1846871,-1705671,-141200,2018940,-33867,-37494,3627,1985073,1985073,-729979,1255094,1255094,-23899,1231195,1231195,1373344,1373344,13587974,13587974,11198755,825673,390899,26985746,1851787,1398572,313125,440000,645447,5322888,32308634,6163413,6163171,242,1545746,1545746,7709159,683873,521167,161732,683873,8393032,15910565,-272133,8126552,23764984,150618,23915602,32308634,1255094,109232,-268334,-2774512,-1678520,-328393,-428393,1241945,1048256,-1058657,-1058657,-1058657,2128172,-8.27180612553028e-25,-244754,0.0869,0.04539,0.02768,0.05148,0.03811,-0.198789999999991,3.50048,0.35094,0,0.19321,0.18572,6.9809,3.72941,-0.0384099999999999,0.05792,-0.00995,-0.64532,-0.68023
"9","2013_Q1",7.2305,"Up",35484520,-33177033,2307487,-2028158,-1750546,-277612,279329,-192029,-36741,-140598,87300,87300,-9589,77711,77711,-31327,46384,46384,7568583,7568583,12633128,12633128,11303581,1619431,766776,33124723,1791754,1399344,311250,440000,648094,5123029,38247752,11790229,11769107,21122,1929889,1929889,13720118,728010,528687,166668,728010,14448128,15910565,-272133,7979247,23617679,181945,23799624,38247752,77711,114774,909122,6157132,7258739,-52866,-52866,-816945,-1010634,6195239,6195239,6195239,394103,0,6507958,0.06503,0.00787,0.00131,0.00195,0.00121,140.3061,2.41432,0.60707,0,0.00728,0.00699,5.56855,3.7063,1.02129,0.00979,0.26533,-19.20458,-27.09559
"10","2013_Q2",6.578125,"Down",31318804,-27636207,3682597,-1895178,-1765241,-129937,1787419,-135257,-30820,-104437,1652162,1652162,-635484,1016678,1016678,-79141,937537,937537,8271965,8271965,10223591,10223591,10241463,1385004,702561,30122023,1744407,1397760,309375,440000,648385,3241689,33363712,6356737,6260622,96115,1867078,1867078,8223815,710974,530851,170680,710974,8934789,15910565,-272133,8529405,24167837,261086,24428923,33363712,1016678,117616,-143433,-454848.000000003,536013,-68394,163675,391071,3693.99999999977,703382,703382,703382,1905035,2.64697796016969e-23,2017277,0.11758,0.05707,0.02994,0.03838,0.0281,2.15168000000003,3.66278,0.36575,-3.94430452610506e-31,0.14713,0.14121,4.91483,3.79263,0.31657,0.0527,0.08024,-4.34216,-4.62788
