"","YQ","p","d","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q2",221.6659375,"Up",-3090000,-2698000,-392000,-1575000,-42000,0,-1617000,-1824000,0,-1824000,-1824000,-840000,-840000,25894000,25894000,2275000,2275000,28169000,90070000,88803000,90070000,118239000,1714000,1714000,14968000,0,0,0,14968000,-4815621654.30895,5230000,-2853051196.37551,-886000,4344000,103271000,118239000,-1824000,-1824000,0,-1271000,669000,-2426000,0,-88447000,-1173000,11753000,-79120000,-79120000,-79120000,-1575000,12926000,-906000,-0.00813,-0.0071,1.07857,1.88195,0.14494,0.10932,-0.35848,-0.35848,1.85386,-0.38665,-0.00723,-0.0078,8.23365,8.23365
"2","2013_Q3",336.2971875,"Up",-4611000,-3369000,-1242000,4273000,-461000,193000,3812000,3728000,0,3728000,3728000,-1499000,-1499000,227846000,227846000,7870000,7870000,235716000,185245000,164388000,185303000,421019000,2113000,2113000,3347000,0,0,0,3347000,-2283192827.15448,6312000,-1181670098.18776,-2385000,3927000,417672000,421019000,3728000,3728000,0,-7512000,1021000,-2763000,-22000,-72955999.9999999,290002000,277671000,201952000,201952000,201952000,4273000,472000,5272000,-0.00359,-0.00356,-3.51701,70.42605,0.00801000000000002,0.00112000000000004,-0.63965,-0.63965,1.67573,2.24966,-0.00358,0.01261,-53.21179,-53.21179
"3","2013_Q4",724.75125,"Up",-6889000,-4731000,-2154000,13064000,-666000,-199000,12398000,11152000,0,11152000,11152000,-2557000,-2557000,102060000,102060000,24846000,24846000,126906000,645142000,643647000,646494000,773400000,3728000,3728000,344825000,0,0,0,344825000,-761005942.384825,8463000,-304844032.729252,-4942000,3521000,428575000,773400000,11152000,11152000,4000,-17131000,95000,-5880000,-123000,-474782000,16005000,354876000,-125786000,-125786000,-125786000,13068000,338800000,13040000,-0.00597,-0.00331,-5.09973,0.36803,0.80458,0.43807,-1.08899,-1.08899,1.49955,5.55357,-0.00333,0.01699,18.11601,18.12156
"4","2014_Q1",971.908524590164,"Up",-12710000,-6059000,-6630000,29235000,-3399000,6000,25836000,21247000,-5.82076609134674e-11,21247000,21247000,-397000,-397000,1.4e+08,1.4e+08,48656000,48656000,190084000,1211450000,1209456000,1215020000,1405104000,6872000,6872000,612137000,-4.2351647362715e-22,-4.2351647362715e-22,-4.2351647362715e-22,612137000,0,12879000,0,-5339000,7539999.99999999,792967000,1405104000,21247000,21247000,21000,-36716000,4692000,-10756000,-320000,-550895000,335740000,599591000,37940000,37940000,37940000,29256000,602382000,33628000,-0.000500000000000001,-0.00028,-84.70529,0.310529999999995,0.77196,0.42871,-0.1687,-0.1687,3.20407,14.28999,-0.00028,0.0241,15.80469,15.81604
"5","2014_Q2",962.909841269841,"Down",-17086000,-5601000,-11437000,57542000,-5708000,381610.878954902,51834000,49507000,-766000,48741000,48741000,6828000,6828000,280466000,280466000,144013000,144013000,425405000,1769150000,1767950000,1777005000,2202410000,8250000,8250000,711954000,0,0,0,711954000,248886000,16213000,-44565000,1489000,222023000,1490456000,2202410000,48741000,48741000,403000,-70582000,1908000,-19530000,-447000,-582881000,437142000,742877000,140466000,140466000,140466000,57945000,699950000,60172000,0.00458,0.0031,8.81254,0.59752,0.47768,0.31781,2.88442,2.39069,-11.348,25.41904,0.00312,0.02747,7.23935,7.29005
"6","2014_Q3",669.3725,"Down",-21570000,-4542000,-16925000,95787000,-6159000,786000,89628000,80821000,191000,81012000,81012000,13230000,13230000,204642000,204642000,281462000,281462000,487059000,2173172000,2171494000,2191964000,2679023000,10679000,10679000,1287073000,3.3881317890172e-21,3.3881317890172e-21,3.3881317890172e-21,1287073000,248824000,15634000,-197673000,14657000,81442000,1391950000,2679023000,81012000,81012000,-252000,-113833000,6760000,-26313000,-1253000,-439844000,-28515000,390333000,-75824000,-75824000,-75824000,95535000,1271483000,100851000,0.0095,0.00494,7.62289999999999,0.37842,0.92465,0.47461,5.86624,4.60189,-74.2179,44.71777,0.00497,0.03787,11.16702,11.13764
"7","2014_Q4",523.35578125,"Down",-26974000,-5435000,-21226000,82128000,-10113000,1586000,72015000,56227000,-853000,55374000,55374000,17698000,17698000,91824000,91824000,443005000,443005000,536322000,2225237000,2218390000,2273572000,2809894000,16146000,16146000,1431382000,0,0,0,1431382000,248875000,17271000,-236751000,32303000,61698000,1378512000,2809894000,55374000,55374000,313000,-100252000,-3889000,-48454000,-4257000,-129480000,-41683000,65116000,-112818000,-112818000,-112818000,82441000,1408329000,75148000,0.01284,0.0063,4.24613,0.37469,1.03835,0.5012,7.90716,6.25014,-83.62743,33.57482,0.00635,0.02697,15.96906,16.02992
"8","2015_Q1",218.033278688525,"Down",-28994000,2580000,-30971000,93217000,-8260000,3035000,84957000,64073000,-668000,63405000,63405000,21923000,21923000,116782000,116782000,580048000,580048000,707898000,1977468000,1975830000,2052800000,2760698000,16726000,16726000,1361977000,-5.42101086242752e-20,-5.42101086242752e-20,-5.42101086242752e-20,1361977000,248927000,14177000,-245468000,54174000,71810000,1398721000,2760698000,63405000,63405000,603000,-110093000,5023000,-41062000,-6764000,177285000,-33504000,-111265000,24958000,24958000,24958000,93820000,1339082000,92747000,0.01567,0.00794,4.23058,0.51976,0.97373,0.48505,10.02347,7.92546,-80.9801,42.40508,0.00801,0.03388,13.02814,13.11242
"9","2015_Q2",192.244920634921,"Down",-30827000,-1451000,-28378000,58088000,-11483000,1827241.35693898,46605000,19455000,-143000,19312000,19312000,6888000,6888000,98386000,98386000,644582000,644582000,753367000,1873625000,1871364000,1981098000,2734465000,48314000,48314000,1351542000,0,0,0,1351542000,248979000,15073000,-245519000,61009000,79542000,1382923000,2734465000,19312000,19312000,998000,-71339000,3128000,-47901000,-5534000,80718000,-7294000,-51213000,-18396000,-18396000,-18396000,59086000,1294136000,56823000,0.00498,0.00252,8.24956,0.55741,0.97731,0.47327,3.12565,2.49818,-76.88754,25.78528,0.00257,0.02123,20.23745,20.58515
"10","2015_Q3",82.31375,"Down",-23557000,-2017000,-20196000,52962000,-13237000,-9.31322574615479e-10,39725000,14029000,-194000,13835000,13835000,743000,743000,145897000,145897000,700623000,700623000,892501000,1738625000,1731071000,1859901000,2752402000,57375000,57375000,1391536000,0,0,0,1391536000,249030000,17131000,-252072000,61702000,75791000,1360866000,2752402000,13835000,13835000,1344000,-61552000,6089000,-40284000,-5467000,79911000,-41958000,7884000,47511000,47511000,47511000,54306000,1334161000,55122000,0.00055,0.00027,74.18843,0.64138,1.02254,0.48473,0.334909999999999,0.27048,-78.08719,24.84615,0.000279999999999999,0.02045,21.8809,22.43616
