"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",17.4315873015873,"Up",196745000,-116831000,79914000,-9863000,-5760000,-1315000,-880000,70051000,-26161000,-28048000,1887000,43890000,43890000,43890000,43890000,-3481000,40409000,38099000,-1029253078.81423,-1029253078.81423,19835920.9841756,19835920.9841756,-1009417157.83006,3469111591.82848,4555163948.6709,-1086052356.84242,-6856468.44291069,-65284366.1257939,58427897.6828832,3462255123.38557,2452837965.55551,-42051762.9774283,39371649.2326306,-281854317.212587,896449988.032169,28793677.9733079,28793676.4878577,883191903.028049,199419600.141631,406474556.77326,406474556.77326,605894156.914891,1489086059.94294,1083245954.43723,-192458216.068783,890787738.368442,72964167.2441303,963751905.612573,2452837965.55551,43890000,27830000,1000,21508000,93229000,-54226000,-54226000,-54226000,13062000,-41164000,-25063000,-29184000,311000,311000,-129000,-54065000,-2e+06,-2e+06,-2e+06,97881000,0,0.40618,0.35605,0.19365,0.14032166443568,0.0416294487454787,-0.423075194506637,1.55722558758148,0.501901032227962,0.22919,0.20853,1.18356,5.7289570563457,0.15077,0.0955895610568109,0.65784,179.24464916,348.424848205458
"2","2014_Q3",18.2396875,"Up",189025000,-119900000,69125000,-11464000,-6795000,-1401000,-1629000,57661000,-27621000,-28265000,644000,30040000,30040000,30040000,30040000,-2229000,27811000,25483000,-423309039.407115,-423309039.407115,30642460.4920878,30642460.4920878,-392666578.915028,3328705795.91424,4442190974.33545,-1113485178.42121,63230765.7785447,-24254683.062897,87485448.8414416,3391936561.69278,2999269982.77776,27452118.5112858,23209824.6163153,-192873158.606293,1534264994.01608,55907838.986654,55907838.2439289,1617624951.51402,199709800.070816,208190278.38663,208190278.38663,407900078.457446,2025525029.97147,1126268477.21861,-222464108.034392,903804369.184221,69940583.6220651,973744952.806286,2999269982.77776,30040000,27960000,1833000,8349000,68182000,-16534000,-16534000,-16534000,432000,-16102000,-31809000,9618000,185000,185000,-1690000,-23696000,28384000,28384000,28384000,85621000,0,0.36569,0.30504,0.13481,0.07951583221784,0.0234047243727393,-0.162662597253319,2.08130779379074,0.585885516113981,0.15308,0.1393,1.1355,5.60177352817285,0.19108,0.0523497805284055,1.24824,93.4007845799998,174.813129102729
"3","2014_Q4",19.93421875,"Up",200778000,-131717000,69061000,-8e+06,-7623000,2716000,-1264000,61061000,-26627000,-27864000,1237000,34434000,30276000,30276000,30276000,-2219000,28057000,25746000,-78638346.4690384,-78638346.4690384,35828153.4973626,35828153.4973626,-42810192.9716759,3251075598.63808,4392421324.77848,-1141345726.1404,101868588.592848,737438.979034344,101131149.613814,3352944187.23093,3310133994.25925,74514372.8370953,13837941.5387718,-80342052.8687644,1879642664.67203,73675612.9955513,73675612.7479763,2027832650.50467,199903266.690272,104357426.128877,104357426.128877,304260692.819148,2332093343.32382,1152650159.07287,-242646369.344797,910003789.728074,68036861.207355,978040650.935429,3310133994.25925,30276000,28031000,7010000,1614000,66931000,-23428000,-25530000,-25530000,-738000,-24166000,-31926000,22988000,4e+05,4e+05,-9894000,-18432000,24333000,24333000,24333000,89092000,0,0.34397,0.30412,0.12823,0.0450152774059467,0.0130449081242464,-0.0147741990844395,2.38430259793025,0.62861183870466,0.1541,0.14055,1.20176,5.51207784272428,0.19109,0.0284999268428018,1.24004,45.0011048599999,77.1526030342429
"4","2015_Q1",22.856393442623,"Up",190261000,-118430000,71831000,-10789000,-7232000,1930933.772007,-1492000,61042000,-27308000,-28118000,810000,33734000,34262000,34262000,34262000,-2534000,31728000,29403000,73714000,73714000,37137000,37137000,110851000,3218421000,4387913000,-1169492000,117067000,13512000,103555000,3335488000,3446339000,103639000,9496000,29623000,2012246000,83964000,83964000,2199849000,2e+08,67463000,67463000,267463000,2467312000,1166583000,-254590000,911993000,67034000,979027000,3446339000,34262000,28051000,1279000,-6189000,57403000,-48822000,-48822000,-48822000,2369000,-46453000,-31945000,-12462000,430000,430000,-2403000,-46380000,-35430000,-35430000,-35430000,89093000,2212246000,0.37754,0.32083,0.15454,0.03003,0.00853,0.05039,2.52017,0.64191,0.17593,0.16044,1.13843,5.45692,0.19114,0.01883,1.08645,24.00337,35.03378
"5","2015_Q2",22.5484126984127,"Down",208414000,-122120000,86294000,-11098000,-7406000,-665000,-1358000,75196000,-26392000,-27276000,884000,48804000,31813000,31813000,31813000,-2331000,29482000,27185000,102703000,102703000,36313000,36313000,139016000,3212942000,4410724000,-1197782000,116836000,17889000,98947000,3329778000,3468794000,119330000,8424000,110906000,2011738000,88640000,88640000,2219708000,2e+08,69994000,69994000,269994000,2489702000,1172259000,-259880000,912379000,66713000,979092000,3468794000,31813000,28364000,17472000,31566000,109215000,-28455000,-28455000,-28455000,-3124000,-31579000,-31920000,2374000,4069000,4069000,-23170000,-48647000,28989000,28989000,28989000,103560000,2211738000,0.41405,0.3608,0.13044,0.02777,0.00784,0.06263,2.54287,0.63761,0.16189,0.1481,1.24114,5.43335,0.19009,0.01813,1.17418,20.36534,28.04717
"6","2015_Q3",24.06734375,"Up",201480000,-128105000,73375000,-11313000,-7541000,-669000,-1414000,62062000,-25305000,-26145000,840000,36757000,36826000,36826000,36826000,-2723000,34103000,31787000,84945000,84945000,35464000,35464000,120409000,3214402000,4440429000,-1226027000,112697000,17963000,94734000,3327099000,3447508000,129880000,8705000,121175000,1966517000,89684000,89684000,2186081000,2e+08,79748000,79748000,279748000,2465829000,1174277000,-259491000,914786000,66893000,981679000,3447508000,36826000,28625000,2052000,33228000,100731000,-37491000,-37491000,-37491000,455000,-37036000,-36612000,-44330000,183000,183000,-694000.000000007,-81453000,-17758000,-17758000,-17758000,90687000,2166517000,0.36418,0.30803,0.15777,0.03238,0.00922,0.05508,2.51185,0.62843,0.18914,0.17298,1.19884,5.44315,0.21785,0.02119,1.15179,22.95337,33.5402
"7","2015_Q4",26.34328125,"Up",210144000,-132430000,77714000,-11263000,-7225000,-616000,-1548000,66451000,-24345000,-26227000,1882000,42106000,42106000,42106000,42106000,-3137000,38969000,36672000,89395000,89395000,36334000,36334000,125729000,3205001000,4459086000,-1254085000,112660000,17554000,95106000,3317661000,3443390000,139793000,8579000,34314000,1956246000,88963000,88963000,2185002000,2e+08,69212000,69212000,269212000,2454214000,1176829000,-255008000,921821000,67355000,989176000,3443390000,42106000,28685000,2397000,4085000,77273000,-25579000,-25579000,-25579000,-1066000,-26645000,-36611000,-9382000,373000,373000,-558000,-46178000,4450000,4450000,4450000,95136000,2156246000,0.36981,0.31622,0.17451,0.03707,0.01065,0.05754,2.48107,0.6262,0.21814,0.19936,1.25002,5.48337,0.21778,0.0228,0.99834,21.72522,31.10338
"8","2016_Q1",29.3470491803279,"Up",201616000,-123586000,78030000,-12672000,-8472000,-408000,-1857000,65358000,-25600000,-26083000,483000,39758000,39767000,39767000,39767000,-2950000,36817000,34501000,80258000,80258000,35463000,35463000,115721000,3195176000,4477599000,-1282423000,89503000,17741000,71762000,3284679000,3400400000,119074000,8715000,34315000,1926880000,88283000,88283000,2134237000,199172000,74300000,74300000,273472000,2407709000,1176127000,-251059000,925068000,67623000,992691000,3400400000,39767000,29024000,2327000,-5455000,65663000,-25961000,-25961000,-25961000,514000,-25447000,-36630000,-9647000,212000,274000,-3288000,-49353000,-9136999.99999999,-9136999.99999999,-9136999.99999999,94382000,2126052000,0.38702,0.32417,0.17112,0.03476,0.01015,0.05422,2.42544,0.62524,0.20518,0.18751,1.19901,5.50138,0.21784,0.02228,1.06171,21.67568,31.30136
"9","2016_Q2",31.2684375,"Up",220147000,-127449000,92698000,-10755000,-7407000,-335000,-1488000,81943000,-24753000,-25634000,881000,57190000,57190000,57190000,57190000,-4310000,52880000,50583000,97107000,97107000,34144000,34144000,131251000,3189767000,4500529000,-1310762000,94107000,22994000,71113000,3283874000,3415125000,127195000,8669000,39016000,1907074000,92322000,92322000,2126591000,199224000,74153000,74153000,273377000,2399968000,1183022000,-237036000,945986000,69171000,1015157000,3415125000,57190000,28935000,-3705000,19346000,101766000,-29882000,-29882000,-29882000,-4162000,-34044000,-36612000,-19535000,5323000,5323000,-49000,-50873000,16849000,16849000,16849000,110878000,2106298000,0.42107,0.37222,0.22977,0.04983,0.01481,0.06172,2.36413,0.61676,0.29994,0.27479,1.30541,5.60943,0.2171,0.02729,0.7238,18.12074,24.51937
"10","2016_Q3",34.38078125,"Up",210081000,-132884000,77197000,-11597000,-8256000,-428000,-1332000,65600000,-24796000,-25561000,765000,40804000,40804000,40804000,40804000,-2998000,37806000,35490000,74871000,74871000,33837000,33837000,108708000,3278563000,4617861000,-1339298000,98304000,23223000,75081000,3376867000,3485575000,127206000,8488000,39300000,1915834000,92522000,92522000,2135562000,199276000,84821000,84821000,284097000,2419659000,1231148000,-237820000,993328000,72588000,1065916000,3485575000,40804000,29307000,1372000,13558000,85041000,-102028000,-102028000,-102028000,-18000,-102046000,-41332000,-13029000,50008000,50008000,-878000,-5230999.99999999,-22236000,-22236000,-22236000,94907000,2115110000,0.36746,0.31226,0.16893,0.0333,0.01018,0.0509,2.27003,0.60682,0.20996,0.19228,1.24283,5.8765,0.24452,0.02352,1.16461,21.49724,31.1012
