"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.0392063492063,"Up",2.892e+09,-2.051e+09,8.41e+08,-5.06e+08,-3.68e+08,-1.38e+08,3.35e+08,-2.7e+07,-3.5e+07,8e+06,3.08e+08,-6.6e+07,2.42e+08,-6.9e+07,1.73e+08,2418250311.36754,2418250311.36754,1.73e+08,1.72e+08,1.72e+08,1.695e+09,1.695e+09,2.033e+09,2.033e+09,1.458e+09,4.81e+08,4.81e+08,5.667e+09,3.008e+09,7.608e+09,3.88e+08,3.153e+09,2.639e+09,1.428e+09,1.0616e+10,1.6283e+10,1.221e+09,1.221e+09,1.01e+08,2.761e+09,2.314e+09,4.201e+09,1.106e+09,2.486e+09,6.09e+08,6.515e+09,9.276e+09,9.015e+09,-3.28e+08,-2.102e+09,4.13e+08,6.998e+09,7.007e+09,1.6283e+10,1.73e+08,1.38e+08,7.9e+07,-6e+07,3.3e+08,-7.4e+07,-2e+06,-6.4e+07,-7.4e+07,-23796108262.5727,-1.7e+07,-2e+06,-9.3e+07,1.73e+08,1.73e+08,1e+06,1.74e+08,4.73e+08,2.415e+09,4.08e+08,0.2908,0.11584,0.05947,0.02455,0.01056,2.37209,2.05252,1.32382,0.14831,0.37473,0.37229,6.30065,15.24619,0.88889,0.16122,134.901870309408,0.01806,0.02995,0.43023,1.5222,2.14925
"2","2010_Q3",18.5653125,"Down",2.957e+09,-1.999e+09,9.58e+08,-5.48e+08,-4.06e+08,-1.42e+08,4.1e+08,4.3e+07,-3.2e+07,7.5e+07,4.53e+08,-1.2e+07,4.41e+08,-1.35e+08,3.06e+08,1168625155.68377,1168625155.68377,3.06e+08,3.04e+08,3.04e+08,1.839e+09,1.839e+09,2.042e+09,2.042e+09,1.55e+09,5.27e+08,5.27e+08,5.958e+09,2.896e+09,7.698e+09,3.97e+08,3.175e+09,2.692e+09,1.434e+09,1.0594e+10,1.6552e+10,1.304e+09,1.304e+09,1.01e+08,3.28e+09,2.313e+09,4.163e+09,1.089e+09,2.539e+09,5.35e+08,6.476e+09,9.756e+09,8.736e+09,-4.67e+08,-1.798e+09,3.17e+08,6.788e+09,6.796e+09,1.6552e+10,3.06e+08,1.28e+08,4.7e+07,1.9e+07,5e+08,-7.8e+07,-2e+06,-1.35e+08,-7.2e+07,-10210554131.2864,-1.45e+08,-3e+06,-2.2e+08,1.45e+08,1.45e+08,-1e+06,1.44e+08,5.38e+08,2.414e+09,6.14e+08,0.32398,0.13865,0.10281,0.04473,0.01837,2.01974,1.81646,1.43555,0.14584,0.66521,0.65944,6.47046,14.85339,1.34354,0.15755,70.8343723941156,0.02812,0.04591,0.23684,1.06877,1.40244
"3","2010_Q4",22.73734375,"Up",3.084e+09,-2.099e+09,9.85e+08,-5.22e+08,-3.75e+08,-1.47e+08,4.63e+08,8e+06,-3.4e+07,4.2e+07,4.71e+08,4e+06,4.75e+08,-1.44e+08,3.31e+08,437208385.227924,437208385.227924,3.31e+08,3.3e+08,3.3e+08,1.815e+09,1.815e+09,2.216e+09,2.216e+09,1.586e+09,5.63e+08,5.63e+08,6.18e+09,2.787e+09,7.502e+09,3.98e+08,3.155e+09,2.572e+09,1.377e+09,1.0289e+10,1.6469e+10,1.394e+09,1.394e+09,1.07e+08,3.337e+09,2.308e+09,4.024e+09,1.077e+09,2.42e+09,5.27e+08,6.332e+09,9.669e+09,8.689e+09,-6.45e+08,-1.459e+09,2.07e+08,6.792e+09,6.8e+09,1.6469e+10,3.31e+08,1.29e+08,1.17e+08,-2.02e+08,3.75e+08,-9.2e+07,-1.6e+07,-1.23e+08,-7.2e+07,-2865851377.09546,-1.99e+08,-3e+06,-2.74e+08,-2.2e+07,-2.2e+07,-2e+06,-2.4e+07,5.92e+08,2.415e+09,4.42e+08,0.31939,0.15013,0.107,0.04853,0.02004,1.33939,1.85196,1.42191,0.14664,0.73171,0.72368,6.83814,15.05987,0.98004,0.15965,30.1337489576462,0.03036,0.03339,0.21818,1.01351,1.2959
"4","2011_Q1",25.346935483871,"Up",2.748e+09,-1.889e+09,8.59e+08,-4.77e+08,-3.41e+08,-1.36e+08,3.82e+08,1.8e+07,-3.4e+07,5.2e+07,4e+08,-6.4e+07,3.36e+08,-1.28e+08,2.08e+08,9.1e+07,9.1e+07,2.99e+08,2.97e+08,2.97e+08,1.99e+09,1.99e+09,2.259e+09,2.259e+09,1.583e+09,6.51e+08,6.51e+08,6.483e+09,2.867e+09,7.642e+09,3.92e+08,3.211e+09,2.695e+09,1.344e+09,1.0509e+10,1.6992e+10,1.386e+09,1.386e+09,1.06e+08,3.46e+09,2.307e+09,4.169e+09,1.28e+09,2.437e+09,4.52e+08,6.476e+09,9.936e+09,8.684e+09,-7.21e+08,-1.161e+09,2.46e+08,7.048e+09,7.056e+09,1.6992e+10,2.08e+08,1.19e+08,-2.48e+08,3.19e+08,4.74e+08,-1.2e+08,4.1e+07,-1.2e+08,-7.1e+07,0,-1.15e+08,9e+06,-1.92e+08,1.62e+08,1.62e+08,1.3e+07,1.75e+08,5.01e+08,2.413e+09,8.28e+08,0.31259,0.13901,0.10808,0.04209,0.01748,2.78788,1.8737,1.40816,0.14201,0.66742,0.66147,6.17528,15.8382,1.86067,0.15955,8,0.02698,0.06071,0.23906,0.84431,1.10733
"5","2011_Q2",25.2528571428571,"Down",3.2e+09,-2.179e+09,1.021e+09,-5.65e+08,-4.02e+08,-1.63e+08,4.56e+08,-1.8e+07,-3e+07,1.2e+07,4.38e+08,-5.6e+07,3.82e+08,-1.13e+08,2.69e+08,-3000000.00000001,-3000000.00000001,2.66e+08,2.65e+08,2.65e+08,1.407e+09,1.407e+09,2.421e+09,2.421e+09,1.836e+09,8.74e+08,8.74e+08,6.538e+09,3.075e+09,8.489e+09,6.85e+08,3.727e+09,2.682e+09,1.395e+09,1.1564e+10,1.8102e+10,1.485e+09,1.485e+09,6.6e+08,3.868e+09,2.555e+09,4.333e+09,1.351e+09,2.498e+09,4.84e+08,6.888e+09,1.0756e+10,8.644e+09,-6.5e+08,-8.95e+08,2.4e+08,7.339e+09,7.346e+09,1.8102e+10,2.69e+08,1.33e+08,1.21e+08,-3.69e+08,1.54e+08,-1.09e+08,3.3e+07,-7.93e+08,-7.1e+07,1.49e+08,-2.1e+07,-4e+06,5.3e+07,-5.86e+08,-5.86e+08,3e+06,-5.83e+08,5.89e+08,3.215e+09,2.24e+08,0.31906,0.1425,0.08281,0.03607,0.01464,0.84528,1.69028,1.4642,0.1776,0.59685,0.5902,7.20721,16.52928,0.5045,0.15991,-0.366874478823117,0.02256,0.01504,0.26792,3.06961,3.96491
"6","2011_Q3",22.58296875,"Down",3.246e+09,-2.268e+09,9.78e+08,-5.84e+08,-4.18e+08,-1.66e+08,3.94e+08,-3.1e+07,-3.7e+07,6e+06,3.63e+08,-1.2e+07,3.51e+08,-6.4e+07,2.87e+08,1.3e+07,1.3e+07,3e+08,2.99e+08,2.99e+08,1.239e+09,1.239e+09,2.495e+09,2.495e+09,1.912e+09,8.34e+08,8.34e+08,6.48e+09,3.129e+09,8.471e+09,6.7e+08,3.602e+09,2.81e+09,1.389e+09,1.16e+10,1.808e+10,1.558e+09,1.558e+09,1.85e+08,3.75e+09,2.559e+09,4.435e+09,1.387e+09,2.508e+09,5.4e+08,6.994e+09,1.0744e+10,8.325e+09,-8.51e+08,-5.96e+08,4.47e+08,7.325e+09,7.336e+09,1.808e+10,2.87e+08,1.43e+08,2.3e+07,6.2e+07,5.57e+08,-1.06e+08,1.13e+08,3000000.00000012,-7e+07,-4.7e+08,-1.95e+08,3.6e+07,-7.37e+08,-1.77e+08,-1.77e+08,9e+06,-1.68e+08,5.37e+08,2.744e+09,5.57e+08,0.30129,0.12138,0.09211,0.04076,0.01654,1.86288,1.728,1.46456,0.15177,0.67494,0.66592,7.32731,16.53499,1.25734,0.15801,0.233125521176884,0.02542,0.03837,0.23411,2.80261,3.8198
"7","2011_Q4",23.3011111111111,"Up",3.579e+09,-2.491e+09,1.088e+09,-6.19e+08,-4.41e+08,-1.78e+08,4.69e+08,-3.9e+07,-3.4e+07,-5e+06,4.3e+08,-9e+06,4.21e+08,-7e+07,3.51e+08,6e+06,6e+06,3.57e+08,3.55e+08,3.55e+08,1.212e+09,1.212e+09,2.614e+09,2.614e+09,1.996e+09,7.75e+08,7.75e+08,6.597e+09,3.147e+09,8.288e+09,6.73e+08,3.6e+09,2.71e+09,1.305e+09,1.1435e+10,1.8032e+10,1.612e+09,1.612e+09,1e+06,3.691e+09,2.654e+09,4.101e+09,1.205e+09,2.358e+09,5.38e+08,6.755e+09,1.0446e+10,8.2e+09,-9.59e+08,-2.42e+08,5.76e+08,7.575e+09,7.586e+09,1.8032e+10,3.51e+08,1.43e+08,1.8e+07,-6.7e+07,4.38e+08,-2.9e+07,-1e+06,-4.5e+07,-7.9e+07,-95000000.0000001,-2.5e+08,-1.5e+07,-4.31e+08,-3.8e+07,-3.8e+07,1.1e+07,-2.7e+07,6.12e+08,2.655e+09,5.86e+08,0.304,0.13104,0.09919,0.0468,0.01969,1.6507,1.78732,1.37701,0.14724,0.81236,0.80317,8.18993,17.3341,1.34096,0.18078,5,0.03026,0.04086,0.22254,2.35784,3.07676
"8","2012_Q1",25.5338709677419,"Up",3.753e+09,-2.569e+09,1.184e+09,-6.61e+08,-4.67e+08,-1.94e+08,5.23e+08,-2.4e+07,-3.8e+07,1.4e+07,4.99e+08,-7.8e+07,4.21e+08,-1e+08,3.21e+08,6e+06,6e+06,3.27e+08,3.26e+08,3.26e+08,1.218e+09,1.218e+09,2.341e+09,2.341e+09,1.878e+09,1.142e+09,6.34e+08,6.579e+09,3.14e+09,8.004e+09,6.31e+08,3.288e+09,2.766e+09,1.319e+09,1.1144e+10,1.7723e+10,1.454e+09,1.454e+09,331503931.483562,3.41e+09,2.667e+09,4.162e+09,1.202e+09,2.455e+09,5.05e+08,6.829e+09,1.0239e+10,8.197e+09,-1.235e+09,8.4e+07,4.28e+08,7.474e+09,7.484e+09,1.7723e+10,3.21e+08,1.45e+08,0,1.42e+08,6.3e+08,-1.97e+08,1999999.99999999,-2.08e+08,-7.6e+07,0,-3.19e+08,6e+06,-3.97e+08,2.5e+07,2.5e+07,-1.8e+07,7e+06,6.68e+08,2.667e+09,7.13e+08,0.31548,0.13936,0.08686,0.04356,0.01839,2.18712,1.92933,1.36812,0.15048,0.76168,0.75463,8.76869,17.46262,1.66589,0.17757,8,0.02809,0.04981,0.23313,2.16916,2.77055
"9","2012_Q2",24.1911111111111,"Down",3.17e+09,-2.227e+09,9.43e+08,-5.6e+08,-3.83e+08,-1.77e+08,3.83e+08,-3.3e+07,-3.4e+07,1e+06,3.5e+08,-2.2e+07,3.28e+08,-8.8e+07,2.4e+08,2.2e+07,2.2e+07,2.62e+08,2.6e+08,2.6e+08,1.39e+09,1.39e+09,2.241e+09,2.241e+09,1.918e+09,6.25e+08,6.25e+08,6.174e+09,3.09e+09,8.259e+09,6.38e+08,3.569e+09,2.725e+09,1.327e+09,1.1349e+10,1.7523e+10,1.393e+09,1.393e+09,8.96e+08,3.82e+09,1.95e+09,4.163e+09,1.174e+09,2.472e+09,5.17e+08,6.113e+09,9.933e+09,8.171e+09,-1.184e+09,3.44e+08,2.5e+08,7.581e+09,7.59e+09,1.7523e+10,2.4e+08,1.41e+08,8.4e+07,-2.7e+08,2.07e+08,-1.25e+08,-1e+06,-1.26e+08,-7.7e+07,1.79e+08,-5e+06,8e+06,9.3e+07,1.74e+08,1.74e+08,-3e+06,1.71e+08,5.24e+08,2.846e+09,2.17e+08,0.29748,0.12082,0.08202,0.03426,0.01484,0.83462,1.61623,1.3087,0.16242,0.61176,0.60606,7.45882,17.83765,0.51059,0.18118,5,0.02308,0.01486,0.29615,2.77863,3.80157
"10","2012_Q3",24.877619047619,"Up",3.249e+09,-2.228e+09,1.021e+09,-6e+08,-4.27e+08,-1.73e+08,4.21e+08,-2.6e+07,-3.7e+07,1.1e+07,3.95e+08,-3.6e+07,3.59e+08,-9.1e+07,2.68e+08,-1e+07,-1e+07,2.58e+08,2.57e+08,2.57e+08,2.866e+09,2.866e+09,2.288e+09,2.288e+09,1.833e+09,9.22e+08,4.53e+08,7.909e+09,3.107e+09,8.013e+09,6.06e+08,3.283e+09,2.692e+09,1.432e+09,1.112e+10,1.9029e+10,1.367e+09,1.367e+09,1.285e+09,4.371e+09,2.687e+09,4.288e+09,1.173e+09,2.597e+09,5.18e+08,6.975e+09,1.1346e+10,7.796e+09,-1.112e+09,6.01e+08,3.89e+08,7.674e+09,7.683e+09,1.9029e+10,2.68e+08,1.38e+08,4.9e+07,26000000.0000001,5.22e+08,-1.38e+08,-6e+06,-1.45e+08,-7.6e+07,1.138e+09,3.6e+07,3.2e+07,1.09e+09,1.467e+09,1.467e+09,1e+07,1.477e+09,5.59e+08,3.972e+09,5.38e+08,0.31425,0.12958,0.0791,0.03345,0.01351,2.09339,1.80943,1.47677,0.20873,0.60187,0.59629,7.6089,17.9719,1.25995,0.17799,7,0.02089,0.03375,0.29572,1.97853,2.62708
