"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",54.0173015873016,"Down",482741000,-247653000,235088000,-131582000,-34604000,-96978000,103506000,1234000,912000,322000,104740000,104740000,-70961000,33779000,33779000,33779000,33779000,239462000,226640000,12822000,217619000,217619000,192967000,29445000,10020000,679493000,187143000,173717000,452972000,126183000,16467000,21841000,813832000,1493325000,168450000,116274000,52176000,7270000,175720000,106239000,281959000,1301800000,-92402000,1968000,1211366000,1211366000,1493325000,33779000,20144000,25638000,52753000,132314000,-14296000,-38195000,-52491000,-19380000,620000,-33381000,46442000,46442000,46442000,123650000,0,233068000,0.48699,0.21441,0.06997,0.02789,0.02262,6.89979,3.86691,0.23276,0,0.53235,0.51526,7.60785,19.09076,3.67308,0.02564,0.17689,-1.93661,-2.31351
"32","2018_Q1",46.4306557377049,"Down",303173000,-150543000,152630000,-131863000,-36307000,-95556000,20767000,1220000,1378000,-158000,21987000,21987000,-9983000,12004000,12004000,12004000,12004000,262001000,235604000,26397000,100801000,100801000,205760000,45112000,13877000,613674000,191154000,172499000,452790000,111547000,14716000,37809000,816443000,1430117000,118228000,69850000,48378000,21981000,140209000,128180000,268389000,1312434000,-139345000,-11361000,1161728000,1161728000,1430117000,12004000,22224000,-675000,72135000,105688000,-22617000,-12871000,-35488000,-62124000,-1898000,-61236000,8964000,8964000,8964000,42991000,0,102492000,0.50344,0.0685,0.03959,0.01033,0.00839,8.53815,4.37685,0.23103,0,0.19161,0.18546,4.83939,18.54403,1.63602,0.00931,0.07946,-6.09432,-12.61622
"33","2018_Q2",38.251875,"Down",254483000,-129924000,124559000,-130716000,-32784000,-97932000,-6157000,1657000,1447000,210000,-4500000,-4500000,228000,-4272000,-4272000,-4272000,-4272000,226336000,186459000,39877000,126604000,126604000,173063000,49118000,18616000,575121000,195804000,159334000,436544000,99366000,15985000,34151000,791682000,1366803000,95869000,53655000,42214000,22775000,118644000,121063000,239707000,1325287000,-184673000,-13518000,1127096000,1127096000,1366803000,-4272000,22639000,12844000,-26522000,4689000,-12555000,-282000,-12837000,-39940000,60000,-40997000,-49145000,-49145000,-49145000,16482000,0,-22823000,0.48946,-0.02419,-0.01679,-0.00379,-0.00313,5.34246,4.84745,0.21268,0,-0.06951,-0.06951,4.14049,18.3381,-0.37134,-0.00342,-0.01829,-13.73231,36.76076
"34","2018_Q3",41.501746031746,"Up",366305000,-181186000,185119000,-129541000,-33160000,-96381000,55578000,1147000,1525000,-378000,56725000,56725000,1448000,58173000,58173000,58173000,58173000,244558000,195857000,48701000,206789000,206789000,142315000,48910000,17283000,642572000,193218000,151207000,417397000,86769000,13733000,29527000,761822000,1404394000,135997000,88473000,47524000,19905000,155902000,105517000,261419000,1338586000,-182453000,-13158000,1142975000,1142975000,1404394000,58173000,22657000,12683000,-19252000,74261000,-8535000,-541000,-9076000,-54829000,168000,-55787000,9398000,9398000,9398000,78235000,0,4.9e+07,0.50537,0.15173,0.15881,0.0509,0.04142,0.84232,4.12164,0.22872,0,0.96198,0.9318,6.05743,18.9009,0.81029,0.04659,0.03925,-3.12594,-4.40027
"35","2018_Q4",37.1138095238095,"Down",324295000,-161115000,163180000,-118939000,-30364000,-88575000,44241000,1841000,1740000,101000,46082000,32314000,-2381000,29933000,29933000,29933000,29933000,279112000,219319000,59793000,142135000,142135000,167879000,51151000,18816000,640277000,191324000,165063000,400201000,76389000,13131000,24003000,756588000,1396865000,147616000,108022000,39594000,22147000,169763000,97301000,267064000,1349941000,-217871000,-2269000,1129801000,1129801000,1396865000,29933000,17342000,23069000,47842000,118186000,-5031000,-24517000,-29548000,-54824000,176000,-65176000,23462000,23462000,23462000,61583000,0,106775000,0.50318,0.13642,0.0923,0.02649,0.02143,3.56713,3.77159,0.23638,6.7762635780344e-21,0.50298,0.49246,5.44933,18.98474,1.79421,0.02439,0.08701,-4.53229,-6.3089
"36","2019_Q1",38.5816393442623,"Up",240441000,-115802000,124639000,-122445000,-30194000,-92251000,2194000,2098000,2248000,-150000,4292000,9205000,-3048000,6157000,6157000,6157000,6157000,286355000,216172000,70183000,120656000,120656000,164733000,53239000,22445000,624983000,186185000,158968000,382504000,67847000,8727000,19689000,727657000,1352640000,94026000,48398000,45628000,21514000,115540000,96860000,212400000,1363736000,-222430000,-1066000,1140240000,1140240000,1352640000,6157000,17188000,11715000,-25502000,9558000,3626000,-2684000,-3201000,-8788000,1212000,-9504000,-3147000,-3147000,-3147000,19382000,1.81898940354586e-12,553999.999999985,0.51838,0.00911999999999999,0.02561,0.0054,0.00455,0.0899799999999993,5.40923,0.18628,0,0.10432,0.0998600000000001,4.07396,19.31988,0.00938999999999979,0.00498,0.00045,-14.77428,-130.51732
"37","2019_Q2",43.4457142857143,"Up",238253000,-115759000,122494000,-118350000,-29520000,-88830000,4144000,1907000,2285000,-378000,6051000,6051000,-1433000,4618000,4618000,4618000,4618000,250427000,198077000,52350000,111497000,111497000,146317000,55834000,28325000,564075000,182042000,205079000,518920000,62496000,9394000,160660000,906041000,1470116000,100015000,60408000,39607000,31191000,131206000,221660000,352866000,1375777000,-258899000,372000,1117250000,1117250000,1470116000,4618000,19745000,11879000,20745000,56987000,-8117000,-26606000,-34723000,-39740000,260000,-40359000,-18095000,-18095000,-18095000,23889000,0,37950000,0.51413,0.01739,0.01938,0.00413,0.00314,8.21784,4.29916,0.31583,-4.2351647362715e-22,0.07889,0.07664,4.06992,19.08524,0.64827,0.00345,0.02834,-10.48294,-60.43123
"38","2019_Q3",51.0775,"Up",388912000,-180979000,207933000,-121257000,-33018000,-88239000,86676000,1682000,2250000,-568000,88358000,88358000,-12148000,76210000,76210000,76210000,76210000,244500000,221937000,22563000,217962000,217962000,144829000,44729000,16275000,652020000,178420000,238741000,514450000,54780000,9026000,165323000,931611000,1583631000,161130000,109374000,51756000,31666000,192796000,212210000,405006000,1392650000,-213274000,-751000,1178625000,1178625000,1583631000,76210000,18166000,12200000,-45728000,60848000,-5946000,-3572000,-9518000.00000001,-26887000,3114000,-27470000,23860000,23860000,23860000,104842000,1.13686837721616e-13,65316000,0.53465,0.22287,0.19596,0.06466,0.04812,0.85705,3.38192,0.34363,0,1.31369,1.26464,6.70399,20.31692,1.1259,0.05479,0.04696,-2.33208,-2.82085
"39","2019_Q4",67.74546875,"Up",374668000,-177163000,197505000,-124826000,-36113000,-88713000,72679000,1829000,2392000,-563000,74508000,74508000,-5996000,68512000,68512000,68512000,68512000,355399000,342301000,13098000,175937000,175937000,137920000,45345000,17019000,714601000,174390000,250162000,508387000,47133000,9183000,166167000,932939000,1647540000,149364000,98835000,50529000,28947000,178311000,209349000,387660000,1417646000,-157869000,103000,1259880000,1259880000,1647540000,68512000,17468000,12824000,29908000,128712000,801000,-1986000,-6078000,10837000,10837000,-2270000,120364000,120364000,120364000,90147000,0,126852000,0.52715,0.19398,0.18286,0.05438,0.04158,1.85153,4.00761,0.3077,-2.64697796016969e-23,1.1774,1.12935,6.43881,21.65151,2.18,0.04663,0.08634,-3.94244,-4.88998
"40","2020_Q1",73.9025806451613,"Up",279291000,-133056000,146235000,-114329000,-32464000,-81865000,31906000,2368000,2474000,-106000,34274000,12349000,-2191000,10158000,10158000,10158000,10158000,314127000,292119000,22008000,153998000,153998000,146725000,35346000,11752000,650196000,158244000,283573000,500664000,34430000,10052000,169094000,942481000,1592677000,134169000,78412000,55757000,24468000,158637000,204261000,362898000,1434929000,-201681000,-3469000,1229779000,1229779000,1592677000,10158000,12858000,33967000,-7715000,49268000,-2394000,-46481000,-49902000,-45577000,4424000,-49548000,-50182000,-50182000,-50182000,44764000,7.105427357601e-15,36846000,0.52359,0.11424,0.03637,0.00826,0.00638,3.62729,4.09864,0.29509,0,0.17356,0.16745,4.772,21.01217,0.62956,0.00708,0.02569,-7.0174,-9.84539
"41","2020_Q2",68.3336507936508,"Down",242573000,-115101000,127472000,-108445000,-29704000,-78741000,19027000,1687000,1576000,111000,20714000,20362000,-2153000,18209000,18209000,18209000,18209000,315865000,285922000,29943000,136539000,136539000,199332000,38231000,12844000,689967000,154286000,290186000,509600000,31185000,6970000,184046000,954072000,1644039000,135512000,95523000,39989000,27532000,163044000,208706000,371750000,1451297000,-184049000,5041000,1272289000,1272289000,1644039000,18209000,11745000,14438000,-43890000,502000,-2054000,-7052000,-9183000,3061000,3061000,2484000,-6197000,-6197000,-6197000,30772000,0,-13019000,0.5255,0.07844,0.07507,0.01431,0.01108,-0.71498,4.23178,0.29219,0,0.31226,0.30207,4.15984,21.81827,-0.22326,0.0123,-0.00879,-10.26469,-16.60088
"42","2020_Q3",62.64203125,"Down",347325000,-167115000,180210000,-116057000,-31247000,-84810000,64153000,2162000,1378000,784000,66315000,66315000,-6829000,59486000,59486000,59486000,59486000,284177000,247536000,36641000,181496000,181496000,209050000,34508000,13655000,709231000,153640000,328255000,508738000,27898000,7899000,185268000,990633000,1699864000,156264000,99105000,57159000,21779000,178043000,204990000,383033000,1466978000,-155260000,5113000,1316831000,1316831000,1699864000,59486000,12100000,13610000,-43560000,41636000,-4913000,-43506000,-49531000,-29795000,206000,-30491000,-38386000,-38386000,-38386000,76253000,8.88178419700125e-16,34609000,0.51885,0.18471,0.17127,0.04517,0.03499,0.5818,3.98348,0.29087,0,1.02225,0.98936,5.96871,22.62946,0.59475,0.03909,0.02274,-3.72676,-4.42968
"43","2020_Q4",75.15140625,"Up",485795000,-234295000,251500000,-121850000,-32415000,-89435000,129650000,999000,1206000,-207000,130649000,130649000,-16281000,114368000,114368000,114368000,114368000,370583000,327294000,43289000,244803000,244803000,142689000,45469000,6594000,803544000,154312000,326491000,541282000,24322000,7277000,222165000,1022085000,1825629000,143506000,90814000,52692000,41349000,184855000,240417000,425272000,1483567000,-88238000,5028000,1400357000,1400357000,1825629000,114368000,11633000,18228000,-9925000,134304000,-4767000,-5532000,-10420000,-31780000,3220000,-44126000,79758000,79758000,79758000,141283000,0,142872000,0.51771,0.26688,0.23542,0.08167,0.06265,1.24923,4.34689,0.30369,0,1.97105,1.90941,8.37231,24.1341,2.46229,0.0697,0.08708,-2.62298,-2.85833
"44","2021_Q1",86.5862295081967,"Up",293537000,-145418000,148119000,-123415000,-33642000,-89773000,24704000,3216000,1064000,2152000,27920000,27920000,-2639000,25281000,25281000,25281000,25281000,497861000,442164000,55697000,108712000,108712000,173263000,62683000,25107000,842519000,154942000,312759000,520394000,22031000,9977000,200868000,988095000,1830614000,171031000,102744000,68287000,42579000,213610000,227999000,441609000,1498819000,-112689000,2875000,1389005000,1389005000,1830614000,25281000,11605000,5006000,130611000,172503000,-6519000,-1110000.00000001,-8541000,-44344000,641000,-49092000,114870000,114870000,114870000,36309000,5.55111512312578e-17,163040000,0.5046,0.08416,0.08613,0.0182,0.01381,6.44911,3.94419,0.31793,0,0.43666,0.42179,5.07007,23.99138,2.81608,0.01563,0.10083,-13.71178,-20.15305
"45","2021_Q2",80.1677777777778,"Down",277253000,-137307000,139946000,-120843000,-35147000,-85696000,19103000,519000,761000,-242000,19622000,19622000,-2413000,17209000,17209000,17209000,17209000,445630000,385127000,60503000,136534000,136534000,192722000,64458000,27394000,839344000,158451000,311643000,504568000,18429000,19482000,179139000,974662000,1814006000,148750000,95232000,53518000,37751000,186501000,220774000,407275000,1514549000,-109754000,1936000,1406731000,1406731000,1814006000,17209000,11898000,5823000,-61726000,-26796000,-10835000,-4811000,-16714000,-11755000,746000,-13527000,-57037000,-57037000,-57037000,31001000,0,-39147000,0.50476,0.0689,0.06207,0.01223,0.00949,-2.2748,4.50048,0.28952,0,0.29617,0.28653,4.7715,24.20974,-0.67372,0.01057,-0.02405,-14.3747,-23.32775
"46","2021_Q3",83.17515625,"Up",465886000,-230442000,235444000,-140248000,-38132000,-102116000,95196000,1894000,35000,1859000,97090000,97090000,-11994000,85096000,85096000,85096000,85096000,394893000,386741000,8152000,280967000,280967000,188360000,84836000,45779000,949056000,159480000,67726000,1049898000,174852000,10073000,232190000,1277104000,2226160000,460608000,386699000,73909000,39773000,500381000,257689000,758070000,1533557000,-65672000,205000,1468090000,1468090000,2226160000,85096000,15812000,17268000,-89003000,29173000,-3893000,294284000,12715000,-37545000,2457000,-40274000,1613999.99999997,1613999.99999997,1613999.99999997,111008000,3.46944695195361e-18,30105999.9999999,0.50537,0.20433,0.18265,0.05796,0.03823,0.35379,1.89667,0.51636,0,1.48344,1.43136,8.12157,25.59253,0.52482,0.04931,0.01744,-3.55734,-4.14821
"47","2021_Q4",83.08421875,"Down",548349000,-258827000,289522000,-145348000,-38247000,-107101000,144174000,-165000,-78000,-87000,144009000,144009000,-16373000,127636000,127636000,127636000,127636000,198840000,195121000,3719000,326131000,326131000,148525000,90025000,48619000,763521000,157186000,72118000,1075292000,165581000,7203000,269725000,1304596000,2068117000,169106000,110250000,58856000,70408000,239514000,265856000,505370000,1556746000,6416000,-415000,1562747000,1562747000,2068117000,127636000,17446000,18843000,-299780000,-135855000,-6826000,-607000,-5573000,-34640000,5359000,-50192000,-191620000,-191620000,-191620000,161620000,0,-128613000,0.52799,0.26292,0.23276,0.08167,0.06172,-1.00765,3.18779,0.32339,-8.07793566946316e-28,2.22502,2.14691,9.55911,27.24264,-2.24205,0.0698,-0.07033,-1.23029,-1.37917
"48","2022_Q1",85.8796774193548,"Up",489972000,-231243000,258729000,-150864000,-39470000,-111394000,107865000,77000,-103000,180000,107942000,107942000,-11528000,96414000,96414000,96414000,96414000,380415000,369814000,10601000,240264000,240264000,138436000,80900000,40078000,840015000,157077000,63749000,1062559000,158145000,11068000,457555000,1283385000,2123400000,197403000,115417000,81986000,67380000,264783000,258800000,523583000,1578427000,23435000,-2045000,1599817000,1599817000,2123400000,96414000,16905000,10468000,134444000,258231000,-4585000,-344000,-8800000,-70341000,4658000,-74738000,174693000,174693000,174693000,124770000,-4.33680868994202e-19,266157000,0.52805,0.22015,0.19677,0.06027,0.04541,2.76056,3.17247,0.32728,0,1.68326,1.63018,8.55428,27.93074,4.64676,0.05187,0.1432,-3.04893,-3.52677
"49","2022_Q2",77.4879032258064,"Down",393639000,-191005000,202634000,-148358000,-38642000,-109716000,54276000,811000,305000,506000,55087000,55087000,-15380000,39707000,39707000,39707000,39707000,397732000,379335000,18397000,206272000,206272000,174370000,82634000,45945000,861008000,157165000,55965000,1031764000,149984000,16928000,233916000,1244894000,2105902000,189661000,121451000,68210000,62935000,252596000,254119000,506715000,1596684000,5894000,-3391000,1599187000,1599187000,2105902000,39707000,16515000,12669000,5474000,74365000,-6776000,-492000,-7716000,-56262000,120000,-57128000,9521000,9521000,9521000,70791000,0,84869000,0.51477,0.13788,0.10087,0.02483,0.01886,2.13738,3.40864,0.31686,5.04870979341448e-29,0.70556,0.68692,6.99467,28.41635,1.50806,0.02142,0.04579,-5.6184,-7.32795
"50","2022_Q3",78.53078125,"Up",540574000,-269288000,271286000,-155069000,-39598000,-115471000,116217000,1580000,1285000,295000,117797000,117797000,-30609000,87188000,87188000,87188000,87188000,378912000,355043000,23869000,304546000,304546000,164571000,108538000,66181000,956567000,158722000,49013000,999765000,141909000,13094000,408826000,1207500000,2164067000,199873000,1.18e+08,81873000,82492000,282365000,227088000,509453000,1618177000,40927000,-4490000,1654614000,1654614000,2164067000,87188000,17219000,21984000,-90402000,35989000,-10211000,1111000,-9136000,-48989000,1011000,-51145000,-24292000,-24292000,-24292000,133436000,2.71050543121376e-20,63432000,0.50185,0.21499,0.16129,0.05269,0.04029,0.72753,3.3877,0.3079,0,1.56458,1.51848,9.70057,29.69196,1.13828,0.04633,0.03371,-2.83965,-3.26038
