"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.3390476190476,"Up",8.23e+08,-5.78e+08,2.45e+08,-2.47e+08,-1.36e+08,-1.11e+08,-2e+06,-1e+08,-9.5e+07,-5e+06,-1.02e+08,-2e+06,-1.04e+08,2.2e+07,-8.2e+07,-8.4e+07,-1e+06,-8.5e+07,-8.7e+07,1.245e+09,1.245e+09,1.24e+08,1.21e+08,1.369e+09,1.0272e+10,4.19e+08,1.4e+08,2.79e+08,1.0691e+10,1.206e+10,1.64e+08,1.64e+08,1.94e+08,1.94e+08,3.58e+08,5.383e+09,5.383e+09,5.383e+09,5.741e+09,6.923e+09,7e+06,6.916e+09,-8.94e+08,9e+06,6.135e+09,1.84e+08,6.319e+09,1.206e+10,-8.4e+07,1.37e+08,-2e+06,1.9e+07,-4e+06,-4e+06,4.7e+07,-4.1e+07,9e+06,-5e+07,2e+06,-3.9e+07,-3e+06,1.3e+07,-4.05e+08,-3.97e+08,-3.97e+08,-3.97e+08,1.35e+08,5.383e+09,6.8e+07,0.29769,-0.00243,-0.10571,-0.01377,-0.00721,-0.78161,3.82402,0.90853,0.44635,-0.13424,-0.13424,1.26987,9.31646,0.10492,0.00463,-26.2676492052342,-0.00718,0.00581,-0.03448,30.65185,-2069
"2","2010_Q3",9.70984375,"Down",1.111e+09,-7.42e+08,3.69e+08,-2.58e+08,-1.39e+08,-1.19e+08,1.11e+08,-8.2e+07,-8.2e+07,0,2.9e+07,-3e+06,2.6e+07,-6000000.00000001,2e+07,2e+07,0,2e+07,1.4e+07,1.171e+09,1.171e+09,1.4e+08,1.4e+08,1.311e+09,1.02e+10,4.46e+08,1.35e+08,3.11e+08,1.0646e+10,1.1957e+10,1.53e+08,1.53e+08,1.9e+08,1.9e+08,3.43e+08,5.395e+09,5.395e+09,5.395e+09,5.738e+09,6.914e+09,7e+06,6.907e+09,-8.87e+08,2e+06,6.029e+09,1.9e+08,6.219e+09,1.1957e+10,2e+07,1.38e+08,2e+07,1.6e+07,-8e+06,-8e+06,1.7e+08,-4.7e+07,3e+06,-5e+07,-7.2e+07,-1.19e+08,-1.11e+08,-1.1e+07,-1.27e+08,-76000000.0000001,-76000000.0000001,-75999999.9999999,2.49e+08,5.395e+09,2e+08,0.33213,0.09991,0.0126,0.00225,0.00117,14.28571,3.82216,0.92266,0.4512,0.02146,0.02146,1.70268,9.23985,0.30651,0.17011,-9.40941290945826,0.01076,0.01722,7.92857,16.96386,38.0540500000002
"3","2010_Q4",11.32609375,"Up",1.003e+09,-7.02e+08,3.01e+08,-2.79e+08,-1.34e+08,-1.45e+08,2.2e+07,-8.8e+07,-8.8e+07,0,-6.6e+07,-1e+06,-6.7e+07,5e+06,-6.2e+07,-6.2e+07,3e+06,-5.9e+07,-5.9e+07,8.38e+08,8.38e+08,1.82e+08,1.82e+08,1.02e+09,1.0605e+10,4.7e+08,1.36e+08,3.34e+08,1.1075e+10,1.2095e+10,1.87e+08,1.87e+08,2.01e+08,2.01e+08,3.88e+08,5.424e+09,5.424e+09,5.424e+09,5.812e+09,7.033e+09,7e+06,7.026e+09,-9.46e+08,9e+06,6.096e+09,1.87e+08,6.283e+09,1.2095e+10,-6.2e+07,1.34e+08,6e+06,1.1e+07,2.9e+07,2.9e+07,1.07e+08,-4.9e+07,0,-4.9e+07,1e+06,-3.4e+08,-7e+06,-2.7e+07,-9.5e+07,-3.28e+08,-3.28e+08,-3.28e+08,1.56e+08,5.424e+09,1.31e+08,0.3001,0.02193,-0.05882,-0.00939,-0.00488,-2.22034,2.62887,0.92504,0.44845,-0.09044,-0.09044,1.5374,9.34396,0.2008,0.01073,0.846470158953153,-0.00444,0.01119,-0.11864,29.39744,208.45455
"4","2011_Q1",12.5624193548387,"Up",1.424e+09,-9.46e+08,4.78e+08,-3.89e+08,-1.73e+08,-2.16e+08,8.9e+07,-1.06e+08,-1.1e+08,4e+06,-1.7e+07,4e+06,-1.3e+07,1e+07,-2999999.99999999,-6000000.00000001,0,-6000000.00000001,-6e+06,1.113e+09,1.113e+09,1.3e+08,1.3e+08,1.243e+09,1.0666e+10,5.02e+08,1.48e+08,3.54e+08,1.1168e+10,1.2411e+10,1.61e+08,1.61e+08,2.5e+08,2.5e+08,4.11e+08,5.477e+09,5.477e+09,5.477e+09,5.888e+09,7.243e+09,7e+06,7.236e+09,-9.65e+08,2.5e+07,6.303e+09,2.2e+08,6.523e+09,1.2411e+10,-5999999.99999999,1.84e+08,1e+07,-1.6e+07,8999999.99999999,8999999.99999999,1.97e+08,-1.6e+08,0,-1.6e+08,3000000.00000001,-2.08e+08,-5999999.99999999,4.5e+07,2.84e+08,2.73e+08,2.73e+08,2.73e+08,2.73e+08,5.477e+09,1.12e+08,0.33567,0.0625,-0.00421,-0.000920000000000001,-0.00048,-18.66667,3.02433,0.90265,0.4413,-0.00893999999999998,-0.00893999999999998,2.12094,9.38785,0.16682,0.00894,6,1.73472347597681e-18,0.00933,-1,15.98535,49.03371
"5","2011_Q2",11.6826984126984,"Down",8.93e+08,-6.14e+08,2.79e+08,-2.82e+08,-1.4e+08,-1.42e+08,-3e+06,-8e+07,-7.8e+07,-2e+06,-8.3e+07,3e+06,-8e+07,2e+07,-6e+07,-6e+07,-2889440.74708221,-6e+07,-6e+07,1.54e+08,1.54e+08,1.36e+08,1.36e+08,2.9e+08,1.1706e+10,4.97e+08,1.58e+08,3.39e+08,1.2203e+10,1.2493e+10,1.66e+08,1.66e+08,2.13e+08,2.13e+08,3.79e+08,5.538e+09,5.538e+09,5.538e+09,5.917e+09,7.363e+09,7e+06,7.356e+09,-1.039e+09,2.9e+07,6.353e+09,2.23e+08,6.576e+09,1.2493e+10,-6e+07,1.41e+08,-1.4e+07,7e+06,-3e+07,-3e+07,3.7e+07,-9.4e+07,-130324.931185274,-9.4e+07,-5e+07,-1.138e+09,-7e+06,0,1.42e+08,-9.59e+08,-9.59e+08,-9.59e+08,1.38e+08,5.538e+09,-6e+06,0.31243,-0.00336,-0.06719,-0.00912,-0.0048,0.1,0.76517,0.89979,0.44329,-0.08859,-0.08859,1.31847,9.37989,-0.00886,0.01034,7.55117661368228,-0.00438,-5e-04,-0.11667,39.01449,-1794.66667
"6","2011_Q3",9.2334375,"Down",1.283e+09,-8.26e+08,4.57e+08,-3.05e+08,-1.47e+08,-1.58e+08,1.52e+08,-8e+07,-8.4e+07,4e+06,71999999.9999999,2e+06,7.4e+07,-7e+06,6.7e+07,6.4e+07,-2e+06,6.2e+07,6.2e+07,6.34e+08,6.34e+08,1.53e+08,1.47e+08,7.87e+08,1.1807e+10,5.09e+08,1.78e+08,3.31e+08,1.2316e+10,1.3103e+10,1.78e+08,1.78e+08,2.09e+08,2.09e+08,3.87e+08,5.888e+09,5.888e+09,5.888e+09,6.275e+09,7.573e+09,7e+06,7.566e+09,-9.99e+08,4e+07,6.614e+09,2.12e+08,6.826e+09,1.3101e+10,6.4e+07,1.52e+08,7e+06,999999.999999996,-4000000.00000001,-4000000.00000001,2.19e+08,-1.46e+08,950248.382472165,-1.46e+08,5.3e+07,-1.52e+08,-1.4e+07,-7000000.00000001,4.13e+08,4.8e+08,4.8e+08,4.8e+08,3.04e+08,5.888e+09,1.61e+08,0.3562,0.11847,0.04832,0.00908,0.00473,2.59677,2.03359,0.91928,0.44936,0.09042,0.09002,1.87108,9.64562,0.2348,0.02042,7,0.00598,0.01266,0.22581,17.28289,34.5657900000001
"7","2011_Q4",9.35571428571428,"Up",1.13e+09,-7.79e+08,3.51e+08,-2.97e+08,-1.48e+08,-1.49e+08,5.4e+07,-8.7e+07,-8.2e+07,-5e+06,-3.3e+07,1e+06,-3.2e+07,-4e+06,-3.6e+07,-3.6e+07,2e+06,-3.4e+07,-3.4e+07,5.24e+08,5.24e+08,1.14e+08,1.14e+08,6.38e+08,1.161e+10,5.57e+08,1.71e+08,3.86e+08,1.2167e+10,1.2805e+10,1.73e+08,1.73e+08,2.25e+08,2.25e+08,3.98e+08,5.488e+09,5.488e+09,5.488e+09,5.886e+09,7.767e+09,7e+06,7.76e+09,-1.032e+09,3.1e+07,6.766e+09,1.53e+08,6.919e+09,1.2805e+10,-3.6e+07,1.49e+08,1.6e+07,1.4e+07,-1e+06,-1e+06,1.28e+08,-8.9e+07,6e+06,-9.5e+07,9e+06,-5.2e+07,-2.1e+07,-4e+06,-1.86e+08,-1.1e+08,-1.1e+08,-1.1e+08,2.03e+08,5.488e+09,1.17e+08,0.31062,0.04779,-0.03009,-0.00491,-0.00266,-3.44118,1.60302,0.8507,0.42858,-0.04842,-0.04863,1.60923,9.63543,0.16662,0.02991,6,-0.00105,0.00943,-0.61765,24.4532,91.92593
"8","2012_Q1",11.1858064516129,"Up",1.408e+09,-9.14e+08,4.94e+08,-3.9e+08,-1.74e+08,-2.16e+08,1.04e+08,-1e+08,-1.07e+08,7e+06,4e+06,6e+06,1e+07,-8e+06,2e+06,1.6e+07,1e+06,1.7e+07,1.7e+07,8.26e+08,8.26e+08,1.28e+08,1.28e+08,9.54e+08,1.1549e+10,5.87e+08,1.97e+08,3.9e+08,1.2136e+10,1.309e+10,1.75e+08,1.75e+08,2.91e+08,2.91e+08,4.66e+08,5.753e+09,5.753e+09,5.753e+09,6.219e+09,7.757e+09,7e+06,7.75e+09,-1.079e+09,-1e+06,6.677e+09,1.94e+08,6.871e+09,1.309e+10,1.6e+07,2.13e+08,1.9e+07,-2e+06,3e+07,3e+07,2.78e+08,-1.67e+08,4e+07,-2.07e+08,4e+06,-2.34e+08,-2.8e+07,-1.3e+07,2.59e+08,3.03e+08,3.03e+08,3.02e+08,3.17e+08,5.753e+09,1.88e+08,0.35085,0.07386,0.01207,0.00247,0.0013,11.05882,2.04721,0.90511,0.4395,0.02405,0.02405,1.99208,9.4468,0.26599,0.03962,6,0.00356,0.01489,1.64706,15.54259,47.375
"9","2012_Q2",11.0177777777778,"Down",9.52e+08,-6.43e+08,3.09e+08,-2.93e+08,-1.49e+08,-1.44e+08,1.6e+07,-8.4e+07,-8.2e+07,-2e+06,-6.8e+07,0,-6.8e+07,1.3e+07,-5.5e+07,0,-2e+06,-2e+06,-2e+06,1.312e+09,1.312e+09,1.44e+08,1.44e+08,1.456e+09,1.1526e+10,6.05e+08,2.17e+08,3.88e+08,1.2131e+10,1.3587e+10,1.52e+08,1.52e+08,2.67e+08,2.67e+08,4.19e+08,6.137e+09,6.137e+09,6.137e+09,6.556e+09,7.927e+09,7e+06,7.92e+09,-1.123e+09,1.8e+07,6.822e+09,2.09e+08,7.031e+09,1.3587e+10,103402950.588319,1.53e+08,-4.9e+07,-4e+07,-3.1e+07,-3.1e+07,7.3e+07,-5.4e+07,1.08e+08,-1.62e+08,-1.9e+07,-9.2e+07,-3.5e+07,-4e+06,5.05e+08,4.86e+08,4.86e+08,4.86e+08,1.69e+08,6.137e+09,7.1e+07,0.32458,0.01681,-0.0021,-0.00028,-0.00015,-35.5,3.47494,0.93244,0.45168,-0.00283,-0.00283,1.34558,9.6424,0.10035,0.04947,6,0.00251,0.00539,-17.5,28.5503,301.5625
"10","2012_Q3",10.9493650793651,"Down",1.318e+09,-8.27e+08,4.91e+08,-3.14e+08,-1.52e+08,-1.62e+08,1.77e+08,-8.6e+07,-9.1e+07,5e+06,9.1e+07,1e+06,9.2e+07,-1.2e+07,8e+07,8.3e+07,-1e+06,8.2e+07,8.2e+07,4.65e+08,4.65e+08,1.64e+08,1.59e+08,6.29e+08,1.1516e+10,5.91e+08,2.11e+08,3.8e+08,1.2107e+10,1.2736e+10,9.5e+07,9.5e+07,2.78e+08,2.78e+08,3.73e+08,5.226e+09,5.226e+09,5.226e+09,5.599e+09,7.99e+09,7e+06,7.983e+09,-1.042e+09,-7e+06,6.941e+09,1.96e+08,7.137e+09,1.2736e+10,8.3e+07,1.59e+08,1.6e+07,3e+06,-2.9e+07,-2.9e+07,2.29e+08,-1.79e+08,0,-1.79e+08,2.1e+07,-1.77e+08,-4.3e+07,2e+06,-8.99e+08,-8.47e+08,-8.47e+08,-8.47e+08,3.36e+08,5.226e+09,1.4e+08,0.37253,0.13429,0.06222,0.01149,0.00644,1.70732,1.68633,0.7845,0.41033,0.11419,0.11224,1.8354,9.66578,0.19496,0.05988,6,0.01011,0.01132,0.524389999999997,14.16964,26.8983099999999
