"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",15.09125,"Down",1340935000,-1248525000,92410000,-74208000,-74208000,18202000,-57373000,-32602000,5378000,-30149000,-39171000,-39171000,-5450000,-44621000,-44621000,-44621000,-44621000,323544000,323544000,775152000,775152000,526195000,29323000,19382000,1654214000,586420000,337744000,36967000,189084000,38941000,72752000,1086902000,2741116000,651114000,507036000,10033000,134045000,142055000,794596000,1195028000,241883000,32622000,209261000,1436911000,2231507000,543142000,-112139000,78606000,509609000,509609000,2741116000,-44621000,27213000,8982000,17473000,9047000,-14603000,5434000,-9169000,-14565000,0,184587000,184465000,184465000,-10000,184455000,45415000,1337083000,53735000,0.06891,0.01357,-0.03328,-0.08756,-0.01628,-1.20425,2.08183,4.37886,0.48779,-1.14642,-1.14642,34.45185,13.09308,1.38058,-0.02136,0.02573,22.31727,55.68284
"2","2014_Q4",12.23578125,"Down",1305493000,-1237257000,68236000,-48113000,-48113000,20123000,-19193000,-30098000,9267000,1638000,930000,-6460000,-3650000,-10110000,-10110000,-10110000,-10110000,152127000,152127000,726293000,726293000,508467000,34713000,21990000,1421600000,552038000,309939000,34316000,172923000,38098000,64602000,1026481000,2448081000,593536000,486930000,10127000,96479000,8813000,604308000,1194801000,231901000,31265000,200636000,1426702000,2031010000,545296000,-122249000,-5976000,417071000,417071000,2448081000,-10110000,27857000,17322000,-41272000,-6203000,-13525000,823000,-12702000,-146528000,-9.31322574615479e-10,-147593000,-166498000,-166498000,-4919000,-171417000,47980000,1203614000,-3167000.00000003,0.05227,0.01541,-0.00774,-0.0242400000000001,-0.00412999999999999,0.31325,2.35244,4.8697,0.49166,-0.2068,-0.2068,26.7043,8.53133,-0.0647800000000001,-0.00546,-0.00171000000000002,21.9151099999999,52.25299
"3","2015_Q1",14.0665573770492,"Up",1122401000,-1084355000,38046000,-60235000,-60235000,-22189000,-9629000,-29405000,18154000,1622000,-31818000,-31818000,2131000,-29687000,-29687000,-29687000,-29687000,220786000,220786000,601066000,601066000,473861000,26950000,15164000,1322663000,556697000,309098000,34574000,165358000,46812000,62354000,1033453000,2356116000,565033000,434692000,9413000,120928000,7559000,574005000,1194648000,266598000,27311000,239287000,1461246000,2035251000,548018000,-151936000,-75217000,320865000,320865000,2356116000,-29687000,24908000,-7266000,127605000,115560000,-29337000,0,-29870000,-13471000,0,-13471000,72219000,72219000,-3560000,68659000,2719000,1202207000,98856000,0.0339,-0.01977,-0.02645,-0.09252,-0.0126,-3.32994,2.30427,6.34301,0.51025,-0.60803,-0.60803,22.98824,6.57174,2.0247,-0.01659,0.05524,360.94925,-44.23007
"4","2015_Q2",20.6609523809524,"Up",1018265000,-915186000,103079000,-51775000,-51775000,51304000,4300000,-28856000,36707000,-3551000,55604000,55604000,-17900000,37704000,37704000,37704000,37704000,218697000,218697000,590065000,590065000,390972000,19801000,11378000,1219535000,505105000,281092000,30540000,145326000,48220000,57006000,975561000,2195096000,495745000,395031000,15968000,84746000,4139000,501814000,1194621000,249753000,29146000,220607000,1444374000,1946188000,550640000,-114232000,-187500000,248908000,248908000,2195096000,37704000,22554000,-10049000,-7295000.00000003,42914000,-27670000,560000,-27110000,-9487000,-20613816.9626556,-9487000,6316999.99999997,6316999.99999997,-8406000,-2089000,73858000,1198760000,56793000,0.10123,0.05038,0.03703,0.15148,0.01718,1.50629000000001,2.43025,7.8189,0.54611,0.7731,0.77182,20.87892,5.10371,1.16451,0.02221,0.03346,13.26956,19.10305
"5","2015_Q3",21.5690625,"Up",1028673000,-886536000,142137000,-50739000,-50739000,91398000,12008000,-25600000,40841000,-3233000,103406000,8256000,-7500000,756000,756000,756000,756000,231105000,231105000,605338000,605338000,406797000,23446000,12764000,1266686000,521188000,300976000,31786000,150360000,59331000,59499000,1022370000,2289056000,517979000,399911000,27032000,91036000,6208000,525619000,1214991000,260593000,28987000,231606000,1475584000,2001203000,554237000,-113476000,-152908000,287853000,287853000,2289056000,756000,21727000,-3623000,12972000,31832000,-15924000,129000,-13604000,16539000,-27661000,-11122000,7106000,7106000,5302000,12408000,113125000,1221199000,117673000,0.13818,0.08885,0.00073,0.00263,0.00033,155.65212,2.40989,6.95217,0.53349,0.0155,0.01545,21.09233,5.90226,2.41282,0.00043,0.0665,8.75221,10.83278
"6","2015_Q4",23.5228125,"Up",1027952000,-916390000,111562000,-51093000,-51093000,60469000,12786000,-19489000,33489000,-1214000,73255000,73255000,-21200000,52055000,52055000,52055000,52055000,320771000,320771000,550006000,550006000,391247000,29947000,19749000,1291971000,522213000,306761000,31917000,155194000,62269000,57381000,1020168000,2312139000,482930000,337759000,36007000,109164000,5627000,489391000,1215334000,262163000,29571000,232592000,1477497000,1966888000,557452000,-61421000,-150780000,345251000,345251000,2312139000,52055000,23006000,13938000,41960000,130959000,-35494000,5.82076609134674e-11,-35907000,-3129999.99999999,-372000,-3502000,91550000,91550000,-1884000,89666000,83475000,1220961000,111141000,0.10853,0.05882,0.05064,0.15077,0.02251,2.13506999999998,2.63996,5.69698,0.52807,1.06716,1.062,21.07366,7.07786,2.27846,0.02847,0.06079,10.78395,14.8868
"7","2016_Q1",22.9696721311475,"Down",897010000,-784688000,112322000,-54393000,-54393000,57929000,8806000,-19255000,29163000,-1102000,66735000,66685000,-23600000,43085000,43085000,43085000,43085000,431261000,431261000,494556000,494556000,353097000,10120000,10120000,1289034000,518751000,268273000,31064000,158218000,51395000,27596000,969860000,2258894000,444269000,324629000,20804000,98836000,5e+06,449269000,1177120000,243491000,25764000,217727000,1420611000,1869880000,557020000,-18289000,-149717000,389014000,389014000,2258894000,43085000,29513000,87334000,56263000,216195000,-30212000,111000,-30079000,-70522000,-167000.000000004,-70689000,115427000,115427000,-4912000,110515000,87442000,1182120000,137093000,0.12522,0.06458,0.04803,0.11075,0.01907,3.18192,2.86918,4.80672,0.52332,0.88331,0.878,18.39002,7.97536,2.81061,0.02374,0.07555,8.58694,12.96171
"8","2016_Q2",35.49921875,"Up",894084000,-754412000,139672000,-54486000,-54486000,85186000,13461000,-18896000,35026000,-2669000,98647000,98647000,-21900000,76747000,76747000,76747000,76747000,438389000,438389000,535095000,535095000,367159000,13300000,13300000,1353943000,522145000,273836000,32255000,168013000,46564000,27004000,977692000,2331635000,460255000,340803000,28223000,91229000,5e+06,465255000,1192500000,253796000,27480000,226316000,1446296000,1911551000,562613000,58458000,-143979000,420084000,420084000,2331635000,76747000,23120000,9488000,-24470000,84885000,-26437000,-494438.002031784,-21628000,-1313000,-1885002.20878076,-58321000,4935999.99999997,4935999.99999997,2192000,7128000,108306000,1197500000,79299000,0.15622,0.09528,0.08584,0.18269,0.03292,1.03325,2.91011,4.5504,0.51359,1.57737,1.56352,18.37599,8.63393,1.62982,0.04101,0.04237,7.00895,8.91122
"9","2016_Q3",43.078125,"Up",969694000,-799954000,169740000,-52249000,-52249000,117491000,6913000,-18814000,38602000,-12875000,124404000,124404000,-28600000,95804000,95804000,95804000,95804000,465213000,465213000,534860000,534860000,365139000,27096000,27096000,1392308000,505319000,274686000,31169000,171644000,42705000,29168000,970319000,2362627000,458470000,330413000,20229000,107828000,5e+06,463470000,1183287000,252457000,27979000,224478000,1435744000,1899214000,566078000,139427000,-148416000,463413000,463413000,2362627000,95804000,24853000,17739000,-43574000,94822000,-26716000,129000,-26587000,-1313000,-74000,-38654000,29581000,29581000,-2757000,26824000,142344000,1188287000,100654000,0.17504,0.12116,0.0988,0.20674,0.04055,1.05062,3.0041,4.09832,0.50295,2.04051,1.995,20.65332,9.87014,2.14381,0.05031,0.05286,5.07976,6.15429
"10","2016_Q4",45.8228571428571,"Up",935410000,-795026000,140384000,-73900000,-73900000,66484000,16770000,-18832000,36686000,-1084000,83254000,83254000,-1.6e+07,67254000,67254000,67254000,67254000,466287000,466287000,511624000,511624000,375747000,37832000,37832000,1391490000,494927000,279361000,31382000,177743000,40936000,29300000,961287000,2352777000,487939000,331887000,25185000,130867000,5e+06,492939000,1185873000,250528000,25789000,224739000,1436401000,1929340000,571992000,193285000,-148675000,423437000,423437000,2352777000,67254000,23771000,23941000,30025000,144991000,-29525000,45000,-29480000,-1250000,0,-114771000,740000,740000,333999.999999998,1074000,90255000,1190873000,106755000,0.15008,0.07107,0.0719,0.15883,0.02858,1.58734,2.82284,4.55638,0.50616,1.46683,1.43048,20.40153,9.23527,2.32835,0.04353,0.05725,8.02821,10.89865
