"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2017_Q4",15.6079365079365,"Up",-8223000,-1886000,-6337000,-8223000,359000,-7864000,-7864000,-7864000,-7864000,-7864000,-7864000,32490000,5319000,1795000,1795000,34603000,7825000,725000,725000,8935000,43538000,5385000,1679000,3706000,5385000,2530000,2530000,2530000,7915000,216743000,-182555000,35623000,35623000,43538000,-7864000,536000,1623000,183000,-5522000,-85000,-12333000,-12217000,15724000,15724000,15724000,-2015000,-2015000,-2015000,-7687000,0,-0.22076,-0.18062,6.42581,0.22219,-6.46234853557053e-27,-0.85472,-0.85472,3.87178,-0.20612,4.22662,3.95111
"28","2018_Q1",14.3860655737705,"Down",-6586000,-2031000,-4555000,-6586000,-430000,-7016000,-7016000,-7016000,-7016000,-7016000,-7016000,26106000,4707000,1874000,1874000,29016000,7277000,838000,838000,8518000,37534000,5414000,1966000,3448000,5414000,1869000,1869000,1869000,7283000,217823000,-189571000,30251000,30251000,37534000,-7016000,531000,1809000,-1714000,-6390000,4000,6107000,5709000,-3.72529029846191e-09,-3.72529029846191e-09,68999.9999999981,-612000,-612000,-612000,-6055000,-4.33680868994202e-19,-0.23193,-0.18692,5.35944,0.24075,0,-0.73094,-0.73094,3.15161,-0.21843,4.31148,3.96386
"29","2018_Q2",13.09328125,"Down",-7440000,-2763000,-4677000,-7440000,55000,-7385000,-7385000,-7385000,-7385000,-7385000,-7385000,20746000,12294000,2070000,2070000,22841000,6851000,865000,865000,8113000,30954000,4771000,1553000,3218000,4771000,1819000,1819000,1819000,6590000,220376000,-196956000,24364000,24364000,30954000,-7385000,515000,1441000,239000,-5190000,-148000,4042000,11767000,1050000,1050000,1050000,7627000,7627000,7627000,-6925000,0,-0.30311,-0.23858,4.78747,0.27048,0,-0.75882,-0.75882,2.50345,-0.28205,2.99581,2.78844
"30","2018_Q3",12.9096825396825,"Down",-8558000,-2920000,-5638000,-8510000,281000,-8229000,-8229000,-8229000,-8229000,-8229000,-8229000,35292000,8581000,1610000,1610000,37074000,6367000,889000,889000,7659000,44733000,5797000,1808000,3989000,5797000,1975000,1975000,1975000,7772000,236768000,-205185000,36961000,36961000,44733000,-8229000,508000,1603000,1290000,-4828000,-37000,-13763000,-13800000,14787000,14787000,14875000,-3753000,-3753000,-3753000,-8002000,6.93889390390723e-18,-0.22264,-0.18396,6.39538,0.21028,0,-0.78277,-0.78277,3.51585,-0.21135,4.4104,4.14712
"31","2018_Q4",10.7271428571429,"Down",-9048000,-2666000,-6382000,-9048000,7517000,-1531000,-1531000,-1531000,-1531000,-1531000,-1531000,33375000,5940000,1737000,1737000,35708000,5955000,910000,910000,7263000,42971000,7807000,1924000,5883000,7807000,1936000,1936000,1936000,9743000,239944000,-206716000,33228000,33228000,42971000,-1531000,489000,-5724000,1190000,-5576000,-34000,-11291000,1546000,1389000,1389000,1389000,-2641000,-2641000,-2641000,-8559000,0,-0.04608,-0.03563,4.57384,0.29322,8.27180612553028e-25,-0.13934,-0.13934,3.02417,-0.04354,3.8994,3.68866
"32","2019_Q1",10.3231147540984,"Down",-8776000,-2844000,-5932000,-8776000,-205000,-8981000,-8981000,-8981000,-8981000,-8981000,-8981000,29900000,8821000,2078000,2078000,32036000,5678000,863000,863000,6924000,38960000,8548000,3261000,5287000,8548000,1905000,1905000,1905000,10453000,244204000,-215697000,28507000,28507000,38960000,-8981000,506000,1660000,1029000,-5786000,-123000,6183000,6060000,2607000,2607000,2607000,2881000,2881000,2881000,-8270000,1.11022302462516e-16,-0.31505,-0.23052,3.74778,0.36668,0,-0.80776,-0.80776,2.56395,-0.29531,3.61548,3.40702
"33","2019_Q2",6.25984126984127,"Down",-8974000,-2210000,-6764000,-8970000,184000,-8786000,-8786000,-8786000,-8786000,-8786000,-8786000,21716000,8433000,2698000,2698000,24451000,5186000,871000,871000,6442000,30893000,7398000,2133000,5265000,7398000,1966000,1966000,1966000,9364000,246012000,-224483000,21529000,21529000,30893000,-8786000,503000,1327000,-1554000,-8510000,-177000,7801000,7624000,481000,481000,588000,-298000,-298000,-298000,-8467000,0,-0.4081,-0.2844,3.30508,0.43495,1.32348898008484e-23,-0.77302,-0.77302,1.89419,-0.37395,2.56478,2.42096
"34","2019_Q3",4.59390625,"Down",-8379000,-2123000,-6256000,-8331000,-352000,-8683000,-8683000,-8683000,-8683000,-8683000,-8683000,6796000,6796000,11476000,11476000,18354000,4723000,1226000,1226000,5949000,24303000,7234000,2073000,5161000,7234000,1875000,765000,1875000,9109000,248360000,-233166000,15194000,15194000,24303000,-8683000,498000,864000,-942000,-8263000,-16000,5302000,5286000,1471000,1471000,1479000,-1498000,-1498000,-1498000,-7833000,0,-0.57148,-0.35728,2.53719,0.59951,0,-0.7499,-0.7499,1.31222,-0.5087,0.86761,0.81575
"35","2019_Q4",3.58328125,"Down",-10300000,-2473000,-7827000,-10300000,222000,-10078000,-10078000,-10078000,-10078000,-10078000,-10078000,9535000,9535000,3376000,3376000,13196000,4265000,1270000,1270000,5535000,18731000,8247000,2892000,5355000,8247000,1857000,705000,1857000,10104000,251871000,-243244000,8627000,8627000,18731000,-10078000,480000,1756000,1835000,-6007000,-24000,6799000,6775000,1758000,1758000,1758000,2526000,2526000,2526000,-9820000,0,-1.16819,-0.53804,1.6001,1.17121,0,-0.86004,-0.86004,0.73621,-0.96127,0.97098,0.92573
"36","2020_Q1",3.74225806451613,"Up",-7931000,-2351000,-5580000,-7931000,171000,-7760000,-7760000,-7760000,-7760000,-7760000,-7760000,4106000,4106000,22265000,22265000,26371000,3838000,1101000,1101000,4939000,31310000,8158000,2281000,5877000,8158000,1331000,381000,1331000,9489000,272825000,-251004000,21821000,21821000,31310000,-7760000,481000,1172000,-566000,-6673000,-22000,-18493000,-18515000,19757000,19757000,19757000,-5431000,-5431000,-5431000,-7450000,1.4210854715202e-14,-0.35562,-0.24784,3.23253,0.43486,0,-0.52901,-0.52901,1.48757,-0.33518,0.55114,0.51772
