"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",25.3538095238095,"Up",60259000,-19682000,40577000,-66762000,-49839000,-16923000,-26185000,382000,382000,-25803000,-25803000,-229000,-26032000,-26032000,-26032000,-26032000,213219000,126464000,86755000,35304000,35304000,26163000,12884000,13279000,274686000,13302000,28239000,11051000,6282000,10906000,41541000,316227000,21182000,9848000,11334000,131617000,131617000,152799000,10559000,10559000,10559000,163358000,496811000,-344012000,70000,152869000,152869000,316227000,-26032000,1713000,17241000,840000,-6238000,-4243000,-84276000,-88519000,-66000,1352000,1352000,-555000,-95312000,-95312000,66000,-95246000,-24472000,0,-27646000,0.67338,-0.43454,-0.432,-0.17029,-0.08232,1.062,1.7977,1.06861,0,-0.27819,-0.27819,0.64396,1.63363,-0.29544,-0.15929,-0.16916,8.71277,8.14279
"2","2017_Q4",27.964126984127,"Up",66911000,-21123000,45788000,-80303000,-61113000,-19190000,-34515000,509000,509000,-34006000,-34006000,940000,-33066000,-33066000,-33066000,-33066000,223618000,137575000,86043000,46882000,46882000,24172000,10038000,14134000,294672000,13122000,29363000,11455000,6282000,11626000,42485000,337157000,27546000,12875000,14671000,143415000,143415000,170961000,9741000,9741000,9741000,180702000,534314000,-377790000,-69000,156455000,156455000,337157000,-33066000,1823000,18369000,3403000,-9471000,-1743000,582000,-1161000,-70000,21884000,21884000,21814000,11182000,11182000,-81000,11101000,-32692000,0,-31972000,0.68431,-0.51583,-0.49418,-0.21135,-0.09807,0.96691,1.72362,1.15498,0,-0.34634,-0.34634,0.70083,1.63872,-0.33488,-0.19896,-0.19238,6.84014,6.47886
"3","2018_Q1",33.3695081967213,"Up",77052000,-22487000,54565000,-78278000,-58929000,-19349000,-23713000,810000,810000,-22903000,-22903000,-142000,-23045000,-23045000,-23045000,-23045000,229714000,127949000,101765000,52248000,52248000,35536000,17781000,17755000,317498000,12540000,69225000,11761000,6282000,51182000,81765000,399263000,21940000,9566000,12374000,166003000,166003000,187943000,11980000,11980000,11980000,199923000,565663000,-366714000,391000,199340000,199340000,399263000,-23045000,1890000,20099000,1211000,155000,-2339000,-15902000,-18241000,8712000,7846000,7846000,16041000,-2045000,-2045000,434000,-1611000,-21823000,0,-22809000,0.70816,-0.30775,-0.29908,-0.11561,-0.05772,0.98976,1.68933,1.00292,0,-0.22334,-0.22334,0.74675,1.93191,-0.22105,-0.10905,-0.10794,10.52623,9.68726
"4","2018_Q2",47.59046875,"Up",83621000,-24107000,59514000,-84492000,-64563000,-19929000,-24978000,-1215000,-1215000,-26193000,-26193000,231000,-25962000,-25962000,-25962000,-25962000,547041000,211756000,335285000,50368000,50368000,38754000,20203000,18551000,636163000,19176000,71565000,11863000,6282000,53420000,90741000,726904000,24482000,11830000,12652000,178444000,178444000,202926000,14441000,14441000,274361000,477287000,642471000,-392676000,-178000,249617000,249617000,726904000,-25962000,2069000,21091000,6774000,3972000,-5528000,-233414000,-238942000,387289000,12196000,12196000,319445000,84475000,84475000,-387000,84088000,-22909000,259920000,-21894000,0.71171,-0.2987,-0.31047,-0.10401,-0.03572,0.84331,3.13495,1.91208,0.35757,-0.24915,-0.24915,0.80248,2.39549,-0.21011,-0.04955,-0.04178,12.53311,11.49496
"5","2018_Q3",59.5466666666667,"Up",94586000,-28228000,66358000,-104788000,-79959000,-24829000,-38430000,-1762000,-1762000,-40192000,-40192000,985000,-39207000,-39207000,-39207000,-39207000,536256000,192882000,343374000,59839000,59839000,37281000,17433000,19848000,633376000,40670000,89871000,16006000,18095000,55770000,130541000,763917000,25380000,12577000,12803000,192760000,192760000,218140000,36870000,36870000,300632000,518772000,677508000,-431883000,-480000,245145000,245145000,763917000,-39207000,1630000,26743000,5491000,-5343000,-5987000,-7104000,-28729000,-75000,15513000,15513000,15438000,-18634000,-18634000,-245000,-18879000,-36800000,263762000,-38281000,0.70156,-0.4063,-0.41451,-0.15993,-0.05132,0.97638,2.90353,2.11618,0.34528,-0.36744,-0.36744,0.88645,2.29747,-0.35877,-0.07184,-0.07014,7.40473,7.09066
"6","2018_Q4",59.2663492063492,"Down",105576000,-29700000,75876000,-104355000,-76759000,-27596000,-28479000,-1705000,-1705000,-30184000,-30184000,667000,-29517000,-29517000,-29517000,-29517000,546003000,195898000,350105000,70136000,70136000,41975000,20280000,21695000,658114000,44251000,94344000,14989000,18074000,61281000,138595000,796709000,32335000,12085000,20250000,212451000,212451000,244786000,39755000,39755000,307420000,552206000,706821000,-461400000,-918000,244503000,244503000,796709000,-29517000,2125000,30235000,3596000,6439000,-5067000,-5499999.99999994,-10545000,0,7469000,7469000,7469000,3363000,3363000,-358000,3005000,-26354000,267665000,-28492000,0.71869,-0.26975,-0.27958,-0.12072,-0.03705,0.96527,2.68853,2.25848,0.33596,-0.27136,-0.27136,0.97058,2.24777,-0.26193,-0.05348,-0.05162,10.56151,9.77345
"7","2019_Q1",79.1583606557377,"Up",115471000,-31386000,84085000,-111820000,-81789000,-30031000,-27735000,-1210000,13862000,-28945000,-28945000,-1866000,-30811000,-30811000,-30811000,-30811000,563768000,298394000,265374000,91926000,91926000,53636000,29451000,24185000,709330000,52921000,102084000,13897000,18089000,70098000,155005000,864335000,36982000,17212000,19770000,255581000,255581000,292563000,47767000,47767000,319395000,611958000,744907000,-492211000,-319000,252377000,252377000,864335000,-30811000,2177000,34265000,4473000,10104000,-5340000,86252000,80896000,-79834000,15410000,15410000,15410000,106410000,106410000,358000,106768000,-25558000,271628000,-24559000,0.72819,-0.24019,-0.26683,-0.12208,-0.03565,0.79709,2.42454,2.42478,0.31426,-0.27925,-0.27925,1.04655,2.28737,-0.22259,-0.05389,-0.04295,11.43047,10.53326
"8","2019_Q2",108.524126984127,"Up",125223000,-35095000,90128000,-141910000,-107878000,-34032000,-51782000,-1341000,2900000,-53123000,-53123000,1157000,-51966000,-51966000,-51966000,-51966000,547483000,208106000,339377000,83328000,83328000,46118000,20542000,25576000,676929000,52189000,269424000,28022000,47964000,193438000,321613000,998542000,25815000,4352000,21463000,576098000,576098000,601913000,157185000,157185000,157185000,759098000,784078000,-544177000,-457000,239444000,239444000,998542000,-51966000,3399000,31569000,38260000,21262000,-8079000,-73305000,-125607000,0,13388000,13388000,13262000,-91083000,-91083000,-282000,-91365000,-48383000,0,-19359000,0.71974,-0.41352,-0.41499,-0.21703,-0.05204,0.37253,1.12463,3.17025,0,-0.46117,-0.46117,1.1113,2.12495,-0.1718,-0.13102,-0.04881,11.31561,10.57284
"9","2019_Q3",124.90375,"Up",140480000,-38780000,101700000,-145317000,-105272000,-40045000,-43617000,-840000,3464000,-44457000,-44457000,1477000,-42980000,-42980000,-42980000,-42980000,557465000,206753000,350712000,87851000,87851000,51704000,24642000,27062000,697020000,51858000,277932000,34712000,47964000,195256000,329790000,1026810000,25361000,3492000,21869000,595308000,595308000,620669000,155416000,155416000,155416000,776085000,839535000,-587157000,-1653000,250725000,250725000,1026810000,-42980000,4517000,41374000,-4045000,-1134000,-3168000,-10715000,-22383000,0,23070000,23070000,23070000,-447000,-447000,-905000,-1352000,-39100000,0,-47790000,0.72395,-0.31049,-0.30595,-0.17142,-0.04186,1.11191,1.12301,3.09536,0,-0.37244,-0.37244,1.21731,2.17262,-0.41412,-0.10583,-0.11767,14.25742,12.78091
"10","2019_Q4",115.13046875,"Down",153037000,-40824000,112213000,-157943000,-116111000,-41832000,-45730000,-2844000,4982000,-48574000,-63146000,-349000,-63495000,-63495000,-63495000,-63495000,1366255000,1039626000,326629000,101778000,101778000,58567000,29023000,29544000,1526600000,51730000,292447000,33826000,47964000,210657000,344177000,1870777000,39136000,4924000,34212000,439258000,439258000,478394000,165752000,165752000,993989000,1472383000,1048911000,-650652000,135000,398394000,398394000,1870777000,-63495000,4420000,65691000,4024000,10640000,-1392000,24280000,22888000,1231202000,-86999.9999999963,-86999.9999999963,798399000,831927000,831927000,946000,832873000,-41310000,828237000,-38329000,0.73324,-0.29882,-0.4149,-0.15938,-0.03394,0.60365,3.19109,3.6958,0.44272,-0.53487,-0.53487,1.28917,3.35603,-0.32288,-0.0456,-0.02753,13.02392,11.7651
"11","2020_Q1",125.479193548387,"Up",167327000,-44683000,122644000,-167347000,-123987000,-43360000,-44703000,-4903000,5743000,-49606000,-49606000,-866000,-50472000,-50472000,-50472000,-50472000,1403024000,520048000,882976000,130115000,130115000,66586000,32950000,33636000,1599725000,53535000,302135000,32529000,48023000,221583000,355670000,1955395000,81024000,3837000,77187000,465939000,465939000,546963000,166086000,166086000,1003088000,1550051000,1105576000,-701124000,892000,405344000,405344000,1955395000,-50472000,5479000,56524000,13304000,24835000,-11392000,-556099000,-562939000,-9105000,27759000,27759000,18654000,-519450000,-519450000,32000,-519418000,-39224000,837002000,-36446000,0.73296,-0.26716,-0.30164,-0.12452,-0.02581,0.7221,2.92474,3.82404,0.42805,-0.4134,-0.4134,1.37052,3.32004,-0.29852,-0.03584,-0.02588,14.4305,12.66183
