"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",34.26875,"Up",505900000,-295817000,210083000,-114322000,-114322000,95761000,1817000,1817000,97578000,97578000,-35186000,62392000,62392000,62392000,62392000,418395000,202316000,216079000,37592000,37592000,234521000,46987000,46987000,737495000,534260000,233525000,35867000,35867000,803652000,1541147000,182214000,93264000,88950000,182214000,143673000,143673000,143673000,325887000,179659000,1043557000,-7956000,1215260000,1215260000,1541147000,62392000,23628000,-8415000,16492000,94097000,-26767000,-20604000,-47371000,1047000,1547000,2594000,49320000,49320000,111000,49431000,119389000,0,144300000,0.41527,0.18929,0.12333,0.05134,0.04048,2.3128,4.04741,0.26816,0,0.37066,0.36391,3.00547,7.21966,0.85726,0.04591,0.10619,-3.50447,-4.36916
"2","2011_Q1",34.6529032258065,"Up",588493000,-342832000,245661000,-126999000,-126999000,118662000,575000,-5715000,119237000,119237000,-41562000,77675000,77675000,77675000,77675000,501536000,159024000,342512000,38405000,38405000,186130000,80142000,67865000,806213000,539961000,243445000,46474000,46474000,829880000,1636093000,188549000,78041000,110508000,188549000,150769000,150769000,150769000,339318000,184637000,1121232000,-9094000,1296775000,1296775000,1636093000,77675000,23629000,4433000,9880000,115617000,-25053000,-137592000,-162645000,978000,2714000,3692000,-43336000.0000001,-43336000.0000001,44000,-43292000,142291000,0,168680000,0.41744,0.20164,0.13199,0.0599,0.04748,2.17161,4.27588,0.26166,0,0.46097,0.45048,3.49245,7.6958,1.00104,0.05366,0.11653,-3.52472,-4.22659
"3","2011_Q2",30.6355555555556,"Down",479961000,-279175000,200786000,-118575000,-118575000,82211000,423000,423000,82634000,82634000,-29677000,52957000,52957000,52957000,52957000,583258000,259348000,323910000,35448000,35448000,221984000,79840000,79840000,920530000,548575000,189467000,49606000,49606000,787648000,1708178000,197177000,100439000,96738000,197177000,150855000,150855000,150855000,348032000,198719000,1174189000,-12762000,1360146000,1360146000,1708178000,52957000,24347000,-7150000,-18123000,52031000,-32351000,70093000,37742000,4209000,7673000,11882000,101655000,101655000,-1331000,100324000,106558000,0,85761000,0.41834,0.17129,0.11034,0.03893,0.031,1.61945,4.66855,0.25588,0,0.31363,0.30643,2.84249,8.05525,0.50791,0.03505,0.05676,-5.47362,-7.09465
"4","2011_Q3",27.84578125,"Down",552159000,-317378000,234781000,-127912000,-127912000,106869000,616000,616000,107485000,107485000,-35828000,71657000,71657000,71657000,71657000,591061000,244954000,346107000,42474000,42474000,243203000,85875000,85875000,962613000,559945000,157607000,46902000,46902000,764454000,1727067000,198411000,92151000,106260000,198411000,155369000,155369000,155369000,353780000,138430000,1245846000,-10989000,1373287000,1373287000,1727067000,71657000,24704000,-886000,-23168000,72307000,-32219000,7981999.99999999,-24237000,-65197000,2576000,-62621000,-14551000,-14551000,157000,-14394000,131573000,0,112014000,0.42521,0.19355,0.12978,0.05218,0.04149,1.5632,4.85161,0.25762,8.07793566946316e-28,0.42423,0.41582,3.26896,8.13031,0.66316,0.04688,0.07328,-4.49227,-5.53071
"5","2011_Q4",25.9822222222222,"Down",573592000,-337599000,235993000,-131193000,-131193000,104800000,876000,876000,105676000,105676000,-32570000,73106000,73106000,73106000,73106000,503624000,253546000,250078000,47653000,47653000,289256000,59073000,59073000,899606000,582786000,186202000,53377000,53377000,822365000,1721971000,238028000,114967000,123061000,238028000,164044000,164044000,164044000,402072000,10182000,1318952000,-9235000,1319899000,1319899000,1721971000,73106000,25805000,-8724000,26486000,116673000,-42172000,65116000,22944000,-132356000,1208000,-131148000,8469000,8469000,123000,8592000,130605000,0,147489000,0.41143,0.18271,0.12745,0.05539,0.04245,2.01747,3.77941,0.30462,0,0.44129,0.43376,3.46237,7.9673,0.89029,0.04926,0.09939,-3.85609,-4.80557
"6","2012_Q1",27.7453225806452,"Up",668390000,-403330000,265060000,-144737000,-144737000,120323000,1090000,-3579000,121413000,121413000,-46175000,75238000,75238000,75238000,75238000,456677000,340257000,116420000,36502000,36502000,229561000,81237000,66886000,803977000,586346000,351988000,52010000,52010000,990344000,1794321000,211024000,82904000,128120000,211024000,171749000,171749000,171749000,382773000,27620000,1394190000,-10262000,1411548000,1411548000,1794321000,75238000,26249000,6030000,36585000,144102000,-36900000,-35084000,-71984000,12755000,1390000,14145000,86263000,86263000,448000,86711000,146572000,0,192432000,0.39656,0.18002,0.11257,0.0533,0.04193,2.55764,3.80988,0.27117,0,0.45832,0.44879,4.0716,8.59866,1.17223,0.04752,0.12154,-3.11572,-3.79543
"7","2012_Q2",27.9815873015873,"Up",524019000,-330654000,193365000,-134529000,-134529000,58836000,1365000,1365000,60201000,60201000,-21577000,38624000,38624000,38624000,38624000,312627000,243939000,68688000,46539000,46539000,264278000,77846000,77846000,701290000,601249000,333946000,57774000,57774000,992969000,1694259000,212006000,109444000,102562000,212006000,169773000,169773000,169773000,381779000,16000,1317036000,-4572000,1312480000,1312480000,1694259000,38624000,26551000,-1402000,-43733000,20040000,-35738000,64323000,28585000,-146321000,361000,-145960000,-97335000,-97335000,1017000,-96318000,85387000,0,27493000,0.369,0.11228,0.07371,0.02943,0.0228,0.71181,3.30788,0.29088,0,0.23782,0.23367,3.22657,8.08141,0.16928,0.02606,0.01855,-3.6613,-5.31353
"8","2012_Q3",33.6361904761905,"Up",609181000,-378091000,231090000,-143095000,-143095000,87995000,935000,935000,88930000,88930000,-32237000,56693000,56693000,56693000,56693000,285728000,226381000,59347000,52560000,52560000,303159000,57121000,57121000,698568000,626188000,322902000,57766000,57766000,1006856000,1705424000,228515000,110759000,117756000,228515000,172589000,172589000,172589000,401104000,16000,1309964000,-5660000,1304320000,1304320000,1705424000,56693000,26753000,4248000,-16192000,71502000,-41809000,19404000,-22405000,-66206000,137000.000000007,-66069000,-16972000,-16972000,-586000,-17558000,114748000,-2.22044604925031e-16,88984000,0.37935,0.14445,0.09306,0.04347,0.03324,1.56958,3.05699,0.30752,0,0.35776,0.35295,3.84424,8.23093,0.56153,0.03839,0.06025,-2.49005,-3.24709
"9","2012_Q4",37.3195161290323,"Up",609953000,-393850000,216103000,-142742000,-142742000,73361000,2018000,2018000,75379000,75379000,-24700000,50679000,50679000,50679000,50679000,130019000,83370000,46649000,46830000,46830000,367407000,64074000,64074000,608330000,670752000,129146000,69877000,69877000,869775000,1478105000,265070000,134480000,130590000,265070000,179229000,179229000,179229000,444299000,15000,1041847000,-8056000,1033806000,1033806000,1478105000,50679000,27404000,3521000,-44082000,37522000,-62019000,203687000,141668000,-322273000,14000,-322259000,-143069000,-143069000,58000,-143011000,100765000,0,19364000,0.35429,0.12027,0.08309,0.04902,0.03429,0.38209,2.29498,0.42977,0,0.33547,0.33052,4.0376,6.8433,0.12818,0.04178,0.01596,-1.29032,-1.77232
"10","2013_Q1",41.3886666666667,"Up",730648000,-510670000,219978000,-155445000,-155445000,64533000,-212000,-5332000,64321000,64321000,-25066000,39255000,39255000,39255000,39255000,235127000,145273000,89854000,36673000,36673000,250073000,75119000,69876000,596992000,684979000,126913000,74824000,74824000,886716000,1483708000,233466000,95754000,137712000,233466000,183974000,183974000,183974000,417440000,15000.0000000005,1077765000,-11512000,1066268000,1066268000,1483708000,39255000,27404000,-23587000,110566000,153638000,-50444000,-42112000,-92555999.9999999,531769000,-529828000,1941000,63022999.9999999,63022999.9999999,-1120000,61903000,91937000,-3.5527136788005e-15,177125000,0.30107,0.08832,0.05373,0.03682,0.02646,4.51216,2.55708,0.3915,1.65436122510606e-24,0.2723,0.26977,5.06828,7.39637,1.22866,0.0314,0.14167,-2.55748,-3.64352
