"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","goodwill","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",34.6107936507937,"Up",454135000,-171290000,282845000,-157208000,-93770000,-44788000,-18650000,125637000,-21529000,-22286000,356000,104108000,104108000,-39883000,64225000,64499000,64499000,64499000,524743795.190698,524743795.190698,434849302.249549,434849302.249549,-20179542.0552597,424261731.842128,424261731.842128,1363675287.22712,3252270085.1496,5271081709.40819,-2018811624.25859,89515381.6875806,1064557846.3313,5476000,166549374.166169,876024764.138917,4406343313.16848,5770018600.39559,53917887.1440157,-51432828.67199,23985300.5012486,81364977.1637487,288377351.966309,1230660857.14131,2527545121.50337,494917775.281507,864636404.468771,1167990941.7531,3758205978.64469,4046583330.611,660654129.474092,1000045601.21787,62735539.0926376,1723435269.7846,1723435269.7846,5770018600.39559,64499000,44955000,19807000,-60928000,68333000,-62205000,-62205000,-62205000,-247000,-62452000,-26967000,17434000,-9533000,-3652000,-3652000,-3652000,170592000,0,87342000,0.62282,0.27665,0.14203,0.096733054417334,0.0321507102953442,1.35416,3.97727813891988,2.33895282655125,0.255237140664604,0.80011,0.78492,5.63357,21.7052798611328,1.08348,0.33453,0.0383876340644184,-0.0894002754457723,0.4181,4.64997139401354,6.7695892652306
"2","2010_Q3",32.54921875,"Down",667980000,-332923000,335057000,-183426000,-116261000,-46725000,-20440000,151631000,-21799000,-23737000,1266000,129832000,129832000,-49958000,79874000,80428000,80428000,80428000,426804000,426804000,226566000,226566000,27754000,104884000,104884000,786008000,3294525000,5413119000,-2118594000,79219000,826036000,5476000,48850000,696760000,4199780000,4985788000,200703000,109145000,27222000,64336000,400703000,1.049e+09,1806719000,414479000,720584000,671656000,2855719000,3256422000,709129000,1038869000,-18632000,1729366000,1729366000,4985788000,80428000,46891000,41173000,42506000,210998000,-168325000,-168325000,-168325000,132000,-168193000,-27129000,6727000,-20402000,22403000,22403000,22403000,198522000,1.249e+09,122661000,0.5016,0.227,0.1204,0.04651,0.01613,1.5251,1.96157,1.88301,0.25051,0.99147,0.97463,8.23444,21.31853,1.51209,0.33443,0.02248,0.02563,0.33731,4.14159,5.42235
"3","2010_Q4",41.78359375,"Up",351992000,-97195000,254797000,-165609000,-96593000,-50422000,-18594000,89188000,-20938000,-22412000,851000,68250000,68250000,-25608000,42642000,42585000,42585000,42585000,458847000,458847000,143684000,143684000,32753000,65818000,65818000,701102000,3353677000,5518060000,-2164383000,76354000,818228000,5476000,41897000,703737000,4248259000,4949361000,185379000,106087000,28278000,51014000,385379000,1.049e+09,1767004000,420361000,735558000,611085000,2816004000,3201383000,726716000,1053176000,-31914000,1747978000,1747978000,4949361000,42585000,50587000,11424000,35966000,140562000,-96983000,-96983000,-96983000,-158000,-97141000,-27222000,15844000,-11378000,32043000,32043000,32043000,139775000,1.249e+09,104366000,0.72387,0.25338,0.12098,0.02436,0.0086,2.45077,1.81925,1.83148,0.25236,0.52059,0.51322,4.30301,21.36856,1.27585,0.33278,0.01465,0.02191,0.63924,5.65304,8.85941
"4","2011_Q1",49.0927419354839,"Up",286396000,-57024000,229372000,-155377000,-87945000,-49264000,-18168000,73995000,-19825000,-21782000,3653000,54170000,54170000,-21778000,32392000,38401000,38401000,38401000,397171000,397171000,132136000,132136000,24987000,148023000,148023000,702317000,3450229000,5637498000,-2187269000,77839000,875240000,5476000,65184000,765276000,4403308000,5105625000,156102000,89677000,28316000,38109000,356102000,1.049e+09,1931104000,446082000,800758000,684264000,2980104000,3336206000,727694000,1063262000,-21537000,1769419000,1769419000,5105625000,38401000,49376000,44214000,-104852000,27139000,-115588000,-115588000,-115588000,22000,-61796000,-28278000,-741000,-29019000,-63676000,-63676000,-63676000,123371000,1.249e+09,-75291000,0.80089,0.25837,0.13408,0.0217,0.00752,-1.96065,1.97224,1.88548,0.24463,0.46837,0.46282,3.49316,21.58151,-0.91832,0.34491,0.01347,-0.01521,0.73639,6.90461,11.51198
"5","2011_Q2",49.8619047619048,"Up",450948000,-163038000,287910000,-170499000,-97450000,-53313000,-19736000,117411000,-20816000,-20709000,-107000,96595000,96595000,-38052000,58543000,58543000,58543000,58543000,79622000,79622000,147829000,147829000,31560000,197858000,197858000,456869000,3601213000,5837365000,-2236152000,80701000,843198000,5476000,46152000,756941000,4525112000,4981981000,233885000,181564000,28407000,23914000,404385000,8.99e+08,1886042000,433010000,821001000,632031000,2785042000,3189427000,726194000,1093398000,-27038000,1792554000,1792554000,4981981000,58543000,53313000,14003000,-38388000,87471000,-193802000,-193802000,-193802000,-298000,-194100000,-28316000,-3104000,-210920000,-317549000,-317549000,-317549000,170724000,1069500000,-23414000,0.63845,0.26036,0.12982,0.03266,0.01175,-0.39995,1.12979,1.77926,0.21467,0.712,0.70178,5.48442,21.80101,-0.28476,0.34438,0.01829,-0.00493,0.48368,5.79812,8.43088
"6","2011_Q3",44.39828125,"Down",660881000,-306595000,354286000,-200530000,-116721000,-60011000,-23798000,153756000,-16888000,-19312000,2424000,136868000,187747000,-72136000,115611000,115611000,115611000,115611000,144767000,144767000,227898000,227898000,31707000,168899000,168899000,573271000,3734140000,6019453000,-2285313000,83744000,792162000,5476000,37708000,712618000,4610046000,5183317000,176864000,122911000,28478000,25475000,326864000,8.99e+08,2067886000,434488000,886824000,746574000,2966886000,3293750000,728505000,1180531000,-19469000,1889567000,1889567000,5183317000,115611000,60011000,26783000,53346000,255751000,-198536000,-198536000,-198536000,-2799000,-141970000,-28407000,271000,-48636000,65144999.9999999,65144999.9999999,65144999.9999999,213767000,1.049e+09,140713000,0.53608,0.23265,0.17493,0.06118,0.0223,1.21712,1.75385,1.74312,0.20238,1.40306,1.3812,8.02051,22.93195,1.7077,0.34475,0.02877,0.02811,0.24571,4.22999,5.88096
"7","2011_Q4",40.5288888888889,"Down",380979000,-112725000,268254000,-173450000,-95977000,-57293000,-20180000,94804000,-16897000,-18710000,1813000,77907000,77907000,-31016000,46891000,46891000,46891000,46891000,184710000,184710000,165576000,165576000,28923000,96169000,96169000,475378000,3784977000,5392065000,-1607088000,84118000,788792000,5476000,43347000,715717000,4657887000,5133265000,150201000,95182000,29358000,25661000,300201000,8.99e+08,2036085000,435517000,919145000,681423000,2935085000,3235286000,727645000,1198064000,-27730000,1897979000,1897979000,5133265000,46891000,57293000,52773000,36103000,193060000,-191401000,-191401000,-191401000,189000,-121777000,-28478000,-2862000,-31340000,39943000,39943000,39943000,152097000,1.049e+09,27815000,0.70412,0.24884,0.12308,0.02471,0.00913,0.59318,1.58353,1.7046,0.20435,0.56709,0.55939,4.60746,22.95364,0.33639,0.34441,0.01513,0.00558,0.60732,5.68249,9.1166
"8","2012_Q1",35.7767741935484,"Down",286034000,-46374000,239660000,-164469000,-90371000,-55910000,-18188000,75191000,-14657000,-16474000,1817000,60534000,60534000,-23177000,37357000,37357000,37357000,37357000,80428000,80428000,131885000,131885000,27932000,101908000,101908000,342153000,4000524000,5646918000,-1646394000,79365000,799042000,5476000,76085000,702058000,4878931000,5221084000,171627000,126709000,29399000,15519000,361627000,8.99e+08,2056258000,481520000,955384000,619354000,2955258000,3316885000,733562000,1206022000,-35385000,1904199000,1904199000,5221084000,37357000,55910000,18187000,6216000,117670000,-230539000,-230539000,-230539000,0,-236473000,-29358000,3879000,14521000,-104282000,-104282000,-104282000,131101000,1.089e+09,-70045000,0.83787,0.26287,0.1306,0.01962,0.00716,-1.87502,0.94615,1.74188,0.20858,0.45146,0.44614,3.45676,23.01251,-0.8465,0.3548,0.01321,-0.01387,0.78588,7.69309,13.41347
"9","2012_Q2",32.567619047619,"Down",432423000,-132193000,300230000,-181836000,-100059000,-62547000,-19230000,118394000,-16970000,-18306000,1336000,101424000,101424000,-40725000,60699000,60699000,60699000,60699000,224262000,224262000,152888000,152888000,27263000,115969000,115969000,520382000,4227942000,5922308000,-1694366000,81055000,918376000,5476000,106115000,791864000,5227373000,5747755000,146685000,105209000,29479000,11997000,166685000,1.399e+09,2210271000,467396000,991805000,751070000,3609271000,3775956000,737038000,1237242000,-2481000,1971799000,1971799000,5747755000,60699000,62547000,31128000,-58711000,95663000,-249105000,-249105000,-249105000,-966000,-250071000,-29398000,1555000,298242000,143834000,143834000,143834000,180941000,1.419e+09,-86150000,0.6943,0.27379,0.14037,0.03078,0.01056,-1.4193,3.12195,1.91498,0.24688,0.73245,0.7252,5.21803,23.79361,-1.03957,0.35474,0.01609,-0.01538,0.48432,6.60291,10.0912
"10","2012_Q3",36.6973015873016,"Up",552309000,-208537000,343772000,-211675000,-118047000,-63151000,-30477000,132097000,-19832000,-21486000,1654000,112265000,112265000,-44873000,67392000,67392000,67392000,67392000,192243000,192243000,168757000,168757000,28395000,90544000,90544000,479939000,4430191000,6180827000,-1750636000,85555000,839811000,5476000,121760000,692294000,5355557000,5835496000,144907000,98053000,29527000,17327000,414907000,1.149e+09,2235519000,472717000,1040789000,722013000,3384519000,3799426000,743669000,1275107000,17294000,2036070000,2036070000,5835496000,67392000,63151000,91746000,38668000,260957000,-268225000,-268225000,-268225000,177000,-268048000,-29479000,3475000,-24928000,-32019000,-32019000,-32019000,195248000,1.419e+09,10564000,0.62243,0.23917,0.12202,0.0331,0.01155,0.15675,1.15674,1.86606,0.24317,0.81091,0.80492,6.64579,24.49951,0.12711,0.35471,0.01702,0.00186,0.43743,6.28307,9.28679
