"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",16.7804761904762,"Up",227874000,-91090000,136784000,-110158000,-7045000,-36387000,-66726000,26626000,-10494000,-13181000,2687000,16132000,-25430000,-9298000,-5079000,-14377000,-14866000,-14866000,-14866000,238132000,238132000,35032000,82944000,82944000,356108000,2574429000,3115674000,-541245000,99870000,63303000,36124000,2674299000,3030407000,80036000,70019000,1328268000,1328268000,1993197000,1117000,1992080000,-295297000,1697900000,4239000,1702139000,3030407000,-14866000,35301000,3417000,-17597000,6255000,-17083000,-17083000,-7121000,-24204000,0,-21086000,150958000,93028000,75079000,75079000,75079000,61927000,1178213000,32326000,0.60026,0.11685,-0.06524,-0.00873,-0.00491,-2.17449,0.2681,0.78035,0.3888,-0.1316,-0.1316,2.01722,15.03038,0.28616,0,-0.00516,0.01122,0,15.18047,35.30688
"2","2015_Q3",14.84421875,"Down",251222000,-96663000,154559000,-112190000,-6947000,-35889000,-69354000,42369000,-13019000,-13049000,30000,29350000,-2199000.00000001,27151000,-3405000,23746000,23746000,23743000,23735000,197300000,197300000,31283000,85925000,85925000,314508000,2562472000,3138878000,-576406000,112429000,62448000,48098000,2674901000,2989409000,81576000,76874000,1285637000,1285637000,1993383000,1117000,1992266000,-297330000,1696053000,7719000,1703772000,2989409000,23746000,35119000,4018000,14469000,77352000,-13868000,-13868000,-39157000,-53025000,-16270000,-51466000.0000001,2577000,-65158999.9999999,-40832000,-40832000,-40832000,77488000,1127187000,81494000,0.61523,0.16865,0.09448,0.01393,0.00794,3.43349,0.24463,0.75458,0.37706,0.21255,0.212,2.2497,15.18822,0.72978,0.1457,0.01413,0.02879,0.68549,12.0004,21.94734
"3","2015_Q4",12.83015625,"Down",248454000,-97361000,151093000,-116625000,-5451000,-37818000,-73356000,34468000,-11824000,-12496000,672000,22644000,-4937000,17707000,140000,17847000,17847000,18098000,18094000,99430000,99430000,33658000,83141000,83141000,216229000,2693318000,3258961000,-565643000,202393000,61759000,138781000,2895711000,3111940000,94797000,62707000,1343846000,1411204000,1994184000,1117000,1993067000,-305005000,1689179000,11557000,1700736000,3111940000,17847000,37007000,3299000,969000,59122000,-9990000,-9990000,-409000,-255399000,-25921000,121005000,3323000,98407000,-97870000,-97870000,-97870000,71475000,1186342000,62314000,0.60813,0.13873,0.07283,0.01064,0.00581,3.4439,0.1609,0.82976,0.38122,0.16205,0.16176,2.22515,15.12824,0.55808,0.23215,0.0149,0.02109,1.43257,15.20688,31.53394
"4","2016_Q1",11.3131147540984,"Down",248594000,-99020000,149574000,-117032000,-5699000,-37915000,-73418000,32542000,-10563000,-12090000,1527000,21979000,37887000,59866000,2049000,61915000,61915000,61783000,61783000,122154000,122154000,22978000,72771000,72771000,217903000,2414799000,2891563000,-476764000,373242000,58059000,312879000,2788041000,3005944000,78440000,52934000,1225910000,1262586000,1994877000,1117000,1993760000,-268991000,1727429000,15929000,1743358000,3005944000,61915000,36997000,-34310000,-13225000,51377000,-13205000,-13205000,-9376000.00000001,110571000,-25515000,-117863000,-5545000,-148923000,13025000,13025000,13025000,69539000,1094536000,41060000,0.60168,0.1309,0.24853,0.03544,0.02055,0.66458,0.17775,0.72423,0.36412,0.55327,0.55273,2.22619,15.46935,0.3677,0.22849,0.03037,0.01428,0.41298,13.98326,29.88083
"5","2016_Q2",12.2759375,"Up",235035000,-95221000,139814000,-120928000,-10624000,-38951000,-71353000,18886000,-12756000,-12840000,84000,6130000,-11594000,-5464000,-3705000,-9169000,-9169000,-8915000,-8915000,159576000,159576000,31993000,74409000,74409000,265978000,2632903000,3209442000,-576539000,190614000,81497000,106837000,2823517000,3089495000,74867000,72771000,1437647000,1439302000,1948285000,1084000,1947201000,-307706000,1632688000,17505000,1650193000,3089495000,-9169000,38199000,11225000,-6366000,33889000,-7268000,-7268000,4189000,-88180000,-25684000,167609000,-925000,91713000,37422000,37422000,37422000,57085000,1290009000,47156000,0.59486,0.08035,-0.03793,-0.0054,-0.00289,-5.28951,0.18501,0.8722,0.41755,-0.08124,-0.08124,2.14189,14.87877,0.42974,0.23406,0.0057,0.01603,-2.88099,19.80263,59.85561
"6","2016_Q3",13.42578125,"Up",261378000,-98057000,163321000,-115851000,-7674000,-38319000,-69858000,47470000,-12706000,-12800000,93999.9999999999,34764000,-2529000,32235000,-6095000,26140000,26140000,25766000,25766000,278055000,278055000,27913000,83903000,83903000,389871000,2567123000,3160370000,-593247000,98055000,78180000,17670000,2665178000,3055049000,77705000,78293000,1421999000,1421999000,1937799000,1077000,1936722000,-311896000,1613878000,19172000,1633050000,3055049000,26140000,37591000,7007000,8380000,79118000,-12893000,-12893000,-10756000,105581000,-29801000,-24900000.0000001,-88000.0000000019,-66220000,118479000,118479000,118479000,85061000,1266001000,86643000,0.62485,0.18161,0.09858,0.01578,0.00843,3.36269,0.27417,0.87076,0.4144,0.23881,0.23838,2.42253,14.95792,0.80303,0.2762,0.01917,0.02989,1.1566,11.61456,20.81201
"7","2016_Q4",13.764126984127,"Up",233947000,-88066000,145881000,-113739000,-7210000,-37796000,-68733000,32142000,-11636000,-12374000,738000,20506000,-261000,20245000,187000,20432000,20432000,20245000,20245000,185311000,185311000,33587000,85582000,85582000,304480000,2542807000,3173089000,-630282000,99521000,77346000,20449000,2642328000,2946808000,81696000,73107000,1323931000,1323931000,1933433000,1073000,1932360000,-321292000,1602420000,20457000,1622877000,2946808000,20432000,37107000,3797000,-1467000,59869000,-17930000,-17930000,6567000,-11397000,-29786000,-97870000,-32000,-133231000,-84759000,-84759000,-84759000,69249000,1169128000,49665000,0.62356,0.13739,0.08654,0.01247,0.00687,2.4532,0.22998,0.81579,0.39674,0.18828,0.18804,2.17574,14.90271,0.46189,0.27701,0.01792,0.01779,1.47128,14.20695,30.60846
"8","2017_Q1",14.6816129032258,"Up",219800000,-86858000,132942000,-109748000,-5866000,-37352000,-66530000,23194000,-7638000,-10099000,2461000,15556000,29235000,44791000,4536000,49327000,49327000,48759000,48759000,216054000,216054000,22998000,70973000,70973000,310025000,2443589000,3063564000,-619975000,106731000,76912000,28257000,2550320000,2860345000,71955000,59691000,1208778000,1208778000,1926622000,1068000,1925554000,-302034000,1629597000,21970000,1651567000,2860345000,49327000,37065000,-21361000,-8464000,56567000,-20732000,-20732000,0,94773000,-29859000,-92354000,-5278000,-135206000,16134000,16134000,16134000,60259000,1077132000,26527000,0.60483,0.10552,0.22183,0.02952,0.01705,0.54404,0.25648,0.7319,0.37657,0.45613,0.45533,2.05616,15.2444,0.24815,0.27932,0.02881,0.00972,0.61238,14.28962,37.12503
"9","2017_Q2",15.1669841269841,"Up",218460000,-87199000,131261000,-110870000,-8384000,-36478000,-66008000,20391000,-9998000,-10150000,152000,10393000,57096782.2416313,10393000,-2166000,8227000,8227000,8113000,8113000,202370000,202370000,32289000,69200000,69200000,303859000,2404485000,3049976000,-645491000,126138000,74287000,51851000,2530623000,2834482000,65455000,59449000,1201893000,1202160000,1925494000,1069000,1924425000,-323401000,1609018000,23304000,1632322000,2834482000,8227000,36280000,3303000,-13595000,34215000,-13214000,-13214000,-895305.795552725,-13214000,-29854000,-642000,-4175000,-36458000,-15457000,-15457000,-15457000,56671000,1076989000,32028000,0.60085,0.09334,0.03714,0.00497,0.00286,3.94774,0.25282,0.73647,0.37996,0.07593,0.07578,2.04466,15.05947,0.29976,0.27942,0.01401,0.01182,3.67977,15.43327,42.8924
"10","2017_Q3",16.8879365079365,"Up",244392000,-92171000,152221000,-112010000,-7838000,-36626000,-67546000,40211000,-10961000,-11147000,186000,29250000,47637000,76887000,-5889000,70998000,70998000,69418000,69418000,201815000,201815000,36364000,65778000,65778000,303957000,2450548000,3044056000,-593508000,119578000,75761000,43817000,2570126000,2874083000,71871000,65117000,1200430000,1201908000,1923853000,1068000,1922785000,-283449000,1645249000,26926000,1672175000,2874083000,70998000,36198000,-44744000,13471000,75923000,-16106000,-16106000,0,-34754000,-29453000,-13440000,1313000,-43896000,-2727000,-2727000,-2727000,76409000,1063442000,79663000,0.62286,0.16453,0.28404,0.04151,0.02415,1.14758,0.25321,0.71877,0.37001,0.65017,0.64873,2.28898,15.40942,0.74612,0.27586,0.03612,0.0291,0.424280000000001,11.27651,21.42764
