"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2019_Q1",52.7211475409836,"Up",91477000,-48632000,42845000,-26774000,-26774000,16071000,938000,-348000,1286000,17009000,17009000,-3384000,13625000,13763000,13763000,13763000,10983000,10983000,65555000,65555000,46335000,7237000,5044000,130110000,53437000,155332000,51122000,81334000,22876000,208769000,338879000,41311000,18273000,23038000,561000,45339000,19319000,6612000,1941000,4671000,25931000,71270000,43771000,-10754000,243402000,-8810000,267609000,267609000,338879000,13625000,13763000,1812000,1597000,-7156000,9830000,1160000,-3686000,19860000,-4957000,-4957000,14903000,21047000,21047000,-1664000,19383000,17883000,19880000,15271000,0.46837,0.17568,0.15045,0.05143,0.04061,1.10957,2.86971,0.26632,0.05866,0.91315,0.90588,6.06933,17.75537,1.0132,0.0468,0.05192,0.49751,0.55361
"14","2019_Q2",61.0706349206349,"Up",102333000,-55098000,47235000,-26914000,-26914000,20321000,-588000,-501000,-87000,19733000,19733000,-4389000,15344000,15204000,15204000,15204000,10228000,10228000,72841000,72841000,54224000,2445000,2445000,139738000,54248000,173045000,52335000,92429000,26182000,227293000,367031000,43914000,17887000,26027000,561000,44830000,21258000,24116000,1923000,19435000,45374000,90204000,48005000,-50757000,290351000,-10772000,276827000,276827000,367031000,15344000,15204000,2319000,3249000,-11247000,9410000,-2226000,-13726000,-9640000,-793000,-793000,-12461000,-16777000,-16777000,354000,-16423000,22640000,21819000,13556000,0.46158,0.19858,0.14857,0.05492,0.04142,0.89161,3.11706,0.32585,0.05945,1.01428,1.00303,6.82675,18.46744,0.90434,0.05339,0.042,0.51197,0.5704
"15","2019_Q3",67.6475,"Up",101324000,-53920000,47404000,-27281000,-27281000,20123000,-7666000,-299000,-7367000,12457000,12457000,-3638000,8819000,8785000,8785000,8785000,23677000,23677000,68711000,68711000,52851000,4038000,4038000,149277000,54864000,167236000,50472000,92252000,22451000,222100000,371377000,49779000,14813000,34966000,561000,50708000,10618000,23612000,2038000,18897000,34230000,84938000,49226000,-50757000,297094000,-9124000,286439000,286439000,371377000,8819000,8785000,1843000,8206000,8963000,27697000,-1256000,-1593000,-10641000,0,0,-12694000,13410000,13410000,39000,13449000,21966000,11179000,33311000,0.46785,0.1986,0.0867,0.03067,0.02366,3.7918,2.94386,0.29653,0.0301,0.58341,0.57599,6.72891,19.02238,2.21218,0.03374,0.1037,-0.56897,-0.62108
"16","2019_Q4",70.47125,"Up",83716000,-46025000,37691000,-27203000,-27203000,10488000,-1134000,-286000,-848000,9354000,9354000,-2072000,7282000,7308000,7308000,7308000,39884000,39884000,57583000,57583000,57269000,3889000,3843000,158625000,55599000,166470000,49420000,92720000,22318000,222069000,380694000,52370000,17704000,34666000,561000,53279000,10477000,23946000,2049000,19302000,34423000,87702000,47172000,-49317000,302358000,-7221000,292992000,292992000,380694000,7282000,7308000,1846000,3769000,9960000,22804000,-2874000,-2874000,-140000,-1991000,-1991000,-4138000,15792000,15792000,415000,16207000,12334000,11038000,21492000,0.45022,0.12528,0.0873,0.02494,0.0192,2.94089,2.97725,0.29933,0.02899,0.48449,0.47912,5.54999,19.42403,1.42482,0.0284,0.06553,-2.33874,-2.75038
"17","2020_Q1",71.1245161290323,"Up",98498000,-53991000,44507000,-28634000,-28634000,15873000,922000,-245000,1167000,16795000,15844000,-2633000,13211000,14420000,14420000,14420000,18338000,18338000,74880000,74880000,53753000,3074000,3074000,150045000,57178000,162022000,46185000,91686000,24151000,219200000,369245000,58585000,21978000,36607000,561000,59146000,10337000,23021000,1879000,21142000,33358000,92504000,48486000,-75377000,315078000,-11446000,276741000,276741000,369245000,13211000,14420000,8837000,-2015000,-8989000,9986000,-3789000,-2251000,-140000,-25676000,-25676000,-27858000,-20123000,-20123000,-1423000,-21546000,24710000,10898000,14565000,0.45186,0.16115,0.1464,0.05211,0.03905,1.01006,2.53686,0.33426,0.02951,0.9598,0.95112,6.55604,18.41993,0.96945,0.05299,0.04688,-0.30109,-0.46872
"18","2020_Q2",66.4360317460317,"Down",90964000,-48212000,42752000,-26499000,-26499000,16253000,-625000,-318000,-307000,15628000,15628000,-3668000,11960000,11960000,11960000,11960000,19687000,19687000,71490000,71490000,59441000,2816000,2816000,153434000,57124000,160799000,44777000,92080000,23942000,217923000,371357000,53392000,23288000,30104000,561000,53953000,10197000,23197000,1868000,21329000,33394000,87347000,50342000,-81207000,325042000,-10167000,284010000,284010000,371357000,11960000,11960000,3588000,2956000,-4358000,14146000,-1837000,-1837000,-140000.000000004,-9346000,-9346000,-11471000,837999.999999993,837999.999999993,511000,1349000,19841000,10758000,17314000,0.46999,0.17868,0.13148,0.04211,0.03221,1.44766,2.84385,0.30755,0.02897,0.81322,0.80767,6.18508,19.31121,1.17726,0.04386,0.05445,-0.45003,-0.54938
"19","2020_Q3",71.48015625,"Up",104940000,-56204000,48736000,-26557000,-26557000,22179000,-644000,-284000,-360000,21535000,21535000,-5183000,16352000,16352000,16352000,16352000,47299000,47299000,70092000,70092000,52090000,5377000,5377000,174858000,57734000,159075000,43368000,92419000,23288000,216809000,391667000,56849000,20736000,36113000,561000,57410000,10056000,22160000,1853000,20307000,32216000,89626000,51096000,-79401000,339397000,-9051000,302041000,302041000,391667000,16352000,16352000,3642000,1e+06,9643000,30637000,-2514000,-2514000,-141000,1325000,-6000,-803000,27320000,27320000,292000,27612000,25821000,10617000,38133000,0.46442,0.21135,0.15582,0.05414,0.04175,2.33201,3.04578,0.29673,0.02711,1.10884,1.10174,7.11602,20.48152,2.58581,0.05477,0.11389,-1.42063,-1.65391
"20","2020_Q4",98.65140625,"Up",89932000,-50594000,39338000,-35220000,-35220000,4118000,-1061000,-469000,-592000,3057000,3057000,-709000,2348000,2348000,2348000,2348000,18260000,18260000,75005000,75005000,101560000,20998000,20998000,215823000,86254000,578500000,279502000,222262000,76736000,664754000,880577000,76198000,25667000,50531000,561000,76759000,254916000,146185000,1854000,144331000,401101000,477860000,103699000,-34075000,339731000,-6638000,402717000,402717000,880577000,2348000,2348000,4547000,1920000,448000,9263000,-1931000,-280611000,244711000,-1136000,-1136000,241577000,-29771000,-29771000,732000,-29039000,8665000,255477000,7891000,0.43742,0.04579,0.02611,0.00583,0.00267,3.36073,2.8117,1.18659,0.29012,0.15694,0.15567,6.0111,26.91779,0.527439999999999,0.0054,0.00981,27.37646,57.60491
"21","2021_Q1",125.551475409836,"Up",133369000,-79645000,53724000,-37054000,-37054000,16670000,-6022000,-1312000,-4710000,10648000,10648000,-1209000,9439000,9439000,9439000,9439000,10088000,10088000,96695000,96695000,102651000,9684000,9684000,219118000,82554000,577850000,283060000,218795000,75995000,660404000,879522000,82187000,32444000,49743000,561000,82748000,241776000,139548000,1695000,137853000,381324000,464072000,104851000,-34075000,350670000,-5996000,415450000,415450000,879522000,9439000,9439000,11260000,-194000,-8297000,12208000,3631000,-4927000,-13139000,-2000,-1000,-15254000,-7973000,-7973000,-199000,-8172000,27930000,242337000,24473000,0.40282,0.12499,0.07077,0.02272,0.01073,2.59275,2.64802,1.11703,0.27553,0.63755,0.63302,9.00838,28.06147,1.65302,0.01449,0.03069,8.3154,13.93215
"22","2021_Q2",126.355555555556,"Up",161266000,-92240000,69026000,-40124000,-40124000,28902000,-1710000,-1538000,-172000,27192000,27192000,-6507000,20685000,20685000,20461000,20461000,15677000,15677000,111940000,111940000,105005000,10050000,10050000,242672000,80664000,580906000,286060000,218927000,75919000,661570000,904242000,91166000,43227000,47939000,561000,91727000,230635000,137054000,1674000,135380000,367689000,459416000,107692000,-35868000,364905000,-5609000,431120000,444826000,904242000,20685000,20685000,12294000,2734000,-16783000,18930000,-1071000,304000.00000003,-13468000,-3168000,-3168000,-13701000,5533000,5533000,56999.9999999999,5590000,41196000,231196000,29849000,0.42803,0.17922,0.12688,0.046,0.02263,1.45882,2.64559,1.0328,0.25568,1.38203,1.37221,10.89267,29.11989,2.01614,0.02807,0.03671,5.23155,7.45689
"23","2021_Q3",123.49890625,"Down",155585000,-92333000,63252000,-37160000,-37160000,26092000,-1564000,-1430000,-134000,24528000,24528000,-6169000,18359000,18359000,18171000,18171000,17329000,17329000,107660000,107660000,110761000,9122000,9122000,244872000,80956000,577194000,280847000,218158000,78189000,658150000,903022000,85153000,37785000,47368000,561000,85714000,213495000,139948000,1670000,138278000,353443000,439157000,108765000,-34313000,380523000,-6028000,448947000,463865000,903022000,18360000,31216595.6434965,8234000,2663000,-5412000,23845000,-3862000,-3856000,-17140000,517000,-13000,-17983000,2006000,2006000,-355000,1651000,34326000,214056000,31221000,0.40654,0.1677,0.11679,0.03917,0.02012,1.71818,2.85685,0.94673,0.23704,1.15335,1.14955,9.87528,28.49553,1.98166,0.0251,0.03817,5.73114,7.53974
"24","2021_Q4",129.35421875,"Up",136286000,-84943000,51343000,-37894000,-37894000,13449000,-1311000,-1184000,-127000,12138000,12138000,-2388000,9750000,9750000,9306000,9306000,16184000,16184000,90737000,90737000,127442000,16355000,16355000,250718000,82557000,616770000,295149000,237985000,83636000,699327000,950045000,97865000,39530000,58335000,561000,98426000,230355000,147150000,1706000,145444000,377505000,475931000,110952000,-32604000,386448000,-6058000,458738000,474114000,950045000,9749000,38805327.5246619,7968000,5597000,3383000,26697000,-3402000,-41210000,16860000,-1379000,-2175000,13115000,-1398000,-1398000,253000,-1145000,21417000,230916000,23786000,0.37673,0.09868,0.06828,0.01963,0.0098,2.55599,2.54727,1.00383,0.24306,0.59067,0.58873,8.65033,29.11698,1.50974,0.0137,0.02791,10.02624,15.96639
"25","2022_Q1",116.976290322581,"Down",173298000,-100957000,72341000,-43404000,-43404000,28937000,-1330000,-1297000,-33000,27607000,27607000,-9082000,18525000,18525000,18447000,18447000,16619000,16619000,122804000,122804000,150114000,10610000,10610000,300147000,87032000,608181000,300837000,224658000,82686000,695213000,995360000,116841000,47836000,69005000,561000,117402000,252214000,141333000,1027000,140306000,393547000,510949000,113086000,-46448000,407522000,-5074000,469086000,484411000,995360000,18525000,39572145.6434965,8390000,-2808000,-24490000,-383000,-7179000,-6694000,21859000,-13954000,-13955000,5530000,-1547000,-1547000,1982000,435000,37327000,252775000,14740000,0.41744,0.16698,0.10645,0.03808,0.01853,0.79905,2.55657,1.05478,0.25395,1.17087,1.16701,10.99956,29.77379,0.93558,0.0237,0.01678,6.32668,8.16104
"26","2022_Q2",106.129032258065,"Down",199934000,-113509000,86425000,-45552000,-45552000,40873000,-1615000,-1784000,169000,39258000,39258000,-9620000,29638000,29638000,29443000,29443000,15519000,15519000,143874000,143874000,161463000,10074000,10074000,330930000,85627000,601366000,295318000,224055000,81993000,686993000,1017923000,121253000,51826000,69427000,561000,121814000,273074000,140795000,1060000,139735000,413869000,535683000,116467000,-76925000,434274000,-7096000,466720000,482240000,1017923000,29638000,29638000,8613000,5365000,-26803000,16813000,-1995000,-3995000,20860000,-31398000,-31398000,-13208000,-390000,-390000,-710000,-1100000,49486000,273635000,30308000,0.43227,0.20443,0.14726,0.06105,0.02892,1.02938,2.71668,1.11082,0.26882,1.88218,1.8811,12.78105,29.83571,1.93748,0.03581,0.0338,5.21594,6.31507
"27","2022_Q3",121.99125,"Up",191192000,-110545000,80647000,-45330000,-45330000,35317000,-3066000,-3106000,40000,32251000,32251000,-7936000,24315000,24315000,24331000,24331000,13558000,13558000,125901000,125901000,171879000,14947000,14947000,326285000,85401000,609706000,305395000,224716000,79595000,695107000,1021392000,111320000,50261000,61059000,561000,111881000,268934000,140040000,1097000,138943000,408974000,520855000,118435000,-81230000,455962000,-10134000,483033000,500537000,1021392000,24314000,5123840.59417256,8723000,1613000,-4170000,30480000,-2492000,-21992000,-4141000,-5896000,-6169000,-10660000,-2172000,-2172000,211000,-1961000,44040000,269495000,45314000,0.42181,0.18472,0.12726,0.04861,0.02382,1.8624,2.91636,1.04059,0.26385,1.57594,1.57207,12.3837,31.28655,2.93503,0.02962,0.04979,5.81147,7.24685
