"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",15.9926984126984,"Up",175876000,-95716000,80160000,-130045000,-4.7e+07,-34237000,-12763000,-50033000,-33012000,-49885000,-2601000,-2601000,-52486000,21000,-52465000,-868000,-53333000,-53333000,-53333000,-53333000,-1714219338.27556,-1717343927.61236,-294848977.445534,-294848977.445534,-171661068.173452,-315089445.651557,-315089445.651557,-2495818829.5461,135742037.837086,135742037.837086,986907586.028296,532018320.562231,67559483.05237,888066459.175695,-1607752370.3704,-584031151.794894,-515652137.810484,-81660868.097697,-122079242.359272,-152802428.635108,-705717066.739632,-1285101275.41143,58595459.5468916,31765532.4379614,26829927.1089301,-1226505815.86454,-1932222882.60417,5730786555.20286,-5359379996.41846,-46936046.550621,324470512.23377,324470512.23377,-1607752370.3704,-53333000,13502000,13128000,31174000,4471000,-7009000,134148000,-5520000,83169000,2253539071.0304,83000,83000,83000,87723000,87723000,87723000,-36383000,0,-11350000,0.45578,-0.28364,-0.30324,-1.83426328310044,-0.30613152129685,0.21281,2.13491368353686,-37.6953888137523,0.547127232385093,-0.57769,-0.57769,1.90505,3.51413276041671,-0.12294,-0.373971843852804,-1.18187544488479,17.3056585060801,-5.39004916690954
"2","2010_Q3",13.48234375,"Down",253471000,-148529000,104942000,-194315000,-66831000,-45328000,-21503000,-71142000,-56342000,-89373000,-365000,-365000,-89738000,-1849000,-91587000,1578000,-90009000,-90009000,-90009000,-90009000,-255541112.758519,-256705309.204119,65015007.5181553,65015007.5181553,93187643.9421827,-16075148.550519,-16075148.550519,-113413609.8487,122790345.945695,122790345.945695,754560862.009432,509337440.18741,90722827.6841233,815856153.058565,702442543.209866,2380282.73503542,-101478379.270162,98560710.634101,5134252.54690941,-7120809.54503594,7645644.42012268,354715241.529522,52091486.5156305,33199177.4793205,18892309.03631,406806728.045153,414452372.465276,5699475518.40095,-5397671332.13949,-13814015.5168737,287990170.74459,287990170.74459,702442543.209866,-90009000,33659000,14590000,-35947000,-77707000,-11266000,406482000,-3526000,-281792000,369660000,748000,748000,370408000,10909000,10909000,10909000,-55714000,0,-104505000,0.41402,-0.3526,-0.35511,-0.857687761033479,-0.139603840432283,1.16105,2.68576456117895,-7.17856293791742,0.604732410795031,-0.96931,-0.96931,2.72963,3.09986425347224,-1.12542,-0.171267281284268,-0.447278481628265,-7.27914049797329,-7.32396305563651
"3","2010_Q4",16.15171875,"Up",389675000,-245666000,144009000,-241405000,-84776000,-52127000,-32649000,-100869000,-55760000,-97396000,-8658000,-8658000,-106054000,-2157000,-108211000,-1644000,-109855000,-109855000,-109855000,-109855000,470421000,470237000,260277000,260277000,222164000,118571000,118571000,1071433000,118755000,118755000,621283000,470610000,112587000,740038000,1811471000,298705000,118972000,178427000,61676000,58655000,360381000,1174580000,48215000,32122000,16093000,1222795000,1583176000,5693323000,-5464530000,-498000,228295000,228295000,1811471000,-109855000,63461000,25829000,-109435000,-1.3e+08,-16371000,29300000,-9799000,21815000,-5344000,93000,93000,-5251000,-113436000,-113436000,-113436000,-33935000,1174580000,-158097000,0.36956,-0.24994,-0.28191,-0.4812,-0.06064,1.43914,2.97306,6.93478,0.64841,-1.17652,-1.17652,4.17332,2.44498,-1.69318,-0.07571,-0.10895,-20.75023,-7.22986
"4","2011_Q1",25.1335483870968,"Up",417614000,-249224000,168390000,-258848000,-97600000,-61823000,-35777000,-105582000,-55666000,-90458000,-3078000,-3078000,-93536000,14226000,-79310000,-1007000,-80317000,-80317000,-80317000,-80317000,688687000,688687000,343582000,343582000,261619000,147680000,147680000,1441568000,120294000,120294000,556231000,426412000,129819000,676525000,2118093000,394611000,200617000,193994000,75334000,75334000,469945000,1442705000,46150000,29715000,16435000,1488855000,1958800000,5703078000,-5544847000,1062000,159293000,159293000,2118093000,-80317000,59185000,-6633000,1991000,-25774000,-16561000,151000,-5676000,-22086000,284619000,646000,646000,264964000,217104000,217104000,217786000,-31273000,1442705000,-44836000,0.40322,-0.21661,-0.19232,-0.50421,-0.03792,0.55824,3.06752,12.29684,0.68113,-0.85572,-0.85572,4.44938,1.69715,-0.4777,-0.04873,-0.0272,-24.11083,-8.33556
"5","2011_Q2",24.1950793650794,"Down",433308000,-264802000,168506000,-244165000,-95406000,-57092000,-38314000,-95790000,-52969000,-75659000,-3285000,-3285000,-78944000,1767000,-77177000,-1879000,-79056000,-79056000,-79056000,-79056000,625820000,625820000,369718000,369718000,267346000,135058000,135058000,1397942000,123956000,123956000,527746000,389275000,138471000,651702000,2049644000,388275000,202236000,186039000,78575000,78575000,466850000,1442619000,45048000,26901000,18147000,1487667000,1954517000,5718217000,-5623903000,813000,95127000,95127000,2049644000,-79056000,51680000,7506000,-43791000,-63661000,-17265000,-20119895.7627712,12889000,-4376000,218201893.802807,5275000,5275000,5275000,-62762000,-62762000,-62762000,-23979000,1442619000,-83156000,0.38888,-0.17461,-0.18245,-0.83106,-0.03857,1.05186,2.99441,20.5464,0.70384,-0.83661,-0.83661,4.58546,1.00668,-0.87999,-0.04995,-0.05254,-34.0631,-10.79579
"6","2011_Q3",13.81859375,"Down",417894000,-252061000,165833000,-218287000,-94248000,-61768000,-32480000,-99624000,-24415000,-52454000,-5177000,-5177000,-57631000,-3164000,-60795000,-1891000,-62686000,-62686000,-62686000,-62686000,506840000,506840000,391330000,391330000,285696000,139536000,139536000,1323402000,126399000,126399000,504985000,369775000,135210000,681482000,2004884000,369365000,178747000,190618000,99187000,99187000,468552000,1442534000,44093000,24861000,19232000,1486627000,1955179000,5729489000,-5686589000,6805000,49705000,49705000,2004884000,-62686000,34324000,17741000,-41166000,-51787000,-12155000,-49894000,-8348000,-70397000,-1.19209289550781e-07,2250000,2250000,2249999.99999997,-119934000,-119934000,-119934000,-18130000,1442534000,-69560000,0.39683,-0.12552,-0.15,-1.26116,-0.03127,1.10966,2.82445,39.33566,0.71951,-0.65736,-0.65736,4.38228,0.52124,-0.72945,-0.0408,-0.04528,-51.61026,-17.83837
"7","2011_Q4",12.1931746031746,"Down",435313000,-250416000,184897000,-201778000,-90067000,-61895000,-28172000,-93216000,-18495000,-16881000,-12630000,-12630000,-29511000,-504000,-30015000,-1435000,-31450000,-31450000,-31450000,-31450000,486332000,486332000,414826000,414826000,243827000,141401000,141401000,1286386000,126174000,126174000,475646000,349845000,125801000,652047000,1938433000,323369000,140806000,182563000,100988000,100988000,424357000,1442449000,43056000,26302000,16754000,1485505000,1909862000,5744180000,-5718039000,2430000,28571000,28571000,1938433000,-31450000,35328000,23436000,-44351000,-17037000,-11718000,0,3126000,-8592000,0,5658000,5658000,5658000,-19971000,-19971000,-19971000,18447000,1442449000,-36187000,0.42474,-0.03878,-0.07225,-1.10077,-0.01622,1.15062,3.03138,66.84617,0.74413,-0.32654,-0.32655,4.51977,0.29665,-0.37572,-0.02077,-0.0239,51.83049,-56.63865
"8","2012_Q1",15.2209677419355,"Up",455455000,-265545000,189910000,-205617000,-98511000,-71235000,-27276000,-91232000,-15874000,-15707000,-10812000,-10812000,-26519000,6658000,-19861000,-2468000,-22329000,-22329000,-22329000,-22329000,541896000,541896000,417509000,417509000,230076000,143357000,143357000,1332838000,122558000,122558000,445758000,331635000,114123000,618580000,1951418000,354120000,157116000,197004000,99373000,99373000,453493000,1442364000,41688000,24425000,17263000,1484052000,1937545000,5754210000,-5740368000,31000,13873000,13873000,1951418000,-22329000,34749000,20524000,9056000,4.2e+07,-11229000,2000,26022000,14795000,-3.72529029846191e-09,19000,19000.0000000009,19000,56814000,56814000,55876000,19042000,1442364000,19337000,0.41697,-0.03449,-0.04903,-1.60953,-0.01144,-0.866,2.93905,139.66301,0.73914,-0.22961,-0.22961,4.68349,0.14266,0.19884,-0.01491,0.01291,47.28852,-57.32909
"9","2012_Q2",14.434126984127,"Down",416685000,-248929000,167756000,-197210000,-94075000,-64411000,-29664000,-89664000,-13471000,-29454000,-14457000,-14457000,-43911000,-1722000,-45633000,-2020000,-47653000,-47653000,-47653000,-47653000,600700000,550461000,399457000,399457000,248651000,126556000,126556000,1375364000,118105000,118105000,424787000,312220000,112567000,542892000,1918256000,376861000,176747000,200114000,79880000,79880000,456741000,1442279000,40340000,21284000,19056000,1482619000,1939360000,5768768000,-5788021000,-1851000,-21104000,-21104000,1918256000,-47653000,34136000,28403000,-2005000,12881000,-7898000,0,-342000,-8240000,0,5669000,5669000,5669000,10310000,10310000,10310000,4682000,1442279000,-3201000,0.4026,-0.07069,-0.11436,2.25801,-0.02484,0.06717,3.01126,-91.89538,0.75187,-0.48593,-0.48593,4.24903,-0.2152,-0.03264,-0.03261,-0.00219,179.74776,-28.57266
"10","2012_Q3",15.4184126984127,"Up",477617000,-294676000,182941000,-192553000,-89187000,-62517000,-26670000,-90399000,-12967000,-9612000,-14033000,-14033000,-23645000,-1851000,-25496000,-2284000,-27780000,-27780000,-27780000,-27780000,635713000,585547000,397291000,397291000,242724000,133874000,133874000,1409602000,115773000,115773000,403265000,293769000,109496000,519038000,1928640000,378132000,174176000,203956000,107100000,107100000,485232000,1442193000,42284000,22734000,19550000,1484477000,1969709000,5776756000,-5815801000,-2024000,-41069000,-41069000,1928640000,-27780000,32808000,27017000,28430000,60475000,-8252000,0,-16336000,-24588000,-699000,46000.0000000019,45999.9999999991,-653000.000000001,35234000,35234000,35234000,23196000,1442193000,45658000,0.38303,-0.02012,-0.05816,0.67642,-0.0144,-1.64356,2.90501,-47.96097,0.74778,-0.28065,-0.28066,4.82519,-0.41491,0.46127,-0.01925,0.03163,34.76806,-83.90345
