"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",241.895081967213,"Up",-6193000,-2003000,-4190000,-6179000,-1733000,-1733000,-1753000,20000,-7912000,-74298000,-74298000,-74298000,-74298000,-74298000,191602000,191602000,298000,1322000,1322000,193222000,2427000,2572000,195794000,3372000,1209000,2163000,264000,3636000,4158000,309636000,-5056000,-112944000,0,191636000,191636000,195794000,-74298000,182000,-549000,24515000,-50150000,-403000,-403000,28093000,180221000,129668000,129668000,129668000,-5997000,0,-0.3877,-0.37947,53.14136,0.0217,0,-189.11479,-189.11479,487.78166,-0.38584,31.94964,31.00858
"2","2015_Q2",245.157142857143,"Up",-7915000,-2197000,-5718000,-7808000,50000,49999.9999999998,-2.3283064365387e-10,50000,-7758000,-7758000,-7758000,-7758000,-7758000,-7757999.99999999,183638000,183638000,94000,1279000,1279000,185011000,3164000,3261000,188272000,2194000,1115000,1079000,454000,2648000,2911000,311119000,-5056000,-120962135.446399,-120702000,185361000,185361000,188272000,-7757999.99999999,196000,1472000,-935000,-7025000,-933000,-933000,-8000,-6000.0000000298,-7964000,-7964000,-7964000,-7612000,0,-0.0418499999999999,-0.04121,69.8682,0.0157,0,-2.95437000000001,-2.95437000000001,70.5884599999999,-0.04179,24.1248,23.51921
"3","2015_Q3",183.55,"Down",-10789000,-2777000,-8012000,-10705000,171000,171000,0,171000,-10534000,-10534000,-10534000,-10534000,-10534000,-10534000,119295000,101646000,462000,2182000,2182000,121939000,4798000,58298000,180237000,2568000,814000,1754000,406000,2974000,3228000,313505000,-5056000,-131236000,-204000,177009000,177009000,180237000,-10534000,179000,2311000,-1082000,-9126000,-1813000,-73105000,159000,239000,-81992000,-81992000,-81992000,-10526000,0,-0.05951,-0.05845,41.00168,0.01824,0,-4.01011,-4.01011,67.38423,-0.05943,11.33337,11.14386
"4","2015_Q4",178.89375,"Down",-13674000,-3882000,-9792000,-13617000,209000,211000,0,211000,-13408000,-13406000,-13406000,-13406000,-13406000,-13406000,113231000,92487000,388000,1702000,1702000,115321000,6323000,56787000,172108000,4849000,1534000,3315000,170000,5019000,6003000,316008000,-5056000,-144643000,-204000.000000015,166105000,166105000,172108000,-13408000,394000,2494000,3081000,-7439000,-1851000,-1916000,278000,196000.000000002,-9159000,-9159000,-9158999.99999999,-13223000,0,-0.08071,-0.07789,22.97689,0.03614,8.67361737988404e-19,-5.08256,-5.08256,62.97472,-0.08023,8.56319,8.31541
"5","2016_Q1",108.873770491803,"Down",-17039000,-3816000,-10039000,-17005000,199000,197000,-12000,209000,-16806000,-16850000,-16850000,-16850000,-16850000,-16850000,94061000,70241000,440000,2389000,2389000,96890000,6882000,63516000,160406000,7186000,2106000,5080000,246000,7445000,8389000,318867000,-5056000,-161492000,-302000,152017000,152017000,160406000,-16848000,430000,2686000,1596000,-12136000,-824000,-10499000,-93000,389000,-22246000,-22246000,-22246000,-16575000,131000,-0.11084,-0.10505,13.0141,0.05518,0.00082,-6.36282,-6.36282,57.404,-0.11015,5.66697,5.52367
"6","2016_Q2",111.30234375,"Up",-15272000,-4284000,-10858000,-15180000,105000,105000,-122000,227000,-15075000,-15075000,-15075000,-15075000,-15075000,-15075000,108272000,61790000,361000,2268000,2268000,110901000,8731000,52613000,163514000,7143000,1774000,5369000,246000,7404000,23148000,322045000,-5056000,-176567000,-55999.9999999991,140366000,140366000,163514000,-15075000,463000,3234000,141000,-11237000,-2293000,-12125000,14997000,14911000,-8451000,-8451000,-8451000,-14717000,14976000,-0.1074,-0.09219,14.97853,0.16491,0.09159,-5.60773,-5.60773,52.21459,-0.09656,6.33934,6.14598
"7","2016_Q3",172.209375,"Up",-16360000,-4179000,-12031000,-16259000,-250000,-250000,-486000,236000,-16509000,-16509000,-16509000,-16509000,-16509000,-16509000,105574000,49549000,382000,2223000,2223000,108179000,10512000,41751000,149930000,6347000,980000,5367000,246000,6611000,22443000,325523000,-5056000,-193076000,96000,127487000,127487000,149930000,-16509000,488000,3374000,-666000,-13313000,-2274000,716000,184000,356000,-12241000,-12241000,-12241000,-15771000,15109000,-0.1295,-0.11011,16.36349,0.17604,0.10077,-6.13483,-6.13483,47.37483,-0.11518,5.73616,5.564
"8","2016_Q4",177.530952380952,"Up",-17542000,-4252000,-13290000,-17428000,-291000,-291000,-515000,224000,-17719000,-17719000,-17719000,-17719000,-17719000,-17719000,105307000,48694000,305000,1975000,1975000,107587000,11064000,35117000,142704000,8414000,1618000,6796000,246000,8679000,29617000,328860000,-5056000,-210795000,78000,113087000,113087000,142704000,-17719000,668000,3279000,2370000,-11402000,-1220000,5273000,4997000,5274000.00000001,-854999.999999998,-854999.999999998,-855000.000000002,-16760000,20231000,-0.15668,-0.12417,12.39624,0.2619,0.14177,-6.57071,-6.57071,41.9359,-0.13219,5.07613,4.88157
"9","2017_Q1",130.990322580645,"Down",-19594000,-4210000,-15084000,-19513000,-415000,-415000,-637000,222000,-19928000,-19938000,-19938000,-19938000,-19938000,-19938000,103772000,33140000,334000,1504000,1504000,105610000,16504000,26427000,132037000,12986000,3623000,9363000,319000,15113000,35463000,332346000,-5056000,-230733000,17000,96574000,96574000,132037000,-19938000,687000,3302000,1460000,-14489000,-1433000,8188000,176000,387000,-5914000,-5914000,-5914000,-18826000,20385000,-0.20645,-0.151,6.98802,0.36721,0.15439,-7.37238,-7.37238,35.70971,-0.16792,4.42935,4.27341
"10","2017_Q2",124.124603174603,"Down",-21577000,-5927000,-15295000,-21449000,-524000,-524000,-721000,197000,-21973000,-21973000,-21973000,-21973000,-21973000,-21973000,147564000,96640000,284000,2449000,2449000,150297000,21031000,38462000,188759000,13096000,2527000,10569000,364000,13483000,45635000,400876000,-5056000,-252706000,10000,143124000,143124000,188759000,-21973000,782000,3566000,-4827000,-22452000,-1593000,8345000,74828000,75338000,61231000,61231000,61231000,-20667000,30470000,-0.15352,-0.11641,11.14715,0.31885,0.16142,-8.04994,-8.04994,52.43436,-0.12535,5.66575,5.45918
