"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",31.9077777777778,"Up",1559418000,-1082789000,476629000,-236308000,-137277000,-57468000,240321000,-41407000,-44583000,2345000,831000,198914000,198914000,-73914000,1.25e+08,1.25e+08,-15577000,109423000,109423000,778816000,755909000,22907000,1103786000,1103786000,68038000,510611000,251088000,259523000,2461251000,1093850000,7584000,4129033000,129285000,3942386000,33397000,5230467000,7691718000,536116000,177764000,299709000,98844000,98844000,412515000,412515000,1047475000,3509713000,465409000,346460000,118949000,3975122000,5022597000,618026000,2421557000,-3320000,2261148000,407973000,2669121000,7691718000,1.25e+08,57468000,11388000,10233000,-3311000,4466000,67991000,594000,1818000,1800000,63779000,261847000,-42935000,-42935000,-42585000,3827000,16870000,-13043000,15195000,16264000,-1069000,350000,-23563000,-25041000,-25041000,-4902041000,4.877e+09,21073000,-17866000,-21834000,216450000,216450000,216450000,297789000,3608557000,396759000,0.30565,0.15411,0.07017,0.041,0.01423,3.62592,2.3497,1.88174,0.46915,0.5293,0.52223,7.54327,10.9377,1.91922,-31.5851714573646,0.01623,0.05884,9.5025,11.77484
"2","2010_Q3",31.545625,"Down",1586907000,-1110552000,476355000,-236824000,-136104000,-58353000,239531000,-40082000,-43655000,2834000,739000,199449000,195322000,-71429000,123893000,123893000,-16040000,107853000,107853000,597642000,574716000,22926000,1070633000,1070633000,69386000,527489000,256653000,270836000,2265150000,1106028000,7190000,4199313000,126988000,4013711000,33202000,5312531000,7577681000,592829000,238219000,348640000,96590000,96590000,429399000,429399000,1118818000,3287523000,467171000,349617000,117554000,3754694000,4873512000,638508000,2529410000,-1461000,2301271000,402898000,2704169000,7577681000,123893000,58353000,15994000,12166000,-7385999.99999999,11214000,97679000,33130000,187000,60455000,3907000,295919000,-56766000,-56766000,-56766000,-259000,3279000,-3538000,-89215000,1417000,-90632000,1.16415321826935e-10,-146240000,-223613000,-223613000,-5036271000,4812658000,-87008000,-20251000,-330872000,-181193000,-181193000,-181193000,297884000,3384113000,410226000,0.30018,0.15094,0.06796,0.03988,0.01423,3.80357,2.02459,1.80222,0.44659,0.52356,0.51631,7.70344,11.17123,1.99139,-11.5120914439278,0.01645,0.06258,9.35422,11.63303
"3","2010_Q4",35.7390625,"Up",1644801000,-1140758000,504043000,-249561000,-148041000,-57999000,254482000,-36943000,-39490000,1789000,758000,217539000,217539000,-74846000,142693000,142881000,-23494000,119387000,119387000,557510000,534565000,22945000,1082676000,1082676000,68950000,552869000,264626000,288243000,2262005000,1121604000,8049000,4235447000,124217000,4053123000,32428000,5365100000,7627105000,678311000,321179000,357132000,96252000,96252000,337221000,337221000,1111784000,3266190000,504286000,387717000,116569000,3770476000,4882260000,631197000,2648797000,119000,2321433000,423412000,2744845000,7627105000,142881000,58486000,88014000,11093000,72196000,4725000,-128015000,-12044000,1036000,33095000,-150102000,161366000,-70111000,-70111000,-70025000,-247000,7667000,-7914000,-45152000,790000,-45942000,0,-115510000,-21581000,-21581000,-5068442000,5046861000,-43318000,-21108000,-86007000,-40151000,-40151000,-40151000,312968000,3362442000,189688000,0.30645,0.15472,0.07258,0.04349,0.01565,1.58885,2.03457,1.7787,0.44085,0.5818,0.57389,8.01543,11.31278,0.92439,-0.0670342914729165,0.01806,0.02869,8.96236,11.02212
"4","2011_Q1",38.5404838709677,"Up",1428484000,-1093763000,334721000,-84246000,-150403000,-57728000,250475000,-50757000,-53879000,2031000,1091000,199718000,129463000,-38685000,90778000,92445000,-23425000,69020000,69020000,883120000,860117000,23003000,1048976000,1048976000,76008000,614750000,266390000,348360000,2622854000,1170808000,8848000,4311914000,162635000,4091307000,32054000,5491570000,8114424000,506510000,181033000,325477000,74892000,74892000,342943000,342943000,924345000,4233850000,536043000,421436000,114607000,4769893000,5694238000,620681000,2717817000,503000,1978422000,441764000,2420186000,8114424000,92445000,60071000,106646000,12059000,13900000,80687000,-138611000,33699000,-6933000,-91122000,-74255000,120551000,-104499000,-104499000,-104226000,-229000,33016000,-33245000,-46603000,4256000,-50859000,11000,-151320000,944991000,944991000,-9127748000,10072739000,-455483000,-133187000,356321000,325552000,325552000,325552000,310546000,4308742000,106121000,0.23432,0.17534,0.04832,0.02852,0.00851,1.53754,2.83753,2.35281,0.531,0.35559,0.34855,7.35949,10.19275,0.54673,5,0.0095,0.01461,11.03096,13.6765
"5","2011_Q2",42.7303174603175,"Up",1562313000,-1114086000,448227000,-214412000,-151602000,-61838000,233815000,-56235000,-58595000,1519000,841000,177580000,177580000,-62959000,114621000,114752000,-20250000,94502000,94502000,1029016000,1006010000,23006000,1069437000,1069437000,69641000,558822000,235415000,323407000,2726916000,1183744000,8434000,4403847000,156614000,4182076000,40659000,5596025000,8322941000,580332000,227401000,352931000,74551000,74551000,352490000,352490000,1007373000,4218201000,554478000,443878000,110600000,4772679000,5780052000,618497000,2812319000,-1677000,2074395000,468494000,2542889000,8322941000,114752000,62037000,41535000,9716000,18221000,13598000,111459000,-20461000,7429000,26565000,97926000,329783000,-67530000,-67530000,-67530000,853000,16312000,-15459000,-78711000,2812000,-81523000,258844.871852851,-145388000,-17510000,-17510000,-11000635000,10983125000,3410000,-24402000,-38502000,145893000,145893000,145893000,295852000,4292752000,402740000,0.2869,0.14966,0.06049,0.03716,0.01135,4.26171,2.70696,2.27303,0.51577,0.49085,0.4803,8.11475,10.77453,2.09186,5.93901143049097,0.01279,0.0545,11.03165,13.95863
"6","2011_Q3",38.3796875,"Down",1661233000,-1163136000,498097000,-229890000,-163793000,-64245000,268207000,-56924000,-59897000,2417000,556000,211283000,187283000,-66871000,120412000,120665000,-20650000,100015000,100015000,752839000,729825000,23014000,1132051000,1132051000,68629000,559845000,235278000,324567000,2513364000,1223662000,10083000,4445612000,152856000,4227386000,35264000,5679357000,8192721000,643094000,254129000,388965000,75226000,75226000,317291000,317291000,1035611000,4210823000,583657000,456361000,127296000,4794480000,5830091000,614439000,2912334000,-11787000,1880859000,481771000,2362630000,8192721000,120665000,64470000,55818000,13342000,6004000,36472000,-36543000,-62614000,1940000,14871000,9260000,204410000,-92404000,-92404000,-87399000,-1573000,4520000,-6093000,-69531000,142000.000000002,-69673000,340000,-163168000,-14272000,-14272000,-8200727000,8186455000,-286593000,-16562000,-317427000,-276185000,-276185000,-276185000,332677000,4286049000,270601000,0.29984,0.16145,0.06021,0.04233,0.01221,2.7056,2.42694,2.46763,0.52315,0.52374,0.51211,8.69927,9.84938,1.41704,5,0.01383,0.03742,10.62054,13.17344
"7","2011_Q4",35.6122222222222,"Down",1757830000,-1189638000,568192000,-252099000,-182638000,-67558000,316093000,-57431000,-60848000,2619000,798000,258662000,258662000,-94204000,164458000,161846000,-26485000,135361000,135361000,565867000,541206000,24661000,1165010000,1165010000,73293000,565997000,256325000,309672000,2370167000,1335789000,8857000,4991855000,159789000,4769965000,31761000,6336501000,8706668000,760247000,259459000,461988000,82497000,82497000,363176000,363176000,1205920000,4417468000,549985000,393540000,156445000,4967453000,6173373000,611968000,3047695000,-20856000,1999253000,534042000,2533295000,8706668000,161846000,67821000,33508000,13334000,14152000,6022000,232019000,21592000,2398000,15216000,192813000,495194000,-96950000,-96950000,-96950000,-242000,10064000,-10306000,-727259000,48669000,-775928000,0,-824451000,187320000,187320000,-8149151000,8336471000,-30279000,-16403000,140638000,-188619000,-188619000,-188619000,383914000,4499965000,613187000,0.32323,0.17982,0.077,0.05343,0.01555,4.53001,1.96544,2.43689,0.51684,0.72451,0.71134,9.40871,10.70091,3.28206,5,0.01785,0.08086,10.24734,12.44601
"8","2012_Q1",42.053064516129,"Up",1750430000,-1166760000,583670000,-255848000,-186682000,-70584000,327822000,-58742000,-61750000,2221000,787000,269080000,293080000,-101258000,191822000,176132000,-28009000,148123000,148123000,411151000,393752000,17399000,1195163000,1195163000,75731000,611199000,280382000,330817000,2293244000,1432651000,9890000,5168023000,159491000,4946976000,34231000,6610564000,8903808000,748800000,289653000,421735000,87345000,87345000,328607000,328607000,1164752000,4417624000,575091000,423098000,151993000,4992715000,6157467000,596435000,3195818000,-19484000,2141075000,605266000,2746341000,8903808000,176132000,72987000,33343000,12326000,15061000,5956000,-131803000,-27365000,-1497000,27748000,-130689000,150659000,-145670000,-145670000,-148277000,6207000,17948000,-11741000,-126758000,23560000,-150318000,-2.91038304567337e-11,-266221000,-27878000,-27878000,-8916932000,8889054000,1429999.99999997,-5443999.99999999,-31892000,-147454000,-147454000,-147454000,400809000,4504969000,224594000,0.33344,0.18728,0.08462,0.05393,0.01664,1.51627,1.96887,2.24206,0.50596,0.79234,0.77996,9.36338,11.45302,1.2014,8,0.01893,0.0287,10.21389,12.48793
"9","2012_Q2",43.2614285714286,"Up",1849533000,-1249395000,600138000,-281888000,-205401000,-75381000,318250000,-57710000,-61381000,2632000,1039000,260540000,260540000,-95556000,164984000,164883000,-24763000,140120000,140120000,457906000,449290000,8616000,1266869000,1266869000,72285000,577340000,313355000,263985000,2374400000,1490572000,9897000,5282215000,160617000,5064577000,30065000,6782684000,9157084000,805373000,269029000,455825000,89646000,89646000,347096000,347096000,1242115000,4401865000,606683000,448372000,158311000,5008548000,6250663000,575499000,3335938000,-18773000,2274530000,631891000,2906421000,9157084000,164883000,75975000,11612000,12550000,-13335000,12397000,79404000,-71706000,4851000,-20624000,166883000,331874000,-112459000,-112459000,-112459000,10641000,14342000,-3701000,-131874000,825000,-132699000,2000,-233690000,-23398000,-23398000,-8658001000,8634603000,1663000,-20922000,-42657000,55527000,55527000,55538000,394225000,4491511000,456726000,0.32448,0.17207,0.07576,0.04821,0.0153,3.25953,1.91158,2.15064,0.4905,0.74715,0.73186,9.86217,12.12836,2.43538,8,0.0175,0.05706,10.23173,12.67433
"10","2012_Q3",49.0868253968254,"Up",1913006000,-1299322000,613684000,-291041000,-212793000,-77210000,322643000,-57251000,-60709000,2618000,840000,265392000,187392000,-67740000,119652000,120004000,-24667000,95337000,95337000,282074000,273445000,8629000,1249995000,1249995000,77684000,568998000,311862000,257136000,2178751000,1586460000,12143000,5477579000,162322000,5258056000,29623000,7076182000,9254933000,735278000,299005000,436273000,105562000,105562000,395024000,395024000,1235864000,4392908000,595466000,431196000,164270000,4988374000,6224238000,564930000,3431275000,-19382000,2378592000,652103000,3030695000,9254933000,120004000,77807000,12707000,11794000,-12196000,13109000,-8412999.99999994,18412000,-3138000,28802000,-52489000,202105000,-138049000,-138049000,-138049000,-2595000,2031000,-4626000,-212877000,1198000,-214075000,0,-353521000,-13701000,-13701000,-8596502000,8582801000,3182000,-13791000,-24310000.0000001,-175726000,-175726000,-175845000,400450000,4498470000,321728000,0.3208,0.16866,0.04984,0.03146,0.0103,3.37464,1.76294,2.05373,0.48606,0.50619,0.49654,10.15703,12.62904,1.7082,7,0.01173,0.0396,10.52914,13.0683
