"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",14.4403174603175,"Down",123288000,-90385000,32903000,-39672000,-28054000,-28054000,-2829000,-8789000,-6769000,3291000,-708000,3999000,-3478000,-21661000,7365000,-14273000,-14273000,-14273000,-14273000,1376201834.24167,1495683233.59919,-119481399.357522,245521763.701734,245521763.701734,-42218459.5014469,-51361485.6311605,-104385629.154532,1579505138.44195,-92559130.5126024,668789814.764286,536987704.55612,26785637.3977874,396409170.246693,90650880.2271601,23142016.6844789,1113218388.8078,2692723527.24976,446835761.90824,37211538.939554,70517776.4393111,339106446.529375,1370924115.29275,1370924115.29275,1817759877.20071,46481604.6109148,170402784.014376,-123921179.402777,46481604.6097069,1864241481.81041,415492632.998998,106449259.492075,306540152.948266,828482045.439339,828482045.439344,2692723527.24976,-14273000,2829000,8998000,-63928000,-66374000,-1185000,1083000,-268000,-10621000,1868000,3619000,3619000,-1450000,4037000,-72958000,-72958000,5527000,-67431000,-3940000,0,-76418000,0.26688,-0.0549,-0.11577,0.073716552069227,0.0231467284472084,5.35403,-10.5753350443449,3.31873594253925,-7.99100830574867e-13,-0.32605,-0.32605,2.81634,15.0988163000617,-1.74566,0.0567189577746794,7.45138050743672,-100.798094701221,-131.564797587071
"2","2010_Q3",13.30859375,"Down",146556000,-102076000,44480000,-39488000,-27164000,-27164000,-2860000,-9464000,4992000,1180000,-567000,1747000,6172000,3398000,-879000,2745000,2745000,2745000,2745000,784775417.120833,840836616.799594,-56061199.678761,144909881.850867,144909881.850867,3825770.24927656,-12645242.8155802,-43201814.5772661,933511069.220977,-33194065.2563012,327598407.382143,431426352.27806,26347318.6988937,269469085.123347,80467440.11358,55142508.3422395,725830694.403902,1659341763.62488,232782380.95412,22638769.469777,34828888.2196555,175314723.264688,699987057.646377,699987057.646377,932769438.600353,88943802.3054574,140151392.007188,-51207589.7013886,88943802.3048535,1021713240.90521,405482316.499499,90149629.7460377,141996576.474133,637628522.71967,637628522.719672,1659341763.62488,2745000,2860000,303000,-8324000,-2415999.99999999,-1538000,2007000,-3495000,-2759000,-11000.0000000009,372000.000000001,372000,-1675000,-1314000,-6489000,-6489000,1858000,-4630999.99999999,7852000,0,-1131000,0.3035,0.03406,0.01873,0.0387432760346135,0.0136733642236042,-0.412019999999999,-3.67979752217246,1.87222297126963,-3.99550415287433e-13,0.06173,0.06173,3.29562,12.7413481500308,-0.0254300000000001,0.0302444788873397,3.38579525371836,-56.7081873506103,-73.3074987935353
"3","2010_Q4",17.28921875,"Up",152900000,-102654000,50246000,-44227000,-31635000,-31635000,-2755000,-9837000,6019000,893000,-443000,1336000,6912000,7276000,244000,7910000,7910000,7910000,7910000,416225472.373611,433096538.933198,-16871066.559587,105838293.950289,105838293.950289,33634923.4164255,10976919.0614733,-8712938.19242203,555698689.740326,4232978.24789961,143461802.460714,372225784.092687,25904772.8996312,199962361.707782,69475480.03786,76883169.4474132,519920564.8013,1075619254.54163,114879126.984707,14530256.4899257,14798629.4065518,85550241.0882292,310059352.548792,310059352.548792,424938479.533451,118329934.101819,126268130.669063,-7938196.56712954,118329934.101618,543268413.635069,396027772.1665,85650876.5820126,50672192.1580443,532350840.906557,532350840.906557,1075619254.54163,7910000,2755000,-9398000,-3239000,-1972000,-1654000,4317000,-1011000,-6600000,1742000,1969000,1969000,-1489000,2222000,-6350000,-6350000,-777000,-7127000,8774000,0,3637000,0.32862,0.03937,0.05173,0.0219610920115378,0.0101711214078681,0.4598,0.223924159275848,1.04713765708988,-1.33183471762478e-13,0.17726,0.17726,3.42641,11.4506460500103,0.0815,0.0173314929624466,1.08493841790612,-28.6999024502034,-36.4310429311784
"4","2011_Q1",20.526935483871,"Up",176905000,-118225000,58680000,-44971000,-28427000,-28427000,-3049000,-13495000,13709000,2080000,-904000,2984000,15789000,15709000,-6245000,8916000,8916000,8916000,8916000,223347000,219233000,4114000,107215000,107215000,50302000,23166000,6292000,380864000,24963000,73105000,348166000,25425000,172273000,59742000,90726000,446234000,827098000,66533000,11148000,6323000,49062000,131550000,131550000,198083000,137144000,123794000,13350000,137144000,335227000,388717000,90220000,12934000,491871000,491871000,827098000,8916000,3049000,-4106000,32057000,39916000,-2905000,1804000,540000,-3464000,-1418000,566000,566000,4003000,3151000,39603000,39603000,3819000,43422000,16758000,0,52155000,0.3317,0.07749,0.0504,0.01813,0.01078,5.8496,1.92275,0.68153,0,0.1991,0.18212,3.95036,10.98368,1.16464,0.01417,0.08292,-13.32778,-16.292
"5","2011_Q2",19.0536507936508,"Down",183162000,-120208000,62954000,-43682000,-28615000,-28615000,-2968000,-12099000,19272000,-2309000,-808000,-1501000,16963000,16963000,-6521000,10904000,10904000,10904000,10904000,158935000,146016000,12919000,127948000,127948000,56920000,27583000,9024000,343803000,34237000,73253000,348027000,24875000,170785000,53334000,99033000,455517000,799320000,61151000,10754000,5298000,45099000,94868000,94868000,156019000,147890000,127770000,20120000,147890000,303909000,385138000,101124000,9149000,495411000,495411000,799320000,10904000,2968000,17829000,-72497000,-40796000,-11684000,-10401000,-98000,-22858000,-7794000,1493000,1493000,-815000,-7116000,-70770000,-70770000,-2447000,-73217000,22240000,0,-55420000,0.34371,0.10522,0.05953,0.02201,0.01364,-5.08254,2.2036,0.61345,0,0.24425,0.23831,4.10291,11.09742,-1.24143,0.01695,-0.08615,-7.14636,-8.24694
"6","2011_Q3",15.90890625,"Down",193204000,-127555000,65649000,-43744000,-27363000,-27363000,-3144000,-13237000,21905000,1657000,-1258000,2915000,23562000,21432000,-8288000,13656000,13656000,13656000,13656000,167307000,151118000,16189000,145043000,145043000,57791000,27940000,8476000,370141000,37470000,97410000,359258000,24310000,177562000,53526000,103860000,494138000,864279000,70557000,11308000,8487000,50762000,121894000,121894000,192451000,152190000,131009000,21181000,152190000,344641000,387909000,114780000,16949000,519638000,519638000,864279000,13656000,3144000,540999.999999996,15764000,33105000,-5579000,-24106000,326000,-28684000,-2124000,512000,512000,-1406000,-3018000,1403000,1403000,3699000,5102000,25049000,1.35525271560688e-20,43522000,0.33979,0.11338,0.07068,0.02628,0.0158,3.18702,1.9233,0.66323,0,0.30259,0.29452,4.28105,11.51425,0.96437,0.02033,0.06478,-6.67919,-7.63785
"7","2011_Q4",14.4784126984127,"Down",194109000,-126088000,68021000,-47529000,-31534000,-31534000,-3239000,-12756000,20492000,1547000,-401000,1948000,22039000,22039000,-8598000,13975000,13975000,13975000,13975000,201258000,181309000,19949000,137408000,137408000,56008000,27898000,11859000,394674000,39903000,102301000,370639000,23697000,176988000,62385000,107569000,512843000,907517000,68158000,11072000,11786000,45300000,143037000,143037000,211195000,152548000,128552000,23996000,152548000,363743000,398618000,128455000,16701000,543774000,543774000,907517000,13975000,3239000,-4287000,21406000,34333000,-5121000,-6386000,-30000,-11537000,1108000,6010000,6010000,96000,6914000,29710000,29710000,481000,30191000,23731000,0,48614000,0.35043,0.10557,0.072,0.0257,0.0154,3.47864,1.86877,0.66892,0,0.30817,0.3041,4.28043,11.99114,1.07202,0.0205,0.06982,-8.48081,-9.8213
"8","2012_Q1",15.3753225806452,"Up",205776000,-133554000,72222000,-45976000,-28982000,-28982000,-3320000,-13674000,26246000,3024000,-68000,3092000,29270000,29270000,-9285000,20339000,20339000,20339000,20339000,267724000,246856000,20868000,128859000,128859000,45014000,29662000,5138000,441597000,43142000,101363000,385578000,22289000,183952000,64418000,114919000,530083000,971680000,60769000,12504000,4674000,43591000,173097000,173097000,233866000,158957000,139558000,19399000,158957000,392823000,404703000,148494000,25660000,578857000,578857000,971680000,20339000,3320000,7800000,37533000,68992000,-5505000,3547000,-10299000,-18052000,3988000,2069000,2069000,3412000,9169000,60109000,60109000,5438000,65547000,29566000,-4.33680868994202e-19,70879000,0.35097,0.12755,0.09884,0.03514,0.02093,3.48488,1.88825,0.67862,0,0.44505,0.43236,4.50276,12.66646,1.55096,0.02797,0.09607,-9.05513,-10.20056
"9","2012_Q2",13.3193650793651,"Down",214590000,-137371000,77219000,-51277000,-34773000,-34773000,-3369000,-13135000,25942000,-2603000,-581000,-2022000,23339000,23339000,-8435000,15411000,15411000,15411000,15411000,178169000,156937000,21232000,152250000,152250000,48230000,32359000,4747000,378649000,46010000,103043000,385066000,21728000,182095000,62134000,119109000,534119000,912768000,65093000,13435000,4369000,47289000,92995000,92995000,158088000,157283000,137643000,19640000,157283000,315371000,408606000,163905000,24886000,597397000,597397000,912768000,15411000,3369000,5552000,-107315000,-82983000,-5207000,-3649000,-277000,-9133000,-3655000,3109000,3109000,1650000,1104000,-91012000,-91012000,1093000,-89919000,29311000,0,-74776000,0.35984,0.12089,0.07182,0.0258,0.01688,-4.85212,2.39518,0.52791,-4.03896783473158e-28,0.33525,0.32582,4.66815,12.99565,-1.62666,0.02042,-0.09908,-6.07857,-6.86797
"10","2012_Q3",13.2553968253968,"Down",209988000,-131481000,78507000,-53100000,-34189000,-34189000,-3475000,-15436000,25407000,-3006000,-389000,-2617000,22401000,22401000,-7726000,15147000,15147000,15147000,15147000,218073000,192169000,25904000,144502000,144502000,48127000,31579000,5900000,410702000,46392000,100037000,379496000,21166000,179813000,62453000,116064000,525925000,936627000,63716000,11792000,6744000,45180000,107917000,107917000,171633000,155347000,135884000,19463000,155347000,326980000,412018000,179052000,18577000,609647000,609647000,936627000,15147000,3475000,4206000,24935000,47763000.0000001,-3431000,-4347000,-18000,-7796000,-80999.9999999991,22000,22000,-833000,-892000.000000001,39075000,39075000,-3843000,35232000,28882000,0,58112000,0.37386,0.12099,0.07213,0.02485,0.01617,3.83654,2.39291,0.53634,0,0.32575,0.32226,4.51597,13.11097,1.24975,0.0198,0.07596,-7.55048,-8.58319
