"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q1",19.6333870967742,"Up",2344000,-27654000,-12082000,-15572000,-25310000,42808000,78653000,17498000,17498000,-4e+05,17098000,17098000,17099000,17099000,315520000,315520000,3157000,3157000,1511000,1511000,320188000,21027000,3747000,399000,3348000,24774000,344962000,20912000,4569000,16343000,1086000,1086000,21998000,90118000,90118000,90118000,112116000,289955000,-57083000,-26000,232846000,232846000,344962000,17098000,412000,-38902000,1976000,-19416000,-228000,14772000,54079000,54079000,91766000,87122000,87122000,-215000,86907000,-24898000,0,-22750000,-10.79778,7.2948,0.07343,0.04957,-1.33049,14.55532,0.4815,0,0.52194,0.52194,0.07155,7.10749,-0.69443,0.05294,-0.07044,12.6725,12.46622
"2","2017_Q2",16.5190476190476,"Down",2703000,-23447000,-8642000,-14805000,-20744000,-452000.000000007,-6000.0000000149,-21196000,-21196000,-279000,-21475000,-21475000,-21475000,-21475000,288872000,288872000,5672000,5672000,1918000,1918000,296462000,22165000,3719000,385000,3334000,25884000,322346000,15826000,3937000,11889000,1089000,1089000,16915000,90256000,90256000,90256000,107171000,293735000,-78558000,-2000,215175000,215175000,322346000,-21475000,720000,3747000.00000001,-6403000,-23411000,-3285000,-3285000,20000,20000,20000.0000000149,-26676000,-26676000,29000,-26647000,-20024000,0,-29433000,-7.67444,-7.94488,-0.0998,-0.06662,1.37057,17.52657,0.49806,0,-0.54058,-0.54058,0.06804,5.41649,-0.7409,-0.07031,-0.09637,14.42629,13.92557
"3","2017_Q3",18.1326984126984,"Up",3582000,-24888000,-7768000,-17120000,-21306000,-666000,-161000,-21972000,-21972000,-343000,-22315000,-22315000,-22315000,-22315000,272264000,272264000,6814000,6814000,2207000,2207000,281285000,19927000,3763000,372000,3391000,23690000,304975000,14719000,2559000,12160000,1095000,1095000,15814000,91358000,91358000,91358000,107172000,298672000,-100873000,4000,197803000,197803000,304975000,-22315000,706000,4221000,1416000,-15972000,-1330000,-1330000,695000,695000,695000,-16607000,-16607000,2000,-16605000,-20600000,0,-20171000,-5.94807,-6.22976,-0.11281,-0.07317,0.90392,17.78709,0.54181,0,-0.55933,-0.55933,0.08978,4.95797,-0.50559,-0.07717,-0.06976,13.2167,12.77875
"4","2017_Q4",19.0011111111111,"Up",2387000,-25957000,-8112000,-17845000,-23570000,-430000,-71000,-2.4e+07,-2.4e+07,-708000,-24708000,-24708000,-24708000,-24708000,253519000,253519000,3211000,3211000,1856000,1856000,258586000,19564000,4169000,358000,3811000,23733000,282319000,11028000,2116000,8912000,1089000,1089000,12117000,91244000,91244000,91244000,103361000,304526000,-125580000,12000,178958000,178958000,282319000,-24708000,792000,5227000,2821000,-15868000,-2994000,-3494000,609000,609000,609000,-18753000,-18753000,8000,-18745000,-22778000,0,-22243000,-9.87432,-10.35107,-0.13807,-0.08752,0.900230000000001,21.34076,0.57757,0,-0.61633,-0.61633,0.05954,4.46405,-0.55484,-0.09144,-0.08232,11.12999,10.756
"5","2018_Q1",41.2731147540984,"Up",32325000,-31353000,-11323000,-20030000,972000,-412000,41000,560000,560000,-419000,141000,141000,141000,141000,239758000,239758000,2626000,2626000,6001000,6001000,248385000,18857000,4104000,344000,3760000,22961000,271346000,13347000,1639000,11708000,1164000,1164000,14511000,69003000,69003000,69003000,83514000,313258000,-125440000,14000,187832000,187832000,271346000,141000,806000,7428000,-23221000,-14846000,-205000,-205000,1284000,1284000,1284000,-13767000,-13767000,2000,-13765000,1778000,0,-21229000,0.03007,0.00436,0.00075,0.00052,-150.56028,17.11701,0.44462,0,0.00348,0.00348,0.79778,4.63567,-0.52393,0.00055,-0.08266,-134.84702,-246.66461
"6","2018_Q2",56.9684375,"Up",1358000,-28355000,-8836000,-19519000,-26997000,-1217000,-126000,-28214000,-28214000,-86000,-28300000,-28300000,-28300000,-28300000,341767000,341767000,1260000,1260000,8451000,8451000,351478000,18907000,4067000,331000,3736000,22974000,374452000,13206000,2546000,10660000,1189000,1189000,14395000,69722000,69722000,69722000,84117000,445197000,-154888000,26000,290335000,290335000,374452000,-28300000,826000,6673000,-1887000,-22688000,-555000,-555000,125251000,125251000,125251000,102008000,102008000,12000,102020000,-26171000,0,-28527000,-19.87997,-20.83947,-0.09747,-0.07558,1.00801999999996,24.41667,0.28972,0,-0.61686,-0.61686,0.0296000000000002,6.32849,-0.62181,-0.0786,-0.07923,13.059,12.65944
"7","2018_Q3",52.3704761904762,"Down",1088000,-38374000,-12741000,-25633000,-37286000,-998000,155000,-38284000,-38284000,-96000,-38380000,-38380000,-38380000,-38380000,319737000,319737000,944000,944000,9868000,9868000,330549000,18395000,4186000,317000,3869000,22581000,353130000,17228000,4479000,12749000,1253000,1253000,18481000,69495000,69495000,69495000,87976000,458467000,-193268000,5000,265154000,265154000,353130000,-38380000,865000,9308000,2992000,-25215000,-523000,-523000,3729000,3779000,3729000,-22009000,-22009000,-21000,-22030000,-36421000,0,-33856000,-34.27022,-35.27574,-0.14475,-0.10869,0.88213,17.88588,0.33179,0,-0.81934,-0.81934,0.02323,5.66057,-0.72277,-0.11469,-0.10117,8.77892,8.57526
"8","2018_Q4",34.764126984127,"Down",563000,-49995000,-10175000,-39820000,-49432000,-1142000,-130000,-50574000,-50574000,-137000,-50711000,-50711000,-50711000,-50711000,487295000,487295000,552000,552000,8841000,8841000,496688000,18097000,4118000,303000,3815000,22215000,518903000,31080000,5221000,25859000,1198000,1198000,32278000,69311000,69311000,69311000,101589000,661351000,-243979000,-1000,417314000,417314000,518903000,-50711000,883000,24175000,5689000,-19964000,-695000,-695000,188223000,188230000,188223000,167564000,167564000,-6000,167558000,-48549000,0,-43418000,-87.80107,-90.07282,-0.12152,-0.09773,0.856190000000001,15.38782,0.24344,0,-1.07003,-1.07003,0.01188,8.80558,-0.91615,-0.10421,-0.08922,10.03718,9.85789
"9","2019_Q1",34.574262295082,"Down",115000,-45343000,-16542000,-28801000,-45228000,-2128000,-1109000,-47356000,-47356000,-234000,-47590000,-47590000,-47590000,-47590000,456649000,456649000,88000,88000,9658000,9658000,466395000,18500000,4121000,289000,3832000,22621000,489016000,26323000,5069000,21254000,1423000,1423000,27746000,69075000,69075000,69075000,96821000,683829000,-291569000,-8000,392195000,392195000,489016000,-47590000,945000,14517000,3756000,-28372000,-1e+06,-1e+06,-1269000,-1269000,-1269000,-30641000,-30641000,-7000,-30648000,-44283000,0,-41293000,-393.28696,-413.82609,-0.12134,-0.09732,0.86768,16.80945,0.24687,0,-0.91969,-0.91969,0.00222,7.57927,-0.798,-0.10317,-0.08952,10.31206,10.0966
"10","2019_Q2",39.9673015873016,"Up",328000.000000002,-48751000,-14929000,-33822000,-48423000,1e+05,1125000,-48323000,-48323000,-85000,-48408000,-48408000,-48408000,-48408000,437549000,437549000,331000,331000,11916000,11916000,449796000,18871000,29206000,276000,28930000,48077000,497873000,23426000,7131000,16295000,4972000,4972000,28398000,89665000,89665000,89665000,118063000,719844000,-339977000,-5274.48281362077,379810000,379810000,497873000,-48408000,812000,10696000,-6837000,-43737000,-1097000,-1097000,25726000,25726000,25726000,-19108000,-19108000,8000,-19099999.9999999,-47611000,0,-55460000,-147.6311,-147.58537,-0.12745,-0.09723,1.14568,15.839,0.31085,0,-0.92926,-0.92926,0.0063,7.29097,-1.06463,-0.10311,-0.11813,9.19008,9.03597
