"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",31.2825,"Up",316300000,-120600000,195700000,-661600000,-283100000,-378500000,-465900000,2200000,-1200000,3400000,-463700000,-463700000,-1800000,-465500000,-465500000,-465500000,-465500000,8.46e+08,665300000,180700000,26200000,26200000,57700000,57700000,929900000,345600000,163200000,17900000,9.9e+07,46300000,508800000,1438700000,208700000,29400000,179300000,92800000,444600000,444600000,746100000,77200000,105200000,105200000,182400000,928500000,2104900000,-1600400000,5700000,510200000,510200000,1438700000,-465500000,35900000,488300000,3100000,61800000,-12400000,1e+05,-193100000,608400000,-232539981.278524,-231146406.017348,-243400000,3.65e+08,233700000,233700000,1600000,235300000,-4.3e+08,1.7e+08,-437500000,0.61872,-1.47297,-1.4717,-0.91239,-0.32356,0.93985,1.24635,1.81987,0.11816,-2.12751,-2.12751,1.44561,2.33181,-1.99954,-0.59269,-0.55704,1.57209,1.45096
"2","2018_Q3",28.8874603174603,"Down",339200000,-89500000,249700000,-256900000,-137200000,-119700000,-7200000,4200000,2e+06,2200000,-3e+06,-3e+06,-1100000,-4100000,-4100000,-4100000,-4100000,981800000,504100000,477700000,31200000,31200000,86800000,86800000,1099800000,330800000,171800000,16300000,97800000,57700000,502600000,1602400000,241400000,2.4e+07,217400000,87100000,464800000,464800000,793300000,73100000,105100000,105100000,178200000,971500000,2248400000,-1619400000,1900000,630900000,630900000,1602400000,-4100000,4e+07,57500000.0000001,18500000,111900000,-9700000,20300000,-304500000,79900000,-60579993.7595079,-60115468.6724495,-45499999.9999999,34400000,-158200000,-158200000,-3e+06,-161200000,32800000,160200000,42700000.0000001,0.73614,-0.0212299999999999,-0.0120899999999999,-0.00649999999999995,-0.00256000000000001,-10.41463,1.38636,1.53986,0.09998,-0.0101900000000001,-0.0101899999999997,0.84336,1.56862,0.10617,-0.00456999999999996,0.04765,-25.04878,114.11111
"3","2018_Q4",23.0452380952381,"Down",360300000,-90200000,270100000,-2.79e+08,-145800000,-133200000,-8900000,2900000,2400000,5e+05,-6e+06,-6e+06,2e+05,-5800000,-5800000,-5800000,-5800000,1039100000,536200000,502900000,28600000,28600000,9.6e+07,9.6e+07,1163700000,295900000,163500000,15200000,9.8e+07,50300000,459400000,1623100000,255300000,27900000,227400000,80500000,479300000,479300000,815100000,82400000,82200000,82200000,164600000,979700000,2.285e+09,-1643500000,1900000,643400000,643400000,1623100000,-5800000,45700000,58400000,29700000,1.28e+08,-8400000,145400000,-31400000,-25800000,9800000,9800000,-48400000,-64400000,32200000,32200000,-1e+05,32100000,36800000,162900000,57900000,0.74965,-0.0247,-0.0161,-0.00901,-0.00357,-9.98276,1.42768,1.52269,0.10036,-0.01432,-0.01432,0.88963,1.58864,0.14296,-0.00653,0.06517,-23.80978,98.44944
"4","2019_Q1",23.2803278688525,"Up",375900000,-94400000,281500000,-293500000,-156700000,-136800000,-1.2e+07,4600000,3900000,7e+05,-7400000.00000001,-7400000.00000001,-2100000,-9500000.00000001,-9500000.00000001,-9500000.00000001,-9500000.00000001,1089300000,519300000,5.7e+08,28600000,28600000,92300000,92300000,1210200000,310600000,173300000,14700000,96500000,62100000,483900000,1694100000,278700000,33300000,245400000,73800000,4.85e+08,4.85e+08,837500000,89900000,89900000,89900000,179800000,1017300000,2337500000,-1659500000,-1200000,676800000,676800000,1694100000,-9500000.00000001,45200000,56100000,31900000,123700000,-35500000,-733600000,-104800000,-1123500000,16400000,16400000,1072900000,-34200000,-15300000,-15300000,-1600000,-16900000,33200000,163700000,31700000,0.74887,-0.03192,-0.02527,-0.01404,-0.00561,-3.33684,1.44501,1.5031,0.09663,-0.02326,-0.02326,0.92042,1.6572,0.07762,-0.01021,0.03407,-27.87952,77.13333
"5","2019_Q2",23.1047619047619,"Down",385600000,-98400000,287200000,-308500000,-158500000,-1.5e+08,-21300000,7900000,3700000,4200000,-13400000,-13400000,5700000,-7700000,-7700000,-7700000,-7700000,915200000,359200000,5.56e+08,34100000,34100000,58300000,58300000,1007600000,340900000,780100000,57400000,230400000,492300000,1.121e+09,2128600000,212600000,27400000,185200000,70700000,582500000,582500000,865800000,106700000,451200000,451200000,557900000,1423700000,2377800000,-1674700000,1800000,704900000,704900000,2128600000,-7700000,45800000,55100000,-3e+07,63200000,-29700000,181500000,-173300000,-26200000,9e+05,9e+05,-25700000,-5.1e+07,-161100000,-161100000,1e+06,-160100000,24500000,177400000,-40900000,0.74481,-0.05524,-0.01997,-0.01092,-0.00362,5.31169,1.16378,2.01972,0.08334,-0.01876,-0.01876,0.93934,1.71717,-0.09963,-0.00577,-0.03067,-30.11429,34.6385
"6","2019_Q3",21.3065625,"Down",401500000,-102900000,298600000,-332600000,-170200000,-162400000,-3.4e+07,13200000,3200000,1e+07,-20800000,-20800000,-6e+05,-21400000,-21400000,-21400000,-21400000,972800000,343600000,629200000,37600000,37600000,57300000,57300000,1067700000,369300000,927900000,53700000,230900000,643300000,1297200000,2364900000,238600000,31800000,206800000,68900000,595600000,595600000,903100000,119600000,6.12e+08,6.12e+08,731600000,1634700000,2428400000,-1700100000,1900000,730200000,730200000,2364900000,-21400000,46100000,61700000,42400000,128800000,-33700000,172700000,-97200000,-24400000,1100000,1100000,-23100000,-46400000,-14800000,-14800000,-8e+05,-15600000,12100000,188500000,21400000,0.74371,-0.08468,-0.0533,-0.02931,-0.00905,-1,1.18226,2.2387,0.07971,-0.05188,-0.05188,0.97333,1.77018,0.05188,-0.01398,0.01398,-64.81818,23.06765
"7","2019_Q4",18.83828125,"Down",428200000,-104800000,323400000,-3.42e+08,-169200000,-172800000,-18600000,3200000,3e+06,2e+05,-15400000,-15400000,-1600000,-1.7e+07,-1.7e+07,-1.7e+07,-1.7e+07,1030900000,443200000,587700000,38400000,38400000,64300000,64300000,1133600000,416600000,936400000,50100000,231800000,654500000,1.353e+09,2486600000,260300000,31300000,2.29e+08,70900000,617100000,617100000,948300000,1.28e+08,647700000,647700000,775700000,1.724e+09,2478600000,-1718100000,2100000,762600000,762600000,2486600000,-1.7e+07,40600000,73800000,52300000,149700000,-47200000,231900000,-8300000,-21200000,0,0,-18699999,-39899999,101500001,101500001,-1900000,99600001,2.2e+07,198900000,28700000,0.75525,-0.04344,-0.0397,-0.02229,-0.00684,-1.68824,1.1954,2.26069,0.07999,-0.04104,-0.04104,1.0338,1.84114,0.06929,-0.01056,0.01783,-37.81818,44.73118
"8","2020_Q1",18.1874193548387,"Down",4.46e+08,-104900000,341100000,-347700000,-170800000,-176900000,-6600000,4200000,2600000,1600000,-2400000,-2400000,-4200000,-6600000,-6600000,-6600000,-6600000,1.159e+09,551300000,607700000,36700000,36700000,47500000,47500000,1243200000,445300000,1010700000,47400000,234500000,728800000,1.456e+09,2699200000,3.04e+08,40700000,263300000,76700000,634100000,634100000,1014800000,138200000,737800000,737800000,8.76e+08,1890800000,2531300000,-1726200000,3300000,808400000,808400000,2699200000,-6600000,4.1e+07,72100000,80300000,186800000,-27200000,-594400000,-41200000,-21100000,2e+05,2e+05,-18500001,-39400001,106199999,106199999,1900000,108099999,34400000,214900000,91700000,0.7648,-0.0148,-0.0148,-0.00816,-0.00245,-13.89394,1.22507,2.33894,0.07962,-0.01613,-0.01613,1.08993,1.97556,0.2241,-0.00375,0.05207,-27.44477,143.04545
"9","2020_Q2",21.132380952381,"Up",4.55e+08,-103100000,351900000,-325100000,-143300000,-181800000,26800000,1.3e+07,2400000,10600000,39800000,39800000,-5e+05,39300000,39300000,39300000,39300000,1100800000,486400000,614400000,36900000,36900000,57500000,57500000,1195200000,473200000,1048900000,44400000,233300000,771200000,1522100000,2717300000,229700000,38800000,190900000,8e+07,661100000,661100000,970800000,147900000,798200000,798200000,946100000,1916900000,2528500000,-1726600000,-1500000,800400000,800400000,2717300000,39300000,39500000,35200000,-60700000,53300000,-27800000,16099999,-11700001,63083953.2244307,-63300000,7e+05,-4.1e+07,-104300000,-62700001,-62700001,-2200000,-64900001,66300000,227900000,-21700000,0.77341,0.0589,0.08637,0.0491,0.01446,-0.55216,1.23115,2.39493,0.08387,0.09418,0.09373,1.09034,1.91804,-0.052,0.02152,-0.01188,-13.16591,-32.5709
"10","2020_Q3",20.8246875,"Down",467400000,-102500000,364900000,-352100000,-166300000,-185800000,12800000,9100000,1e+05,9e+06,21900000,21900000,-4400000,17500000,17500000,17500000,17500000,1117600000,334100000,783500000,45600000,45600000,59100000,59100000,1222300000,475600000,1044400000,40500000,234700000,769200000,1.52e+09,2742300000,231900000,26300000,205600000,83800000,666100000,666100000,981800000,152100000,8.05e+08,8.05e+08,957100000,1938900000,2560400000,-1764400000,7400000,803400000,803400000,2742300000,17500000,40100000,74700000,13599999,145899999,-26100000,-151799999,-177899999,122575228.336712,-7.5e+07,8e+05,-46900000,-121900000,-153900000,-153900000,1600000,-152300000,52900000,235900000,44799999,0.7807,0.02739,0.03744,0.02178,0.00638,2.56,1.24496,2.41337,0.08602,0.04226,0.04166,1.12871,1.94011,0.10819,0.00949000000000001,0.02429,-16.6673,-68.88281
