"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","change_in_working_capital","net_cash_from_operating_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2011_Q2",1.00190476190476,"Down",0,0,4130532.0335833,-512407,-173888,-338519,-512407,-9225,-9225,-521632,-141733,-141733,-141733,-141733,-141733,-1857442.55495647,-1857442.55495647,-500190.527854596,-500190.527854687,-2357633.08281107,-2357633.08281107,3730165.75937497,189241.636347873,3515784.65143833,21626276.4678754,-789720.37910004,23839314.228673,33333846.9630587,-116861889.078033,81170409.0321629,-35691480.0458698,-35691480.0458698,-2357633.08281107,-141733,-96983,-411548,113452,113452,113452,0,8.77774561919271,-419.928576040157,-352.236908314728,-364.168273869883,1222.8261032316,-2.35502837444183,5.0668016189993,556.492661910445,-0.0027,-0.0027,0,-0.681226690755025,-4109.1118985729,724.201613398726
"2","2011_Q3",0.42640625,"Down",0,0,2383998.82014998,-189265,-155802,-33463,-189265,-8886,-8886,-198151,266818,266818,266818,266818,266818,-866724.777478235,-866724.777478235,-210521.763927298,-210521.763927343,-1077246.54140553,-1077246.54140553,1943079.87968749,166814.818173936,1763695.32571916,10885915.7339377,-374443.68955002,12945431.6143365,16992697.9815294,-55568179.0390163,37498234.5160814,-18069944.5229349,-18069944.5229349,-1077246.54140553,266818,-35558,-233709,-83709,-83709,-83709,-5.82076609134674e-11,5.08794537151563,-239.950475624094,-202.150180988837,-162.202651934942,523.756711615801,-1.08824918722091,1.75340580949965,278.903265955223,0.00509,0.00508999999999999,0,-0.344883345377513,-1742.42712428645,301.568401699363
"3","2011_Q4",0.210952380952381,"Down",0,0,1225036.91007499,-201717,-180473,-21244,-201717,-12644,-12644,-214361,-571174,-571174,-571174,-571174,-571174,-282464.925826078,-282464.925826078,-46951.587975766,-46951.5879757811,-329416.513801844,-329416.513801844,849815.626562496,128853.606057979,716772.108573054,4458267.57797923,-124814.56318334,6063561.8714455,7179317.32717645,-18763730.0130054,11254996.1720271,-7508733.8409783,-7508733.8409783,-329416.513801844,-571174,22129,-192232,-92232,-92232,-92232,0,2.64034768575781,-119.801077812047,-101.575520494418,-48.6144073116472,138.0268505386,-0.356709729073638,-0.14486139683345,112.457531985074,-0.0109,-0.0109,0,-0.143304448459171,-480.285748095483,78.8457572331209
"4","2012_Q1",0.115483870967742,"Down",-1.45519152283669e-11,-7.27595761418343e-12,535493.30335833,-320216,-179589,-140627,-320216,-12434,-12434,-332650,-482048,-482048,-482048,-482048,-482048,428,428,24051,24051,24479,24479,285150,84708,200442,1265595,0,2275745,2275745,-395784,-1855482,-2251266,-2251266,24479,-482048,138562,-194087,-94087,-94087,-94087,725000,1.18401256191927,-47.6442726040157,-40.8078668314728,0.21412,-19.69231,0.01076,-1.01087,29.61722,-0.0092,-0.0092,0,-0.04296,0.31583,-2.26276
"5","2012_Q2",0.151746031746032,"Up",421399,-224184,197215,-5103963,-26707,-5077256,-4906748,-9173,-9173,-4915921,-4273894,-4273894,-4273894,-4273894,-4273894,87045,87045,36017,36017,123062,123062,83860,43728,40132,230161,40833,664021,664021,5588417,-6129376,-540959,-540959,123062,-4273894,-172423,43529,86617,86617,86617,350000,0.468,-11.64395,-10.14216,7.90059,-34.7296,0.18533,-1.22749,2.84409,-0.08155,-0.08155,0.00804,-0.01032,22.38121,-0.0535899999999998
"6","2012_Q3",0.105873015873016,"Down",381360,-289311,92049,-78319.0000000009,-24372,-53947,13730,-5264,-5264,8466.00000000093,48303,48303,48303,48303,48303,96838,96838,23951,23951,120789,120789,73121,17727,55394,190324,40833,263445,613445,5588417,-6081073,-492656,-492656,120789,48303,1326.99999999994,9793,9793.00000000006,9793.00000000006,9793.00000000006,350000,0.24137,0.0359999999999996,0.126659999999998,-0.09805,0.3999,0.4585,-1.24518,2.89761,0.000920000000000018,0.000920000000000018,0.00728,-0.0094,-0.3386,18.4386
"7","2012_Q4",0.0959677419354839,"Down",388884,-302934,85950,-128271,-61466,-66805,-42321,-5332,-5332,-47653,57411,57411,57411,57411,57411,134898,134898,21384,21384,156282,156282,87710,16055,71655,68347,40833,156057,506057,5656974,-6006749,-349775,-349775,156282,57411,17156,38060,38060,38060,38060,350000,0.22102,-0.10883,0.14763,-0.16414,0.367359999999996,1.00144,-1.44681,2.23954,0.0011,0.0011,0.00742,-0.00667,255.16,-5.08263
"8","2013_Q1",0.103166666666667,"Up",389502,-328737,60765,-155153,-80377,-74776,-94387.9999999998,-5518,-5518,-99906,-145748,-145748,-145748,-145748,-145748,114563,114563,30762,30762,145325,145325,110125,20631,60201,114189,40833,224314,574314,5740421,-6169410,-428989,-428989,145325,-145748,13037,-20335,-20335,-20335,-20335,350000,0.15601,-0.24233,-0.37419,0.33975,-1.00291,0.64786,-1.33876,2.40839,-0.00278,-0.00278,0.00743,-0.00819,1.84517,-2.49435
"9","2013_Q2",0.2203125,"Up",471294,-369354,101940,-224677,-141261,-83416,-122737,-5423,-5423,-128160,-107091,-107091,-107091,-107091,-107091,124957,124957,35229,35229,160186,160186,148850,43331,105519,93120,40833,241970,591970,5844717,-6276501,-431784,-431784,160186,-107091,34258,10394,10394,10394,10394,350000,0.2163,-0.26043,-0.22723,0.24802,-0.66854,0.66201,-1.37099,2.18496,-0.00204,-0.00204,0.00899,-0.00824,1.30944000000003,-1.83354
"10","2013_Q3",0.22125,"Up",490592,-423242,67350,-220237,-134089,-86148,-152887,-5267,-5267,-158154,-150603,-150603,-150603,-150603,-150603,99499,99499,26360,26360,125859,125859,164771,24258,140513,85569,40833,250340,600340,5952623,-6427104,-474481,-474481,125859,-150603,24790,-25458,-25458,-25458,-25458,350000,0.13728,-0.31164,-0.30698,0.31741,-1.1966,0.50275,-1.26526,2.78089,-0.00282,-0.00282,0.00918,-0.00888,1.20985,-1.63847
"11","2013_Q4",0.32953125,"Up",528528,-493817,34711,-195317,-129405,-65912,-160606,-5284,-5284,-165890,-185265,-185265,-185265,-185265,-185265,112957,112957,26673,26673,139630,139630,236525,26689,164836,104944,40833,691469,691469,6060530,-6612369,-551839,-551839,139630,-185265,71441,13458,13458,13458,13458,350000,0.06567,-0.30387,-0.35053,0.33572,-1.32683,0.20193,-1.25303,2.50662,-0.00347,-0.00347,0.00989,-0.01033,0.91789,-1.47593
"12","2014_Q1",0.291639344262295,"Down",714262,-668161,46101,-209094,-141319,-67775,-162993,-5541,-5541,-168534,-244788,-244788,-244788,-244788,-244788,107674,107674,35690,35690,143364,143364,300887,27963,222631,181198,40833,482085,832085,6168436,-6857157,-688721,-688721,143364,-244788,55345,-5282.99999999999,-5283,-5283,-5283,350000,0.06454,-0.2282,-0.34271,0.35542,-1.70746,0.29738,-1.20816,2.44134,-0.00458,-0.00458,0.01337,-0.01289,0.72268,-1.48673
"13","2014_Q2",0.573174603174603,"Up",700197,-648518,51679,-215394,-130732,-84662,-163715,-5435,-5435,-169150,-218025,-218025,-218025,-218025,-218025,91694,91694,49901,49901,141595,141595,359319,42015,261718,230073,40833,589392,939392,6277385,-7075182,-797797,-797797,141595,-218025,44221,-15980,-15980,-15980,-15980,350000,0.07381,-0.23381,-0.31138,0.27328,-1.53978,0.24024,-1.17748,2.47184,-0.00407,-0.00408,0.01306,-0.01489,0.48688,-1.57778
"14","2014_Q3",0.77,"Up",768651,-742972,25679,-198508,-125665,-72843,-172829,-8924,-8924,-181753,-258890,-258890,-258890,-258890,-258890,63181,63181,51575,51575,114756,114756,406397,30383,311538,312210,45833,718607,1068607,6380221,-7334072,-953851,-953851,114756,-258890,50404,-28513,-28513,-28513,-28513,350000,0.03341,-0.22485,-0.33681,0.27142,-2.256,0.15969,-1.12031,3.04995,-0.00483,-0.00483,0.01434,-0.0178,0.42873,-1.65955
"15","2014_Q4",0.63375,"Down",974398,-875582,98816,-273503,-195158,-78345,-174687,-6105,-6105,-180792,-122475,-122475,-122475,-122475,-122475,385649,385649,38348,38348,423997,423997,476328,33292,372591,504391,296330,1330719,1330719,6549827,-7456549,-906722,-906722,423997,-122475,333656,322468,322468,322468,322468,350000,0.10141,-0.17928,-0.12569,0.13507,-0.288860000000001,0.31862,-1.46762,0.82548,-0.00228,-0.00228,0.01816,-0.0169,0.21999,0.20407
"16","2015_Q1",0.416885245901639,"Down",1028687,-1059134,-30447,-250927,-156443,-94484,-281374,-6848,-6848,-288222,-716589,-716589,-716589,-716589,-716589,88271,88271,48223,48223,136494,136494,587606,28286,482515,682261,45833,1619867,1619867,6689763,-8173136,-1483373,-1483373,136494,-716589,-149094,-297378,-297378,-297378,-297378,350000,-0.0296,-0.27353,-0.69661,0.48308,-5.24997,0.08426,-1.09202,2.56422,-0.01337,-0.01337,0.01919,-0.02767,0.63226,-0.93018
"17","2015_Q2",0.441269841269841,"Up",1554902,-1501974,52928,-309498,-186770,-122728,-256570,-6531,-6531,-263101,-177912,-177912,-177912,-177912,-177912,86473,86473,161951,161951,248424,248424,795914,73113,639689,597072,45833,1742986,1742986,6856486,-8351048,-1494562,-1494562,248424,-177912,94580,-1798,-1798,-1798,-1798,350000,0.03404,-0.16501,-0.11442,0.11904,-0.71616,0.14253,-1.16622,1.40888,-0.00332,-0.00332,0.02901,-0.02788,0.15544,-1.02712
"18","2015_Q3",0.40921875,"Down",1849091,-1728005,121086,-286184,-168118,-118066,-165098,-6351,-6351,-171449,681,681,681,681,681,99632,99632,190531,190531,290163,290163,842378,47481,705547,424942,45833,1267320,1617320,7023210,-8350367,-1327157,-1327157,290163,681,17883.9999999999,13159,13159,13159,13159,350000,0.06548,-0.08929,0.000369999999999954,-0.00051,0.00235,0.22896,-1.21864,1.20622,9.99999999999959e-06,9.99999999999959e-06,0.03448,-0.02475,-7e-04,-1.51648
"19","2015_Q4",0.296875,"Down",2636486,-2829375,-192889,-249899,-153548,-96351,-442788,-6434,-6434,-449222,-368875,-368875,-368875,-368875,-368875,70366,70366,128540,128540,198906,198906,1046206,115713,834721,344595,45833,1740801,1740801,7177347,-8719242,-1541895,-1541895,198906,-368875,265819,-35766,-29266,-29266,-29266,350000,-0.07316,-0.16795,-0.13991,0.23923,-1.85452,0.11426,-1.129,1.75963,-0.00696,-0.00696,0.04978,-0.02911,0.30949,-0.63153
"20","2016_Q1",0.141639344262295,"Down",2778892,-2781570,-2677.99999999994,-197162,-55580,-141582,-199840,-7148,-7148,-206988,-160217,-160217,-160217,-160217,-160217,85835,85835,155922,155922,241757,241757,1147614,35043,1010158,297824,45833,1795438,1795438,7325778,-8879459,-1553681,-1553681,241757,-160217,74026,-153,15469,15469,15469,350000,-0.000960000000000003,-0.07191,-0.05765,0.10312,-0.66272,0.13465,-1.1556,1.44773,-0.00294,-0.00294,0.05094,-0.02848,0.13311,-1.32188
"21","2016_Q2",0.10640625,"Down",2791904,-2734845,57059,-225787,-112094,-113693,-168728,-6910,-6910,-175638,-200062,-200062,-200062,-200062,-200062,94133,94133,91822,91822,185955,185955,1135078,36963,989017,45833,45833,1530911,1530911,7734565,-9079521,-1344956,-1344956,185955,-200062,51564,8298,8298,8298,8298,350000,0.02044,-0.06043,-0.07166,0.14875,-1.07586,0.12147,-1.13826,1.88218,-0.00369,-0.00369,0.05144,-0.02478,0.20108,-1.51645
"22","2016_Q3",0.09859375,"Down",2856704,-2688664,168040,-234262,-136035,-98227,-66222,-6741,-6741,-72963,-72963,-72963,-72963,-72963,-72963,227971,227971,189615,189615,417586,417586,1282578,21388,1145464,45833,45833,1328411,1678411,7891659,-9152484,-1260825,-1260825,417586,-72963,49707,133838,133838,133838,133838,350000,0.05882,-0.02318,-0.02554,0.05787,-0.17473,0.31435,-1.3312,0.83815,-0.00134,-0.00134,0.0524,-0.02313,0.08011,-1.84273
"23","2016_Q4",0.0822222222222222,"Down",3009574,-2828422,181152,-214861,-126140,-88721,-33709,-7040,-7040,-40749,-40749,-40749,-40749,-40749,-40749,309338,309338,130169,130169,439507,439507,1191916,27547,1041775,45833,45833,1587749,1587749,8044991,-9193233,-1148242,-1148242,439507,-40749,-31216,81367,81367,81367,81367,350000,0.06019,-0.0112,-0.01354,0.03549,-0.0927200000000001,0.27681,-1.38277,0.79635,-0.00075,-0.00075,0.05521,-0.02106,0.05105,-1.20627
"24","2017_Q1",0.0754838709677419,"Down",2238554,-2372390,-133836,-205144,-120446,-84698,-338980,-7394,-7394,-346374,-346374,-346374,-346374,-346374,-346374,393937,393937,46293,46293,440230,440230,1390354,33363,1227359,45833,45833,1786187,1786187,8193650,-9539607,-1345957,-1345957,440230,-346374,282313,84599,84599,84599,84599,350000,-0.05979,-0.15143,-0.15473,0.25734,-0.7868,0.24646,-1.32708,0.79504,-0.00635,-0.00635,0.04106,-0.02469,0.34778,0.12962
"25","2017_Q2",0.0534920634920635,"Down",2623211,-2514410,108801,-220849,-108932,-111917,-112048,-8187,-8187,-120235,-120235,-120235,-120235,-120235,-120235,116376,116376,180760,180760,297136,297136,1232391,36125,1058711,45833,45833,1628224,1628224,8328754,-9659842,-1331088,-1331088,297136,-120235,-292430,-277561,-277561,-277561,-277561,350000,0.04148,-0.04271,-0.04584,0.09033,-0.40465,0.18249,-1.22323,1.17791,-0.00221,-0.00221,0.04812,-0.02442,0.12255,-2.08503
"26","2017_Q3",0.0337096774193548,"Down",2408232,-2510548,-102316,-162493,-86887,-75606,-264809,-7158,-7158,-271967,-271967,-271967,-271967,-271967,-271967,129966,129966,118829,118829,248795,248795,1342950,19620,1178750,45833,45833,1388783,1738783,8441821,-9931809,-1489988,-1489988,248795,-271967,172490,13590,13589.9999999999,13589.9999999999,13589.9999999999,350000,-0.04249,-0.10996,-0.11293,0.18253,-1.09314,0.17915,-1.16698,1.40678,-0.00499,-0.00499,0.04418,-0.02733,0.23857,-0.83092
"27","2017_Q4",0.0214516129032258,"Down",2491566,-2436925,54641,-135288,-87076,-48212,-80647,-7302,-7302,-87949,-87949,-87949,-87949,-87949,-87949,451170,451170,81569,81569,532739,532739,1636440,28107,1456465,45833,45833,2032273,2032273,8520224,-10019758,-1499534,-1499534,532739,-87949,330750,321204,321204,321204,321204,350000,0.02193,-0.03237,-0.0353,0.05865,-0.16509,0.26214,-1.35527,0.65698,-0.00161,-0.00161,0.0457,-0.02751,0.07651,1.25448
