"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","deferred_tax_liabilities_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",36.8073015873016,"Up",1221763000,-1081215000,-780676000,-53511000,-247028000,140548000,-12377000,-12377000,128171000,128171000,-45409000,82762000,82762000,-10943000,71819000,71819000,54144478.4873093,54144478.4873093,1247399368.74622,1247399368.74622,114328162.306865,-664601729.179337,-1295860249.63525,751270280.361061,5269885351.73615,6765392129.78087,-1495506778.04472,7392647371.05375,6644193793.18942,748453913.164272,12662532722.7899,13413803003.151,-159411083.154833,-1478377622.45061,-2487430624.08321,-2487430624.08321,1196341935.15075,25234354.2184237,-1450499772.08729,12262354228.5107,644752811.575601,226634446.41814,418118365.157461,12907107040.0863,11456607267.999,1692276247.93655,264919487.215384,1957195735.15194,13413803003.151,82762000,53511000,2217000,969000,139459000,-63424000,-63424000,-4834000,-68363000,-530000,-4623000,-78350000,-2315000,-2315000,-2315000,194059000,0,177013000,0.11504,0.05878,-0.0199639596768586,-0.0112429847428692,2.46471,4.39649473080311,5.31576773222381,1.08413546368089,0.74394,0.73698,12.65564,17.3833972140558,1.83359,0.05007,-0.0139281974183623,-0.14102396601451,0.06731,35.9667445392774,42.5170218694512
"2","2010_Q3",33.655625,"Down",1194551000,-1064802000,-761663000,-54025000,-249114000,129749000,-12277000,-12277000,117472000,117472000,-41057000,76415000,76415000,-10843000,65572000,65572000,12337000,12337000,618855000,618855000,84683000,106344000,38985000,822219000,2307617000,3818209000,-1510592000,859921000,732754000,127167000,3167538000,3989757000,552794000,552794000,2032000,2032000,3298000,3298000,558124000,881344000,414696000,68386000,346310000,1296040000,1854164000,1887365000,248228000,2135593000,3989757000,76415000,54025000,4117000,-46292000,88265000.0000001,-61570000,-61570000.0000001,-4859000,-9611000,660000,-7413000,-21223000,5472000,5472000,5472000,183774000,883376000,116969000,0.10862,0.05489,0.0307,0.01644,1.78383,1.47318,0.86822,0.22141,0.67808,0.66873,12.35278,19.51713,1.20957,0.05025,0.02051,0.03407,0.0741,4.73973,6.71326
"3","2010_Q4",38.47984375,"Up",1189797000,-1085113000,-771195000,-55530000,-258388000,104684000,-11478000,-11478000,93206000,93206000,-27404000,65802000,65802000,-10192000,55610000,55610000,9629000,9629000,609083000,609083000,84708000,375483000,309063000,1078903000,2317480000,3869644000,-1552164000,871331000,732340000,138991000,3188811000,4267714000,611753000,611753000,401673000,401673000,-5.96046447753906e-08,9.31322574615479e-10,1013426000,614923000,448299000,94913000,353386000,1063222000,2076648000,1943572000,247494000,2191066000,4267714000,65802000,55530000,4351000,59408000,185091000,-44512000,-301484000,-4862000,133374000,1111000,-15938000,113685000,-2708000,-2708000,-2708000,160214000,1016596000,202514000,0.08798,0.04674,0.02538,0.01303,3.64168,1.06461,0.94778,0.23821,0.57462,0.56783,12.29421,20.08299,2.09258,0.05024,0.01654,0.05539,0.08743,6.28514,9.61911
"4","2011_Q1",42.6204838709677,"Up",1294036000,-1110083000,-842137000,-53864000,-214082000,183953000,-41485000,-41485000,142468000,89248000,-38432000,50816000,50816000,-13634000,37182000,37182000,29474000,29474000,837820000,837820000,94330000,369492000,130060000,1331116000,3252967000,4853972000,-1601005000,2943853000,2589914000,353939000,6196820000,7527936000,551251000,252487000,3449000,3449000,271599000,7163596.38651478,826299000,3912102000,554974000,174325000,380649000,4467076000,5293375000,1977801000,256760000,2234561000,7527936000,50816000,60931000,4121000,-27339000,88529000,-66279000,-1767605000,-4867000,1818660000,-9175000,-105697000,1698921000,19845000,19845000,19845000,244884000,3915551000,189698000,0.14215,0.02873,0.01664,0.00494,5.10188,1.61094,2.36887,0.52014,0.38283,0.37766,13.32341,20.36346,1.95313,0.05011,0.00627,0.02829,0.1309,15.86905,21.12538
"5","2011_Q2",49.2109523809524,"Up",1757412000,-1496999000,-1076202000,-71351000,-349446000,260413000,-56417000,-56417000,203996000,203996000,-74009000,129987000,129987000,-15794000,114193000,114193000,52076000,52076000,940803000,940803000,95129000,313176000,81079000,1401184000,3239802000,4880795000,-1640993000,2972088000,2596292000,375796000,6211890000,7613074000,821413000,821413000,3032999.99999994,3032999.99999994,12736000,9155000,837182000,3850859000,562111000,185267000,376844000,4412970000,5250152000,2094393000,268529000,2362922000,7613074000,129987000,71526000,3954000,-22290000,183177000,-63712000,-63712000,-4876000,-62903000,-1919000,-27165000,-96863000,22602000,22602000,22602000,331939000,3853892000,319946000,0.14818,0.06498,0.04833,0.015,2.8018,1.67369,2.22189,0.50622,1.17264,1.155,18.04676,21.5072,3.28551,0.05007,0.01756,0.0472,0.0427,11.45336,14.59918
"6","2011_Q3",40.52671875,"Down",1683310000,-1451073000,-1042250000,-69458000,-339365000,232237000,-49808000,-49808000,182429000,182429000,-66395000,116034000,116034000,-12385000,103649000,103649000,34816000,34816000,913742000,913742000,95550000,323998000,91223000,1368106000,3218343000,4917119000,-1698776000,2979304000,2607283000,372021000,6197647000,7565753000,768997000,768997000,2541000,2541000,12997000,8983000,784535000,3750928000,582445000,179708000,402737000,4333373000,5117908000,2186107000,261738000,2447845000,7565753000,116034000,73423000,4711000,-21569000,172599000,-61903000,-61903000.0000002,-4887000,-101663000,-1836000,-19570000,-127956000,-17260000,-17260000,-17260000,305660000,3753469000,288583000,0.13796,0.06157,0.04234,0.0137,2.78423,1.74384,2.09078,0.49611,1.06238,1.04424,17.25357,22.40713,2.95791,0.05009,0.016,0.04254,0.04715,12.16598,16.01232
"7","2011_Q4",36.4198412698413,"Down",1656504000,-1460976000,-1046276000,-73019000,-341681000,195528000,-48452000,-48452000,147076000,147076000,-52234000,94842000,94842000,-9788000,85054000,85054000,39147000,39147000,945193000,945193000,95777000,291832000,95862000,1371949000,3250631000,5008607000,-1757976000,2983351000,2605951000,377400000,6233982000,7605931000,796041000,796041000,2511000,2511000,34342000,31472000,832894000,3685230000,605656000,177220000,428436000,4290886000,5123780000,2221382000,260769000,2482151000,7605931000,94842000,75259000,4933000,31692000,206726000,-73981000,-82580000,-4875000,-66973000,-37181000,-10786000,-119815000,4331000,4331000,4331000,270787000,3687741000,280732000,0.11804,0.05135,0.03427,0.01118,3.30063,1.64721,2.06425,0.48485,0.87327,0.86263,17.00775,22.8075,2.88235,0.05005,0.01327,0.04143,0.05732,13.47404,18.66021
"8","2012_Q1",39.4817741935484,"Up",1662996000,-1454046000,-1057462000,-73383000,-323201000,208950000,-46115000,-46115000,162835000,162835000,-54828000,108007000,108007000,-12736000,95271000,95271000,41229000,41229000,969802000,969802000,96775000,257099000,99859000,1364905000,3287980000,5106160000,-1818180000,3012360000,2627602000,384758000,6300340000,7665245000,517607000,228043000,2479000,2479000,316847000,0,836933000,3651428000,612466000,210558000,401908000,4263894000,5100827000,2295386000,269032000,2564418000,7665245000,108007000,75653000,11743000,-39654000,155749000,-56743000,-77610000,-4828000,-51878000,-14767000,-4584000,-76057000,2082000,2082000,2082000,284603000,3653907000,243034000,0.12565,0.05729,0.03715,0.01243,2.55098,1.63084,1.98908,0.47668,0.98772,0.9779,17.24116,23.79748,2.51966,0.05005,0.01465,0.03558,0.05068,12.69375,17.28968
"9","2012_Q2",38.6852380952381,"Down",1793036000,-1524008000,-1100916000,-71792000,-351300000,269028000,-46710000,-46710000,222318000,222318000,-79748000,142570000,142570000,-13963000,128607000,128607000,41999000,41999000,1116634000,1116634000,96974000,207538000,91622000,1463145000,3304236000,5185774000,-1881538000,3015900000,2629765000,386135000,6320136000,7783281000,814173000,814173000,2512000,2512000,75305000,75305000,891990000,3581844000,601716000,198645000,403071000,4183560000,5075550000,2427312000,280419000,2707731000,7783281000,142570000,73820000,5486000,-94653000,127223000,-53603000,-47103000,-4832000,-70942000,-1001000,-2575000,-79350000,770000,770000,770000,342848000,3584356000,274340000,0.15004,0.07173,0.0475,0.01652,2.13317,1.64032,1.87447,0.46052,1.33143,1.31512,18.56279,25.12927,2.84016,0.05002,0.01936,0.0398,0.03757,10.33215,13.16724
"10","2012_Q3",39.2160317460317,"Up",1723083000,-1492751000,-1076662000,-72983000,-343106000,230332000,-45888000,-45888000,184444000,184444000,-6.7e+07,117444000,117444000,-9883000,107561000,107561000,32941000,32941000,1019929000,1019929000,96882000,306694000,99534000,1456446000,3296915000,5172407000,-1875492000,3005287000,2610637000,394650000,6302202000,7758648000,852256000,852256000,2497000,2497000,28859000,12893000,883612000,3458509000,600331000,206403000,393928000,4058840000,4942452000,2536884000,279312000,2816196000,7758648000,117444000,74883000,5510000,47802000,245639000,-103295000,-114771000,-4841000,-124744000,649000,-10990000,-139926000,-9058000,-9058000,-9058000,305215000,3461006000,316722000,0.13367,0.06242,0.03819,0.01386,2.94458,1.64829,1.75501,0.44608,1.11242,1.1006,17.82051,26.23702,3.27561,0.05007,0.01634,0.04605,0.04501,11.23164,14.88315
