"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q3",180.796875,"Down",-9998649,-7865477,-2133172,-3502926,143373,-3359553,-3359553,-3761812,-3761812,-5373313,-5427084,-554331367.071909,-554316722.363704,1250090053.8724,-59394586.5648165,-293474505.852724,-1393928924.74073,1391842931.00426,-134882848.937017,-2085993.73646563,-295560499.589189,-1007017507.09276,-414786228.3427,-565660020.118049,-612112814.1947,1106674978.05563,102830258.250709,1015392430.00414,403279615.809443,-69941542.4435727,-389197714.363344,-489054682.341792,-209785433.056841,-698840115.398632,-295560499.589189,-1915451.54794776,-15344740.3380821,4068715.38776196,91059739.3955642,56355850.3927781,-9750963.17885929,-11562972.584302,-22565781.311213,-22565781.311213,-63455654.0546985,-18662776.2462224,-18662776.2462224,-18748778.4643713,-30221549.1258587,0,-6.5090932733624,-3.33230497306177,7.6455657749939,9.95428464517751,0.382119196759037,-673.61128,-673.61128,-1970.94305216737,-3.87993769511081,-75.9686442123781,-75.536667096122
"2","2010_Q4",166.578125,"Down",-10986567,-9306622,-1679945,-5743828,35166,-5708662,-5708662,-5994638,-5994638,-7140226,-7140226,-237915042.035955,-237909107.181852,536240077.936199,-24970158.7824083,-99027207.9263618,-560555758.870365,633640383.002132,-57193475.4685086,73084624.1317672,-25942583.7945947,-413535704.046382,-170118812.17135,-232677650.559025,-216838405.09735,481264916.527814,46421564.6253543,444392355.002071,227553949.904721,55581556.2782137,-228156388.681672,-179891829.170896,-73604704.5284203,-253496533.699316,-25942583.7945947,-5994637,1091774,2959609,2232004,288750,-3876350,-2984915,2535194,2535194,-4207354,-6903519,-6903519,-6892083,-4652054,0,-2.8779566366812,-1.47096748653089,3.54588788749695,4.90785232258875,0.251819598379519,-886.24697,-886.24697,3223.12849891632,-1.72771884755541,-33.993092106189,-33.967148548061
"3","2011_Q2",168.825396825397,"Up",-12390087,-9634895,-2755192,-7075630,-1102680,-8178310,-8178310,-8770958,-9699758,-10172991,-10359624,-64939811.0119849,-64938566.727284,152705562.6454,-6214148.59413609,4389037.35787939,-116120533.290121,229215679.000711,-14301227.1561695,113095145.710589,117484183.068468,-96831056.6821274,-39752682.3904501,-54697870.8530082,-12031141.3657832,143301034.509271,15186317.2084514,135708469.667357,123677328.301574,133052931.092738,-144189749.893891,-5980800.72363192,-212344.509473436,-6193145.23310536,117484183.068468,-9699758,2203684,4345394,-7044413,-10195093,-707224,-3104626,3592723,3592723,7080520,-6219199,-6219199,-6200520,-4871946,0,-0.897082212227066,-0.460162495510296,1.43907596249898,2.03131410752958,0.15465319945984,-1285.83961,-1285.83961,6347.24512630544,-0.553469615851802,-10.6878973687297,-10.812926182687
"4","2011_Q3",84.56796875,"Down",-10459969,-8868615,-1591354,-10039880,-150222,-10190102,-10190102,-10086382,-10537892,-10605767,-10776549,4850957,4850411,6149910,1252463,43361513,50285625,76685266,3427356,126970891,170332404,22574377,9267301,12634097,58776439,12044783,2295741,15579654,74356093,174681513,-116456791,68416215,27560096,95976311,170332404,-10503867,-1280709,4677588,8173830,-3070427,319316,-3312080,2322100,2322100,1769143,-4613364,-4613364,-4561461,-11320589,14777185,-0.11228,-0.06327,0.73774,0.77473,0.08675,-1337.58847,-1337.58847,7759.29165,-0.08776,-0.87683,-0.98868
"5","2011_Q4",60.6611111111111,"Down",-7516129,-5975688,-1540441,-7230450,660074,-6570376,-6570376,-6570376,-7328464,-7346435,-7346435,11713893,11713338,3236522.00000001,1808695,44477502,49571589,74165591,5625734,123737180,168214682,24158539,9896278,13673031,52051798,6757613,921061,10244788,62296586,192676233,-124116505,79037030,26881066,105918096,168214682,-6732998,298371,1201387,-1598936,-4256911,-118875,3288804,15259959,15259959,7666861,6698754,6698754,6862928,-6932079,7441382,-0.06936,-0.04367,0.85449,0.58816,0.04424,-780.68436,-780.68436,7817.15289,-0.06116,0.61634,0.59091
"6","2012_Q1",59.9509677419355,"Down",-5041725,-3207964,-1833761,-9658551,31005.9999999999,-9627545,-9627545,-9138617,-29016743,-19009276,-18651861,3935160,3935160,33016956,649739,38610336,11616053,105101391,3326938,116717444,155327780,3377377,2287201,1090176,36446644,33937292,3604463,33937292,70383936,200967968,-143094854,66836883,18106961,84943844,155327780,-7629710,219230,2054581,-456874,-3405563,-68074,1073322,-15000,-15000,3552846,1220605,1220605,1032094,-9439321,3783123,-0.21958,-0.12008,1.05937,0.82859,0.02436,-2105.20945,-2105.20945,7000.72654,-0.15206,0.01611,0.01574
"7","2012_Q2",39.2015873015873,"Down",-8359481,-6412276,-1947205,-7542455,-436665,-7979120,-7979120,-7979120,-9206868,-9348133,-9348133,21771389,21771389,2154613.99999999,2154614,52347298,47327890,67609113,6164428,114937003,167284301,39708833,19395210,19240310,68428439,12845271,3517172,12896046,81324485,211765649,-152550831,67553586,18406230,85959816,167284301,-7979120,385095,3201804,776926,2106405,-131975,-110071,7691059,7691059,7185498,9181832,9181832,9129242,-7157360,3887234,-0.10875,-0.05588,0.76499,0.94608,0.02324,-836.09625,-836.09625,5667.89742,-0.09103,2.49871,2.37113
"8","2012_Q3",67.2553968253968,"Up",-7447540,-4732953,-2714587,-6811433,-426551,-7237984,-7237984,-7237984,-33422915,-20505336,-20505336,2112582,2112582,47721539,882800,52252104,11301963,74472116,3507266,85774079,138026183,4280006,2171484,2108522,48015270,34520854,3563474,34577911,82593181,215322608,-173144555,49926916,5506086,55433002,138026183,-7237982,389678,1348226,-729005,-2958751,-44036,-2206732,2260168,2260168,1541495,-3623988,-3623988,-3612904,-6421755,3753341,-0.36991,-0.14856,1.08824,1.48996,0.02719,-1525.55843,-1525.55843,3448.53027,-0.21849,-0.2555,-0.24088
"9","2012_Q4",65.8174193548387,"Down",-8775474,-5947264,-2828210,-8089003,-459049,-8548052,-8548052,-8548052,-8395957,-8410909,-8410909,5390611,5390611,40253020,3228775,47886255,11067570,69852235,932474,80919805,128806060,3956389,2570879,1385510,47707274,21901869,3703829,24671186,72378460,225683793,-181622667,50931125,5496475,56427600,128806060,-8548058,385823,2410410,-799627,-3375285,-21566,-371305,2209000,2209000,1695541,-2051049,-2051049,-2081679,-7703180,6398247,-0.14906,-0.0653,1.00375,1.28268,0.04967,-567.54921,-567.54921,3253.09507,-0.09897,-0.13081,-0.12457
"10","2013_Q1",62.7945,"Down",-8183921,-5222853,-2961068,-7942760,-4568938,-12511698,-12511698,-12336165,-15343571,-15505106,-15505106,13737452,13737452,803135,803135,16707216,11153143,26545904,947307,37699047,54406263,4840053,2555240,2284813,9949427,11465149,7866027,11636677,21586104,231234990,-197392361,33177129,-356970,32820159,54406263,-12336161,389975,5758159,3823932,-9624887,-333738,8776488,4268600,4268600,-1680764,-2529163,-2529163,-2442638,-7552785,3812561,-0.47243,-0.28499,1.67921,0.65771,0.07008,-973.54928,-973.54928,2083.15071,-0.31673,1.31407,1.24955
"11","2013_Q2",58.48671875,"Down",-8963198,-5801872,-3161326,-8831375,-32954,-8864329,-8864329,-8864329,-8864329,-8800575,-8800575,9253591,9253591,995144,995144,12676470,10794260,26426390,979095,37220650,49897120,3874480,2191414,1683066,9228166,11515022,7915900,11664689,20892855,236283425,-206192936,29424989,-420724,29004265,49897120,-8864329,554954,2207924,-1034282,-7135733,-53570.9999999999,-53570.9999999981,2730262,2730262,2705443,-4483861,-4483861,-4483861,-8276421,3688100,-0.30342,-0.17637,1.37367,0.72034,0.07391,-527.01557,-527.01557,1762.08652,-0.19907,0.67245,0.6302
"12","2013_Q3",74.0259375,"Up",-8294561,-4322434,-3972127,-8170179,-7895,-8178074,-8178074,-8625642,-8625642,-8575360,-8575360,14722478,14722478,993285,993285,16449347,10873757,26286709,990717,37160466,53609813,4399101,2410610,1988491,8384878,12012395,7965705,12232760,20617638,248896977,-214768296,33463181,-471006,32992175,53609813,-8625642,277966,1478107,879533,-5990036,-214964,-214964,11517886,11517886,11673887,5468887,5468887,5468887,-7892213,3844101,-0.25992,-0.15996,1.96179,0.62493,0.07171,-2.44695000000002,-2.44695000000002,9.54857,-0.17555,1.37837,1.33147
"13","2013_Q4",65.91640625,"Down",-10043815,-5557425,-4486390,-9312831,80987,-9231844,-9231844,-9276601,-9276601,-9070757,-9070757,16946200,16946200,1466677,1466677,20336741,11331485,26117983,973294,37449468,57786209,5323135,3091287,2231848,10036071,12267444,8175997,12615743,22651814,260233285,-223839053,35699565,-565170,35134395,57786209,-9276601,364881,1999166,300624,-6611930,-680109,-680109,7355932,7355932,9515761,2223722,2223722,2223722,-8947950,4039293,-0.25817,-0.15697,2.02636,0.64472,0.0699,-4.48268,-4.48268,17.64231,-0.17633,1.44244,1.38593
"14","2014_Q1",72.277868852459,"Up",-11228615,-5931062,-5297553,-10494566,-1936417,-12430983,-12430983,-12718762,-12718762,-12534552,-12534552,46133759,46133759,1561933,1561933,49556527,12844216,27415339,1151729,40259555,89816082,7372934,3354908,4018026,9806919,14427955,10048729,17982728,27789647,299621722,-236373605,62542475,-516040,62026435,89816082,-12718762,407807,3521260,1425701,-7363994,-1742827,-1742827,37282743,37282743,38294380,29187559,29187559,29187559,-10086759,4148982,-0.20208,-0.13956,5.05322,0.44803,0.04619,-4.45739,-4.45739,22.24057,-0.15551,4.16237,4.00062
"15","2014_Q2",64.8142857142857,"Down",-13729099,-8970016,-4759083,-13498968,-283707,-13782675,-13782675,-13830084,-13830084,-13682057,-13682057,41359652,41359652,1833082,1833082,46556104,13790672,26046849,1204765,39837521,86393625,5677703,3296078,2381625,8786218,14701643,10275008,18540455,27326673,310405706,-250055662,59644402,-577450,59066952,86393625,-13830084,444452,4129314,-1997222,-11253540,-1239606,-1239606,5701985,5701985,7719039,-4774107,-4774107,-4774107,-13054516,4891036,-0.23164,-0.15837,5.29876,0.46264,0.05661,-4.86545,-4.86545,21.20999,-0.17394,2.79356,2.70159
"16","2014_Q3",58.3484375,"Down",-13241468,-7446016,-5795452,-12430462,-291643,-12722105,-12722105,-12769492,-12769492,-12605017,-12605017,33785898,32865071,2525402,2525402,40854425,15639291,76902175,1459627,92541466,133395891,8068557,5481229,2587328,11912327,40258296,21275008,44186259,56098586,341404552,-262660679,78039229,-741924,77297305,133395891,-12769492,543246,1993738,-1020192,-11252700,-1199660,-2068595,4677637,4677637,4826714,-8494581,-8494581,-8494581,-11887216,4941187,-0.16307,-0.09449,3.42959,0.72575,0.03704,-3.97141,-3.97141,24.58745,-0.1029,2.42653,2.32049
"17","2014_Q4",45.375,"Down",-16364485,-7894292,-8470193,-16258500,-870757,-17129257,-17129257,-17176644,-17176644,-16974269,-16974269,32806398,32141286,4376353,4376353,41413941,15686609,74238127,1317082,89924736,131338677,7219060,4400437,2818623,11854615,41468575,23046000,57425090,69279705,343343750,-279634948,63003272,-944300,62058972,131338677,-17176644,590636,4028974,-927967,-13485001,-486652,-239152,1166495,1166495,13000368,-723784.999999999,-723784.999999999,-723785,-15667864,16952091,-0.27352,-0.12924,3.49349,1.11635,0.12907,-4.84243,-4.84243,17.97358,-0.14089,1.0119,0.97514
"18","2015_Q1",36.1409836065574,"Down",-16666017,-6496483,-10169534,-15552824,3616413,-11936411,-11936411,-11690026,-11690026,-11611590,-11611590,26254114,19174061,4349167,4349167,33714555,15960731,76600106,1263375,92560837,126275392,9984074,5661173,4322901,16244582,37240736,19064546,51957021,68201603,350465687,-291246538,58514836,-441047,58073789,126275392,-11690026,608615,-2104811,2282225,-10903997,-731434,-7189346,5435536,5435536,5126118,-12967225,-12967225,-12967225,-14944209,16642673,-0.19995,-0.09195,2.07543,1.1744,0.1318,-35.44863,-35.44863,178.63768,-0.10371,0.64315,0.61799
"19","2015_Q2",24.7714285714286,"Down",-17891531,-11087899,-6803632,-18087864,-1096991,-19184855,-19184855,-19231488,-19231488,-19186896,-19186896,19131285,19131285,4296836,4296836,25396911,15852124,77564876,1325085,93417000,118813911,8652490,2928703,5723787,17462851,37963178,19740355,51382501,68845352,361542737,-310433434,50403661,-435102,49968559,118813911,-19231488,604440,4340243,46537.9999999995,-14240267,-344530,6704470,7411828,7411828,7493021,-42776,-42776,-42776,-17483424,16723865,-0.38398,-0.16149,1.45434,1.37777,0.14076,-5.10359,-5.10359,13.40702,-0.18333,0.1377,0.1331
"20","2015_Q3",16.725,"Down",-16337117,-8736373,-7600744,-16268950,4807570,-11461380,-20861380,-17158017,-17158017,-17126260,-17126260,39223017,36211324,3980547,3980547,44501102,16811639,67312005,1271381,84123644,128624746,9444359,2266337,7178022,16331236,31446708,16927248,46340169,62671405,394645279,-327559694,66381809,-428468,65953341,128624746,-17158017,649865,4765546,4155854,-7586752,-1458077,-4471234,28724586,28724586,29138025,17080039,17080039,17080039,-15619085,17137305,-0.25967,-0.13315,2.72491,0.95024,0.13323,-3.84214,-3.84214,14.89221,-0.14953,1.41402,1.35754
"21","2015_Q4",12.23703125,"Down",-11462779,-5147166,-6315613,-10383009,-963216,-11346225,-11346225,-11392858,-11392858,-11375950,-11375950,20318411,20318411,3476177,3476177,26360689,17064900,13779706,976768,30844606,57205295,10305876,4107388,6198488,21015223,1494663,562001,12906248,33921471,396553074,-372132490,23713533,-429709,23283824,57205295,-11392858,638723,946522.000000002,1104009,-8703604,-771177,-3154392,425,425,-310629.000000004,-12168625,-12168625,-12168625,-9744286,16775707,-0.48858,-0.19886,1.25436,1.45687,0.29325,-2.0594,-2.0594,4.29287000000001,-0.27376,0.36357,0.3412
