"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",63.9565573770492,"Up",78007000,-18881000,59126000,-49640000,-49640000,9486000,310000,206000,104000,9796000,9796000,-2490000,7306000,7306000,7306000,7306000,98834000,75077000,23757000,19328000,6460000,4188000,125198000,18611000,2120000,2120000,20731000,145929000,37140000,37140000,37140000,37348000,4979000,103762000,-160000,108581000,108581000,145929000,7306000,1005000,1383000,289000,9983000,-841000,1052000,211000,-1707000,-5586000,4608000,4608000,4524000,10491000,0,12429000,0.75796,0.1216,0.09366,0.06729,0.05007,1.7012,3.37097,0.34396,-1.35525271560688e-20,0.6121,0.60067,6.53544,9.09693,1.0413,0.10281,0.11425,-9.42084,-10.41893
"31","2018_Q2",109.99875,"Up",98596000,-23788000,74808000,-60125000,-60125000,14683000,248000,249000,-1000,14931000,14931000,-2709000,12222000,12222000,12222000,12222000,109241000,86963000,22278000,17288000,3577000,3577000,131131000,18358000,2328000,1902000,20686000,151817000,38187000,38187000,38187000,38187000,6381000,108243000,-244000,113630000,113630000,151817000,12222000,1544000,1124000,3118000,18008000,-1286000,1200000,-86000,-153000,-6036000,11886000,11886000,11886000,16227000,0,20768000,0.75873,0.14892,0.12396,0.10756,0.0805,1.69923,3.43392,0.33606,0,1.01596,1.00684,8.19584,9.44555,1.72635,0.15933,0.18277,-6.73205,-7.43996
"32","2018_Q3",174.985873015873,"Up",117324000,-28525000,88799000,-71689000,-71689000,17110000,509000,330000,179000,17619000,17619000,-3486000,14133000,14133000,14133000,14133000,103321000,81076000,22245000,26900000,3936000,3936000,135091000,18220000,2996000,1649000,21216000,156307000,53444000,53444000,53444000,53444000,7211000,116617000,-219000,102863000,102863000,156307000,14133000,1145000,-198000,5443000,20523000,-624000,0,-624000,-2.3283064365387e-10,-25786000,-5887000,-5887000,-5887000,18255000,5.82076609134674e-11,26560000,0.75687,0.14584,0.12046,0.1374,0.09042,1.87929,2.52771,0.51956,2.16840434497101e-19,1.17442,1.16619,9.74938,8.5477,2.20708,0.19368,0.25821,-5.65987,-6.03863
"33","2018_Q4",147.99746031746,"Down",139239000,-32038000,107201000,-89734000,-89734000,17467000,361000,361000,0,17828000,17828000,-4047000,13781000,13781000,13781000,13781000,103219000,82307000,20912000,43845000,3851000,3851000,151932000,18760000,3755000,1400000,22515000,174447000,62806000,62806000,62806000,62806000,8052000,124601000,-266000,111641000,111641000,174447000,13781000,830000,524000,-8188000,6947000,-1152000,1045000,-107000,124000,-5607000,1233000,1233000,1231000,18297000,0,13004000,0.76991,0.12545,0.09897,0.12344,0.079,0.94362,2.41907,0.56257,0,1.15284,1.141,11.6479,9.33922,1.08784,0.17477,0.11648,-5.64131,-5.90937
"34","2019_Q1",110.386229508197,"Down",145844000,-36753000,109091000,-89288000,-89288000,19803000,367000,366000,1000,20170000,20170000,-4517000,15653000,15653000,15653000,15653000,101034000,81364000,19670000,38888000,4586000,4586000,145519000,19747000,4163000,1183000,23910000,169429000,60323000,60323000,60323000,60323000,8814000,131344000,-173000,109106000,109106000,169429000,15653000,916000,664000,-1895000,15338000,-1682000,1300000,-382000,-144000,-15899000,-943000,-943000,-943000,20719000,-4.65661287307739e-10,21659000,0.748,0.13578,0.10733,0.14347,0.09239,1.3837,2.41233,0.55288,1.73472347597681e-18,1.32991,1.30659,12.39116,9.26984,1.84019,0.19622,0.19851,-4.87639,-5.10195
"35","2019_Q2",121.608412698413,"Up",165876000,-40729000,125147000,-100432000,-100432000,24715000,306000,312000,-6000,25021000,25021000,-4271000,20750000,20750000,20750000,20750000,120427000,101842000,18585000,43257000,4995000,4995000,169310000,23343000,17417000,13805000,40760000,210070000,74452000,74452000,76895000,88002000,9817000,143176000,-46000,122068000,122068000,210070000,20750000,1067000,569000,10348000,32734000,-4444000,1e+06,-3444000,13000,-8813000,20477000,20477000,20478000,25782000,13550000,35957000,0.75446,0.149,0.12509,0.16999,0.09878,1.73287,2.20183,0.72093,0.0645,1.74663,1.69526,13.96263,10.27508,3.02668,0.21808,0.26513,-4.14541,-4.32438
"36","2019_Q3",94.64671875,"Down",187103000,-46393000,140710000,-113355000,-113355000,27355000,423000,425000,-2000,27778000,27778000,-6395000,21383000,21383000,21383000,21383000,113522000,96311000,17211000,48473000,9003000,7638000,171976000,24984000,15611000,13006000,40595000,212571000,73570000,73570000,76044000,86548000,11082000,155762000,55999.9999999991,126023000,126023000,212571000,21383000,1089000,2325000,-10319000,14478000,-2528000,1430000,-1098000,9999.99999999977,-18911000,-5531000,-5531000,-5531000,28444000,12978000,21992000,0.75205,0.1462,0.11428,0.16968,0.10059,1.02848,2.26153,0.68676,0.06105,1.80295,1.75012,15.77597,10.62589,1.8543,0.21803,0.15821,-3.53481,-3.67553
"37","2019_Q4",85.89984375,"Down",190061000,-47128000,142933000,-122671000,-122671000,20262000,321000,324000,-3000,20583000,20583000,-4681000,15902000,15902000,15902000,15902000,96914000,81196000,15718000,51925000,8017000,4817000,158307000,26247000,14034000,12147000,40281000,198588000,75015000,75015000,77522000,87388000,12219000,162902000,72000,111200000,111200000,198588000,15902000,2941000,5195000,-6141000,17897000,-2252000,1300000,-952000,-33000,-32058000,-15113000,-15113000,-15115000,23203000,12373000,19491000,0.75204,0.10661,0.08367,0.143,0.08008,1.22569,2.04209,0.78586,0.0623,1.35578,1.31814,16.20437,9.48077,1.66178,0.20078,0.15773,-3.64354,-4.17239
"38","2020_Q1",81.6235483870968,"Down",170632000,-42564000,128068000,-109361000,-109361000,18707000,274000,234000,40000,18981000,18981000,899999.999999999,19881000,19881000,19881000,19881000,92678000,76974000,15704000,48771000,12702000,6096000,154151000,26039000,14463000,13156000,40502000,194653000,76220000,76220000,79388000,89821000,6092448.12101156,168788000,-63956000,104832000,104832000,194653000,19881000,-473000,1124000,-1380000,19152000,-834000,0,-834000,-13804000,-22542000,-4224000,-4224000,-4222000,18234000,13601000,15120000,0.75055,0.10963,0.11651,0.18965,0.10214,0.76053,1.94174,0.85681,0.06987,1.71167,1.66424,14.69066,9.02557,1.30176,0.24165,0.12767,-4.33679,-4.22713
"39","2020_Q2",83.7722222222222,"Up",178461000,-43221000,135240000,-111707000,-111707000,23533000,91000,110000,-19000,23624000,23624000,-5147000,18477000,18477000,18477000,18477000,105263000,90670000,14593000,47883000,7686000,7493000,161222000,25324000,15597000,14327000,40921000,202143000,78586000,78586000,81819000,91394000,506000,110173000,70000,110749000,110749000,202143000,18477000,1659000,1113000,5486000,26735000,-294000,1e+06,706000,-487000,-13741000,13700000,13700000,13696000,25192000,12808000,35531000,0.75781,0.13187,0.10354,0.16684,0.09141,1.92299,1.97047,0.82524,0.06336,1.56957,1.56267,15.15979,9.40783,3.01826,0.25681,0.28757,-3.67001,-3.92874
"40","2020_Q3",151.53734375,"Up",219999000,-60699000,159300000,-131201000,-131201000,28099000,59000,58000,1000,28158000,28158000,-6223000,21935000,21935000,21935000,21935000,145392000,130828000,14564000,38580000,6437000,6437000,191245000,24574000,16266000,14195000,40840000,232085000,103335000,103335000,106605000,115349000,2883000,118754000,99000.0000000075,116736000,116736000,232085000,21935000,1822000,422000,33339000,57518000,-289000,0,-289000,1241000,-17073000,40156000,40156000,40158000,29921000,12014000,69194000,0.72409,0.12772,0.0997,0.1879,0.09451,3.1545,1.79396,0.98812,0.05177,1.86269,1.85575,18.68198,9.91304,5.87585,0.27378,0.53743,-4.45767,-4.74672
"41","2020_Q4",163.70609375,"Up",271470000,-67434000,204036000,-159477000,-159477000,44559000,74000,44000,30000,44633000,44633000,-10180000,34453000,34453000,34453000,34453000,169919000,156486000,13433000,41736000,5805000,5158000,217460000,26828000,16502000,14460000,43330000,260790000,108678000,108678000,111985000,120776000,5135000,139770000,109000,140014000,140014000,260790000,34453000,1778000,2264000,2619000,41114000,-3269000,1e+06,-2269000,138000,-13186000,25659000,25659000,25658000,46337000,12098000,55867000,0.7516,0.16414,0.12691,0.24607,0.13211,1.62154,1.94187,0.8626,0.04639,2.92769,2.90106,23.06849,11.89786,4.74737,0.31409,0.36728,-3.40594,-3.54184
"42","2021_Q1",222.85,"Up",264912000,-65673000,199239000,-161271000,-161271000,37968000,-118000,34000,-152000,37850000,37850000,-9856000,27994000,27994000,27994000,27994000,174475000,163723000,10752000,53392000,6447000,6447000,234314000,27633000,14137000,13445000,41770000,276084000,107677000,107677000,111350000,118838000,7842000,154351000,-4947000,157246000,157246000,276084000,27994000,-943000,7319000,-14541000,19829000,-2035000,2605000,570000,154000,-13144000,7255000,7255000,7237000,37025000,11161000,30305000,0.7521,0.14332,0.10567,0.17803,0.1014,1.08255,2.1043,0.75575,0.04043,2.37882,2.3564,22.51122,13.36217,2.5752,0.24519,0.17995,-4.41091,-4.30136
"43","2021_Q2",254.175079365079,"Up",340669000,-92122000,248547000,-195748000,-195748000,52799000,42000,23000,19000,52841000,52841000,-11778000,41063000,41063000,41063000,41063000,212914000,206031000,6883000,62322000,6625000,6625000,281861000,31107000,13427000,12735000,44534000,326395000,141250000,141250000,144901000,151504000,8726000,178562000,103000,174891000,174891000,326395000,41063000,1124000,3115000,20024000,65326000,-4598000,3720000,-878000,-1326000,-22218000,42230000,42230000,42308000,53923000,10254000,81127000,0.72959,0.15499,0.12054,0.23479,0.12581,1.97567,1.9452,0.86628,0.03142,3.48819,3.45619,28.93892,14.85652,6.89152,0.29412,0.43818,-3.75832,-3.83833
"44","2021_Q3",231.8425,"Down",394189000,-100482000,293707000,-232273000,-232273000,61434000,-89000,-67000,-22000,61345000,61345000,-14382000,46963000,46963000,46963000,46963000,197427000,191987000,5440000,95790000,11104000,11104000,304321000,37376000,22537000,21845000,59913000,364234000,149022000,149022000,153978000,169545000,10606000,185343000,87000.0000000009,194689000,194689000,364234000,46963000,1329000,3465000,-30879000,20878000,-7598000,1425000,-6173000,-19535000,-28738000,-14033000,-14033000,-14044000,62763000,20523000,38668000,0.74509,0.15585,0.11914,0.24122,0.12894,0.82337,1.97639,0.87085,0.05635,3.98938,3.95278,33.4853,16.53831,3.28474,0.29583,0.17967,-2.8186,-2.87958
"45","2021_Q4",196.24609375,"Down",413395000,-106338000,307057000,-251886000,-251886000,55171000,21000,-94000,115000,55192000,55192000,-13210000,41982000,41982000,41982000,41982000,159895000,154516000,5379000,129614000,11541000,11541000,301050000,46451000,23867000,23175000,70318000,371368000,155506000,155506000,160908000,175129000,12950000,183155000,134000,196239000,196239000,371368000,41982000,1314000,3611000,-31107000,15800000,-10389000,0,-10389000,19805000,-42945000,-37534000,-37534000,-37471000,56485000,19623000,28199000,0.74277,0.13346,0.10155,0.21393,0.11305,0.67169,1.87094,0.89243,0.05284,3.57628,3.54578,35.21552,16.71684,2.40216,0.27208,0.13063,-2.48335,-2.5425
"46","2022_Q1",180.089032258065,"Down",377834000,-99548000,278286000,-231449000,-231449000,46837000,-86000,-93000,7000,46751000,46751000,-12728000,34023000,34023000,34023000,34023000,109544000,104183000,5361000,180043000,17279000,16334000,306866000,56131000,35329000,30925000,91460000,398326000,163309000,163309000,169832000,195852000,12030000,190333000,111000,202474000,202474000,398326000,34023000,3045000,1157000,-45684000,-7459000,-11624000,1.16415321826935e-10,-11624000,-4222000,-31232000,-50315000,-50315000,-50333000,49882000,32543000,5302000,0.73653,0.12396,0.09005,0.16804,0.08541,0.15584,1.80688,0.96729,0.0817,2.94546,2.92797,32.71007,17.5287,0.45901,0.21715,0.02256,-1.54366,-1.64402
"47","2022_Q2",172.558064516129,"Down",417600000,-115314000,302286000,-247199000,-247199000,55087000,-111000,-95000,-16000,54976000,54976000,-13195000,41781000,41781000,41781000,41781000,122060000,118003000,4057000,188972000,13227000,13227000,324259000,57804000,39372000,34968000,97176000,421435000,174369000,174369000,181032000,205411000,12834000,203051000,139000,216024000,216024000,421435000,41781000,2444000,3905000,-4457000,43673000,-3009000,1245000,-1764000,-1459000,-28119000,13790000,13790000,13820000,57531000,31042000,63260000,0.72386,0.13191,0.10005,0.19341,0.09914,1.51409,1.79117,0.95087,0.07366,3.57347,3.54527,35.71673,18.47622,5.41054,0.23654,0.25604,-1.58207,-1.65226
"48","2022_Q3",139.5578125,"Down",453333000,-131651000,321682000,-272718000,-272718000,48964000,-168000,-164000,-4000,48796000,48796000,-9683000,39113000,39113000,39113000,39113000,61069000,61069000,120538.492629019,156974000,25257000,16710000,243300000,58544000,38706000,34302000,97250000,340550000,154782000,154782000,161160000,211074000,20871043.1911734,129197000,279000,129476000,129476000,340550000,39113000,2732000,4460000,-2543000,43762000,-2840000,4022000,1182000,-120068000,-102025000,-57081000,-57081000,-56934000,51696000,56292000,55996000,0.70959,0.10801,0.08628,0.30209,0.11485,1.43165,1.50968,1.63022,0.1653,3.34528,3.31888,38.77292,11.0739,4.78926,0.31259,0.30143,-0.0924100000000001,-0.0975599999999999
