"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",5.564375,"Down",-6868000,-2447000,-4421000,-5495000,65000,74000,-9000,-5430000,-5430000,-5430000,-5430000,-5430000,-5430000,73575000,70628000,2947000,3331000,1551000,76906000,377000,18000,18000,395000,77301000,3361000,348000,3013000,3361000,16000,16000,16000,3377000,107479000,-33556000,1000,73924000,73924000,77301000,-5430000,33000,418000,347000,-4632000,-89000,2016000,1852000,49294000,49294000,49392000,46612000,46612000,46612000,-5462000,0,-0.07345,-0.07024,22.88188,0.04568,0,-0.46111,-0.46111,6.27748,-0.07344,13.47034,13.38944
"2","2016_Q4",5.8331746031746,"Up",-7450000,-2065000,-5385000,-6301000,63000,72000,-9000,-6238000,-6238000,-6238000,-6238000,-6238000,-6238000,68035000,49544000,18491000,3644000,2073000,71679000,342000,40000,40000,382000,72061000,3656000,523000,3133000,3837000,26000,26000,26000,3863000,107989000,-39794000,3000,68198000,68198000,72061000,-6238000,34000,368000,-29000,-5865000,0,-15450000,-15295000,76000,76000,76000,-21084000,-21084000,-21084000,-6267000,0,-0.09147,-0.08657,18.681,0.05664,0,-0.4681,-0.4681,5.11763,-0.09143,10.85607,10.79749
"3","2017_Q1",5.64709677419355,"Down",-6790000,-2049000,-4741000,-5543000,60000,72000,-12000,-5483000,-5483000,-5483000,-5483000,-5483000,-5483000,63502000,47748000,15754000,2922000,1707000,66424000,599000,40000,40000,639000,67063000,3894000,168000,3726000,3965000,132000,132000,132000,4097000,108247000,-45277000,-4000,62966000,62966000,67063000,-5483000,36000,344000,748000,-4355000,-121000,2680000,2559000,0,0,0,-1796000,-1796000,-1796000,-5507000,0,-0.08708,-0.08176,16.75259,0.06507,0,-0.40845,-0.40845,4.69053,-0.0869,11.53114,11.45625
"4","2017_Q2",5.53063492063492,"Down",-7313000,-2364000,-4949000,-6331000,84000,95000,-11000,-6247000,-6247000,-6247000,-6247000,-6247000,-6247000,57868000,16801000,41067000,2437000,1456000,60305000,822000,140000,140000,962000,61267000,3906000,267000,3639000,3957000,127000,127000,127000,4084000,108744000,-51524000,-37000,57183000,57183000,61267000,-6247000,52000,390000,373000,-5432000,-271000,-25340000,-25611000,96000,96000,96000,-30947000,-30947000,-30947000,-6279000,3.5527136788005e-15,-0.10925,-0.10196,15.24008,0.07142,1.32348898008484e-23,-0.46739,-0.46739,4.2783,-0.109,9.21612,9.14042
"5","2017_Q3",3.74920634920635,"Down",-8200000,-2365000,-5835000,-6720000,88000,1e+05,-12000,-6632000,-6632000,-6632000,-6632000,-6632000,-6632000,63393000,26934000,36459000,2810000,1597000,66203000,802000,139000,139000,941000,67144000,4347000,634000,3713000,4418000,122000,122000,122000,4540000,120789000,-58156000,-29000,62604000,62604000,67144000,-6632000,62000,703000,-75000,-5942000,-46000,4570000,4524000,11551000,11551000,11551000,10133000,10133000,10133000,-6658000,0,-0.10594,-0.09877,14.98483,0.07252,0,-0.46988,-0.46988,4.43556,-0.10573,9.52133,9.43348
"6","2017_Q4",4.89333333333333,"Up",-9260000,-3020000,-6240000,-7999000,125000,137000,-12000,-7874000,-7874000,-7874000,-7874000,-7874000,-7874000,55749000,13162000,42587000,3770000,1318000,59519000,844000,139000,139000,983000,60502000,4827000,615000,4212000,4877000,117000,117000,117000,4994000,121570000,-66030000,-32000,55508000,55508000,60502000,-7874000,69000,785000,-348000,-7368000,-111000,-6175000,-6286000,-118000,-118000,-118000,-13772000,-13772000,-13772000,-7930000,0,-0.14185,-0.13014,12.20402,0.08997,0,-0.47983,-0.47983,3.3826,-0.14156,7.03014,6.9695
"7","2018_Q1",7.22622950819672,"Up",-8108000,-2317000,-5791000,-6626000,143000,150000,-7000,-6483000,-6483000,-6483000,-6483000,-6483000,-6483000,50299000,12817000,37482000,4692000,1614000,54991000,854000,232000,232000,1086000,56077000,5609000,389000,5220000,5629000,111000,111000,111000,5740000,122952000,-72513000,-102000,50337000,50337000,56077000,-6483000,66000,692000,-148000,-5873000,-191000,5035000,4844000,684000,684000,684000,-345000,-345000,-345000,-6560000,0,-0.12879,-0.11561,9.76923,0.11403,0,-0.39,-0.39,3.02816,-0.12851,7.66753,7.59116
"8","2018_Q2",9.84296875,"Up",-9755000,-2885000,-6870000,-8245000,126000,143000,-17000,-8119000,-8119000,-8119000,-8119000,-8119000,-8119000,43475000,10760000,32715000,5368000,1995000,48843000,810000,133000,133000,943000,49786000,5765000,763000,5002000,5765000,101000,101000,101000,5866000,124650000,-80632000,-98000,43920000,43920000,49786000,-8119000,70000,840000,-238000,-7447000,-83000,4785000,4702000,688000,688000,688000.000000002,-2057000,-2057000,-2057000,-8175000,9.09494701772928e-13,-0.18486,-0.16308,8.47233,0.13356,-3.3881317890172e-21,-0.48698,-0.48698,2.63434,-0.18443,5.31804,5.27289
"9","2018_Q3",9.34285714285714,"Down",-12048000,-2926000,-9122000,-9670000,256000,263000,-7000,-9414000,-9414000,-9414000,-9414000,-9414000,-9414000,72193000,20579000,51614000,6695000,2414000,78888000,776000,49000,49000,825000,79713000,6175000,952000,5223000,6175000,91000,91000,91000,6266000,163549000,-90046000,-56000,73447000,73447000,79713000,-9414000,75000,1306000,-1011000,-9044000,-35000,-19165000,-19200000,38063000,38063000,38063000,9819000,9819000,9819000,-9595000,0,-0.12817,-0.1181,12.77538,0.08531,0,-0.45702,-0.45702,3.56561,-0.12802,7.52402,7.46567
"10","2018_Q4",8.48603174603175,"Down",-12243000,-3314000,-8929000,-12243000,326000,339000,-13000,-11917000,-11917000,-11917000,-11917000,-11917000,-11917000,64735000,14532000,50203000,5647000,3225000,70382000,846000,49000,49000,895000,71277000,7515000,1077000,6438000,7515000,81000,81000,81000,7596000,165677000,-101963000,-33000,63681000,63681000,71277000,-11917000,76000,1062000,2277000,-8502000,-101000,1500000,1399000,1056000,1056000,1056000.00000001,-6047000,-6047000,-6047000,-12167000,0,-0.18714,-0.16719,9.36554,0.11928,0,-0.542,-0.542,2.8963,-0.1869,5.32054,5.28751
