"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","short_term_debt","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q3",18.68375,"Down",234297000,100242000,27992000,106063000,93225000,372000,12466000,-45124000,-70641000,-75266000,43266000,-6928000,-6928000,36338000,36338000,-14330000,22008000,22008000,22008000,22008000,2065058000,210506000,745322000,6096361000,9117247000,4894565000,3e+08,129776000,2475310000,7799651000,871433000,304075000,142088000,1317596000,1317596000,9117247000,22008000,2382000,-80909000,-1378000,-57897000,11766000,32921000,41818000,-675666000,-675666000,-691745000,-691745000,-7782000,-699527000,45648000,3e+08,0.18466,0.09393,0.0167,0.00241,5.91961,0.0329,0.30633,0.30258,3.26119,18.33968,9.40463,0.07763,30.70093,1.96052,2.06846
"2","2010_Q4",19.40625,"Up",241237000,110390000,27855000,102992000,89737000,1016000,12239000,-49811000,-71208000,-51370000,68848000,-6968000,-6968000,61880000,61880000,-22285000,39595000,39595000,39595000,39595000,2209369000,74759000,798335000,6372233000,9454696000,4958422000,3e+08,127732000,2672228000,8058382000,883403000,342920000,169991000,1396314000,1396314000,9454696000,39595000,2597000,-37720000,-42194000,-37722000,-148930000,46453000,-105063000,-749999.999999881,-749999.999999881,-143535000,-143535000,7788000,-135747000,71445000,3e+08,0.2854,0.16413,0.02836,0.00419,5.77118,0.03173,0.54638,0.54217,3.32888,19.26801,0.0103500000000025,0.00433,0.0189400000000006,3.15265,3.27157
"3","2011_Q1",21.8420967741935,"Up",279387000,130349000,26688000,122350000,108288000,1700000,12362000,-52033000,-92220000,-85309000,49825000,-6976000,-6976000,42849000,42849000,-15282000,27567000,27567000,27567000,27567000,2153584000,126038000,853211000,6751473000,9884306000,5001894000,3e+08,317952000,2832968000,8452814000,883896000,395057000,152539000,1431492000,1431492000,9884306000,27567000,2652000,-6235000,-4614000,19370000,54314000,-37024000,23867000,-752000,-752000,42485000,42485000,8794000,51279000,52477000,3e+08,0.17834,0.09867,0.01926,0.00279,5.9049,0.03035,0.3816,0.37748,3.86748,19.81578,0.01041,0.00296,0.02728,3.31501,3.49146
"4","2011_Q2",19.1974603174603,"Down",276352000,129831000,28626000,117895000,106116000,327000,11452000,-57635000,-82665000,-55799000,80253000,-6997000,-6997000,73256000,73256000,-25985000,47271000,47271000,47271000,47271000,2214821000,115277000,908600000,6935927000,10174625000,5074671000,3e+08,328869000,2980443000,8683983000,890386000,446767000,153489000,1490642000,1490642000,10174625000,47271000,2657000,11983000,-58703000,3208000,-16714000,4290999.99999999,-12423000,-757000,-757000,-9971999.99999999,-9971999.99999999,-789000,-10761000,82910000,3e+08,0.2904,0.17105,0.03171,0.00465,5.82567,0.02949,0.65048,0.6403,3.80278,20.5122,0.0104200000000001,0.00488,0.0160099999999999,2.22799,2.30176
"5","2011_Q3",18.13234375,"Down",275095000,125317000,27229000,122549000,108698000,2035000,11816000,-57272000,-83782000,-68578000,65463000,-6998000,-6998000,58465000,58465000,-20845000,37620000,37620000,37620000,37620000,2182962000,114051000,966094000,6907259000,10170366000,5120817000,3e+08,293625000,2908962000,8623404000,894754000,488520000,163688000,1546962000,1546962000,10170366000,37620000,2608000,-69189000,19553000,-9408000,37840000,-22757000,15083000,-2270000,-6380000,-705000,-705000,-521000,-1226000,68071000,3e+08,0.23797,0.13675,0.02432,0.0037,5.57441,0.0295,0.51209,0.5068,3.74467,21.0577,0.0309,0.00404,0.06034,2.73169,2.84052
"6","2011_Q4",19.5952380952381,"Up",275791000,135096000,27103000,113592000,100883000,-177999.999999999,12887000,-64101000,-84318000,-64865000,62507000,-7e+06,-7e+06,55507000,55507000,-20409000,35098000,35098000,35098000,35098000,2165845000,154027000,1004545000,6683090000,10007507000,5147361000,3e+08,321511000,2667002000,8435874000,899682000,526847000,145104000,1571633000,1571633000,10007507000,35098000,2591000,-3746000.00000001,-14413000,19530000,1444999.99999997,20839000,22284000,-2274000,-2273999.99999999,39540000,39540000,436000,39976000,65098000,3e+08,0.22665,0.12726,0.02233,0.00351,5.36759,0.02998,0.47648,0.47283,3.74406,21.33603,0.03087,0.00386,0.06479,2.24236,2.33531
"7","2012_Q1",21.8661290322581,"Up",275855000,136148000,25643000,114064000,98774000,4256000,11034000,-63688000,-83609000,-64904000,63654000,-6973000,-6973000,56681000,56681000,-19479000,37202000,37202000,37202000,37202000,2021504000,136078000,904485000,6789753000,9851820000,5204402000,3e+08,230674000,2790094000,8525170000,835881000,344104000,146665000,1326650000,1326650000,9851820000,37202000,2875000,103437000,-69629000,73885000,142162000,-38407000,103755000,-2011000,-197145000,-19505000,-19505000,1556000,-17949000,66529000,3e+08,0.23075,0.13486,0.02804,0.00378,6.42609,0.03045,0.53654,0.53037,3.97847,19.13336,0.029,0.00408,0.05406,2.46392,2.5752
"8","2012_Q2",22.0147619047619,"Up",286601000,142874000,26097000,117630000,103905000,2131000,11594000,-67933000,-84744000,-63549000,70375000,-6910000,-6910000,63465000,63465000,-21709000,41756000,41756000,41756000,41756000,2011695000,155536000,948087000,6958598000,10073916000,5283166000,3e+08,231010000,2872425000,8686601000,843266000,383847000,160202000,1387315000,1387315000,10073916000,41756000,2491000,35923000,-84940000,-4770000,39131000,-7172999.99999999,31958000,-2013000,-7933999.99999997,19254000,19254000,204000,19458000,72866000,3e+08,0.24555,0.14569,0.0301,0.00414,6.26145,0.02978,0.64109,0.63004,4.40024,21.29973,0.03091,0.00445,0.04821,1.9826,2.05277
"9","2012_Q3",25.0138095238095,"Up",300525000,154258000,23605000,122662000,106751000,4321000,11590000,-68925000,-86138000,-65035000,80427000,-8506000,-8506000,71921000,71921000,-25741000,46180000,46180000,46180000,46180000,1908779000,108062000,990558000,6943678000,9951077000,5317315000,3e+08,226718000,2830178000,8674211000,694316000,426936000,155614000,1276866000,1276866000,9951077000,46180000,2420000,-6370000,-25781000,16449000,92864000,1926000,94790000,-3091000,-158511000,-47272000,-47272000,-202000,-47474000,82847000,3e+08,0.26762,0.15366,0.03617,0.00464,6.79336,0.03015,0.75052,0.73668,4.88412,20.75159,0.05023,0.00507,0.06693,2.31678,2.38649
"10","2012_Q4",25.26,"Up",299088000,152282000,26881000,119925000,105318000,3872000,10735000,-70738000,-85288000,-63678000,79384000,-8828000,-8828000,70556000,70556000,-24957000,45599000,45599000,45599000,45599000,1990899000,185823000,1036020000,7221697000,10434439000,5393197000,374421000,274074000,3055336000,9097028000,692482000,468223000,176706000,1337411000,1337411000,10434439000,45599000,2644000,29046000,13702000,90991000,-101332000,28933000,-72399000,-4312000,58431000.0000001,77023000,77023000,738000,77761000,82028000,374421000,0.26542,0.15246,0.03409,0.00437,6.80197,0.03588,0.75924,0.7403,4.9799,22.26829,0.0718,0.00491,0.09456,2.29919,2.37577
