"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",46.8028571428571,"Up",126719000,-43129000,83590000,-57925000,-28003000,-29922000,25665000,346000,-23000,-23000,369000,26011000,26011000,-4932000,21079000,21079000,21079000,21079000,420532000,152200000,268332000,56932000,56932000,27652000,29069000,21161000,534185000,26654000,165543000,105109000,20397000,218188000,752373000,53990000,28491000,28420000,28420000,82410000,24327000,24327000,106737000,122057000,526964000,-3385000,645636000,645636000,752373000,21079000,2879000,13207000,-6050000,31115000,-1747000,-1747000,-58843000,-16609000,7483000,8e+05,-15809000,-43537000,-43537000,-43537000,28544000,24327000,25679000,0.65965,0.20253,0.16634,0.03265,0.02802,1.21823,6.48204,0.16532,0.03233,0.46008,0.43982,2.76582,14.09193,0.56048,9,0.03146,0.03833,-13.8805,-15.43756
"2","2010_Q3",39.6071875,"Down",134577000,-43684000,90893000,-60246000,-29737000,-30509000,30647000,25000,-22000,-22000,47000,30672000,30672000,-9625000,21047000,21047000,21047000,21047000,353377000,80969000,272408000,76318000,76318000,29100000,29516000,20448000,488311000,25365000,180652000,109222000,23465000,232187000,720498000,54236000,29475000,28953000,28953000,83189000,23832000,23832000,107021000,68664000,548011000,-3198000,613477000,613477000,720498000,21047000,2942000,11795000,-14366000,21418000,-1564000,-1564000,-27177000,-66456000,9761000,984000,-65472000,-71231000,-71231000,-71231000,33589000,23832000,27284000,0.6754,0.22773,0.15639,0.03431,0.02921,1.29634,5.8699,0.17445,0.03308,0.46371,0.44429,2.96503,13.51628,0.60113,8,0.03302,0.04281,-9.8111,-10.75293
"3","2010_Q4",41.93984375,"Up",120154000,-41484000,78670000,-59325000,-28556000,-30769000,19345000,125000,-21000,-21000,146000,19470000,19470000,-1237000,18233000,18233000,18233000,18233000,345992000,107651000,238341000,63801000,63801000,38140000,40278000,29960000,488211000,25910000,176706000,109222000,21328000,221929000,710140000,54886000,26837000,33193000,33193000,88079000,21661000,21661000,109740000,37179000,566244000,-3023000,600400000,600400000,710140000,18233000,2915000,10918000,-1117000,30949000,-3481000,-3481000,37769000,-42260000,-2238000,224000,-42036000,26682000,26682000,26682000,22260000,21661000,18899000,0.65474,0.161,0.15175,0.03037,0.02568,1.03653,5.54288,0.18278,0.0305,0.41119,0.39627,2.70971,13.54021,0.42621,6,0.02931,0.03038,-14.57013,-16.76562
"4","2011_Q1",45.3162903225806,"Up",111891000,-40800000,71091000,-60077000,-27456000,-32621000,11014000,492000,-11000,-11000,503000,11506000,11506000,1377000,12883000,12883000,12883000,12883000,365862000,138567000,227295000,45030000,45030000,39450000,43587000,34447000,493929000,29945000,186284000,112296000,20746000,233729000,727658000,53729000,24433000,26127000,26127000,79856000,22372000,22372000,102228000,49951000,579127000,-3648000,625430000,625430000,727658000,12883000,3061000,12229000,6280000,34453000,-7058000,-7058000,-6990000,3049000,3049000,404000,3453000,30916000,30916000,30916000,14075000,22372000,11920000,0.63536,0.09844,0.11514,0.0206,0.0177,0.92525,6.18525,0.16345,0.03075,0.2939,0.28216,2.55261,14.26815,0.27194,3.19640744829211,0.01989,0.0184,-24.40426,-31.18667
"5","2011_Q2",41.6768253968254,"Down",119636000,-47478000,72158000,-67219000,-31860000,-35359000,4939000,775000,-5000,-5000,780000,5714000,5714000,-7674000,-1960000,-1960000,-1960000,-1960000,322281000,118496000,203785000,58493000,58493000,41057000,49383000,39922000,471214000,29464000,215867000,117215000,29816000,262296000,733510000,50785000,20371000,28896000,28896000,79681000,23540000,23540000,103221000,56538000,577167000,-3416000,630289000,630289000,733510000,-1960000,3253000,13938000,-17857000,-2626000,-2697000,-2697000,-7227000,-4186000,-3580000,1142000,-10218000,-20071000,-20071000,-20071000,8192000,23540000,-4688000,0.60315,0.04128,-0.01638,-0.00311,-0.00267,2.39184,5.91376,0.16377,0.03209,-0.04427,-0.04427,2.70248,14.23771,-0.1059,2,-0.003,-0.00717,-36.46741,-60.48613
"6","2011_Q3",35.76859375,"Down",126197000,-49985000,76212000,-60228000,-26054000,-34174000,15984000,632000,-5000,-5000,637000,16616000,16616000,-3244000,13372000,13372000,13372000,13372000,333590000,134824000,198766000,70351000,70351000,38097000,44770000,34499000,486808000,28399000,211854000,117215000,28359000,257449000,744257000,54110000,26064000,32034000,32034000,86144000,21521000,21521000,107665000,49045000,590539000,-2992000,636592000,636592000,744257000,13372000,3427000,10514000,1543000,28856000,-2361000,-2361000,3217000,-16566000,6069000,821000,-15745000,16328000,16328000,16328000,19411000,21521000,21837000,0.60391,0.12666,0.10596,0.02101,0.01797,1.63304,5.6511,0.16913,0.02892,0.29981,0.28018,2.82947,14.27304,0.48961,4,0.02032,0.03318,-16.07692,-19.52384
"7","2011_Q4",40.2903174603175,"Up",119100000,-46203000,72897000,-58969000,-27254000,-31715000,13928000,303000,-4000,-4000,307000,14231000,14231000,-2976000,11255000,11255000,11255000,11255000,283098000,108183000,174915000,58370000,58370000,38403000,46897000,36280000,426768000,27373000,205364000,115489000,26088000,250577000,677345000,58371000,25720000,28372000,28372000,86743000,19280000,19280000,106023000,4000,573848000,-2530000,571322000,571322000,677345000,11255000,3439000,13543000,11102000,39339000,-2414000,-2414000,20863000,-86991000,-169000,148000,-86843000,-26641000,-26641000,-26641000,17367000,19280000,29031000,0.61207,0.11694,0.0945,0.0197,0.01662,2.57939,4.91991,0.18557,0.02846,0.26275,0.25627,2.78037,13.33743,0.67772,6,0.01906,0.04915,-15.19076,-18.94156
"8","2012_Q1",44.1003225806452,"Up",126692000,-49513000,77179000,-61956000,-27251000,-34705000,15223000,556000,-23000,-23000,579000,15779000,15779000,-2974000,12805000,12805000,12805000,12805000,307490000,94964000,212526000,55351000,55351000,34778000,55430000,43867000,453049000,25141000,210324000,115489000,34830000,252942000,705991000,57876000,26354000,24962000,24962000,82838000,26676103.7918404,24214000,107052000,14753000,586653000,-2467000,598939000,598939000,705991000,12805000,3451000,10437000,-3520000,23173000,-1218000,-1218000,-42025000,5339999.99999999,5340000,293000,5633000.00000001,-13219000,-13219000,-13219000,18674000,-3.72529029846191e-09,16910000,0.60919,0.12016,0.10107,0.02138,0.01814,1.32058,5.4691,0.17874,-3.46944695195361e-18,0.30504,0.29496,3.01806,14.26793,0.40283,7,0.02055,0.02714,-16.46621,-20.19904
"9","2012_Q2",36.7963492063492,"Down",125702000,-50606000,75096000,-58332000,-25402000,-32930000,16764000,353000,-33000,-33000,386000,17117000,17117000,-2797000,14320000,14320000,14320000,14320000,333337000,98038000,235299000,61425000,61425000,34295000,52468000,47527000,481525000,24008000,209548000,115489000,36334000,251285000,732810000,62077000,29965000,28269000,28269000,90346000,19053000,19053000,109399000,24255000,600973000,-1817000,623411000,623411000,732810000,14320000,3543000,12304000,-4020000,26147000,-2428000,-2428000,-25605000,106000,106000,2426000,2532000,3074000,3074000,3074000,20307000,19053000,16656000,0.59741,0.13336,0.11392,0.02297,0.01954,1.16313,5.32979,0.17548,0.026,0.33727,0.32657,2.96062,14.683,0.39229,7,0.02229,0.02593,-15.47663,-18.74755
"10","2012_Q3",37.7461904761905,"Up",135670000,-52868000,82802000,-66423000,-32178000,-34245000,16379000,1410000,-32000,-32000,1442000,17789000,17789000,2720000,20509000,20509000,20509000,20509000,311900000,173753000,138147000,72666000,72666000,35977000,54322000,48152000,474865000,23468000,211913000,115489000,40977000,246409000,721274000,68045000,36383000,26334000,26334000,94379000,9700000,9700000,104079000,4000,618839000,-1648000,617195000,617195000,721274000,20509000,3206000,9922000,-18525000,15112000,-2667000,-2667000,93936000,-33357000,2816000,24000,-33333000,75715000,75715000,75715000,19585000,9700000,-4327000,0.61032,0.12073,0.15117,0.03323,0.02843,-0.21098,5.03147,0.16863,0.01345,0.48082,0.4723,3.18071,14.4698,-0.10144,7,0.03272,-0.0069,-15.43018,-18.45045
