"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",51.71875,"Down",1508993000,-1150513000,358480000,-337036000,-29760000,-17445000,-289831000,21444000,-3706000,-5042000,17738000,15983000,-6157000,9826000,9826000,9826000,9826000,228625000,228625000,115430000,115430000,185436000,69702000,69702000,599193000,904860000,124294000,80570000,43724000,1029154000,1628347000,147315000,147315000,214277000,178106000,361592000,485821000,485821000,715821000,1077413000,682182000,-131052000,-196000,550934000,550934000,1628347000,9826000,9826000,17445000,550000,12590000,40411000,13572000,-183093000,462000,462000,-142220000,-142220000,-38000,-142258000,38889000,2.3e+08,71208000,0.23756,0.01421,0.00651,0.01784,0.00603,7.2469,1.6571,1.95561,0.14125,1.34725,1.34725,206.89917,75.53898,9.76338,0.00776,0.05621,0.03536,0.06412
"22","2016_Q1",38.6967213114754,"Down",1308804000,-961893000,346911000,-344202000,-34329000,-19297000,-290576000,2709000,-5184000,-6084000,-2475000,-4227000,2619000,-1608000,-1608000,-1608000,-1608000,172087000,172087000,91580000,91580000,183492000,48181000,48181000,495340000,989606000,136595000,26209000,30618000,1126201000,1621541000,125079000,125079000,170543000,133513000,295622000,460153000,460153000,776600000,1072222000,682219000,-132660000,-240000,549319000,549319000,1621541000,-1608000,-1608000,19297000,19100000,-40562000,-3773000,-95401000,-146382000,-4529000,93629000,-56526000,-56526000,-12000,-56538000,22006000,316447000,-116576000,0.26506,0.00207,-0.00123,-0.00293,-0.000990000000000001,72.49751,1.67559,1.95191,0.19515,-0.21945,-0.21945,178.61715,74.96752,-15.90954,-0.00121,-0.08792,6.56003,53.28904
"23","2016_Q2",36.44765625,"Down",1149822000,-809530000,340292000,-349070000,-30966000,-20525000,-297579000,-8778000,-5874000,-6821000,-14652000,-15621000,5677000,-9944000,-9944000,-9944000,-9944000,129604000,129604000,108859000,108859000,184803000,42310000,42310000,465576000,1030026000,142368000,110743000,31625000,1172394000,1637970000,129023000,129023000,201885000,164420000,330908000,449696000,449696000,766392000,1097300000,683268000,-142604000,6000,540670000,540670000,1637970000,-9944000,-9944000,20525000,-7221000,8110000,11470000,-18718000,-53841000,-142000,-142000,-42513000,-42513000,30000,-42483000,11747000,316696000,-4538000,0.29595,-0.00763,-0.00865,-0.01839,-0.00607,0.45636,1.40697,2.02952,0.19335,-1.34775,-1.34775,155.84045,73.27939,-0.61506,-0.00761,-0.00347,15.92679,-21.31374
"24","2016_Q3",37.62078125,"Up",1430008000,-1051510000,378498000,-366187000,-36009000,-21322000,-308856000,12311000,-5649000,-6740000,6662000,5570000,-1985000,3585000,3585000,3521000,3521000,133799000,133799000,125819000,125819000,192470000,44629000,44629000,496717000,1042687000,160454000,127760000,32694000,1203141000,1699858000,158040000,158040000,215573000,176774000,373613000,460908000,460908000,779170000,1152783000,684727000,-139083000,66000,545710000,547075000,1699858000,3585000,3585000,21322000,-1194000,21113000,44826000,-3694999.99999999,-40573000,-63999.9999999991,-64000,4189000,4189000,5999.99999999999,4195000,33633000,318262000,53036000,0.26468,0.00861,0.00246,0.00644,0.00207,15.06277,1.3295,2.10718,0.18723,0.47683,0.47683,193.65781,73.90239,7.18236,0.00265,0.03999,5.48458,14.98359
"25","2016_Q4",33.8396825396825,"Down",1462646000,-1067850000,394796000,-371667000,-34812000,-22698000,-314157000,23129000,-5666000,-7200000,17463000,17238000,-6263000,10975000,10975000,10898000,10898000,137288000,137288000,118103000,118103000,195229000,39014000,39014000,489634000,1070757000,158486000,127153000,31333000,1229243000,1718877000,146454000,146454000,231514000,191817000,377968000,463366000,463366000,781838000,1159806000,685714000,-128185000,1e+05,557629000,559071000,1718877000,10975000,10975000,22698000,2729000,16409000,52811000,-49055000,-49191000,-120000,-120000,3500000,3500000,-11000,3489000,45827000,318472000,19444000,0.26992,0.01581,0.00745,0.01949,0.00634,1.78418,1.29544,2.07452,0.18528,1.47458,1.47458,197.90626,75.45111,2.63091,0.00813,0.0145,3.95365,7.83363
"26","2017_Q1",33.7217741935484,"Down",1408648000,-1047028000,361620000,-366222000,-37265000,-27844000,-301113000,-4602000,-6082000,-7054000,-10684000,-10849000,4304000,-6545000,-6545000,-6493000,-6493000,61312000,61312000,107246000,107246000,204145000,29358000,29358000,402061000,1082022000,175758000,37738000,49478000,1257780000,1659841000,157964000,157964000,172368000,132648000,330332000,457691000,457691000,776430000,1106762000,686348000,-134678000,11000,551681000,553079000,1659841000,-6545000,-6545000,27844000,-7796000,-11833000,1670000,-65447000,-76433000,685000,-709000,-75472000,-75472000,-504000,-75976000,23242000,318739000,-58342000,0.25671,-0.00327,-0.00461,-0.01174,-0.00391,8.98537,1.21714,2.00109,0.19203,-0.87415,-0.87415,189.64539,74.27246,-7.85455,-0.00488,-0.04388,11.07594,-55.93807
"27","2017_Q2",24.0992063492063,"Down",1391672000,-1046082000,345590000,-387017000,-41303000,-31800000,-313914000,-41427000,-7106000,-7384000,-48533000,-48673000,19298000,-29375000,-29375000,-29398000,-29398000,37646000,37646000,111981000,111981000,197949000,25585000,25585000,373161000,1061992000,183607000,36604000,57305000,1245599000,1618760000,143917000,143917000,189476000,149125000,333393000,441407000,441407000,760366000,1093759000,687523000,-164102000,159000,523580000,525001000,1618760000,-29375000,-29375000,31800000,-22973000,9805000,-10743000,-5742000,-13352000,398000,398000,-23697000,-23697000,31000,-23666000,-9627000,318959000,-24862000,0.24833,-0.02977,-0.02112,-0.056,-0.01816,0.8457,1.11928,2.08335,0.19704,-3.92748,-3.92748,185.92316,69.9487,-3.32149,-0.02287,-0.01934,-29.22125,-6.79057
"28","2017_Q3",18.9307936507936,"Down",1499759000,-1109048000,390711000,-389038000,-38299000,-28649000,-322090000,1673000,-6913000,-7838000,-5240000.00000001,-5303000,2364000,-2939000,-2939000,-2986000,-2986000,76625000,76625000,115417000,115417000,197131000,26292000,26292000,415465000,1023032000,186196000,35510000,60988000,1209228000,1624693000,154010000,154010000,188947000,148515000,342957000,439239000,439239000,758422000,1101379000,688774000,-167115000,270000,521929000,523314000,1624693000,-2939000,-2939000,28649000,-5399000,5568000,25879000,13444000,11944000,1080000,1080000,38903000,38903000,75999.9999999999,38979000,30322000,319183000,46970000,0.26052,0.00112,-0.00199,-0.00570999999999999,-0.00184,-15.73007,1.21142,2.10462,0.19646,-0.39866,-0.39866,200.23485,69.68344,6.27103,-0.00233,0.03665,7.99941,144.98386
"29","2017_Q4",23.2101587301587,"Up",1024405000,-740434000,283971000,-265585000,-29394000,-6426000,-229765000,18386000,-7229000,-7516000,11157000,11360000,54775000,66135000,62307000,62277000,62277000,74652000,74652000,140479000,140479000,212553000,27101000,27101000,454785000,1023080000,212808000,34510000,84239000,1235888000,1690673000,167089000,167089000,209964000,169206000,377053000,407225000,407225000,726634000,1103687000,689887000,-104791000,475000,585571000,586986000,1690673000,66135000,62307000,6426000,-44595000,-10010000,31291000,-5032000,-33597000,207000,207000,-2099000,-2099000,126000,-1973000,24812000,319409000,-45005000,0.27721,0.01795,0.06079,0.1061,0.03684,-0.72266,1.20616,1.88026,0.18892,8.30426,8.30426,136.59826,78.08238,-6.00115,0.04741,-0.03426,9.86446,13.31214
"30","2018_Q1",20.2152459016393,"Down",1401061000,-1069649000,331412000,-341271000,-37019000,-22504000,-281748000,-9859000,-7873000,-7278000,-17732000,-17732000,3813000,-13919000,-20710000,-20742000,-20742000,35526000,35526000,125501000,125501000,187237000,50254000,27015000,398518000,613196000,606418000,25194000,89955000,1219614000,1618132000,155581000,155581000,169406000,128017000,324987000,407016000,398469000,726650000,1051637000,690688000,-126220000,580000,565048000,566495000,1618132000,-13919000,-20710000,22504000,-5589000,-21775000,-10753000,-17351000,-26880000,331000,-844000,-38477000,-38477000,-93000,-38570000,12645000,319634000,-30294000,0.23654,-0.00704,-0.0148,-0.03661,-0.01282,1.46051,1.22626,1.85639,0.19753,-2.74925,-2.74925,185.70381,74.89436,-4.01532,-0.01604,-0.02343,22.46801,-28.81712
"31","2018_Q2",17.2659375,"Down",1584687000,-1204563000,380124000,-385955000,-38035000,-27548000,-320372000,-5831000,-8873000,-7588000,-14704000,-14704000,4626000,-10078000,-10078000,-10112000,-10112000,52139000,52139000,153488000,153488000,207686000,24652000,24652000,437965000,984396000,221004000,33677000,93468000,1205400000,1643365000,166886000,166886000,197363000,155657000,364249000,400983000,400983000,720836000,1085085000,692706000,-136332000,425000,556799000,558280000,1643365000,-10078000,-10078000,27548000,-4594000,15321000,28197000,-12153000,-12153000,83000,83000,16127000,16127000,-70000,16057000,21717000,319853000,20259000,0.23987,-0.00368,-0.00638,-0.01811,-0.00615,-2.00346,1.20238,1.94362,0.19463,-1.33123,-1.33123,208.62125,73.30161,2.66706,-0.00791,0.01584,12.32739,-45.91219
"32","2018_Q3",22.8412698412698,"Up",1840685000,-1436963000,403722000,-387418000,-29959000,-29918000,-327541000,16304000,-7768000,-6860000,8536000,-42964000,9040000,-33924000,-33924000,-33978000,-33978000,78189000,78189000,162588000,162588000,216063000,26446000,26446000,483286000,980894000,176733000,31946000,101688000,1157627000,1640913000,193232000,193232000,204081000,162388000,397313000,397156000,397156000,717233000,1114546000,694849000,-170310000,394000,524933000,526367000,1640913000,-33924000,-33924000,29918000,42049000,15793000,53836000,-27650000,-27509000,-224000,-224000.000000004,26103000,26103000,-53000,26050000,46222000,320077000,25325000,0.21933,0.00886,-0.01846,-0.06455,-0.02071,-0.74534,1.21639,2.11743,0.19506,-4.46785,-4.46785,242.03616,69.02472,3.33005,-0.02732,0.02036,5.23318,14.83611
"33","2018_Q4",22.1912698412698,"Down",1272553000,-971701000,300852000,-284248000,-30298000,-4610000,-249340000,16604000,-6949000,-7515000,9655000,61155000,-12953000,48202000,-70480000,-70514000,-70514000,85519000,85519000,168990000,168990000,198021000,362748000,27050000,815278000,606219000,170442000,48681000,121761000,776661000,1591939000,204178000,204178000,215475000,173353000,419653000,395970000,395970000,716273000,1135926000,694772000,-240824000,598000,454546000,456013000,1591939000,48202000,-70480000,4610000,-40821000,21383000,40797000,-22791000,-31720000,-1241000,-1241000,7836000,7836000,43000,7879000,21214000,320303000,32759000,0.23642,0.01305,-0.05541,-0.15463,-0.04429,-0.46457,1.94274,2.49099,0.2012,-9.18103,-9.18103,165.68838,59.18259,4.26527,-0.06015,0.02794,11.06741,14.14021
"34","2019_Q1",22.7524590163934,"Up",1533512000,-1173726000,359786000,-360147000,-38091000,-21103000,-300953000,-361000,-7473000,-7040000,-7834000,-7834000,861000,-6973000,-5922000,-5949000,-5949000,314387000,314387000,97449000,97449000,196721000,35119000,35119000,643676000,628537000,169895000,22887000,121749000,798432000,1442108000,120914000,120914000,167777000,125668000,288691000,382497000,382497000,703025000,991716000,695315000,-246773000,355000,448897000,450392000,1442108000,-6973000,-5922000.00000001,21103000,8528000,-64807000,-41224000,-26358000,-39815000,724000,309476000,228437000,228437000,-118000,228319000,20742000,320528000,-71284000,0.23462,-0.000240000000000001,-0.00387999999999999,-0.01321,-0.00413,11.98252,2.22964,2.2019,0.22226,-0.77122,-0.77122,198.80111,58.19402,-9.2411,-0.00516,-0.0618,0.296069999999997,-17.01108
"35","2019_Q2",19.1585714285714,"Down",1427292000,-1076662000,350630000,-361002000,-37110000,-24759000,-299133000,-10372000,-7624000,-7050000,-17996000,-17996000,5267000,-12729000,-12729000,-12747000,-12747000,24749000,24749000,138561000,138561000,194168000,29290000,29290000,386768000,883960000,1973683000,21993000,1926431000,2857643000,3244411000,189023000,189023000,239554000,239554000,428577000,1970410000,1970410000,2291158000,2719735000,696017000,-173277000,452000,523192000,524676000,3244411000,-12729000,-12729000,24759000,-5293000,31461000,38198000,-326325000,-327825000,-55000,-55000,-289682000,-289682000,44000,-289638000,14387000,320748000,-285744000,0.24566,-0.00727,-0.00893,-0.02429,-0.00393,22.41657,0.90245,5.18365,0.09886,-1.64168,-1.64168,183.82042,67.38171,-36.80087,-0.00453,-0.10148,20.57406,-28.53828
"36","2019_Q3",15.03625,"Down",1597364000,-1228347000,369017000,-361190000,-39562000,-23213000,-298415000,7827000,-7020000,-7164000,807000,807000,402000,1209000,1209000,1178000,1178000,25785000,25785000,147620000,147620000,199715000,27437000,27437000,400557000,880142000,1964631000,21683000,1917689000,2844773000,3245330000,194895000,194895000,251015000,251015000,445910000,1951685000,1951685000,2272656000,2718566000,696886000,-172099000,538000,525325000,526764000,3245330000,1209000,1209000,23213000,-7053000,3346000,20715000,-19611000.0000001,-19611000,-105000,-104999.99999994,999000,999000,37000,1036000,31040000,320971000,14373000.0000001,0.23102,0.0049,0.000740000000000001,0.00224,0.000359999999999998,12.20119,0.89829,5.16088,0.0989,0.15162,0.15162,205.59683,67.61462,1.84995000000001,0.00042,0.00513000000000001,9.50986,37.71381
"37","2019_Q4",11.321875,"Down",1570492000,-1192807000,377685000,-369975000,-40178000,-24146000,-305651000,7710000,-6988000,-7048000,722000,722000,1150000,1872000,1872000,1832000,1832000,32546000,32546000,133906000,133906000,195202000,27433000,27433000,389087000,880058000,1949167000,21179000,1902729000,2829225000,3218312000,167373000,167373000,272016000,272016000,439389000,1928465000,1928465000,2249661000,2689050000,697558000,-170267000,492000,527783000,529262000,3218312000,1872000,1872000,24146000,-4270000,11611000,33359000,-25978000,-25978000,-603000,-603000,6778000,6778000,-17000,6761000,31856000,321196000,16339000,0.24049,0.00491,0.00117,0.00346,0.00057,8.91867,0.88552,5.08075,0.0998,0.2356,0.2356,201.96656,67.87333,2.10121,0.00066,0.00588,9.06109,37.43839
"38","2020_Q1",14.3938709677419,"Up",1522211000,-1096953000,425258000,-365139000,-38624000,-28142000,-298373000,60119000,-5844000,-7094000,54275000,54275000,-11158000,43117000,43117000,43082000,43082000,17206000,17206000,173496000,173496000,196611000,32456000,32456000,419769000,868503000,1942623000,20707000,1896657000,2811126000,3230895000,147440000,147440000,242525000,242525000,389965000,1939073000,1939073000,2268394000,2658359000,698410000,-127185000,-172000,571053000,572536000,3230895000,43117000,43117000,28142000,9986000,-91050000,-9805000,-18759000,-13003000,-464000,7436000,-15372000,-15372000,32000,-15340000,88261000,329321000,-10390000,0.27937,0.03949,0.0283,0.07525,0.01333,-0.241170000000002,1.07643,4.64313,0.10193,5.5078,5.5078,194.60637,73.00601,-1.3283,0.01516,-0.00366,3.53627,5.19162
"39","2020_Q2",12.7144444444444,"Down",1303348000,-954693000,348655000,-365940000,-37228000,-28560000,-300152000,-17285000,-7997000,-7456000,-25282000,-25282000,6741000,-18541000,-18541000,-18561000,-18561000,20318000,20318000,175454000,175454000,169151000,29791000,29791000,394714000,856138000,1931810000,20421000,1886130000,2787948000,3182662000,126524000,126524000,248065000,248065000,374589000,1915201000,1915201000,2253041000,2627630000,699499000,-145746000,-192000,553561000,555032000,3182662000,-18541000,-18541000,28560000,-9408000,10392000,11003000,-16640000,-16135000,-555000,8145000,3013000,3013000,99000,3112000,11275000,337840000,-1714000,0.26751,-0.01326,-0.01424,-0.03344,-0.00583,0.09234,1.05373,4.7342,0.10615,-2.34801,-2.34801,164.87641,70.02669,-0.21682,-0.00661,-0.00061,28.1616,-18.3698
"40","2020_Q3",17.20171875,"Up",986103000,-648461000,337642000,-326831000,-37976000,-28254000,-260601000,10811000,-7568000,-7233000,3243000.00000001,3243000,-1087000,2156000,2156000,2123999.99999999,2123999.99999999,142786000,142786000,118511000,118511000,162710000,26915000,26915000,450922000,841669000,1907966000,19321000,1866432000,2749635000,3200557000,146566000,146566000,269042000,269042000,415608000,1888761000,1888761000,2226664000,2642272000,700627000,-143622000,-190000,556815000,558285000,3200557000,2156000,2156000.00000001,28254000,-3724000,107744000,134430000,-10178000,-11597000,-350000,-350000,122483000,122483000,-15000,122468000,39065000,337903000,137718000,0.3424,0.01096,0.00214999999999999,0.00379999999999998,0.000659999999999999,64.83898,1.08497,4.73284,0.10558,0.267409999999999,0.267409999999999,124.14743,70.10135,17.33829,0.000760000000000001,0.04945,4.99467999999999,18.04801
"41","2020_Q4",29.48796875,"Up",1269924000,-899871000,370053000,-352356000,-32967000,-32299000,-287090000,17697000,-7608000,-7375000,10089000,10089000,-1432000,8657000,8657000,8605000,8605000,280442000,280442000,113628000,113628000,160913000,29304000,29304000,584287000,821208000,1884046000,19060000,1842773000,2705254000,3289541000,155494000,155494000,284923000,284923000,440417000,1864237000,1864237000,2202238000,2642655000,780571000,-135017000,-190000,645364000,646886000,3289541000,8657000,8657000,32299000,3310000,23873000,68139000,-8707000,-9657000,-749000,79236000,137718000,137718000,-62000,137656000,49996000,338001000,66594000,0.2914,0.01394,0.00678,0.0133,0.00262,7.73899,1.32667,4.08519,0.10275,0.62256,0.62256,91.87701,46.69107,4.81797,0.00302,0.02337,1.15127,3.25247
"42","2021_Q1",29.0091803278689,"Down",1286662000,-933337000,353325000,-353772000,-36867000,-38676000,-278229000,-447000,-8685000,-8415000,-9132000,-9132000,1956000,-7176000,-7176000,-6067000,-6067000,483151000,483151000,94429000,94429000,172830000,35506000,35506000,785916000,801789000,1856155000,11529000,1822413000,2657944000,3443860000,158075000,158075000,287122000,287122000,445197000,1832287000,1832287000,2357684000,2802881000,781855000,-141084000,-205000,640566000,640979000,3443860000,-7176000,-7176000,38676000,-5881000,5217000.00000001,30836000,-16988000,-17766000,-1901000,189610000,202680000,202680000,29000,202709000,38229000,525397000,24502000,0.27461,-0.000349999999999998,-0.00472,-0.00947,-0.00176,-4.03856999999999,1.76532,4.37281,0.15256,-0.42804,-0.42804,90.77621,45.19303,1.72866,-0.00202,0.00817,1.10508,-94.51007
"43","2021_Q2",27.8442857142857,"Down",1529096000,-1172050000,357046000,-350858000,-35930000,-23829000,-291099000,6188000,-12781000,-11384000,-6593000,-6593000,850000,-5743000,-5743000,-5819000,-5819000,520028000,520028000,129087000,129087000,163397000,27658000,27658000,840170000,791516000,1864659000,11365000,1831081000,2656175000,3496345000,213157000,213157000,290516000,290516000,503673000,1831612000,1831612000,2356841000,2860514000,782538000,-146903000,-213000,635422000,635831000,3496345000,-5743000,-5743000,23829000,-4711000,38201000,51576000,-12277000,-13522000,-567000,-1233000,36821000,36821000,56000,36877000,30017000,525229000,55091000,0.2335,0.00405,-0.00381,-0.00915,-0.00166,-9.46743,1.66809,4.49886,0.15022,-0.40901,-0.40901,107.47846,44.66311,3.87229,-0.00194,0.01841,0.17327,0.8405
"44","2021_Q3",37.456875,"Up",1834280000,-1427047000,407233000,-357464000,-36590000,-24139000,-296735000,49769000,-13043000,-11739000,36726000,36726000,-7779000,28947000,28947000,29356000,29356000,583251000,583251000,142835000,142835000,165920000,22209000,22209000,914215000,785052000,1838241000,11209000,1804819000,2623293000,3537508000,229207000,229207000,310976000,310976000,540183000,1806873000,1806873000,2331943000,2872126000,783151000,-117547000,-222000,665382000,665382000,3537508000,28947000,28947000,24139000,5020000,14392000,72498000,-7716000,-7673000,-942000,-1608000,63217000,63217000,5999.99999999999,63223000,73908000,525070000,88363000,0.22201,0.02713,0.016,0.04412,0.0083,3.01005,1.69242,4.31651,0.14843,2.0634,2.0634,128.9295,46.76896,6.21094,0.00979,0.02948,-0.78721,-1.16902000000002
"45","2021_Q4",54.1434375,"Up",1939946000,-1525252000,414694000,-374838000,-39563000,-24276000,-310999000,39856000,-10809000,-11843000,29047000,29047000,-6847000,22200000,22200000,22200000,22200000,621103000,621103000,149410000,149410000,169543000,22129000,22129000,962185000,789403000,1824613000,11060000,1791340000,2614016000,3576201000,249982000,249982000,323357000,323357000,573339000,1789686000,1789686000,2314611000,2887950000,783792000,-95347000,-194000,688251000,688251000,3576201000,22200000,33273304.1052544,24276000,-5142000,15878000,57212000,-17986000,-17986000,-710000,-1376000,37850000,37850000,2000,37852000,64132000,524925000,68871000,0.21377,0.02054,0.01144,0.03226,0.00621,3.1023,1.67821,4.19607,0.14678,1.5591,1.5591,136.24173,48.33563,4.83679,0.00739,0.02294,-1.49969,-2.41314
"46","2022_Q1",43.2458064516129,"Down",2033522000,-1628846000,404676000,-377439000,-43272000,-24263000,-309904000,27237000,-10963000,-11820000,16274000,16274000,-3487000,12787000,12787000,12787000,12787000,536002000,536002000,111392000,111392000,191843000,37947000,37947000,877184000,831427000,1799890000,10934000,1766743000,2631317000,3508501000,206420000,206420000,312858000,312858000,519278000,1761589000,1761589000,2286370000,2805648000,785611000,-82560000,-198000,702853000,702853000,3508501000,12787000,17344084.4306165,24263000,5758000,-69633000,-26825000,-55347000,-54733000,-2823000,-3489000,-85047000,-85047000,-54000,-85101000,51500000,524781000,-69993000,0.199,0.01339,0.00629,0.01819,0.00364,-5.47376,1.68924,3.9918,0.14957,0.89426,0.89426,142.21428,49.154,-4.89496,0.00428,-0.02342,-0.21788,-0.41198
"47","2022_Q2",37.1185483870968,"Down",2297073000,-1884980000,412093000,-380048000,-41309000,-24231000,-314508000,32045000,-10892000,-11530000,21153000,21153000,-4849000,16304000,16304000,16304000,16304000,544153000,544153000,201809000,201809000,221410000,36186000,36186000,1003558000,849683000,1783139000,10811000,1750115000,2632822000,3636380000,334454000,334454000,3.17e+08,3.17e+08,651454000,1739964000,1739964000,2264594000,2916048000,786812000,-66256000,-224000,720332000,720332000,3636380000,16304000,16304000,24231000,-1834000,20418000,59119000,-50053000,-49220000,-1118000,-1784000,8115000,8115000,36000,8151000,56276000,524630000,31490000,0.1794,0.01395,0.0071,0.02263,0.00448,1.93143,1.54049,4.0482,0.14427,1.14094,1.14094,160.74689,50.40812,2.20364,0.00546,0.01055,-0.34692,-0.60924
"48","2022_Q3",49.78984375,"Up",3079047000,-2586709000,492338000,-398113000,-46400000,-26762000,-324951000,94225000,-9957000,-11173000,84268000,84268000,-20288000,63980000,63980000,63980000,63980000,565146000,565146000,225822000,225822000,251608000,30561000,30561000,1073137000,923470000,1745226000,13535000,1709478000,2668696000,3741833000,382302000,382302000,333977000,333977000,716279000,1714777000,1714777000,2239264000,2955543000,788724000,-2276000,-158000,786290000,786290000,3741833000,63980000,63980000,26762000,16127000,9544000,116413000,-38805000,-93507000,-1168000,-1834000,21072000,21072000,-79000,20993000,120987000,524487000,112014000,0.1599,0.0306,0.02078,0.08137,0.0171,1.75077,1.49821,3.75885,0.14017,4.47726,4.47726,215.46865,55.02379,7.83863,0.02115,0.03702,-0.33606,-0.43151
