"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",53.87734375,"Up",1957351000,-1693544000,263807000,-272267000,-23227000,-13223000,-235817000,-8460000,-3394000,-3830000,-11854000,-11969000,-170000,-12139000,-12139000,-12139000,-12139000,135964000,135964000,168114000,168114000,188503000,60981000,60981000,553562000,576492000,54977000,22364000,32613000,631469000,1185031000,194349000,194349000,160227000,130615000,354576000,378522000,378522000,488522000,843098000,605878000,-265110000,1165000,341933000,341933000,1185031000,-12139000,-12139000,13223000,-795000,14992000,15281000,-10119000,-19486000,-5011000,104989000,100784000,100784000,-9000,100775000,4763000,1.1e+08,9806000,0.13478,-0.00432,-0.0062,-0.0355,-0.01024,-0.80781,1.56119,2.46568,0.09282,-2.19129,-2.19129,353.33413,61.72454,1.77014,-0.01462,0.01181,-5.45119,3.06903
"12","2013_Q3",45.8359375,"Down",2018754000,-1717526000,301228000,-281257000,-24482000,-14025000,-242750000,19971000,-3400000,-4123000,16571000,16366000,-382000,15984000,15984000,15984000,15984000,135091000,135091000,179084000,179084000,192404000,56075000,56075000,562654000,609444000,57985000,24571000,33414000,667429000,1230083000,209387000,209387000,174635000,143078000,384022000,377329000,377329000,487329000,871351000,606965000,-249126000,893000,358732000,358732000,1230083000,15984000,15984000,14025000,-841000,18572000,47740000,-30851000,-49371000,775000,775000,-855999.99999997,-855999.99999997,-17000,-872999.99999997,33996000,1.1e+08,22099000,0.14921,0.00989,0.00792,0.04456,0.01299,1.38257,1.46516,2.42897,0.08942,2.88353,2.88353,364.18535,64.71563,3.98668,0.01889,0.02612,-0.738060000000001,-1.25636999999997
"13","2013_Q4",45.8640625,"Up",2062096000,-1754955000,307141000,-286203000,-23705000,-14646000,-247852000,20938000,-3035000,-3894000,17903000,16877000,-1074000,15803000,15803000,15803000,15803000,126862000,126862000,153955000,153955000,193088000,53123000,53123000,527028000,623255000,58871000,24297000,34574000,682126000,1209154000,178177000,178177000,170185000,138420000,348362000,375747000,375747000,485747000,834109000,607345000,-233323000,1023000,375045000,375045000,1209154000,15803000,15803000,14646000,-2478000,-13130000,14841000,-23208000,-23208000,125000,125000,-8242000,-8242000,13000,-8229000,35584000,1.1e+08,320000,0.14895,0.01015,0.00766,0.04214,0.01307,0.02025,1.51287,2.22402,0.09097,2.84865,2.84865,371.71343,67.60561,0.05768,0.01836,0.00037,-0.47386,-0.80533
"14","2014_Q1",43.6352459016393,"Down",1906530000,-1625879000,280651000,-291910000,-36033000,-17034000,-238843000,-11259000,-3833000,-4489000,-15092000,-16269000,28244000,11975000,11975000,11975000,11975000,85657000,85657000,105932000,105932000,199201000,79604000,79604000,470394000,704866000,82022000,48772000,33250000,786888000,1257282000,149645000,149645000,153968000,124033000,303613000,389792000,389792000,499792000,803405000,674391000,-221348000,834000,453877000,453877000,1257282000,11975000,11975000,17034000,-32503000,-2854999.99999999,-6349000,-21883000,-103974000,4036000,69138000,-41185000,-41185000,-20000,-41205000,5775000,1.1e+08,-47207000,0.14721,-0.00591,0.00628,0.02638,0.00952,-3.94213,1.54932,1.77009,0.08749,2.0522,2.0522,326.72958,77.78269,-8.09005,0.01256,-0.0495,4.21524,-2.16209
"15","2014_Q2",39.9333333333333,"Down",1967309000,-1665745000,301564000,-296699000,-26796000,-16128000,-253775000,4865000,-3782000,-4036000,1083000,473000,-276000,197000,197000,197000,197000,82348000,82348000,157207000,157207000,192377000,79542000,79542000,511474000,706600000,81758000,48475000,33283000,788358000,1299832000,192675000,192675000,154315000,123554000,346990000,388194000,388194000,498194000,845184000,675138000,-221151000,661000,454648000,454648000,1299832000,197000,197000,16128000,-869000,-4049000,11407000,-11173000,-14375000,-332000,-332000,-3300000,-3300000,-9000,-3309000,20993000,1.1e+08,6047000,0.15329,0.00247,1e-04,0.00043,0.00015,30.69543,1.47403,1.85899,0.08463,0.02753,0.02753,274.89116,63.52775,0.84494,0.00021,0.00635,1.3172,5.68386
"16","2014_Q3",49.94921875,"Up",2076109000,-1751016000,325093000,-298154000,-25100000,-15797000,-257257000,26939000,-3483000,-4168000,23456000,23307000,-9673000,13634000,13634000,13634000,13634000,105394000,105394000,167308000,167308000,187414000,72555000,72555000,532671000,717751000,82474000,48066000,34408000,800225000,1332896000,196346000,196346000,168701000,137884000,365047000,388136000,388136000,498136000,863183000,676378000,-207517000,852000,469713000,469713000,1332896000,13634000,13634000,15797000,1783000,20938000,52152000,-27728000,-28553000,-564000,-564000.000000007,23035000,23035000,11000,23046000,42736000,1.1e+08,45619000,0.15659,0.01298,0.00657,0.02903,0.01023,3.34597,1.45918,1.83768,0.08253,1.90462,1.90462,290.02538,65.61731,6.37282,0.01409,0.04713,0.10778,0.17098
"17","2014_Q4",49.19140625,"Down",2009217000,-1677081000,332136000,-306812000,-26927000,-16617000,-263268000,25324000,-2910000,-3982000,22414000,22238000,-9442000,12796000,12796000,12796000,12796000,126900000,126900000,136909000,136909000,181260000,70969000,70969000,516038000,728592000,90001000,54969000,35032000,818593000,1334631000,180676000,180676000,168819000,137708000,349495000,391990000,391990000,501990000,851485000,677273000,-194721000,594000,483146000,483146000,1334631000,12796000,12796000,16617000,1758000,28086000,59257000,-15266000,-37681000,-61000,-61000,21515000,21515000,-9000,21506000,41941000,1.1e+08,64203000,0.16531,0.0126,0.00637,0.02648,0.00959,5.01743,1.47652,1.76238,0.08242,1.78555,1.78555,280.36613,67.41819,8.95889,0.01299,0.06517,-0.40295,-0.66735
"18","2015_Q1",70.3303278688525,"Up",1725998000,-1365978000,360020000,-303508000,-2.8e+07,-17042000,-258466000,56512000,-3313000,-4526000,53199000,52974000,-18632000,34342000,34342000,34342000,34342000,224275000,224275000,96478000,96478000,172750000,46672000,46672000,540175000,765828000,96814000,54550000,42264000,862642000,1402817000,123084000,123084000,144054000,112417000,267138000,387069000,387069000,617069000,884207000,679482000,-160379000,435000,518610000,518610000,1402817000,34342000,34342000,17042000,5064000,-18139000,38309000,-50731000,-53809000,-6174000,112898000,97398000,97398000,-23000,97375000,73554000,2.3e+08,23316000,0.20859,0.03274,0.0199,0.06622,0.02448,0.67894,2.02208,1.70496,0.16396,4.76751,4.76751,239.61071,71.99574,3.23683,0.03024,0.02053,0.07783,0.10131
"19","2015_Q2",80.1777777777778,"Up",1407701000,-1069202000,338499000,-306329000,-27616000,-17525000,-261188000,32170000,-5541000,-6332000,26629000,26215000,-10486000,15729000,15729000,15729000,15729000,218151000,218151000,119977000,119977000,172139000,66700000,66700000,576967000,814605000,99992000,57234000,42758000,914597000,1491564000,142513000,142513000,164776000,132991000,307289000,418958000,418958000,648958000,956247000,680761000,-144650000,134000,535317000,535317000,1491564000,15729000,15729000,17525000,-1700000,25379000,56933000,-21150000,-62886000,-138000,-138000,-6091000,-6091000,-33000,-6124000,49695000,2.3e+08,64410000,0.24046,0.02285,0.01117,0.02938,0.01055,4.09498,1.8776,1.78632,0.1542,2.1604,2.1604,193.34959,73.5265,8.8468,0.01328,0.05439,0.23843,0.36832
"20","2015_Q3",67.565625,"Down",1582883000,-1237089000,345794000,-323820000,-30062000,-18116000,-275642000,21974000,-4058000,-5087000,17916000,6287000,-2515000,3772000,3772000,3772000,3772000,370883000,370883000,126666000,126666000,180255000,66083000,66083000,743887000,732938000,100581000,57205000,43376000,833519000,1577406000,165706000,165706000,182997000,147812000,348703000,457945000,457945000,687945000,1036648000,682448000,-140878000,116000,540758000,540758000,1577406000,3772000,3772000,18116000,2094000,19335000,43317000,185792000,154884000,-45458000,-45458000,152743000,152743000,-11000,152732000,40090000,2.3e+08,247732000,0.21846,0.01388,0.00238,0.00698,0.00239,65.67656,2.1333,1.91703,0.14581,0.51766,0.51766,217.23204,74.21266,33.9983,0.00307,0.20162,-3.51417,-6.41135
