"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","raw_materials","other_inventory","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","other_short_term_liabilities","deferred_tax_liabilities_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",39.5433333333333,"Down",8.7714e+10,-5.522e+10,-5.522e+10,3.2494e+10,-7.48e+09,-3.514e+09,-6.86e+08,-3.28e+09,2.5014e+10,-1.2946e+10,-5.5e+07,2.537e+09,-1.5428e+10,1.2068e+10,1.2068e+10,-5.493e+09,6.575e+09,6.575e+09,-2.75e+08,6.3e+09,6.3e+09,1.3827e+10,1.3742e+10,2.9052e+10,1.3488e+10,1.0631e+10,2.857e+09,5.329e+09,5.329e+09,6.1696e+10,1.40819e+11,3.2541e+10,7.692e+09,7.692e+09,1.81052e+11,2.42748e+11,4.6136e+10,2.396e+09,9.212e+09,9.212e+09,5.7744e+10,7.054e+09,6.0284e+10,1.7587e+10,2.3662e+10,1.9035e+10,6.7338e+10,1.25082e+11,5.3e+09,5.3e+09,-1.68473e+11,2.81251e+11,-5.537e+09,1.12541e+11,5.125e+09,1.17666e+11,2.42748e+11,6.575e+09,3.28e+09,3.191e+09,3.191e+09,1.3046e+10,-5.756e+09,-5.756e+09,-5.756e+09,5.89e+08,-5.167e+09,-1.986e+09,-9.7e+07,-1.21e+08,2.4e+07,-2.453e+09,-2.495e+09,-8.4e+07,-4.62e+09,3.259e+09,3.259e+09,-2.1e+08,3.049e+09,2.8294e+10,9.45e+09,3.1222e+10,0.37045,0.28518,0.07182,0.05354,0.02595,4.95587,1.06844,1.06303,0.03893,1.33475,1.33108,18.58347,23.84343,6.61483,0.42076,54.4549344210979,0.04422,0.16661,0.31524,-0.1547,-0.17498
"2","2010_Q3",37.4590625,"Down",9.0242e+10,-5.6845e+10,-5.6845e+10,3.3397e+10,-7.38e+09,-3.607e+09,-4.07e+08,-3.366e+09,2.6017e+10,-1.3311e+10,-4e+07,2.244e+09,-1.5515e+10,1.2706e+10,1.2706e+10,-4.96e+09,7.746e+09,7.746e+09,-1.86e+08,7.56e+09,7.56e+09,1.3267e+10,1.3252e+10,2.9206e+10,1.3439e+10,1.0439e+10,3e+09,6.304e+09,6.304e+09,6.2216e+10,1.88069e+11,3.2642e+10,8.141e+09,8.141e+09,2.28852e+11,2.91068e+11,4.5454e+10,2.946e+09,9.421e+09,9.421e+09,5.7821e+10,1.7486e+10,7.0394e+10,1.7143e+10,3.4283e+10,1.8968e+10,8.788e+10,1.45701e+11,9.002e+09,9.002e+09,-1.4882e+11,2.86745e+11,-6.755e+09,1.40172e+11,5.195e+09,1.45367e+11,2.91068e+11,7.746e+09,3.366e+09,-1.877e+09,-1.877e+09,9.235e+09,-5.644e+09,-5.644e+09,-5.644e+09,5.7e+08,-5.078e+09,-2.066e+09,-5.83e+08,-5.76e+08,-7e+06,-1.499e+09,-1.568e+09,-2.9e+07,-4.177e+09,-2e+07,-2e+07,-4.7e+08,-490000000.000001,2.9383e+10,2.0432e+10,2.6822e+10,0.37008,0.2883,0.08377,0.05201,0.02597,3.54788,1.07601,1.0023,0.0702,1.60169,1.5973,19.11907,29.69746,5.68263,0.43771,28.1759650245856,0.04075,0.11356,0.27328,0.24385,0.2754
"3","2010_Q4",43.25953125,"Up",9.2855e+10,-5.7857e+10,-5.7857e+10,3.4998e+10,-8.051e+09,-3.707e+09,-5e+08,-3.844e+09,2.6947e+10,-1.4089e+10,-5.4e+07,2.443e+09,-1.6478e+10,1.2858e+10,1.2858e+10,-5.297e+09,7.561e+09,7.561e+09,-2.11e+08,7.35e+09,7.35e+09,1.2259e+10,1.2244e+10,3.0244e+10,1.4302e+10,1.1154e+10,3.148e+09,5.828e+09,5.828e+09,6.2633e+10,1.9544e+11,3.3173e+10,8.748e+09,8.748e+09,2.37361e+11,2.99994e+11,4.8251e+10,3.046e+09,1.0443e+10,1.0443e+10,6.174e+10,1.5248e+10,7.2406e+10,1.8012e+10,3.5304e+10,1.909e+10,8.7654e+10,1.49394e+11,9.341e+09,9.341e+09,-1.51832e+11,2.91861e+11,-4.339e+09,1.45031e+11,5.569e+09,1.506e+11,2.99994e+11,7.561e+09,3.844e+09,1.672e+09,1.672e+09,1.3077e+10,-7.801e+09,-7.801e+09,-7.801e+09,7.82e+08,-6.879e+09,-2.234e+09,-2.262e+09,-3.2e+07,-2.23e+09,-3.114e+09,-3.272e+09,-8.7e+07,-7.697e+09,-1.499e+09,-1.499e+09,4.91e+08,-1.008e+09,3.0791e+10,1.8294e+10,2.9959e+10,0.37691,0.29021,0.07916,0.0488,0.0245,4.07605,1.01446,0.99199,0.06098,1.44856,1.44486,18.30016,28.58317,5.90441,0.44028,12.9409868842196,0.03972,0.12416,0.30395,0.196,0.22396
"4","2011_Q1",51.3941935483871,"Up",1.01733e+11,-6.3829e+10,-6.3829e+10,3.7904e+10,-8.676e+09,-3.855e+09,-5.51e+08,-4.27e+09,2.9228e+10,-1.3901e+10,-1.1e+08,3.453e+09,-1.7244e+10,1.5327e+10,1.5327e+10,-5.811e+09,9.516e+09,9.516e+09,-2.66e+08,9.25e+09,9.25e+09,7.825e+09,7.825e+09,3.2284e+10,1.2976e+10,9.852e+09,3.124e+09,5.899e+09,5.899e+09,5.8984e+10,1.99548e+11,3.5338e+10,8.64e+09,8.64e+09,2.43526e+11,3.0251e+11,5.0034e+10,2.787e+09,9.812e+09,9.812e+09,6.2633e+10,1.2227e+10,7.4971e+10,1.9367e+10,3.515e+10,2.0454e+10,8.7198e+10,1.49831e+11,9.371e+09,9.371e+09,-1.56608e+11,2.98899e+11,-4.823e+09,1.46839e+11,5.84e+09,1.52679e+11,3.0251e+11,9.516e+09,4.27e+09,-8.6e+08,-3.792e+09,1.3055e+10,-7.67e+09,-7.67e+09,-7.67e+09,5.86e+08,-7.08e+09,-2.212e+09,-3.268e+09,-4e+08,-2.868e+09,-4.984e+09,-5.758e+09,3.4e+07,-1.043e+10,-4.455e+09,-4.455e+09,3.6e+07,-4.419e+09,3.3498e+10,1.5014e+10,3.0779e+10,0.37258,0.2873,0.09092,0.06058,0.03058,3.32746,0.94174,0.98135,0.04963,1.86379,1.86079,20.49829,29.58674,6.20169,0.4457,6,0.04723,0.12684,0.23914,0.21461,0.24596
"5","2011_Q2",52.2192063492064,"Up",1.10177e+11,-7.0017e+10,-7.0017e+10,4.016e+10,-7.722e+09,-3.627e+09,-3.34e+08,-3.761e+09,3.2438e+10,-1.3521e+10,-2.9e+07,3.827e+09,-1.7319e+10,1.8917e+10,1.8917e+10,-8.004e+09,1.0913e+10,1.0913e+10,-2.63e+08,1.065e+10,1.065e+10,1.2833e+10,1.2833e+10,3.5146e+10,1.6262e+10,1.3026e+10,3.236e+09,7.781e+09,7.781e+09,7.2022e+10,2.03726e+11,3.5207e+10,8.578e+09,8.578e+09,2.47511e+11,3.19533e+11,5.77e+10,3.56e+09,1.2316e+10,1.2316e+10,7.3576e+10,1.2316e+10,7.611e+10,2.0076e+10,3.6121e+10,1.9913e+10,8.8426e+10,1.62002e+11,9.156e+09,9.156e+09,-1.61381e+11,3.07361e+11,-3.656e+09,1.5148e+11,6.051e+09,1.57531e+11,3.19533e+11,1.0913e+10,3.761e+09,2.182e+09,2.182e+09,1.6856e+10,-7.051e+09,-7.051e+09,-7.051e+09,1.698e+09,-5.353e+09,-2.188e+09,8.12e+08,7.43e+08,6.9e+07,-5.269e+09,-5.653e+09,-1.04e+08,-6.749e+09,4.754e+09,4.754e+09,2.54e+08,5.008e+09,3.6199e+10,1.5876e+10,3.9334e+10,0.3645,0.29442,0.09666,0.06761,0.03333,3.69333,0.97888,1.02838,0.04969,2.14588,2.14243,22.19968,30.52186,7.92545,0.44086,4.6030043719268,0.05145,0.15764,0.20545,0.08406,0.09381
"6","2011_Q3",48.3825,"Down",1.21766e+11,-7.9769e+10,-7.9769e+10,4.1997e+10,-8.154e+09,-3.681e+09,-5.92e+08,-3.881e+09,3.3843e+10,-1.5224e+10,-4.5e+07,3.72e+09,-1.8899e+10,1.8619e+10,1.8619e+10,-7.721e+09,1.0898e+10,1.0898e+10,-2.18e+08,1.068e+10,1.068e+10,1.0041e+10,8.287e+09,3.5331e+10,1.9048e+10,1.5762e+10,3.286e+09,7.885e+09,7.885e+09,7.2305e+10,2.09807e+11,3.5241e+10,8.851e+09,8.851e+09,2.53899e+11,3.26204e+11,5.7853e+10,4.365e+09,1.2315e+10,1.2315e+10,7.4533e+10,1.2123e+10,7.7713e+10,2.0257e+10,3.7193e+10,2.0263e+10,8.9836e+10,1.64369e+11,9.352e+09,9.352e+09,-1.66735e+11,3.15733e+11,-2.799e+09,1.55551e+11,6.284e+09,1.61835e+11,3.26204e+11,1.0898e+10,3.881e+09,-1.89e+09,-1.89e+09,1.2889e+10,-7.812e+09,-7.812e+09,-7.812e+09,-9.38e+08,-1.0504e+10,-2.308e+09,5.76e+08,4.39e+08,1.37e+08,-5.444e+09,-5.512e+09,1.11e+08,-7.065e+09,-4.68e+09,-4.68e+09,1.34e+08,-4.546e+09,3.7724e+10,1.6488e+10,3.5743e+10,0.3449,0.27793,0.08771,0.06599,0.03274,3.34672,0.97011,1.01566,0.05055,2.17693,2.17471,24.81981,31.70628,7.28557,0.47044,6,0.05073,0.1396,0.2161,0.1709,0.1905
"7","2011_Q4",50.6528571428571,"Up",1.21415e+11,-7.9488e+10,-7.9488e+10,4.1927e+10,-8.358e+09,-3.764e+09,-7.28e+08,-3.866e+09,3.3569e+10,-1.4889e+10,-9.8e+07,3.915e+09,-1.8706e+10,1.868e+10,1.868e+10,-8.009e+09,1.0671e+10,1.0671e+10,-3.41e+08,1.033e+10,1.033e+10,1.1022e+10,1.1022e+10,3.4368e+10,1.673e+10,1.3398e+10,3.332e+09,7.256e+09,7.256e+09,6.9376e+10,2.09194e+11,3.5342e+10,9.315e+09,9.315e+09,2.53851e+11,3.23227e+11,5.4572e+10,7.431e+09,1.2968e+10,1.2968e+10,7.4971e+10,9.331e+09,7.6713e+10,1.9557e+10,3.6891e+10,2.0265e+10,8.6044e+10,1.61015e+11,9.506e+09,9.506e+09,-1.72025e+11,3.23786e+11,-5.328e+09,1.55939e+11,6.273e+09,1.62212e+11,3.23227e+11,1.0671e+10,3.866e+09,3.12e+08,3.12e+08,1.4849e+10,-7.478e+09,-7.478e+09,-7.478e+09,1.508e+09,-4.296e+09,-2.277e+09,2.47e+08,2.32e+08,1.5e+07,-5.304e+09,-5.468e+09,-6.3e+07,-7.397e+09,3.156e+09,3.156e+09,-4.21e+08,2.735e+09,3.7435e+10,1.6762e+10,3.8278e+10,0.34532,0.27648,0.08508,0.06368,0.03196,3.70552,0.92537,0.99262,0.05186,2.13474,2.13342,25.09093,32.22546,7.91031,0.47055,7,0.04931,0.14971,0.22043,0.15333,0.17099
"8","2012_Q1",55.4117741935484,"Up",1.17782e+11,-7.7528e+10,-7.7528e+10,4.0254e+10,-8.413e+09,-3.911e+09,-4.27e+08,-4.075e+09,3.1841e+10,-1.48e+10,-7.5e+07,3.827e+09,-1.8552e+10,1.7041e+10,1.7041e+10,-7.317e+09,9.724e+09,9.724e+09,-3.24e+08,9.4e+09,9.4e+09,1.2664e+10,1.2664e+10,3.8642e+10,1.5024e+10,1.1665e+10,3.359e+09,6.633e+09,6.633e+09,7.2963e+10,2.14664e+11,3.4333e+10,9.092e+09,9.092e+09,2.58089e+11,3.31052e+11,5.7067e+10,7.711e+09,1.2727e+10,1.2727e+10,7.7505e+10,9.322e+09,8.3481e+10,2.4994e+10,3.6618e+10,2.1869e+10,9.2803e+10,1.70308e+11,9.512e+09,9.512e+09,-1.76932e+11,3.30939e+11,-9.123e+09,1.54396e+11,6.348e+09,1.60744e+11,3.31052e+11,9.724e+09,4.075e+09,-3.31e+09,-2.076e+09,1.0751e+10,-8.634e+09,-8.634e+09,-8.634e+09,6.622e+09,-2.012e+09,-2.247e+09,3.22e+08,1.07e+08,2.15e+08,-5.114e+09,-5.422e+09,-5999999.99999997,-7.045e+09,1.694e+09,1.694e+09,-51999999.9999999,1.642e+09,3.5916e+10,1.7033e+10,3.1289e+10,0.34177,0.27034,0.07981,0.05848,0.02839,3.32862,0.9414,1.0595,0.05145,1.96982,1.96817,24.68189,32.35457,6.55679,0.47087,5,0.04458,0.11976,0.23904,0.12164,0.13721
"9","2012_Q2",53.9611111111111,"Down",1.19843e+11,-7.9675e+10,-7.9675e+10,4.0168e+10,-7.965e+09,-3.601e+09,-5.22e+08,-3.842e+09,3.2203e+10,-1.4688e+10,-1.07e+08,4.21e+09,-1.8791e+10,1.7515e+10,1.7515e+10,-7.716e+09,9.799e+09,9.799e+09,-3.49e+08,9.45e+09,9.45e+09,1.867e+10,1.867e+10,3.5844e+10,1.4749e+10,1.1343e+10,3.406e+09,6.897e+09,6.897e+09,7.616e+10,2.14602e+11,3.4527e+10,1.9863e+10,8.434e+09,2.68992e+11,3.45152e+11,5.9084e+10,6.419e+09,1.4491e+10,1.4491e+10,7.9994e+10,9.231e+09,9.181e+10,2.3559e+10,3.6286e+10,3.1965e+10,1.01041e+11,1.81035e+11,9.007e+09,9.007e+09,-1.82165e+11,3.38168e+11,-7.998e+09,1.57012e+11,7.105e+09,1.64117e+11,3.45152e+11,9.799e+09,3.842e+09,5.646e+09,5.646e+09,1.9287e+10,-7.843e+09,-7.843e+09,-7.843e+09,2.492e+09,-5.351e+09,-2.221e+09,-4.03e+08,-5.27e+08,1.24e+08,-5.622e+09,-5.704e+09,1.16e+08,-8.13e+09,5.806e+09,5.806e+09,2e+08,6.006e+09,3.6045e+10,1.565e+10,4.1564e+10,0.33517,0.26871,0.07885,0.05758,0.02738,4.39831,0.95207,1.10308,0.04534,2.00424,2.00382,25.41739,33.30053,8.81527,0.47105,5,0.04297,0.15305,0.23503,-0.08378,-0.09378
"10","2012_Q3",57.412380952381,"Up",1.23712e+11,-7.6131e+10,-7.6131e+10,4.7581e+10,-7.757e+09,-3.486e+09,-3.72e+08,-3.899e+09,3.9824e+10,-1.3633e+10,-5e+07,3.651e+09,-1.7234e+10,2.6191e+10,2.6191e+10,-8.537e+09,1.7654e+10,1.7654e+10,-1.744e+09,1.591e+10,1.591e+10,1.7802e+10,1.7802e+10,3.3741e+10,1.5158e+10,1.1729e+10,3.429e+09,6.096e+09,6.096e+09,7.2797e+10,2.1494e+11,3.3921e+10,7.987e+09,7.987e+09,2.56848e+11,3.29645e+11,5.1322e+10,6.704e+09,1.211e+10,1.211e+10,7.0136e+10,8.877e+09,8.2647e+10,2.2117e+10,3.6851e+10,2.3679e+10,9.1524e+10,1.6166e+11,9.221e+09,9.221e+09,-1.87172e+11,3.51421e+11,-1.0659e+10,1.62811e+11,5.174e+09,1.67985e+11,3.29645e+11,1.7654e+10,3.899e+09,-1.1336e+10,-1.1336e+10,1.0217e+10,-8.345e+09,-8.345e+09,-8.345e+09,4.589e+09,-3.756e+09,-2.657e+09,5.67e+08,3.13e+08,2.54e+08,-5.008e+09,-5.012e+09,-5.5e+07,-7.153e+09,-6.92e+08,-6.92e+08,-1.76e+08,-868000000.000001,4.3723e+10,1.5581e+10,3.2579e+10,0.38461,0.32191,0.12861,0.09471,0.04826,2.04771,1.03794,0.96235,0.04727,3.4171,3.41563,26.57045,34.968,6.99721,0.57066,7,0.06974,0.12238,0.167,-0.0508,-0.05577
