"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",22.7003174603175,"Up",1.457e+09,-1.142e+09,3.15e+08,-1.57e+08,-8.4e+07,-1.02e+08,2.9e+07,1.58e+08,-3.2e+07,-3.2e+07,1.26e+08,-4.2e+07,8.4e+07,-2.6e+07,5.8e+07,5.8e+07,5.8e+07,5.8e+07,355859026.060342,355859026.060342,358473821.618293,358473821.618293,576454755.04886,280096236.601786,61618074.9010309,164998377.879719,1570883839.32928,4150167929.56426,489862667.229682,420924619.297784,4640030596.79394,6210914436.12322,848699808.063441,797514850.42192,51184957.6415209,21040600.8107429,869740408.874184,1534637523.6221,640681328.285217,644932337.776992,-4251009.49177551,2175318851.90732,3045059260.7815,3010742349.47094,160528969.651232,-5416143.7804531,3165855175.34172,3165855175.34172,6210914436.12322,5.8e+07,1.02e+08,4.6e+07,-8.3e+07,1.23e+08,-2.4e+07,-2.4e+07,-1.03e+08,-6e+06,-1.09e+08,-1e+07,-1e+07,-1e+07,2.6e+08,0,1.79e+08,0.2162,0.10844,0.03981,0.0170353903848868,0.030983013064625,3.08621,1.66222416165325,1.07681371837201,0.25123480777706,0.67442,0.66975,16.94186,36.4053205932919,2.0814,0.0282944402080659,0.0496890541336442,10.9678182616431,24.1221661856955
"2","2010_Q3",20.81875,"Down",1.547e+09,-1.207e+09,3.4e+08,-2.25e+08,-6.9e+07,-1.01e+08,-5.5e+07,1.15e+08,-7e+07,-7e+07,4.5e+07,-1.9e+07,25999999.9999999,5e+06,3.1e+07,3.1e+07,3.1e+07,3.1e+07,5.14e+08,5.14e+08,6.59e+08,6.59e+08,6.16e+08,2.12e+08,3.7e+07,3.8e+07,2.001e+09,3.868e+09,1.82e+08,1.2e+08,4.05e+09,6.051e+09,7.19e+08,6.78e+08,4.1e+07,6e+07,7.79e+08,1.259e+09,1.444e+09,1.033e+09,4.11e+08,2.703e+09,3.482e+09,2.792e+09,-1.38e+08,-8.5e+07,2.569e+09,2.569e+09,6.051e+09,3.1e+07,1.01e+08,3.9e+07,3.99e+08,5.7e+08,-3.6e+07,6.1e+07,-3.87e+08,-2.6e+07,-4.32e+08,1.99e+08,1.99e+08,2e+08,2.16e+08,1.319e+09,5.74e+08,0.21978,0.07434,0.02004,0.01207,0.00512,18.51613,2.56868,1.35539,0.21798,0.36047,0.35632,17.98837,29.87209,6.67442,0.00581,0.10765,3.72685,7
"3","2010_Q4",27.14796875,"Up",1.473e+09,-1.048e+09,4.25e+08,-1.74e+08,-9.1e+07,-9.7e+07,1.4e+07,2.51e+08,-2.4e+07,-2.4e+07,2.27e+08,-1.5e+07,2.12e+08,-2.1e+07,1.91e+08,1.91e+08,1.91e+08,1.91e+08,5.37e+08,5.37e+08,6.53e+08,6.53e+08,6.39e+08,2.1e+08,2.8e+07,4.3e+07,2.039e+09,3.78e+09,1.7e+08,1.14e+08,3.95e+09,5.989e+09,6.92e+08,6.62e+08,3e+07,4.8e+07,7.4e+08,1.027e+09,1.477e+09,1.033e+09,4.44e+08,2.504e+09,3.244e+09,2.766e+09,4.3e+07,-6.4e+07,2.745e+09,2.745e+09,5.989e+09,1.91e+08,9.7e+07,7e+06,-2.8e+07,2.67e+08,-2.6e+07,3.8e+07,-2.33e+08,-1.2e+07,-2.81e+08,2.4e+07,2.4e+07,2.3e+07,3.48e+08,1.075e+09,3.15e+08,0.28853,0.1704,0.12967,0.06958,0.03189,1.64921,2.75541,1.18179,0.1795,2.23653,2.23131,17.24824,32.14286,3.68852,0.03813,0.05947,1.54598,2.14343
"4","2011_Q1",30.7779032258065,"Up",1.373e+09,-1.02e+09,3.53e+08,-1.97e+08,-9.4e+07,-9.5e+07,-7999999.99999999,1.56e+08,-2.9e+07,-2.9e+07,1.27e+08,-1e+06,1.26e+08,1.99e+08,3.25e+08,3.25e+08,3.25e+08,3.25e+08,5.3e+08,5.3e+08,6.01e+08,6.01e+08,6.48e+08,2.21e+08,2.8e+07,7.8e+07,2e+09,3.767e+09,2.59e+08,2.03e+08,4.026e+09,6.026e+09,7e+08,6.78e+08,2.2e+07,2.5e+07,7.25e+08,8.89e+08,1.274e+09,9.24e+08,3.5e+08,2.163e+09,2.888e+09,2.791e+09,3.57e+08,-1e+07,3.138e+09,3.138e+09,6.026e+09,3.25e+08,9.5e+07,-2.53e+08,39000000.0000001,2.06e+08,-4.1e+07,-1.7e+07,-1.75e+08,-1.1e+07,-1.96e+08,-6999999.99999997,-6999999.99999997,-6999999.99999999,2.51e+08,9.14e+08,5e+07,0.2571,0.11362,0.23671,0.10357,0.05393,0.153849999999998,2.75862,0.92033,0.15168,3.82353,3.76157,16.15294,36.91765,0.58824,0.0629,0.00939,1.52988,2.46154
"5","2011_Q2",34.1887301587302,"Up",1.423e+09,-1.021e+09,4.02e+08,-1.77e+08,-9e+07,-9.3e+07,6e+06,2.25e+08,-2.1e+07,-2.1e+07,2.04e+08,-1.4e+07,1.9e+08,-5.7e+07,1.33e+08,1.33e+08,1.33e+08,1.33e+08,6.04e+08,6.04e+08,7.21e+08,7.21e+08,6.43e+08,2.02e+08,3.2e+07,5.4e+07,2.17e+09,3.711e+09,2.6e+08,2.03e+08,3.971e+09,6.141e+09,6.82e+08,6.61e+08,2.1e+07,2.7e+07,7.09e+08,8.83e+08,1.319e+09,9.55e+08,3.64e+08,2.202e+09,2.911e+09,2.732e+09,4.8e+08,1.8e+07,3.23e+09,3.23e+09,6.141e+09,1.33e+08,9.3e+07,2.9e+07,-1.07e+08,1.48e+08,-4e+06,0,-1e+06,7e+06,-7.4e+07,7.4e+07,7.4e+07,7.4e+07,3.18e+08,9.1e+08,2.64e+08,0.2825,0.15812,0.09346,0.04118,0.02166,1.98496,3.06065,0.90124,0.14818,1.57957,1.5684,16.90024,38.36105,3.13539,0.02638,0.04836,0.96226,1.36
"6","2011_Q3",28.95484375,"Down",1.403e+09,-1.056e+09,3.47e+08,-1.88e+08,-8.8e+07,-9.5e+07,-5e+06,1.59e+08,-2.1e+07,-2.1e+07,1.38e+08,-6.4e+07,7.4e+07,-2e+07,5.4e+07,5.4e+07,5.4e+07,5.4e+07,7.42e+08,7.42e+08,6.68e+08,6.68e+08,6.12e+08,2.25e+08,4.4e+07,6.4e+07,2.247e+09,3.573e+09,2.58e+08,2.02e+08,3.831e+09,6.078e+09,7.05e+08,6.76e+08,2.9e+07,2.7e+07,7.32e+08,8.78e+08,1.328e+09,9.62e+08,3.66e+08,2.206e+09,2.938e+09,2.579e+09,5.19e+08,4.2e+07,3.14e+09,3.14e+09,6.078e+09,5.4e+07,9.5e+07,8e+07,7.7e+07,3.06e+08,-1e+06,5e+06,-1.49011611938477e-08,999999.999999998,-1.74e+08,1.37e+08,1.37e+08,1.38e+08,2.54e+08,9.05e+08,3.5e+08,0.24733,0.11333,0.03849,0.0172,0.00888,6.48148,3.06967,0.93567,0.1489,0.65693,0.65217,17.06813,38.19951,4.25791,0.01191,0.06514,0.64173,1.02516
"7","2011_Q4",27.95,"Down",1.417e+09,-1.055e+09,3.62e+08,-1.66e+08,-7.5e+07,-9.3e+07,2e+06,1.96e+08,-2.5e+07,-2.5e+07,1.71e+08,-9e+06,1.62e+08,-4.5e+07,1.17e+08,1.17e+08,1.17e+08,1.17e+08,4.61e+08,4.61e+08,6.79e+08,6.79e+08,6.3e+08,1.9e+08,2.4e+07,5.1e+07,1.96e+09,3.49e+09,5.7e+08,2.02e+08,4.06e+09,6.02e+09,7.82e+08,7.53e+08,2.9e+07,2.2e+07,8.04e+08,8.9e+08,1.38e+09,1.052e+09,3.28e+08,2.27e+09,3.074e+09,2.388e+09,6.23e+08,-6.5e+07,2.946e+09,2.946e+09,6.02e+09,1.17e+08,9.3e+07,1.5e+07,3.2e+07,2.57e+08,-2.5e+07,-3.13e+08,-1.6e+07,-1.2e+07,-2.24e+08,-2.8e+08,-2.8e+08,-2.81e+08,2.89e+08,9.12e+08,3.41e+08,0.25547,0.13832,0.08257,0.03971,0.01944,2.91453,2.43781,1.04345,0.1515,1.48101,1.46985,17.93671,37.29114,4.31646,0.0252,0.0651,1.56055,2.30102
"8","2012_Q1",33.5616129032258,"Up",1.369e+09,-1.039e+09,3.3e+08,-1.81e+08,-8.7e+07,-9.5e+07,999999.999999999,1.49e+08,-2e+07,-2e+07,1.29e+08,-5e+07,7.9e+07,-1.1e+07,6.1e+07,6.1e+07,6.1e+07,6.1e+07,4.44e+08,4.44e+08,6.44e+08,6.44e+08,6.52e+08,1.94e+08,2.2e+07,4.7e+07,1.934e+09,3.459e+09,4.76e+08,1.09e+08,3.935e+09,5.869e+09,7.05e+08,6.88e+08,1.7e+07,1.1e+07,7.16e+08,8.86e+08,1.344e+09,9.27e+08,4.17e+08,2.23e+09,2.946e+09,2.326e+09,6.71e+08,-7.4e+07,2.923e+09,2.923e+09,5.869e+09,6.1e+07,9.5e+07,-9e+06,2.5e+07,1.72e+08,-7e+07,-87000000.0000001,-1e+06,-9e+06,-1.02e+08,-17000000.0000001,-17000000.0000001,-1.7e+07,2.44e+08,8.97e+08,2.1e+08,0.24105,0.10884,0.04456,0.02087,0.01039,3.44262,2.70112,1.00787,0.15284,0.82656,0.81989,18.55014,39.60705,2.84553,0.01433,0.04067,1.85656,3.04027
"9","2012_Q2",30.677619047619,"Down",1.398e+09,-1.088e+09,3.1e+08,-1.98e+08,-9.9e+07,-9.7e+07,-2e+06,1.12e+08,-7.1e+07,-7.1e+07,4.1e+07,-3e+06,3.8e+07,-8e+06,2.8e+07,2.8e+07,2.8e+07,2.8e+07,3.15e+08,3.15e+08,6.97e+08,6.97e+08,6.76e+08,1.96e+08,2.6e+07,4.3e+07,1.884e+09,3.484e+09,6.7e+08,1.08e+08,4.154e+09,6.038e+09,6.56e+08,6.37e+08,1.9e+07,1.9e+07,6.75e+08,1.001e+09,1.402e+09,9.68e+08,4.34e+08,2.403e+09,3.078e+09,2.326e+09,6.86e+08,-5.2e+07,2.96e+09,2.96e+09,6.038e+09,2.8e+07,9.7e+07,9e+06,-1.04e+08,3e+07,-2.9e+07,-2.63e+08,1.12e+08,9e+06,1.04e+08,-1.29e+08,-1.29e+08,-1.29e+08,2.09e+08,1.02e+09,8.4e+07,0.22175,0.08011,0.02003,0.00946,0.00464,3,2.79111,1.03986,0.16893,0.38147,0.37838,19.04632,40.32698,1.14441,0.00762,0.01561,3.37321,6.29464
"10","2012_Q3",27.4290476190476,"Down",1.368e+09,-1.075e+09,2.93e+08,-1.87e+08,-8.9e+07,-9.6e+07,-2e+06,1.06e+08,-1.8e+07,-1.8e+07,8.8e+07,0,8.8e+07,-2.7e+07,5.9e+07,5.9e+07,5.9e+07,5.9e+07,2.76e+08,2.76e+08,6.42e+08,6.42e+08,6.73e+08,2.18e+08,3.9e+07,5.1e+07,1.809e+09,3.45e+09,7.14e+08,1.08e+08,4.164e+09,5.973e+09,6.62e+08,6.39e+08,2.3e+07,2.8e+07,6.9e+08,9.99e+08,1.385e+09,9.9e+08,3.95e+08,2.384e+09,3.074e+09,2.254e+09,7.29e+08,-8.4e+07,2.899e+09,2.899e+09,5.973e+09,5.9e+07,9.6e+07,8e+06,1.2e+07,1.75e+08,-7.6e+07,-1.39e+08,-1000000.00000003,8e+06,-74999999.9999999,-3.9e+07,-3.9e+07,-3.9e+07,2.02e+08,1.027e+09,1.65e+08,0.21418,0.07749,0.04313,0.02035,0.00988,2.79661,2.62174,1.06037,0.17194,0.80822,0.80601,18.73973,39.71233,2.26027,0.01356,0.03107,3.71782,7.08491
