"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",2.51822580645161,"Up",5001116,-2441187,2559929,-1796489,-1395882,-263279,763440,763440,782198,-347288,434910,434910,434910,434910,4728884,4728884,2557822,2557822,4607843,5638857,5025757,17533406,530327,2942397,-2412070,99139,13146683.5435063,-5751885.73983364,99139,1575957,19109363,1879213,537850,1217454,1879213,316190,297390,316190,2195403,7055274,9858686,16913960,16913960,19109363,434910,434910,55862,-158098,91243,423917,-25475,2525226,205108,205108,199230,3148373,3148373,3148373,819302,0,1232358,0.51187,0.15265,0.08696,0.02571,0.02276,2.83359,9.33019,0.1298,0,0.07629,0.0679,0.87732,2.96714,0.21619,0.03012,0.07152,-5.77184,-6.19418
"2","2011_Q2",2.48714285714286,"Down",4140295,-1970327,2169968,-1641530,-1345514,-296016,528438,528438,538924,-187431,351493,351493,351493,351493,1525373.97175926,1525373.97175926,3303113.40467732,3303113.40467732,5835547.97835521,5864131.11369722,6084819.72360012,16528166.468489,709308.429532869,3261122.77079671,-2551814.34126384,3619818.07707018,7803979.27175314,-1337931.36991682,94731.6221208085,8193129.33827774,24721295.8067668,6438042.96555907,778890.981648644,1206533.64303906,3531516.09283526,3932446.410146,3016852.75501961,3932446.410146,7463962.50298125,8937147.7351717,8330020.37586455,17267168.1110362,17257333.3037855,24721295.8067668,351493,351493,49956,72784,-594224,-119991,-20843,-120489,177399,177399,119075,-121405,-121405,-121405,578394,-1.45519152283669e-11,150758,0.52411,0.12763,0.0849,0.0248603799971309,0.0205004613094019,0.428910000000001,6.14743514010145,0.404344314203873,-0.119453937445475,0.05958,0.05169,0.70182,3.24172878276018,0.02555,-0.152472187259605,-0.0719111214699107,-18.3801624021719,-18676.0915837175
"3","2011_Q3",2.693125,"Up",4391562,-2154806,2236756,-1615026,-1281586,-333440,621730,621730,632490,-225978,406512,406512,406512,406512,667722.171759265,667722.171759265,3261058.70467732,3261058.70467732,6291671.17835522,6099855.61369722,6144831.82360012,16320307.668489,1555590.32953287,4168577.27079671,-2612986.94126384,5275571.17707018,4552065.09058438,1315356.21002773,130066.122120809,10411217.0382777,26731524.7067668,6431340.56555906,623336.981648644,1392557.94303906,4221928.69283526,4200681.310146,2969067.05501961,4200681.310146,8422610.00298125,10239124.7351717,7972816.27586455,18211941.0110362,18308914.7037855,26731524.7067668,406512,406512,52138,25647,-72574,411723,-98184,-1743313,228590,228590,111025,-1220565,-1220565,-1220565,673868,0,729088,0.50933,0.14157,0.09257,0.0147453799971309,0.0116944613094019,1.79352,4.41753014010145,0.445360314203873,-0.0908589374454748,0.06764,0.05784,0.73073,3.18524978276018,0.12132,-0.119209187259605,-0.0877051214699107,-17.0028634021719,-18659.7234487175
"4","2011_Q4",2.38333333333333,"Down",4947753,-2532204,2415549,-2415424,-2141268,-274156,125,125,1622,63072,64694,64694.0000000001,63451,63451,1169352,1169352,2868390,2868390,6295128,6121799,5508699,16454669,2429038,5062898,-2633860,5692398,2879832,2642000,170566,9817307,26271976,4123307,384518,1597722,4161397,2705988,1506326,2705988,6867385,11052250,8134752,19187002,19404591,26271976,64694,64694,127014,-157798,-705909,-671999,-152372,-1954341,408708,408708,408778,-2217562,-2217562,-2217562,127139,38090,-794214,0.48821,3.00000000000022e-05,0.01282,0.00327,0.00242,-12.51697,3.95412,0.35391,0.00145000000000001,0.00977999999999999,0.00853999999999999,0.76277,2.95796,-0.12244,0.0106399999999999,-0.03586,-8.89784000000002,-9050.09600000001
"5","2012_Q1",2.63532258064516,"Up",5953893,-3439793,2514100,-2528288,-2185142,-343146,-14188,-42992,-21193,-28495,-49688,-49688,-45718,-45718,1760816,1760816,2605965,2605965,6189601,5856824,4673482,16413206,2442738,5062074,-2619336,5522002,2276171,3076023,169808,7964740,24377946,2100619,521174,1579445,3494849,1205069,132867,1205069,4699918,11453710,8010701,19464411,19678028,24377946,-49688,-49688,162525,180143,210131,503111,-96806,2079275,64351,167056,-1990922,591464,591464,591464,148337,1394230,290157,0.42226,-0.00238,-0.00768,-0.00232,-0.00188,-6.34667,4.6964,0.23884,0.05719,-0.00641,-0.00578,0.8344,2.72781,0.04066,0.09407,0.01302,-2.47131,25.83775
"6","2012_Q2",2.60793650793651,"Down",5558754,-3056751,2502003,-2301253,-2011256,-289997,200750,200750,219462,-104102,115360,115360,115360,115360,1596973,1596973,2888453,2888453,6281622,5005152,3845009,15772200,1079945,3704317,-2624372,5377531,2202369,3076023,99139,6457476,22229676,2466240,1273930,1192310,2466240,1197213,125011,1197213,3663453,11541479,7024744,18566223,18566223,22229676,117208,117208,161621,6558,-190809,94577.9999999998,-191816,808295,-764502,22741,-1066716,-163843,-163843,-163843,362371,0,83848,0.4501,0.03611,0.02075,0.00621,0.00519,0.726839999999999,6.39524,0.19732,0,0.01647,0.01494,0.79378,2.65121,0.01197,0.02368,0.00424,-4.40701,-7.95502999999977
"7","2012_Q3",3.00746031746032,"Up",6672246,-3650249,3021997,-2123747,-1839744,-284003,898250,898250,904538,-301898,602640,602640,604640,604640,3812724,3812724,3107941,3107941,6448990,2121517,1261791,15491172,1247416,3958351,-2710935,5322479,2147317,3076023,99139,6569895,22061067,2291574,1001737,1289837,2291574,1187669,115467,1187669,3479243,11630168,6951656,18581824,18581824,22061067,602792,602792,142379,51442,-32191,764422,-254184,2091705,-302498,53259,-640284,2215843,2215843,2215843,1040629,0,1056152,0.45292,0.13462,0.09062,0.03254,0.02741,1.74675,6.76006,0.18724,0,0.08798,0.07931,0.97087,2.70382,0.15368,0.0479,0.05342,-3.66386,-4.24461
"8","2012_Q4",3.25483870967742,"Up",6998000,-3814000,3184000,-2002000,-1741000,-261000,1182000,1182000,1193000,-404000,789000,737000,733000,733000,5630000,5630000,3140107,3140107,6756169,1205151,594451,16731427,1205535,2906392,-1700857,5267427,2092265,3076023,99139,6472962,23204389,3011508,1182048,1690614,3011508,1098064,25862,1098064,4109572,11751049,7343768,19094817,19094817,23204389,735000,735000,153000,57000,446000,1391000,-57000,692000,65000.0000000001,65000,-266000,1817000,1817000,1817000,1335000,0,2128000,0.45499,0.16891,0.10474,0.03839,0.03159,2.90314,5.55583,0.21522,-1.73472347597681e-18,0.10674,0.09613,1.01907,2.78063,0.30988,0.05329,0.10538,-4.21723,-4.76311000000002
"9","2013_Q1",4.4065,"Up",8458000,-5033000,3425000,-1637000,-1338000,-299000,1788000,1788000,1790000,-689000,1101000,1157000,1157000,1157000,5492000,5492000,5167000,5167000,6984000,1401000,640000,19044000,1204000,3004000,-1800000,5215000,2037000,3076000,102000,6419000,25463000,4141000,1429000,2102000,4141000,1092000,15000,1092000,5233000,12077000,8153000,20230000,20230000,25463000,1157000,1157000,143000,-54000,-1161000,85000,-87000,-87000,213000,213000,-136000,-138000,-138000,-138000,1931000,0,1372000,0.40494,0.2114,0.13679,0.05719,0.04544,1.18583,4.59889,0.25868,0,0.16785,0.14922,1.22702,2.93481,0.19904,0.07063,0.06435,-2.84412,-3.07159
"10","2013_Q2",4.83578125,"Up",9896000,-5331000,4565000,-2547000,-2258000,-289000,2018000,2018000,2021000,-564000,1457000,1482000,1482000,1482000,6948965,6948965,5778979,5778979,6737372,1710930,949964,21176246,1142527,3047085,-1904558,5159823,1982162,3076023,101638,6302350,27478596,3749640,1056125,2361221,3800597,1082254,5097,1082254,4882851,13660473,8935272,22595745,22595745,27478596,1482000,1482000,159000,-179000,-812000,650000,-43000,-43000,1314000,1314000,850000,1457000,1457000,1457000,2177000,50957,1886000,0.4613,0.20392,0.14976,0.06559,0.05393,1.2726,5.57182,0.2161,0.00185,0.2095,0.18515,1.39891,3.19415,0.26661,0.09196,0.07948,-3.16858,-3.41824
