"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.4690476190476,"Down",66534000,-12901000,53633000,-14432000,-8038000,-6154000,39201000,506000,39707000,39707000,-12935000,26772000,26772000,26772000,26772000,-178064418.077567,-57873277.8441471,-120191140.233419,-130591790.432562,-130591790.432562,33399160.165246,113720080.257525,-161536968.087358,96844880.3749107,130396662.324618,38115049.3163522,67914611.0133055,-10467684.6617654,424589683.875639,263052715.788281,-29244497.4029053,-1935556.26213474,-1225551.34588132,-26083389.7948893,-33407758.602425,-33393397.5233067,-62652256.0053303,-53263884.7896119,199959452.234378,297750893.166015,-181393744.8225,316316600.577892,316316600.577892,263052715.78828,26772000,2005000,465000,-1213000,28029000,-563000,-1016000,-1579000,-9311000,22000,22000,-597000,-9886000,16564000,16564000,-2747000,13817000,41206000,0,52365000,0.8061,0.58919,0.40238,-0.0338992578634005,-0.027742143736849,1.95596,87.4787701712672,-0.0820741095806133,-2.7120688898061e-09,0.1797,0.17925,0.4466,1.67584007335465,0.35149,0.0625,0.0128192375947224,-0.124795125841162,0.34779,-7.37428990238126,-8.87527949189143
"2","2010_Q3",13.0065625,"Down",65521000,-13329000,52192000,-15638000,-9007000,-6391000,36554000,145000,36699000,36699000,-11978000,24721000,24721000,24721000,24721000,-28135209.0387833,9596361.07792643,-37731570.1167097,-36878395.2162812,-36878395.2162812,23655580.082623,59633040.1287626,18275015.956321,98084440.1874553,89957831.1623092,20166524.6581761,46491305.5066527,-4161342.3308827,378306341.93782,396581357.89414,-3917248.70145267,3182221.86893263,1156224.32705934,-8255694.89744463,-11735379.3012125,-11728198.7616534,-15652628.0026651,-10958442.394806,154857226.117189,345299946.583008,-92617372.4112502,407539800.288946,407539800.288946,396581357.89414,24721000,2060000,695000,756999.999999996,28233000,-1592000,2123000,581000,-9685000,611999.999999999,612000,41000,-9032000,19782000,19782000,1012000,20794000,38614000,0,49757000,0.79657,0.5579,0.3773,0.0169553710682997,0.0183239281315755,2.01274,41.1337600856336,-0.0108420547903067,-1.35603444490305e-09,0.16591,0.16546,0.43973,2.52825003667733,0.33393,0.065,0.0485696187973612,0.0189424370794191,0.39177,-4.12870995119063,-4.81764474594572
"3","2010_Q4",13.74515625,"Up",70278000,-14399000,55879000,-14231000,-7666000,-6325000,41648000,-209000,41439000,41439000,-9051000,32388000,32388000,32388000,32388000,74688930.3204056,59633787.0259755,15055143.2944301,12576534.9279063,12576534.9279063,17058860.027541,29942013.3762542,134266338.652107,98128480.0624851,62944943.7207697,8142174.8860587,32209101.8355509,-760447.443627566,342219113.979273,476485452.63138,9036250.43284911,5207407.28964421,2709408.10901978,1119435.03418512,-356459.767070826,-354066.253884452,8679790.66577828,10244519.2017313,131184075.372396,377843648.861003,-42786790.8037501,466240933.429649,466240933.429649,476485452.63138,32388000,2002000,-1512000,-9660000,23218000,-1366000,-91220000,-92586000,-9699000,1007000,2405000,126000,-8566000,-77934000,-77934000,-9381000,-87315000,43650000,0,41675000,0.79511,0.59262,0.46086,0.0429651236894333,0.0419679760438585,1.28674,18.2952866952112,0.0239593150698978,-4.5201148163435e-10,0.21712,0.21662,0.47112,3.06353001222578,0.27938,0.06502,0.0660632062657871,0.089527479026473,0.29946,-3.06847998373021,-3.35995491531524
"4","2011_Q1",15.3391935483871,"Up",66714000,-14269000,52445000,-13520000,-7989000,-6251000,38925000,-324000,38601000,38601000,-12706000,25895000,25895000,25895000,25895000,138811000,94139000,44672000,30850000,30850000,13737000,17642000,201040000,97400000,49205000,2044000,25068000,523000,317776000,518816000,13243000,5232000,3636000,4375000,3781000,3781000,17024000,17024000,122907000,400119000,-21234000,501792000,501792000,518816000,25895000,2063000,1472000,2350000,31780000,-1123000,-19908000,-21031000,-9693000,-13353000,222000,19000,-23027000,-12278000,-12278000,-1819000,-14097000,40988000,3.46944695195361e-18,54921000,0.78612,0.58346,0.38815,0.05161,0.04991,2.12091,11.80921,0.03393,0,0.17388,0.17348,0.44797,3.36945,0.36879,0.06509,0.07092,0.10945,0.37432,-3.38663,-3.56611
"5","2011_Q2",17.3193650793651,"Up",67945000,-15350000,52595000,-14232000,-7613000,-6619000,38363000,590000,38953000,38953000,-12580000,26373000,26373000,26373000,26373000,172634000,115012000,57622000,31019000,31019000,13818000,15728000,233199000,96322000,48585000,1874000,25068000,477000,306425000,539624000,12330000,4348000,4138000,3844000,3729000,3729000,16059000,16059000,123993000,416863000,-17291000,523565000,523565000,539624000,26373000,2008000,1238000,1084000,30703000,-1052000,-1313000,-2365000,-9629000,-1073000,867000,-211000,-10913000,17425000,17425000,3448000,20873000,40371000,0,52983000,0.77408,0.56462,0.38815,0.05037,0.04887,2.00899,14.52139,0.03067,0,0.178,0.17768,0.45859,3.53378,0.35761,0.06499,0.06876,0.1012,0.36511,-4.27619,-4.50001
"6","2011_Q3",16.52046875,"Down",67708000,-15327000,52381000,-15030000,-8427000,-6603000,37351000,322000,37673000,37673000,-11139000,26534000,26534000,26534000,26534000,194862000,135875000,58987000,28228000,28228000,13736000,16734000,253560000,95096000,48286000,1703000,25068000,440000,302048000,555608000,10585000,3918000,4224000,2443000,3087000,3087000,13672000,13672000,127599000,433387000,-19050000,541936000,541936000,555608000,26534000,2050000,1284000,-435000,29433000,-713000,502000,-211000.000000002,-10011000,2562000,2562000,330000,-7119000,22103000,22103000,-1240000,20863000,39401000,2.77555756156289e-17,49392000,0.77363,0.55165,0.39189,0.04896,0.04776,1.86146,18.54593,0.02523,0,0.17884,0.17854,0.45635,3.65265,0.3329,0.06747,0.06743,0.09114,0.37729,-4.94561,-5.21705
"7","2011_Q4",15.1212698412698,"Down",76271000,-15941000,60330000,-15592000,-9295000,-6297000,44738000,646000,45384000,45384000,-14320000,31064000,31064000,31064000,31064000,213898000,158628000,55270000,35554000,35554000,13619000,13655000,276726000,94145000,48155000,1533000,25068000,1200000,306093000,582819000,11635000,5034000,4096000,2505000,4907000,4907000,16542000,16542000,127692000,454428000,-15843000,566277000,566277000,582819000,31064000,1884000,2164000,-2726000,32386000,-592000,-1229000,-1821000,-10022000,0,0,-801000,-10823000,19742000,19742000,3011000,22753000,46622000,0,57624000,0.791,0.58657,0.40728,0.05486,0.0533,1.85501,16.72869,0.02921,1.03397576569128e-25,0.20921,0.20878,0.51368,3.81383,0.38809,0.0675,0.07255,0.10176,0.32262,-4.58792,-4.78113
"8","2012_Q1",15.5693548387097,"Up",78038000,-18407000,59631000,-17028000,-10562000,-6466000,42603000,368000,42971000,42971000,-14640000,28331000,28331000,28331000,28331000,140813000,77613000,63200000,35914000,35914000,44906000,8784000,230417000,95398000,159867000,52282000,86633000,1319000,387253000,617670000,13404000,5207000,5509000,2688000,4784000,4784000,18188000,31548000,129683000,472730000,-16291000,586122000,586122000,617670000,28331000,2758000,1785000,1798000,34672000,-1273000,24194000,-108845000,-10029000,1361000,1361000,292000,-8376000,-82549000,-82549000,1534000,-81015000,45361000,4.44089209850063e-16,60526000,0.76413,0.54593,0.36304,0.04834,0.04587,2.13639,12.66863,0.05382,0,0.1907,0.19025,0.5253,3.94536,0.40742,0.06751,0.06399,0.10096,0.35399,-3.10427,-3.30524
"9","2012_Q2",15.3601587301587,"Down",77596000,-19209000,58387000,-17440000,-10773000,-6667000,40947000,-447000,40500000,40500000,-12979000,27521000,27521000,27521000,27521000,133355000,79235000,54120000,34092000,34092000,42116000,9447000,219010000,94352000,166125000,50030000,85360000,11300000,409426000,628436000,21372000,5734000,3958000,11680000,4864000,4864000,26236000,39082000,130023000,479551000,-20220000,589354000,589354000,628436000,27521000,3135000,1582000,2194000,34432000,-1096000,-9353000,-10449000,-10026000,-10630000,45000,-9e+05,-21556000,2427000,2427000,-805000,1622000,44082000,0,58159000,0.75245,0.52769,0.35467,0.0467,0.04379,2.11326,8.34769,0.06631,0,0.18548,0.1851,0.52295,3.97192,0.39196,0.06757,0.06235,0.09658,0.3643,-3.02516,-3.25677
"10","2012_Q3",16.0763492063492,"Up",74662000,-19492000,55170000,-17488000,-10651000,-6837000,37682000,191000,37873000,37873000,-12060000,25813000,25813000,25813000,25813000,137752000,80994000,56758000,32351000,32351000,40978000,16135000,227216000,94604000,154314000,48679000,85240000,1219000,397032000,624248000,10359000,5914000,967000,3478000,3764000,3764000,14123000,26742000,130886000,487524000,-20904000,597506000,597506000,624248000,25813000,3179000,-3481000,-5073000,20438000,-2201000,1330000,-829000,-10361000,-7073000,2.3283064365387e-10,6000,-17428000,2181000,2181000,-422000,1759000,40861000,-7.105427357601e-15,45647000,0.73893,0.5047,0.34573,0.0432,0.04135,1.76837,16.08837,0.04476,0,0.17458,0.17428,0.50495,4.04103,0.30872,0.07007,0.05929,0.07482,0.40139,-3.37123,-3.65564
