"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",103.506031746032,"Up",159275000,-163236000,-44871000,-118365000,-6935000,-11057000,-11057000,-17992000,-17992000,-18359000,-18359000,-18359000,-18359000,585424000,421822000,163602000,69604000,69604000,34703000,28178000,692145000,80667000,49983000,30896000,170479000,862624000,125401000,26586000,94372000,12857000,225595000,68232000,62207000,678442000,904037000,1760206000,-1803877000,2258000,-41413000,-41413000,862624000,-18359000,11835000,13725000,-11787000,-4586000,-3553000,-15193000,-58575000,29180000,29180000,32686000,-30475000,-30475000,-30475000,4900000,697547000,-0.04354,-0.11527,0.44331,-0.02128,3.06809,-21.82979,0.80863,-0.10669,-0.10669,0.92564,-0.24068,-0.02534,22.88224,-16.1677
"22","2015_Q3",112.12234375,"Up",162985000,-164121000,-51677000,-112444000,-7391000,-10351000,-10351000,-17742000,9432000,9296000.00000001,9296000.00000001,9296000.00000001,9296000.00000001,627469000,439681000,187788000,75122000,75122000,28502000,20260000,732990000,81602000,48742000,32804000,197347000,930337000,136675000,29162000,106231000,12857000,192472000,65666000,57941000,682691000,875163000,1847806000,-1794581000,1949000,55174000,55174000,930337000,9296000.00000001,11266000,-7822000,650000.000000007,13390000,-2196000,-24495000,-26691000,33778000,33778000,31160000,17859000,17859000,17859000,3875000,659965000,-0.04535,0.05704,0.16849,0.00999,3.80829,15.86187,0.70938,0.05203,0.04985,0.91218,0.30879,0.01191,8.38606,-4.3967
"23","2015_Q4",111.53046875,"Down",187610000,-179672000,-47599000,-132073000,-101000,-8182000,-8182000,-8283000,-39572000,-39582000,-39582000,-39582000,-39582000,635045000,445801000,189244000,86966000,86966000,33475000,23246000,757914000,83186000,55118000,35949000,174018000,931932000,142961000,27366000,112279000,12857000,155823000,63444000,53732000,687372000,843195000,1923175000,-1834163000,-275000,88737000,88737000,931932000,-39582000,11178000,47063000,-10936000,7723000,-13358000,-1857000,-15215000,13913000,13913000,13612000,6120000,6120000,6120000,11077000,623933000,-0.00054,-0.21098,-0.44606,-0.04247,4.86394,9.50218,0.6695,-0.21822,-0.21822,1.03431,0.48921,-0.051,-1.00316,110.0198
"24","2016_Q1",74.5286885245902,"Down",243881000,-169099000,-52467000,-116632000,65078000,-8924000,-8924000,56154000,55688000,55176000,55176000,55176000,55176000,707783000,521439000,186344000,114450000,114450000,18359000,17843000,842375000,86006000,43811000,43811000,165065000,1007440000,155495000,30085000,124648000,12512000,168007000,48385000,48385000,668278000,836285000,1950951000,-1778987000,-809000,171155000,171155000,1007440000,55176000,10604000,19875000,-12774000,72881000,-6896000,2367000,-4529000,9565000,9565000,7286000,75638000,75638000,75638000,75682000,619893000,0.26684,0.22624,0.32237,0.05477,5.01393,4.88613,0.61532,0.29621,0.26367,1.30928,0.91885,0.06573,-1.16131,-1.35053
"25","2016_Q2",77.6234375,"Up",263464000,-221420000,-64596000,-156824000,36039000,-8642000,-8642000,27397000,24447000,24047000,24047000,24047000,24047000,810669000,657615000,153054000,101280000,101280000,22323000,21806000,935581000,92622000,43441000,31143000,168361000,1103942000,191022000,31899000,156838000,9297000,200319000,48233000,48233000,675875000,876194000,1982291000,-1754940000,397000,227748000,227748000,1103942000,24047000,11058000,23897000,38533000,97535000,-5562000,34319000,28757000,10219000,10219000,9884000,136176000,136176000,136176000,47097000,627642000,0.13679,0.09127,0.10559,0.02178,4.67046,3.84721,0.56855,0.12847,0.12484,1.40751,1.21671,0.02661,-3.88617,-5.07858
"26","2016_Q3",84.25734375,"Up",246288000,-187062000,-66794000,-120268000,46859000,-8524000,-8524000,38335000,35210000,34425000,34425000,34425000,34425000,629191000,487654000,141537000,129486000,129486000,27329000,27313000,792130000,138513000,455888000,30958000,625845000,1417975000,175215000,40724000,133729000,23771000,198986000,286435000,286435000,921926000,1120912000,2016916000,-1720515000,662000,297063000,297063000,1417975000,34425000,12850000,24500000,-54203000,17572000,-82214000,11778000,-215281000,13886000,13886000,27763000,-169946000,-169946000,-169961000,59709000,635491000,0.19026,0.13978,0.11588,0.02428,3.98083,3.77331,0.44817,0.18342,0.17835,1.31226,1.5828,0.02824,0.10551,0.13445
"27","2016_Q4",97.564126984127,"Up",269469000,-218960000,-75776000,-143184000,30304000,-8291000,-8291000,22013000,38302000,36877000,36877000,36877000,36877000,716585000,580099000,136486000,131523000,131523000,34474000,34457000,886660000,151942000,449848000,30325000,657535000,1544195000,219823000,57524000,160014000,20722000,240545000,290230000,290230000,933664000,1174209000,2053234000,-1683638000,390000,369986000,369986000,1544195000,36877000,16951000,10312000,31131000,95271000,-16629000,4797000,-9952000,8363000,8363000,7126000,92445000,92445000,92445000,47255000,643434000,0.11246,0.13685,0.09967,0.02388,3.68605,3.17366,0.41668,0.19612,0.18983,1.43312,1.96771,0.02829,-1.54801,-2.41391
"28","2017_Q1",127.317903225806,"Up",326498000,-257670000,-96085000,-161585000,49218000,-8876000,-8876000,40342000,9445000,8873000,8873000,8873000,8873000,808546000,652343000,156203000,148758000,148758000,32768000,32768000,994178000,167679000,444753000,30723000,644419000,1638597000,253962000,75599000,177601000,19539000,273501000,294148000,294148000,945629000,1219130000,2097118000,-1674765000,-2886000,419467000,419467000,1638597000,8873000,17566000,58647000,9292000,94378000,-15872000,-20249000,-36012000,17505000,17505000,-150999.999999996,58215000.0000001,58215000.0000001,58220999.9999999,66784000,651481000,0.15075,0.02718,0.02115,0.00541,3.63501,2.90638,0.39758,0.04705,0.04513,1.73119,2.22414,0.0065,-2.35184,-3.19121
"29","2017_Q2",127.249206349206,"Down",384082000,-495149000,-87229000,-407920000,-125891000,-4792000,-5939000,-130683000,-197983000,-187083000,-187083000,-187083000,-187083000,511955000,361823000,150132000,244975000,244975000,58284000,58284000,819175000,193211000,436639000,27993000,788172000,1607347000,283188000,86327000,196726000,21528000,304716000,295093000,295093000,336697000,641413000,2824503000,-1863946000,5377000,965934000,965934000,1607347000,-187083000,15027000,97984000,-99566000,-173638000,-20967000,6039000,-138819000,33736000,33736000,21960000,-290497000,-290497000,-290504000,-110864000,41604000,-0.32777,-0.48709,-0.19368,-0.11639,2.68832,0.66403,0.02588,-0.95812,-0.95812,1.96703,4.94691,-0.14362,4.24259,3.73618000000002
"30","2017_Q3",126.51619047619,"Down",326444000,-291852000,-90066000,-201786000,14331999.9999999,3682000,-383999.999999999,18014000,-9384000,-12484000,-12484000,-12484000,-12484000,608606000,451754000,156852000,169516000,169516000,63751000,63751000,844803000,218878000,431337000,28075000,794640000,1639443000,270382000,69093000,201255000,22779000,293161000,296019000,296019000,319447000,612608000,2892297000,-1876430000,10968000,1026835000,1026835000,1639443000,-12484000,12352000,61218000,55708000,116794000,-30499000,-6819000,-37318000,15725000,15725000,10532000,90008000,90008000,89972000,26684000,23427999.9999999,0.0438999999999999,-0.03824,-0.01216,-0.00761,2.8817,0.5966,0.01429,-0.06086,-0.06086,1.59132,5.00551,-0.00927,-21.92992,-40.83017
"31","2017_Q4",104.521746031746,"Down",381534000,-360822000,-91265000,-269557000,-1324000,5290000,-204000,3966000,43354000,36054000,36054000,36054000,36054000,1281389000,1128046000,153343000,198345000,198345000,58327000,58327000,1541322000,246825000,417134000,19256000,832979000,2374301000,295605000,69933000,225572000,24330000,319935000,272905000,272905000,296616000,616551000,3585614000,-1840376000,12512000,1757750000,1757750000,2374301000,36054000,11940000,7611000,-2482000,53123000,-34304000,3465000,-30839000,658480000,658480000,653994000,676278000,676278000,676275000,10616000,23711000,-0.00347,0.0945,0.02051,0.01519,4.81761,0.35076,0.00999000000000001,0.17435,0.16958,1.84498,8.49992,0.01755,-118.47005,949.90785
"32","2018_Q1",90.1647540983607,"Down",444156000,-544597000,-97726000,-446871000,-122800000,6073000,16780000,-116727000,-148277000,-149629000,-149629000,-149629000,-149629000,1169645000,899509000,270136000,266299000,266299000,62428000,62428000,1504854000,259763000,403609000,11115000,797728000,2302582000,341155000,67671000,273451000,26848000,375396000,279949000,279949000,296557000,671953000,3627644000,-1990005000,-7010000,1630629000,1630629000,2302582000,-149629000,12859000,65392000,-17889000,-89267000,-25251000,-117751000,-143002000,8210000.00000024,8210000.00000024,3724000,-228545000,-228545000,-228538000,-109941000,24001000,-0.27648,-0.33688,-0.09176,-0.06498,4.00871,0.41208,0.01042,-0.70873,-0.7288,2.10378,7.7236,-0.07734,10.42053,9.32935
"33","2018_Q2",68.38609375,"Down",382282000,-424601000,-121498000,-303103000,-60425000,4077000,-385000,-56348000,-40354000,-41140000,-41140000,-41140000,-41140000,1171059000,894427000,276632000,220190000,220190000,73674000,73674000,1469555000,264610000,405875000,18765000,836457000,2306012000,345437000,74115000,271222000,28175000,381072000,280085000,280085000,296896000,677968000,3666558000,-2028392000,-10122000,1628044000,1628044000,2306012000,-41140000,13424000,20317000,28237000,20838000,-12590000,-7001000,-28528000,2595000,2595000,2595000,-5095000,-5095000,-5060000,-47001000,24271000,-0.15806,-0.10762,-0.02527,-0.01784,3.85637,0.41643,0.01053,-0.19435,-0.19435,1.80593,7.69103,-0.02129,24.39923,18.9787000000001
"34","2018_Q3",68.6369841269841,"Up",521516000,-406118000,-108029000,-298089000,90542000,5410000,-398000,95952000,54008000,52394000,52394000,52394000,52394000,1198382000,928517000,269865000,316310000,316310000,77523000,77523000,1598084000,267586000,400157000,18432000,799073000,2397157000,331184000,75559000,255592000,29501000,368239000,278979000,278979000,295995000,664234000,3718730000,-1975998000,-9809000,1732923000,1732923000,2397157000,52394000,13501000,78634000,-112126000,32403000,-10791000,6868000,-3921999.99999999,15448000,15448000,5562000,34043000.0000001,34043000.0000001,34143000,104043000,24570000,0.17361,0.10046,0.03023,0.02186,4.3398,0.3833,0.01025,0.2469,0.23934,2.45756,8.16611,0.02573,-11.28199,-12.96428
"35","2018_Q4",64.9314285714286,"Down",449683000,-389049000,-96522000,-292527000,35839000,9806000,-405000,45645000,30976000,29176000,29176000,29176000,29176000,1375313000,1112179000,263134000,247736000,247736000,71317000,71317000,1700359000,300767000,397440000,21099000,819588000,2519947000,385176000,95478000,289598000,29665000,422489000,277335000,277335000,294559000,717048000,3759243000,-1946822000,-9522000,1802899000,1802899000,2519947000,29176000,13818000,52756000,103398000,199148000,-24821000,6945000,-17876000,2437000,2437000,2437000,183709000,183709000,183671000,49657000,24872000,0.0797,0.06488,0.01618,0.01158,4.02462,0.39772,0.00987,0.13722,0.1351,2.1149,8.4792,0.01386,-27.19538,-37.68077
"36","2019_Q1",81.3647540983607,"Up",528402000,-412596000,-108358000,-304238000,89440000,10924000,-355000,100364000,70717000,69063000,69063000,69063000,69063000,1438323000,1163980000,274343000,307598000,307598000,79366000,79366000,1832254000,319751000,394558000,23601000,813508000,2645762000,393433000,103827000,289577000,31844000,425277000,277084000,277084000,294518000,719795000,3813891000,-1877759000,-10165000,1925967000,1925967000,2645762000,69063000,14226000,66597000,-66048000,83838000,-25281000,-10816000,-36097000,9462000,9462000,4063000,51804000,51804000,51798000,103666000,17434000,0.16927,0.1307,0.03586,0.0261,4.30838,0.37373,0.00659,0.32422,0.31975,2.48057,9.04142,0.0311,-13.70641,-15.8865
"37","2019_Q2",80.2573015873016,"Down",497857000,-394528000,-123983000,-270545000,80741000,9038000,-335000,89779000,104097000,102312000,102312000,102312000,102312000,1581024000,1299704000,281320000,244081000,244081000,72266000,72266000,1904500000,338331000,391142000,25569000,849661000,2754161000,330276000,70363000,259824000,34239000,364515000,286432000,286432000,304079000,668594000,3870166000,-1775352000,-9247000,2085567000,2085567000,2754161000,102312000,13891000,26378000,13082000,155663000,-18267000,-6296000,-24563000,15481000,15481000,4487000,135587000,135587000,135713000,94632000,17647000,0.16218,0.2055,0.04906,0.03715,5.22475,0.32058,0.00641,0.47795,0.47135,2.32573,9.74268,0.04281,-16.5206,-19.36286
"38","2019_Q3",80.82265625,"Up",529932000,-395306000,-105943000,-289363000,105220000,14684000,-316000,119904000,108671000,105318000,105318000,105318000,105318000,1695855000,1416224000,279631000,302680000,302680000,53563000,53563000,2058625000,339122000,434323000,74134000,889008000,2947633000,330385000,66184000,264171000,36720000,367105000,315475000,315475000,333337000,700442000,3926190000,-1670034000,-8965000,2247191000,2247191000,2947633000,105318000,13435000,51971000,-17764000,152960000,-47294000,2147000,-45147000,15191000,15191000,9010000,116823000,116823000,116539000,118655000,17862000,0.19855,0.19874,0.04687,0.03573,5.60773,0.3117,0.00606,0.49072,0.48425,2.46918,10.47061,0.04081,-14.14178,-15.94747
"39","2019_Q4",85.42671875,"Up",551581000,-383944000,-102608000,-281336000,137597000,11364000,-597000,148961000,148019000,128271000,128271000,128271000,128271000,1986218000,1702023000,284195000,276116000,276116000,49896000,49896000,2319595000,347250000,430071000,75266000,895223000,3214818000,425824000,95376000,330359000,35859000,461683000,312528000,312528000,330608000,792291000,3972904000,-1541763000,-8614000,2422527000,2422527000,3214818000,128271000,13862000,44430000,83852000,270415000,16812000,-4528000,12284000,3111000,3111000,2894000,285593000,285593000,285780000,151459000,18080000,0.24946,0.23255,0.05295,0.0399,5.02422,0.32705,0.00562,0.59605,0.5894,2.56311,11.2571,0.04659,-12.99453,-14.30364
"40","2020_Q1",75.536935483871,"Down",579389000,-449044000,-136177000,-312867000,98130000,15241000,-607000,113371000,126004000,111005000,111005000,111005000,111005000,2117554000,1832684000,284870000,308809000,308809000,43725000,43725000,2481488000,377567000,434038000,84617000,945262000,3426750000,460332000,83647000,376685000,34708000,513340000,315004000,315004000,315004000,828344000,4044706000,-1430758000,-15542000,2598406000,2598406000,3426750000,111005000,13345000,29143000,-21875000,131618000,-29315000,-713000,-30028000,46267000,46267000,29320000,130910000,130910000,130689000,111475000,18300000,0.16937,0.19159,0.04272,0.03239,4.834,0.31879,0.00534,0.51446,0.50815,2.68524,12.04259,0.03786,-18.83161,-21.39258
"41","2020_Q2",96.4044444444445,"Up",568507000,-1196435000,-111148000,-1085287000,-655247000,8060000,-602000,-647187000,-704076000,-720642000,-720642000,-720642000,-720642000,1302592000,1043241000,259351000,351522000,351522000,48078000,48078000,1716169000,410034000,445226000,101189000,1036253000,2752422000,448839000,60937000,387813000,36049000,503412000,311289000,311289000,311289000,814701000,4102228000,-2151400000,-13107000,1937721000,1937721000,2752422000,-720642000,13098000,97417000,-73290000,-683417000,-39265000,-69295000,-108560000,14619000,14619000,2499000,-789478000,-789478000,-787918000,-642149000,18524000,-1.15258,-1.2676,-0.3719,-0.26182,3.40907,0.42044,0.00673,-3.32521,-3.32521,2.62322,8.94109,-0.31781,1.99964,1.95967
