"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.5834920634921,"Up",376813000,-71581000,305232000,-272182000,-232060000,-175867000,-56193000,-40122000,33050000,-1158000,-1973000,31892000,31892000,-12016000,19876000,19876000,17745000,17745000,951752000,690794000,260958000,183612000,183612000,128388000,45858000,46215000,1263752000,86710000,949796000,187839000,35050000,47749000,70859000,1224345000,2488097000,190646000,184745000,647454000,838100000,455649000,45981000,11805000,501630000,1339730000,1010134000,124306000,70000,1134510000,1148367000,2488097000,19876000,14505000,42120000,66682000,143183000,-11690000,-495943000,0,-5e+05,-508133000,-1918000,37516000,43613000,-321337000,-321337000,825000,-320512000,47555000,455649000,114563000,0.81004,0.08771,0.04709,0.01545,0.00713,6.45607,1.50788,1.16664,0.18313,0.03465,0.03354,0.73578,2.21529,0.2237,-8.07617464661855,0.01075,0.06943,-10.43219,-15.01068
"2","2010_Q3",26.3253125,"Up",394372000,-77790000,316582000,-286900000,-243970000,-182401000,-61569000,-42930000,29682000,-215000,-1765000,29467000,29467000,-12884000,16583000,16583000,14744000,14744000,742267000,409925000,332342000,228550000,228550000,141319000,50138000,47093000,1112136000,100946000,1116661000,368733000,64186000,184539000,83753000,1586340000,2698476000,265669000,256779000,662897000,928566000,461182000,53173000,14577000,514355000,1442921000,1093721000,139050000,7855000,1240626000,1255555000,2698476000,16583000,17793000,27352000,14368000,76096000,-27831000,-234030000,-151503000,-2000000.00000001,-415364000,-2123000,34127000,54906000.0000001,-284362000,-284362000,3493000,-280869000,47475000,461182000,46896000,0.80275,0.07526,0.03739,0.01174,0.00546,3.18068,1.19769,1.14923,0.1709,0.02847,0.02738,0.76156,2.39573,0.09056,-1.44062647819656,0.00833,0.0265,-5.9207,-9.46988
"3","2010_Q4",31.0221875,"Up",429087000,-82131000,346956000,-311800000,-264495000,-200544000,-63951000,-47305000,35156000,3404000,-921000,38560000,38560000,-16192000,22368000,22368000,21072000,21072000,769848000,630303000,139545000,258764000,258764000,164324000,64343000,50361000,1192936000,116078000,1032592000,399088000,79499000,187038000,102050000,1547758000,2740694000,320591000,310947000,672454000,993045000,466847000,68336000,27949000,535183000,1528228000,1041136000,160122000,9030000,1210288000,1212466000,2740694000,22368000,19710000,37668000,-5706000,74040000,-20790000,280340000,-3834000,-1.2e+07,243716000,-3116000,44353000,-95155000,222601000,222601000,-2223000,220378000,54866000,466847000,44562000,0.80859,0.08193,0.04911,0.01738,0.00769,2.11475,1.20129,1.26043,0.17034,0.04025,0.03813,0.81956,2.31167,0.08511,2.33476507067629,0.01206,0.0255,-5.52256,-8.61876
"4","2011_Q1",33.3322580645161,"Up",456867000,-92311000,364556000,-364947000,-307417000,-233217000,-74200000,-57530000,-391000,4770000,-1366000,4379000,4379000,6491000,10870000,10870000,10913000,10913000,496970000,424292000,72678000,426943000,426943000,151011000,55721000,67774000,1074924000,387174000,910587000,718480000,127987000,396081000,153213000,2016241000,3091165000,363227000,363227000,913239000,1276466000,472538000,65670000,25487000,538208000,1814674000,1098737000,171035000,6719000,1276491000,1276491000,3091165000,10870000,23738000,77078000,54076000,165762000,-30576000,179346000,-247994000,-283549000,-382773000,-3198000,44406000,10710000,-206301000,-206301000,289999.999999999,-206011000,23347000,472538000,40356000,0.79795,-0.00086,0.02389,0.00855,0.00353,3.69797,0.84211,1.42161,0.15287,0.02059,0.0193,0.86198,2.40838,0.07614,4,0.00601,0.02224,-1.04647,62.48593
"5","2011_Q2",34.7828571428571,"Up",504364000,-103066000,401298000,-404101000,-338809000,-254471000,-84338000,-65292000,-2803000,3584000,-8e+05,781000,781000,-251000,530000,530000,530000,530000,763836000,664612000,99224000,270816000,270816000,153477000,63886000,65800000,1188129000,446268000,758449000,735222000,124661000,406889000,156240000,1939939000,3128068000,312939000,312939000,893904000,1685212000,0,187214000,145693000,187214000,1872426000,1084001000,171565000,76000,1255642000,1255642000,3128068000,530000,29593000,72454000,36941000,139518000,-27314000,126458000,-13335000,-6447000,79362000,-3562000,32286000,27958000,246838000,246838000,-6518000,240320000,26790000,478369000,36668000,0.79565,-0.00556,0.00105,0.00042,0.00017,69.18491,0.70503,1.49121,0.15293,0.00099,0.00094,0.94483,2.3522,0.06869,4.30507830977457,0.00028,0.01909,-10.65573,101.84338
"6","2011_Q3",33.57890625,"Down",546002000,-120910000,425092000,-440840000,-367447000,-283001000,-84446000,-73393000,-15748000,-1965000,-3231000,-17713000,-17713000,13445000,-4268000,-4268000,-4268000,-4268000,577376000,449794000,127582000,342397000,342397000,195049000,95042000,66092000,1114822000,470070000,709282000,1127154000,198291000,671570000,193074000,2306506000,3421328000,412174000,412174000,917755000,1814057000,-5.96046447753906e-08,189148000,136860000,189148000,2003205000,1243607000,167297000,7219000,1418123000,1418123000,3421328000,-4268000,40239000,79501000,-32539000,82933000,-45051000,21662000,-285335000,-13204000,-321928000,-10549000,42282000,20419000,-218576000,-218576000,3758000,-214818000,24491000,484128000,-66544000,0.77855,-0.02884,-0.00782,-0.00301,-0.00125,15.59138,0.61455,1.41257,0.1415,-0.0079,-0.00837,1.01043,2.62437,-0.12315,4,-0.00204,-0.03182,-3.80744,5.92126
"7","2011_Q4",30.0215873015873,"Down",584260000,-128565000,455695000,-465852000,-389803000,-304571000,-85232000,-76049000,-10157000,1307000,30000,-8850000,-8850000,5094000,-3756000,-3756000,-3756000,-3756000,645848000,502987000,142861000,312331000,312331000,190061000,79428000,71799000,1148240000,504827000,650845000,1207366000,199413000,732062000,205034000,2363038000,3511278000,437415000,437415000,905055000,1832589000,0,180300000,137330000,180300000,2012889000,1330871000,163541000,3977000,1498389000,1498389000,3511278000,-3756000,41553000,79114000,11798000,128709000,-34678000,39167000,-66115000,-28162000,-89788000,-7685000,15794000,15001000,53922000,53922000,-729000,53193000,31396000,490119000,3422000,0.77995,-0.01738,-0.00643,-0.00251,-0.00107,-0.91108,0.62657,1.34337,0.13958,-0.00691,-0.00691,1.07459,2.75589,0.00629,4,-0.00173,0.00158,-4.96015,15.33218
"8","2012_Q1",32.5737096774194,"Up",631913000,-136345000,495568000,-501945000,-421332000,-327567000,-93765000,-80613000,-6377000,-1158000,-454000,-7535000,-7535000,3457000,-4078000,-4078000,-4078000,-4078000,777866000,607284000,170582000,683745000,683745000,210611000,80319000,98471000,1672222000,527946000,669308000,1294678000,188412000,785381000,233298000,2491932000,4164154000,512260000,512260000,1291622000,2300031000,300445535.821277,276763000,150832000,276763000,2576794000,1415214000,159463000,12683000,1587360000,1587360000,4164154000,-4078000,45901000,109713000,88811000,240347000,-44602000,-45608000,-57914000,-9212000,-157336000,-8737000,26203000,12472000,95483000.0000001,95483000.0000001,8814000,104297000,39524000,496149000,80276000,0.78423,-0.01009,-0.00645,-0.00257,-0.00098,-19.68514,0.72704,1.62332,0.11915,-0.00746,-0.00746,1.15535,2.90223,0.14677,5,-0.00173,0.03401,-7.12775,44.17704
"9","2012_Q2",36.2888888888889,"Up",695467000,-151551000,543916000,-566165000,-471389000,-369789000,-101600000,-94776000,-22249000,-2619000,-710000,-24868000,-24868000,5393000,-19475000,-19475000,-19475000,-19475000,710388000,440785000,269603000,371395000,371395000,241250000,99789000,93923000,1323033000,549732000,946701000,1336626000,182871000,831004000,230063000,2833059000,4156092000,419483000,419483000,1257369000,1676852000,502326000,167145000,47788000,669471000,2346323000,1659584000,139988000,10197000,1809769000,1809769000,4156092000,-19475000,49441000,111138000,72108000,213212000,-44721000,-374582000,-48913000,-6771000,-474987000,-7574000,93567000,97036000,-164739000,-164739000,-1760000,-166499000,27192000,502326000,49186000,0.78209,-0.03199,-0.028,-0.01076,-0.00469,-2.5256,0.789,1.29648,0.12086,-0.03524,-0.03524,1.25854,3.27501,0.08901,5,-0.00786,0.01984,-7.65159,9.35152
"10","2012_Q3",35.3501587301587,"Down",731649000,-162418000,569231000,-582697000,-483255000,-380160000,-103095000,-99442000,-13466000,-566000,294000,-14032000,-14032000,4203000.00000001,-9828999.99999999,-9828999.99999999,-9828999.99999999,-9828999.99999999,1107663000,1000730000,106933000,446917000,446917000,298545000,146901000,94921000,1853125000,556776000,696602000,1347067000,173456000,840531000,225049000,2600445000,4453570000,552227000,552227000,1268407000,2329167000,160055061.142336,232089000,116147000,232089000,2561256000,1742425000,130159000,19730000,1892314000,1892314000,4453570000,-9828999.99999999,49999000,112869000,-16842000,136197000,-29304000,412797000,-10078000,-1129000,372286000,-7479000,33824000,41047000,549530000,549530000,10415000,559945000,36533000,508533000,-13816000,0.77801,-0.01841,-0.01343,-0.00519,-0.00221,1.40564,0.79562,1.3535,0.11419,-0.01762,-0.01762,1.31188,3.39299,-0.02477,4,-0.00373,-0.00525000000000001,-16.39969,44.49205
