"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",11.9309523809524,"Down",10601000,-714000,9887000,-7963000,-3354000,-1808000,-1546000,-4609000,1924000,557000,557000,2481000,2481000,-422000,2059000,2059000,2059000,2059000,101674000,46921000,54753000,6743000,5224000,4109000,113641000,1276000,46776000,36498000,561000,9717000,48052000,161693000,10310000,680000,9630000,366000,366000,10676000,5938000,4741000,4741000,5938000,16614000,162365000,-17441000,155000,145079000,145079000,161693000,2059000,122000,720000,120000,3021000,-250000,-250000,-6679000,15416000,8487000,3436000,3436000,3436000,14944000,14944000,26000,14970000,2046000,0,2338000,0.93265,0.18149,0.19423,0.01419,0.01273,1.1355,10.64453,0.11452,0,0.0981,0.09311,0.50507,6.91214,0.11139,7,0.01363,0.01548,-49.69404,-52.84511
"2","2010_Q3",12.71875,"Up",10609000,-863000,9746000,-7851000,-3346000,-1776000,-1570000,-4505000,1895000,-557000,-557000,1338000,2436000,-313000,2123000,2123000,2123000,2123000,93521000,34307000,59214000,5546000,4997000,3938000,104064000,1346000,56664000,36498000,564000,19602000,58010000,162074000,8714000,650000,8064000,527000,527000,9241000,5620000,4558000,4558000,5620000,14861000,164022000,-15340000,-336000,147213000,147213000,162074000,2123000,136000,735000,-65000,2929000,-206000,-206000,-5241000,-2223000,-7670000,-38000.0000000005,1169000,-38000,-4779000,-4779000,-67000,-4846000,2031000,0,2073000,0.91865,0.17862,0.20011,0.01442,0.0131,0.97645,11.26112,0.10095,0,0.10115,0.096,0.50546,7.01382,0.09877,6,0.01389,0.01356,-46.04677,-49.35145
"3","2010_Q4",19.69015625,"Up",10675000,-1001000,9674000,-7386000,-3257000,-1664000,-1593000,-4129000,2288000,1153216.36733724,1153216.36733724,2288000,2781000,208000,2989000,2989000,2989000,2989000,102022000,37530000,64492000,5e+06,6471000,5507000,113493000,1462000,57251000,36498000,456000,20297000,58713000,172206000,10124000,526000,9598000,766000,766000,10890000,6242000,5253000,5253000,6242000,17132000,167570000,-12917000,421000,155074000,155074000,172206000,2989000,135000,806000,897000,4827000,-251000,-251000,-5136000,-1917000,-7304000,2453000,2813000,3578000,1101000,1101000,-195000,906000,2423000,0,2861000,0.90623,0.21433,0.28,0.01927,0.01736,0.95718,10.42176,0.11048,0,0.14241,0.13516,0.5086,7.38835,0.13631,4,0.01853,0.01774,-42.10565,-44.59003
"4","2011_Q1",23.9711290322581,"Up",13026000,-1134000,11892000,-8125000,-3459000,-2060000,-1399000,-4666000,3767000,2095000,2095000,5862000,4271000,-64000.0000000001,4207000,4207000,4207000,4207000,115779000,41905000,73874000,5906000,5897000,4609000,127582000,1348000,57678000,36498000,574000,20606000,59026000,186608000,11137000,616000,10521000,616000,616000,11753000,6387000,5486000,5486000,6387000,18140000,176861000,-8710000,317000,168468000,168468000,186608000,4207000,135000,777000,369000,5488000,-21000,-21000,-10058000,-10033000,-20112000,8253000,8253000,8820000,-5804000,-5804000,-232000,-6036000,3902000,0,4314000,0.91294,0.28919,0.32297,0.02497,0.02254,1.02543,10.85527,0.10768,0,0.20044,0.19024,0.62061,8.02649,0.20554,7,0.02406,0.02467,-29.67171,-30.73507
"5","2011_Q2",29.9446031746032,"Up",15052000,-948000,14104000,-9228000,-3978000,-2224000,-1754000,-5250000,4876000,545000,545000,5421000,5421000,-770000,4651000,4651000,4651000,4651000,128061000,15058000,113003000,1172000,6360000,5120000,135593000,1296000,58270000,36498000,831000,20941000,59566000,195159000,11486000,398000,11088000,376000,376000,11862000,6623000,5735000,5735000,6623000,18485000,180304000,-4059000,429000,176674000,176674000,195159000,4651000,125000,1257000,3985000,10018000,-73000,-73000,-2841000,-11500000,-14414000,2153000,2153000,2489000,-1907000,-1907000,-133000,-2040000,5001000,0,9683000,0.93702,0.32394,0.309,0.02633,0.02383,2.08192,11.43087,0.10463,0,0.22159,0.21032,0.71714,8.41746,0.46134,7,0.02537,0.05283,-25.60708,-26.26354
"6","2011_Q3",27.57453125,"Down",14388000,-876000,13512000,-9464000,-4059000,-2327000,-1732000,-5405000,4048000,707000,707000,4755000,4755000,-632000,4123000,4123000,4123000,4123000,137491000,57324000,80167000,3622000,7541000,5186000,148654000,1308000,58472000,36498000,839000,21135000,59780000,208434000,10385000,850000,9535000,3646000,3646000,14031000,6499000,5902000,5902000,6499000,20530000,187401000,64000,439000,187904000,187904000,208434000,4123000,128000,1940000,-2407000,3784000,-130000,-140000,-4284000,-5935000,-10349000,4483000,4483000,5926000,-639000,-639000,-40000,-679000,4176000,0,2271000,0.93912,0.28135,0.28656,0.02194,0.01978,0.55081,10.59468,0.10926,0,0.17876,0.17104,0.6238,8.14672,0.0984599999999999,5,0.02121,0.01168,-32.92409,-33.96517
"7","2011_Q4",28.3015873015873,"Up",14847000,-811000,14036000,-9314000,-4156000,-2099000,-2057000,-5158000,4722000,784000,784000,5506000,5506000,-571000,4935000,4935000,4935000,4935000,137232000,57222000,80010000,4485000,6481000,4508000,148198000,1192000,61285000,36498000,893000,23894000,62477000,210675000,9915000,562000,9353000,1450000,1450000,11365000,5918000,5782000,5782000,5918000,17283000,189279000,4999000,-886000,193392000,193392000,210675000,4935000,124000,1888000,-2707000,4240000,-8000,-8000,-1780000,5133000,3345000,1019000,1019000,463000,8048000,8048000,268000,8316000,4846000,0,2702000,0.94538,0.31804,0.33239,0.02552,0.02342,0.54752,13.03986,0.08937,0,0.21396,0.20473,0.6437,8.38465,0.11715,6,0.02476,0.01356,-28.31861,-29.06226
"8","2012_Q1",25.8367741935484,"Down",15952000,-924000,15028000,-10113000,-4383000,-2287000,-2096000,-5730000,4915000,873000,873000,5788000,5788000,-935000,4853000,4853000,4853000,4853000,139412000,70385000,69027000,5116000,4568000,2320000,149096000,1235000,68809000,36498000,832000,30579000,70044000,219140000,11539000,580000,10414000,1074000,1074000,12613000,5607000,5607000,5607000,5607000,18220000,191969000,9852000,-901000,200920000,200920000,219140000,4853000,129000,588000,3470000,9040000,-172000,-172000,10600000,-27367000,-17839000,1005000,1005000,1072000,-7727000,-7727000,-13999.9999999999,-7741000,5044000,0,9277000,0.94208,0.30811,0.30423,0.02415,0.02215,1.9116,11.82082,0.09068,0,0.21041,0.20133,0.69161,8.71103,0.40221,6,0.0235,0.04492,-27.63918,-28.3646
"9","2012_Q2",18.6393650793651,"Down",15112000,-870000,14242000,-9644000,-4158000,-2289000,-1869000,-5486000,4598000,948000,948000,5546000,5546000,-689000,4857000,4857000,4857000,4857000,137653000,68428000,69225000,5479000,4522000,2819000,147654000,1193000,69599000,36498000,1147000,31054000,70792000,218446000,12144000,831000,10018000,602000,602000,12746000,6095000,5957000,5957000,6095000,18841000,194308000,14657000,103000,199605000,199605000,218446000,4857000,129000,1608000,-978000,5616000,-87000,-87000,523000,-6276000,-5840000,-8721000,814000,-8421000,-8645000,-8645000,13000,-8632000,4727000,0,4351000,0.94243,0.30426,0.3214,0.02433,0.02223,0.89582,11.58434,0.09439,0,0.20946,0.20372,0.65172,8.60812,0.18764,5,0.02361,0.02115,-29.12058,-29.93758
"10","2012_Q3",16.1539682539683,"Down",13592000,-1011000,12581000,-9378000,-3953000,-2104000,-1849000,-5425000,3203000,974000,974000,4177000,4177000,-698000,3479000,3479000,3479000,3479000,136648000,82117000,54531000,4702000,4483000,2468000,145833000,1177000,63427000,36498000,1063000,24966000,64604000,210437000,10625000,1006000,8077000,1032000,1032000,11657000,5791000,5697000,5697000,5791000,17448000,195837000,18032000,-324000,192989000,192989000,210437000,3479000,130000,1239000,-613000,4235000,-114000,-114000,14105000,6745000,20736000,-11197000,61000,-10745000,14226000,14226000,-41000,14185000,3333000,0,3304000,0.92562,0.23565,0.25596,0.01803,0.01653,0.9497,12.51034,0.09041,0,0.15003,0.14592,0.58617,8.3228,0.14249,5,0.0175,0.01662,-40.9985,-42.6625
