"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_discontinued_operations_investing","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_discontinued_operations_financing","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q4",94.4128571428571,"Down",8.63e+08,-531500000,331500000,-1.88e+08,-167100000,-20900000,143500000,-77300000,-7.6e+07,-1300000,66200000,-42900000,23300000,-19500000,3800000,3.6e+07,3.6e+07,39800000,-37700000,2100000,2100000,151246013.391499,151246013.391499,446041637.487085,446041637.487085,41962982.4238825,68602723695.3607,88788664.9164271,-153180637.9344,69241974328.6632,456975863.734787,10117691521.9781,3605303197.96672,5089613839.90963,10572574956.0013,79814549284.6644,202651419.714241,-62621680.5279601,265273093.618966,603248387.840284,66567253227.9675,66567253227.9675,67373153035.522,6534515805.6724,1645464469.52213,1380986974.50277,464040271.611561,8179980275.19453,75553133310.7165,308824614.383987,-120341639.035282,1063057278.96846,1252963201.52421,3008452772.42372,4261415973.94792,79814549284.6644,3800000,32600000,35200000,7900000,41500000,1.21e+08,-10400000,-304700000,-200700000,-510900000,256700000,-92400000,103300000,267600000,-122300000,-122300000,2500000,-119800000,176100000,0,193100000,0.38413,0.16628,0.00243,1.53074967399207,0.304488163505126,91.95238,-1.45146978661076,32.3152221934209,-0.635234335987511,0.06522,0.06522,26.80124,167.809580030841,5.99689,0.341245739230814,-0.0785864436200672,-2091.5583979568,1499.58449807549
"2","2018_Q1",93.3060655737705,"Down",1483800000,-1030400000,453400000,-374500000,-350800000,-23700000,78900000,-81300000,-7.8e+07,-3300000,-2400000.00000001,-28600000,-3.1e+07,60900000,29900000,-5900000.00000012,-5900000.00000012,23999999.9999999,-50200000,-26200000,-26200000,270100000,270100000,2.66e+08,2.66e+08,496300000,29003700000,54800000,19700000,30036100000,503900000,5309700000,2277100000,1420600000,5813600000,35849700000,506500000,373100000,133400000,161400000,26977100000,26977100000,2.7645e+10,5543700000,714100000,493200000,220900000,6257800000,33902800000,1374900000,-925900000,3.09e+08,7.58e+08,1188900000,1946900000,35849700000,29900000,5.3e+07,6200000.00000003,253100000,267800000,6.1e+08,-29700000,15300000,-257300000,-272200000,-295100000,-95300000,160300000,-230100000,107700000,107700000,4200000,111900000,131900000,5705100000,294400000,0.30557,0.05317,-0.0176599999999999,-0.01346,-0.00073,-11.23664,1.08649,17.41373,0.15914,-0.813659999999999,-0.813660000000002,46.08075,23.54037,9.14286,-0.00313,0.03519,41.20546,68.88466
"3","2018_Q2",73.2790625,"Down",919600000,-600900000,318700000,-2.45e+08,-233500000,-11500000,73700000,-74600000,-75400000,8e+05,-9e+05,-22400000,-23300000,120500000,97200000,481600000,481600000,578800000,-71400000,507400000,507400000,520667995.536167,520667995.536167,260077787.504305,260077787.504305,640487339.192039,8920858768.2131,50003778.361191,74510212.6448002,10342091890.4456,514349712.088404,3727252826.00728,2034315600.67776,53028720.030124,4242300014.66624,14584391905.1119,543257860.095253,450973893.50932,92283968.7936779,2525537.386572,7184523924.01084,7184523924.01084,7730307321.49267,5256294731.44253,403936843.492622,227054341.832411,116828242.796146,5660231574.93516,13390538896.4278,1523483461.872,-894186120.321573,-34302426.3228202,594520599.491931,599332409.192095,1193853008.68403,14584391905.1119,97200000,38500000,-117500000,-202800000,123800000,-60800000,-19400000,1490200000,-179600000,1291200000,1.08e+08,-38900000,116500000,185600000,1.416e+09,1.416e+09,-2e+05,1415800000,112200000,0,-230500000,0.34656,0.08014,0.55176,-0.338819057997357,-0.0654268878350419,-0.45428,2.53884409553692,8.95298260219305,0.539423111995837,15.70898,15.56442,28.47059,-17.0490900102803,-7.13622,-0.0752694130769379,0.0413004812066891,672.811001818932,-381.428584358497
"4","2018_Q3",74.2522222222222,"Up",4.93e+08,-297700000,195300000,-213500000,-2.25e+08,11500000,-18200000,-67300000,-67700000,4e+05,-85500000,22400000,-63100000,6700000,-56400000,19900000,19900000,-36499999.9999999,-6e+05,-37100000,-37100000,758800000,758800000,337600000,337600000,610500000,2098400000,60200000,62200000,3805300000.00001,504500000,3930500000,2280200000,60800000,4.435e+09,8240300000,464600000,360700000,103900000,70300000,687599999.999992,687599999.999992,1222500000,5248400000,425700000,285800000,101100000,5674100000,6896600000,1272500000,-455600000,-125300000,691600000,652100000,1343700000,8240300000,-56400000,28700000,-19400000,-6000000.00000006,-71900000,-1.25e+08,-14800000,-1490200000,-9400000,6700000.00000024,-529200000,-251800000,6500000,-774500000,-892800000,-892800000,3400000,-889400000,10500000,5318700000,-17000000.0000001,0.39615,-0.03692,-0.0752500000000002,-0.0276100000000001,-0.0045,0.45822,3.11272,5.13254,0.64545,-0.100289999999998,-0.100290000000001,1.33276000000001,1.86964000000004,-0.04596,-0.00522999999999999,-0.0024,434.27619,-250.54396
"5","2018_Q4",50.9280952380952,"Down",1421700000,-944800000,476900000,-2.67e+08,-233200000,-33800000,209900000,-62500000,-63300000,8e+05,147400000,-75800000,71600000,349200000,420800000,2.5e+07,2.5e+07,445800000,-32100000,413700000,413700000,814600000,814600000,384200000,384200000,546700000,2020300000,69100000,38100000,3765800000,494800000,4252200000,2269400000,4.18e+08,4.747e+09,8512800000,473600000,348300000,125300000,70800000,655900000,655900000,1200300000,5189400000,433300000,314200000,119100000,5622700000,6.823e+09,1272500000,-78300000,-141800000,1052400000,637400000,1689800000,8512800000,420800000,29400000,-239500000,-32500000,-48800000,129400000,3.7e+07,1546800000,-5300000,3e+05,-32600000,-29700000,-5300000,-67600000,62100000,62100000,-6300000,55800000,239300000,5260200000,-105400000,0.33544,0.14764,0.29099,0.24482,0.0486,-0.25477,3.13738,4.03776,0.61792,12.72923,12.72923,43.74462,32.38154,-3.24308,0.05603,-0.01428,18.57752,21.17961
"6","2019_Q1",47.5704918032787,"Down",974400000,-627400000,3.47e+08,-262100000,-251300000,-10800000,84900000,-55500000,-57600000,2100000,29400000,-50300000,-20900000,-13700000,-34599999.9999999,-81500000,-81500000,-116100000,400000.000000007,-115700000,-115700000,552500000,552500000,317100000,317100000,583600000,2517500000,63200000,51700000,3970700000,5e+08,3328300000,1454700000,231800000,3828300000,7.799e+09,704800000,584700000,120100000,26900000,6.97e+08,6.97e+08,1428700000,4624300000,156400000,3.5e+07,121400000,4780700000,6209400000,1997200000,-180100000,-235800000,1581300000,8300000,1589600000,7.799e+09,-34600000,28700000,-120300000,302800000,223100000,399700000,-74500000,4.76837158203125e-07,-7600000,-25500000,-602500000,-6600000,-7300000,-638800000,-264600000,-264600000,-3900000,-268500000,113600000,4651200000,355600000,0.35612,0.08713,-0.11874,-0.07279,-0.01484,-3.07347,2.77924,3.90627,0.59638,-2.30938,-2.31864,19.4491,31.56287,7.0978,-0.01458,0.05559,36.08011,48.2768
"7","2019_Q2",53.2809523809524,"Up",880300000,-573700000,306600000,-2.66e+08,-254900000,-11100000,40600000,-57700000,-5.7e+07,-7e+05,-17100000,-15400000,-32500000,3400000,-29100000,-83200000,-83200000,-112300000,-2e+05,-112500000,-112500000,252400000,252400000,4.14e+08,4.14e+08,723200000,2414700000,62600000,68700000,3804300000,477700000,3269500000,1447400000,2.19e+08,3747200000,7551500000,596500000,471400000,125100000,2138200000,666700000,666700000,3401400000,2589300000,154900000,3.5e+07,119900000,2744200000,6145600000,2007900000,-349100000,-246800000,1397400000,8500000,1405900000,7551500000,-29100000,6.6e+07,-15800000,-304700000,-28300000,-311900000,-13400000,1486756250.22142,-5100000,-18500000,78700000,-2200000,-2300000,33300000,-297100000,-297100000,-2900000,-3e+08,106600000,4727500000,-214900000,0.34829,0.04612,-0.1278,-0.08002,-0.0149,1.91022,1.11845,4.37129,0.62603,-2.10674,-2.10674,16.48502,26.16854,-4.02434,-0.01433,-0.03417,41.9803,110.22414
"8","2019_Q3",47.0984375,"Down",906700000,-6.01e+08,305700000,-246200000,-2.35e+08,-11200000,59500000,-118300000,-94200000,-24100000,-58800000,-17700000,-76500000,22600000,-53900000,783600000,783600000,729700000,-1e+06,728700000,728700000,-1758233.20993006,-1758233.20993006,583167372.341008,583167372.341008,799607592.53824,1224724159.06762,64184007.598922,63924268.7996158,2605740890.73694,465384458.569779,3245862165.2885,1530645023.36749,131183943.260914,3812335962.62085,6418076853.35779,533828980.311133,420673972.383892,113155246.915637,1559442547.09642,567667899.173968,567667899.173968,2660939426.58152,1976892178.65431,142447683.076331,49151253.3585039,93847907.6828367,2119339861.73064,4780279288.31216,1969456622.64448,-8835024.81024516,-221106399.445286,1587770520.00149,50027045.0442617,1637797565.04575,6418076853.35791,-53900000,36600000,2.4e+07,-2800000,-225700000,-221800000,-13600000,2854400000,-2e+05,2840600000,-2422300000,-400000.000000002,9.31322574615479e-10,-2694900000,-76100000,-76100000,-2e+05,-76300000,96100000,0,57100000,0.33716,0.06562,0.80368,-0.0109777157138913,-0.000799670643285847,0.0783600000000002,0.945786154371577,3.1562654373974,0.532458748549364,14.06757,14.06757,17.50386,32.0916088871598,1.10232,0.00295197192147521,-0.0154960343759096,31.7341390868721,93.6118075677267
"9","2019_Q4",51.543125,"Up",1022200000,-660600000,361600000,-243200000,-232800000,-10400000,118400000,-73300000,-33900000,-39400000,45100000,-25500000,19600000,-44200000,-24600000,-1300000,-1300000,-25900000,0,-25900000,-25900000,161400000,161400000,568500000,568500000,718600000,123300000,60400000,62900000,1571800000,464900000,3.047e+09,1.451e+09,28500000,3716600000,5288400000,552800000,452700000,100100000,13800000.000001,452100000,452100000,1018700000,2275200000,110500000,3.5e+07,75500000,2385700000,3404400000,2025800000,340500000,-228700000,1874600000,9400000,1.884e+09,5288400000,-24600000,35800000,85500000,-3100000,3600000,97200000,-13200000,0,-1e+05,-13500000,-77500000,-9700000,1e+05,-107600000,-23900000,-23900000,2e+05,-23700000,154200000,2.289e+09,182100000,0.35375,0.11583,-0.02534,-0.01375,-0.0049,-7.03089,1.54295,1.80701,0.43283,-0.53183,-0.53183,20.98973,38.49281,3.73922,-0.00126,0.04251,13.79767,17.96959
"10","2020_Q1",49.4954838709677,"Down",-362800000,2.11e+08,-151800000,14200000,13600000,6e+05,-137600000,47500000,26700000,20800000,-90100000,-174700000,-264800000,70200000,-194600000,98900000,98900000,-95700000,-1e+05,-95800000,-95800000,627100000,627100000,356700000,356700000,548400000,127700000,53500000,74200000,1659900000,452900000,2902400000,1328100000,67200000,3586100000,5.246e+09,558200000,456800000,101400000,136900000,4.45e+08,4.45e+08,1140100000,2214400000,162600000,50600000,1.12e+08,2.377e+09,3517100000,2031600000,223800000,-273600000,1720900000,8e+06,1728900000,5.246e+09,-194600000,8900000,126200000,2.03e+08,294100000,437600000,1900000,5100000,-17900000,-1.1e+07,71999999.9999998,-6199999,-8e+05,44600001.0000005,471200001,471200001,-5500000,465700001,-128700000,2351300000,6e+06,0.41841,0.37927,0.26406,-0.05541,-0.01826,-0.0626300000000004,1.45592,2.0343,0.44821,-1.9591,-1.9591,-7.41922,35.19223,0.1227,-0.01777,0.00141,-13.39705,-12.53052
