"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",1.68857142857143,"Up",2253922,-1427474,826448,-1301460,-1071198,-222585,-7677,-475012,-377938,-380510,2572,-852950,-852950,-852950,-852950,-852950,-852950,5313776.76826674,5313776.76826674,-15693221.6087387,-15693221.6087387,-302198.31767307,2430166.57338364,3682338.23850257,-8251476.58476134,-492050.084756142,162888.069349344,37104.3824405696,-329162.015406798,-8580638.60016814,-10512202.3831171,-7287057.36488581,-3225145.01823132,-14050405.788949,93824.1555627957,2495706.09400918,1728336.0858347,2589530.24957197,-11460875.539377,206137932.475702,-203223921.761475,-33773.7750181832,2880236.93920888,2880236.93920888,-8580638.60016814,-852950,211543,322789,276331,-42287,-288076,-288076,231659,10541,10541,236102,-94261,-94261,-22840,-117101,-263469,0,0.36667,-0.21075,-0.37843,0.703433113378694,0.287110474529747,18.1015807000364,-3.01992744947556,0.0337376900549669,-0.08779,-0.08779,0.232,0.468428803579013,0.480248717548056,-2421.12636312759,-902.850310408487
"2","2011_Q3",1.81609375,"Up",2528074,-1527941,1000133,-1254053,-997329,-248507,-8217,-253920,-119794,-113127,-6667,-373714,-373714,-373714,-373714,-373714,-373714,3095149.38413337,3095149.38413337,-5775098.30436933,-5775098.30436933,579726.341163465,1066417.28669182,1613849.11925129,-1033805.29238067,1001036.45762193,153977.534674672,36410.6912202848,1155013.9922966,121208.699915929,-4005179.19155857,-2957912.6824429,-1047266.50911566,-5492280.8944745,84412.0777813979,2001415.54700459,1617730.54291735,2085827.62478599,-3406453.26968851,206939700.237851,-203417702.880737,5664.61249090839,3527661.96960444,3527661.96960444,121208.699915929,-373714,215727,106559,148937,97508.9999999999,-343337,-343337,0,0,-3.63797880709171e-12,-649.999999999942,-246478,-246478,-5476,-251954,-38193,0,0.39561,-0.10044,-0.14783,0.345946556689347,0.147820237264874,9.95979035001819,-0.913088724737781,0.0209388450274834,-0.03847,-0.03847,0.26022,0.449434401789506,0.238159358774028,-1007.42729156379,-448.082720204244
"3","2011_Q4",1.22253968253968,"Down",2434056,-1456758,977298,-1127803,-861051,-265746,-1006,-150505,-93439,-89560,-3879,-243944,-375728,-375728,-375728,-375728,-375728,1681445.46137779,1681445.46137779,-357495.76812311,-357495.76812311,1215577.11372116,406776.762230607,549657.373083762,2946303.56920644,1917542.48587398,145031.511558224,35681.5637400949,2062573.9974322,5008877.56663864,-223257.063852855,-360322.227480968,137065.163628113,-624957.631491499,78137.359260466,1661483.18233486,1533588.18097245,1739620.54159533,1114662.91010383,207443694.079284,-203582205.293579,32725.8708303028,3894214.65653481,3894214.65653481,5008877.56663864,-375728,227861,199552,-173657,-121972,-55433,-55433,0,7249,7249,7249,-170156,-170156,29406,-140750,77356,0,0.40151,-0.06183,-0.15436,0.121715518896449,0.0551467457549579,5.21337345000606,0.259207091754073,0.0136896150091611,-0.03867,-0.03867,0.25054,0.435224800596502,0.0847631195913427,-267.306080521265,-174.508340068081
"4","2012_Q1",1.4341935483871,"Up",2784550,-1666656,1117894,-1095802,-842065,-258249,4512,22092,-21663,-23058,1395,429,429,429,429,429,429,928900,928900,1833044,1833044,1622637,227823,189630,4612404,2373022,136050,34917,2509072,7121476,1533813,928790,605023,1533813,75000,1476762,1476762,1551762,3085575,207733571,-203748263,50593,4035901,4035901,7121476,429,257798,43514.0000000001,-140089,161652,-201065,-201065,-14250,1981,1981,-12270,-51683,-51683,26037,-25646,279890,75000,0.40146,0.00793,0.000150000000000011,0.00011,6e-05,3.00715,0.76453,0.01053,4.00000000000053e-05,3.99999999999984e-05,0.29208,0.42334,8e-05,-3.05084,-38.652
"5","2012_Q2",1.17793650793651,"Down",2733125,-1650501,1082624,-1291557,-995621,-287719,-8217,-208933,10486,-24220,34706,-198447,-198447,-198447,-198447,-198447,-198447,693748,693748,2069979,2069979,1818189,306134,233634,4888050,2483029,127033,34117,2610062,7498112,1966280,1332500,633780,1966280,75000,1448105,1448105,1523105,3489385,207892988,-203946710,62449,4008727,4008727,7498112,-198447,245438,36689,33669,117349,-347228,-347228,0,7871,7871,-17129,-247008,-247008,11856,-235152,36505,75000,0.39611,-0.07644,-0.07261,-0.0495,-0.02647,2.48594,0.87045,0.01,-0.02036,-0.02036,0.28043,0.41132,-0.03587,-16.94968,2.96147000000001
"6","2012_Q3",0.988412698412698,"Down",2672138,-1828368,843770,-1163631,-883882,-271532,-8217,-319861,-23438,-22566,-872,-343299,-343299,-343299,-343299,-343299,-343299,595388,595388,1833358,1833358,1792696,391171,340421,4612613,2360346,118000,33301,2478346,7090959,1850920,1315944,534976,1850920,75000,1416903,1416903,1491903,3342823,207966418,-204290009,71727,3748136,3748136,7090959,-343299,326269,51601,104687,139258,-195369,-195369,0,-1.45519152283669e-11,0,-51527,-107638,-107638,9278,-98360.0000000001,6408.00000000003,75000,0.31577,-0.1197,-0.12847,-0.09159,-0.04841,2.49207,0.89186,0.01058,-0.03517,-0.03517,0.27375,0.38399,-0.06551,-81.20911,1.62692
"7","2012_Q4",0.930483870967742,"Down",2775486,-1895724,879762,-1386226,-1141366,-236643,-8217,-506464,-12521,-22582,10061,-518985,-518985,-518985,-518985,-518985,-518985,490055,490055,2396639,2396639,1563441,259512,209858,4709647,2120527,108951,32469,2229478,6939125,1887982,1302198,585784,2169982,75000,1384009,1384009,1459009,3628991,208037518,-204808994,81610,3310134,3310134,6939125,-518985,286014,32153,40779,-160039,-37978,-37978,0,6274,6274,82801,-115216,-115216,9883,-105333,-220450,75000,0.31698,-0.18248,-0.18699,-0.15679,-0.07479,2.17036,1.09633,0.01081,-0.05313,-0.05313,0.28415,0.33889,-0.10882,1.88276,0.819519999999998
"8","2013_Q1",0.829166666666667,"Down",3104120,-1875505,1228615,-1117656,-859798,-249641,-8217,110959,-18459,-22659,4200,92500,195864,195864,195864,195864,195864,2354087,2354087,2133079,2133079,1513384,249709,201459,6250259,1920950,99884,31619,2020834,8271093,1699852,1129708,570144,1741204,81903,2445522,1358226,2527425,4268629,208527336,-204613130,88258,4002464,4002464,8271093,195864,266317,-48532,-104483,309166,-48018,-48018,0,1596236,1596236,1596236,1857384,1857384,6648,1864032,377276,85505,0.3958,0.03575,0.0630999999999999,0.04894,0.02368,3.58962,1.0665,0.01034,0.01926,0.01926,0.30518,0.3935,0.02998,-6.01306,-20.44523
"9","2013_Q2",0.9596875,"Up",2891054,-1713742,1177312,-1203831,-982455,-212457,-8919,-26519,31956,-31306,63262,5437,101221,101221,101221,101221,101221,2161729,2161729,2082146,2082146,1601001,615706,297185,6460582,1890897,90801,30753,1981698,8442280,1768406,1170915,597491,2859508,6003,1324633,333121,1330636,4190144,208678944,-204511909,85101,4252136,4252136,8442280,101221,208637,-46630,-284254,-21026,-171069,-171069,-900,3794,3794,2894,-189201,-189201,-3157,-192358,182118,84605,0.40723,-0.00917,0.03501,0.0238,0.01199,2.25933,0.98542,0.01002,0.0086,0.00797,0.24559,0.36121,0.01788,-11.40537,78.32588
"10","2013_Q3",1.554375,"Up",2916781,-1650461,1266320,-1291440,-1018367,-264311,-8762,-25120,-3660.00000000001,-15500,11840,-28780,140772,140772,140772,140772,140772,1777530,1777530,2409606,2409606,1729227,569022,229083,6485385,2016565,79568,27737,2096133,8581518,1887219,1339508,547711,2980287,5102,1119098,297138,1124200,4104487,208759416,-204371137,88752,4477031,4477031,8581518,140772,199658,-140227,-269498,-69295,-317654,-317654,-901,0,-2.3283064365387e-10,-901,-387850,-387850,3651,-384199,174538,83704,0.43415,-0.00860999999999998,0.04826,0.03144,0.0164,2.17609,0.91679,0.00975,0.01193,0.01102,0.24715,0.37936,0.02478,-9.70463,67.42938
"11","2013_Q4",1.3678125,"Down",2846718,-1522901,1323817,-1267936,-1042067,-216626,-9243,55881,-61553,-53083,-8470,-5672,217094,217094,217094,217094,217094,1403490,1403490,2234361,2234361,1828368,665286,341786,6131505,2013214,71351,27737,2084565,8216070,1713290,1048555,664735,1718858,4202,857474,258280,861676,2580534,209701096,-204154043,88483,5635536,5635536,8216070,217094,193039,-175952,-209823,24358,-182497,-182497,-180900,5187,5187,-215632,-373771,-373771,-269,-374040,248920,7804,0.46503,0.01963,0.07626,0.03852,0.02642,3.5672,0.4579,0.000949999999999998,0.01827,0.01732,0.23961,0.47435,0.03339,-5.60697,-24.97604
"12","2014_Q1",1.54803278688525,"Up",3128986,-1721184,1407802,-1201886,-948038,-245631,-8217,205916,53146,-428.000000000007,53574,259062,-243765,-243765,-243765,-243765,-243765,1565215,1565215,2126907,2126907,1770681,615766,262236,6078569,2235781,63134,27737,2298915,8377484,1616741,1065651,551090,1622309,3302,1322237,220216,1325539,2947848,209774708,-204397808,52736,5429636,5429636,8377484,-243765,211900,528889,125095,622119,-426250,-426250,-900,2611.99999999999,2612.00000000001,1603,197472,197472,-35747,161725,417816,6904.00000000001,0.44992,0.06581,-0.07791,-0.0449,-0.0291,3.74686,0.54292,0.00082,-0.01882,-0.01764,0.24154,0.41914,-0.03607,-3.72966,-7.5677
"13","2014_Q2",1.44888888888889,"Down",2809712,-1490642,1319070,-1380852,-1076622,-294955,-9275,-61782,389,-5222,5611,-61393,-80345,-80345,-80345,-80345,-80345,2879201,2879201,1997143,1997143,2091063,610034,356504,7577441,2257479,54917,27737,2312396,9889837,1858346,1236020,622326,1866508,10618,1024874,180971,1035492,2902000,211403565,-204478153,62425,6987837,6987837,9889837,-80345,223948,56442,50870,250915,-225515,-225515,1276385,2512,2512,1278897,1304297,1304297,9689,1313986,162166,16814,0.46947,-0.02199,-0.0286,-0.0115,-0.00812,4.05969,0.41529,0.0017,-0.00592,-0.00592,0.20709,0.51503,-0.01001,-17.65097,46.33044
"14","2014_Q3",1.29671875,"Down",2907869,-1667865,1240004,-1426362,-1154387,-263718,-8257,-186358,19338,-5245,24583,-167020,-202033,-202033,-202033,-202033,-202033,1955290,1955290,2333059,2333059,2806210,643528,389998,7738087,2356321,46700,27737,2403021,10141108,1899209,1337427,561782,1905405,9068,1019546,140630,1028614,2934019,211820744,-204680186,66531,7207089,7207089,10141108,-202033,200542,162541,-629985,-468935,-716893,-716893,257811,9.09494701772928e-13,9.09494701772928e-13,257811,-928017,-928017,4106,-923911,14184,15264,0.42643,-0.06409,-0.06948,-0.02803,-0.01992,4.06112,0.4071,0.00151,-0.01457,-0.01457,0.20974,0.51985,-0.02451,-136.77566,10.41021
"15","2014_Q4",1.25921875,"Down",3005592,-1539278,1466314,-1423427,-1098997,-319499,-4931,42887,-45511,-12995,-32516,-2624,-133322,-133322,-133322,-133322,-133322,1624570,1624570,2453062,2453062,2947368,529120,395590,7554120,2662815,41182,27737,2703997,10258117,1996906,1401808,595098,2003102,7519,1107470,97856,1114989,3118091,211891537,-204813508,61997,7140026,7140026,10258117,-133322,119577,141651,-37478,90428,-419966,-419966,-1549,4901,4901,3352,-326186,-326186,-4534,-330720,162464,13715,0.48786,0.01427,-0.04436,-0.01867,-0.013,3.77121,0.43671,0.00134,-0.00933,-0.00933,0.21041,0.49984,-0.01614,-9.91515,-37.56045
"16","2015_Q1",1.08213114754098,"Down",3110943,-1746914,1364029,-1535191,-1184407,-337300,-13484,-171162,-4570,-13219,8649,-175732,102451,102451,102451,102451,102451,1197080,1197080,2472876,2472876,3322983,498179,298203,7491118,3173905,27737,27737,3201642,10692760,2466719,1809532,657187,2472915,116233,807921,76490,924154,3397069,211955067,-204711057,51681,7295691,7295691,10692760,102451,122255,-214041,28150,38815.0000000001,-619939,-619939,163950,0,-3.63797880709171e-12,163950,-417174,-417174,-10316,-427490,-48907,122429,0.43846,-0.05502,0.03293,0.01404,0.00958,3.02927,0.46563,0.01145,0.00717,0.00717,0.21767,0.51047,0.01245,21.97336,6.27856
"17","2015_Q2",1.21301587301587,"Up",2603309,-1625675,977634,-1488165,-1144235,-343712,-218,-510531,-14561,-16014,1453,-525092,-579050,-579050,-579050,-579050,-579050,786677,786677,2043048,2043048,3514365,579549,384295,6923639,3347806,27737,27737,3375543,10299182,2597515,1888156,709359,2602511,106422,805911,20522,912333,3514844,212023232,-205290107,51213,6784338,6784338,10299182,-579050,129323,73980,275363,-100384,-303442,-303442,-11011,4902,4902,-6109,-409935,-409935,-468,-410403,-381208,111418,0.37554,-0.19611,-0.22243,-0.08535,-0.05622,2.66037,0.51808,0.01082,-0.04046,-0.04046,0.1819,0.47403,-0.07519,1.77137,1.32265999999999
"18","2015_Q3",1.6890625,"Up",3352958,-2082769,1270189,-1675205,-1325058,-350147,0,-405016,11445,-7387,18832,-393571,141213,141213,141213,141213,141213,795104,795104,2411070,2411070,3310436,523608,324448,7040218,3308204,27737,27737,3335941,10376159,3070420,1901501,1168919,3078015,4973,284826,34221,289799,3367814,212106371,-205148894,50868,7008345,7008345,10376159,141213,145899,-459296,-119382,-291566,-92324,-92324,-197658,8326.99999999994,8327,323750,-60140,-60140,68567,8427,-259117,9068,0.37883,-0.12079,0.0421200000000001,0.02015,0.01361,2.28726,0.48054,0.00087,0.00989,0.00988999999999999,0.23474,0.49066,0.01934,3.03352,1.94075
"19","2015_Q4",1.7609375,"Up",3198754,-1597725,1601029,-1392873,-1143787,-249086,0,208156,-11011,-2931,-8080,197145,91627,89791,89791,89791,89791,1060111,1060111,2431474,2431474,3416068,560348,325910,7468001,3825992,66964,66964,3892956,11360957,2135397,1462534,672863,2302452,352505,413251,57128,765756,3068208,213301866,-205059103,49986,8292749,8292749,11360957,89791,116866,201866,-681667,-273144,-120131,-120131,40275,1108825,1108825,636019,242744,242744,22263,265007,325022,519560,0.50052,0.06507,0.02807,0.01083,0.00789999999999999,3.2435,0.36999,0.04573,0.00598,0.00598,0.213,0.5522,0.00973000000000001,-1.66312,-2.59686
"20","2016_Q1",2.4955737704918,"Up",4506548,-2376025,2130523,-1681784,-1517334,-166150,1700,448739,23854,-5217,29071,472593,-366754,-367234,-367234,-367234,-367234,1643920,1643920,3048754,3048754,3181377,497955,244075,8372006,4275552,66964,66964,4342516,12714522,2530015,1551885,978130,2696469,310260,1708149,512679,2018409,4714878,213375301,-205426337,50680,7999644,7999644,12714522,-367234,145055,944657,24798,747276,-172901,-172901,-4490.00000000006,13229.9999999998,13230.0000000002,8740,583115,583115,694.000000000007,583809,593794,476714,0.47276,0.09957,-0.08149,-0.04591,-0.02888,3.1048,0.58939,0.03749,-0.02411,-0.02411,0.29584,0.52515,-0.03606,-1.96567,-2.60108
"21","2016_Q2",1.85640625,"Down",4190330,-1938762,2251568,-1586938,-1438592,-148346,3404.0578594868,664630,-187715,-12871,-174844,476915,845029,842973,842973,842973,842973,2350025,2350025,2894902,2894902,3284892,367065,211734,8896884,4292340,66964,66964,4359304,13256188,2497522,1312175,1185347,2663976,280796,1375086,547730,1655882,4319858,213456939,-204583364,62755,8936330,8936330,13256188,842973,181202,-259942,133177,897410,-285236,-285236,-77817,8228,8228,-69589,542585,542585,163520,706105,845832,447250,0.53732,0.15861,0.20117,0.09433,0.06359,3.3397,0.4834,0.03374,0.05532,0.05096,0.27497,0.5864,0.07835,-2.24959,-2.86291
"22","2016_Q3",1.83046875,"Down",4236331,-1876331,2360000,-1751264,-1571321,-168067,-11876,608736,-87112,-8942,-78170,521624,-533555,-535583,-535583,-535583,-535583,2503053,2503053,2854635,2854635,3356387,543705,376413,9257780,4340587,66964,66964,4407551,13665331,2099283,1080239,1019044,2265737,247496,2467760,585225,2715256,4980993,213731682,-205118947,71603,8684338,8684338,13665331,-535583,208450,1205728,-729969,148626,-304920,-304920,10469,2808,2808,13277,-143017,-143017,296045,153028,817186,413950,0.55709,0.14369,-0.12643,-0.06167,-0.03919,4.08599,0.57356,0.03029,-0.03512,-0.03217,0.27779,0.56946,-0.04631,-2.55646,-3.43187
"23","2016_Q4",1.53111111111111,"Down",4111973,-1887146,2224827,-2011384,-1812205,-164990,-34189,213443,27431,-8287,35718,240874,902728,775758,775758,775758,775758,2862586,2862586,3028946,3028946,3673988,689442,481678,10254962,4284591,66964,66964,4351555,14606517,2494880,908202,1586678,2661334,213542,1245982,555832,1459524,4120858,214730987,-204343189,97861,10485659,10485659,14606517,775758,219377,-570031,-235314,189790,-159728,-159728,310127,18297,18297,328424,358486,358486,1047,359533,432820,379996,0.54106,0.05191,0.18866,0.07398,0.05311,3.85332,0.393,0.02602,0.04996,0.04473,0.2648,0.67525,0.06405,-5.73585,-11.63116
"24","2017_Q1",2.05274193548387,"Up",4733604,-2265489,2468115,-1945509,-1759100,-187437,1028.00000000001,522606,-95675,-7527,-88148,426931,399688,331467,331467,331467,331467,2908024,2908024,3545871,3545871,3836809,861480,652308,11152184,4370045,66964,66964,4437009,15589193,3046313,1361914,1684399,3212767,178919,1265595,548202,1444514,4657281,214817526,-204011722,126108,10931912,10931912,15589193,331467,238961,105705,-386246,289887,-375298,-375298,-34621.9999999999,-582.000000000116,1.16415321826935e-10,-35204,-120615,-120615,166053,45437.9999999999,761567,345373,0.5214,0.1104,0.0700199999999999,0.03032,0.02126,3.47121,0.42603,0.02215,0.02126,0.01953,0.30364,0.70123,0.02643,-3.36497,-4.9036
"25","2017_Q2",2.80761904761905,"Up",5000229,-2166481,2833748,-2443080,-2165062,-278018,-41626.9274955097,390668,-28472,-6941,-21531,362196,405696,140496,140496,140496,140496,3583772,3583772,3313420,3313420,3984376,697243,576917,11578811,4516820,106964,106964,4623784,16202595,3398317,1438276,1960041,3564771,143619,1137325,515856,1280944,4845715,215070445,-203871226,157661,11356880,11356880,16202595,140496,249465,85237,446695,921893,-387259,-387259,35657,9598,9598,45255,579889,579889,95859,675748,640133,310073,0.56672,0.07813,0.0281,0.01237,0.00867,3.24812,0.42668,0.01914,0.009,0.00819,0.32018,0.72722,0.01097,-5.11409,-8.37975
