"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",15.0319047619048,"Up",8697000,-2913000,5784000,-10662000,-7442000,-3220000,-4878000,-1694000,-1760000,-1760000,66000,-6572000,-7290000,-48000,-7338000,-7338000,-7338000,-17238000,77700000,55831000,7457000,7457000,4653000,1033000,1033000,90843000,2285000,250000,250000,3875000,94718000,8988000,4673000,4315000,1562000,1562000,18545000,1067000,736000,331000,7410000,25955000,276218000,-206665000,-790000,68763000,68763000,94718000,-7338000,263000,2750000,2750000,3096000,-1229000,-220000,-22089000,77012000,77012000,73440000,50122000,50122000,-14000,50108000,-4615000,14338000,-1691000,0.66506,-0.56088,-1.98206,-0.25069,-0.18199,0.0981,4.89852,0.37746,0.15138,-9.12063,-9.12063,4.60159,36.38254,-0.89471,-0.2048,-0.02009,13.72958,12.98934
"2","2011_Q3",15.3784375,"Up",10576000,-2965000,7611000,-11265000,-7843000,-3422000,-3654000,-470000,-512000,-512000,42000,-4124000,-7124000,-62000,-7186000,-7186000,-7186000,-7186000,64351000,10129000,10316000,10316000,4850000,1472000,1472000,80989000,2539000,787000,787000,4666000,85655000,7663000,2983000,4680000,1786000,1786000,17759000,895000,577000,318000,5591000,23350000,276930000,-213851000,-774000,62305000,62305000,85655000,-7186000,240000,575000,575000,-5308000,-11679000,-494000,-32868000,175999.999999985,175999.999999985,-1208000.00000001,-45755000,-45755000,53000,-45702000,-3414000,13006000,-9154000,0.71965,-0.3455,-0.67946,-0.11534,-0.08389,1.27387,4.56045,0.37477,0.15184,-0.423450000000003,-0.423450000000003,0.62322,3.67148,-0.53942,-0.0943,-0.12012,15.03954,14.05172
"3","2011_Q4",13.665873015873,"Down",10596000,-3305000,7291000,-11346000,-8053000,-3293000,-4055000,-414000,-439000,-439000,25000,-4469000,-4469000,-20000,-4489000,-4489000,-4489000,-4489000,58930000,11881000,8966000,8966000,5836000,2300000,2300000,76032000,2569000,2661000,2661000,6570000,82602000,9243000,4679000,4564000,1818000,1818000,19662000,8e+05,470000,330000,3789000,23451000,278233000,-218340000,-742000,59151000,59151000,82602000,-4489000,253000,698000,698000,1159000,-2379000,-283000,4889000,634000,634000,-8e+05,1710000,1710000,42000,1752000,-3802000,11590000,-2906000,0.68809,-0.38269,-0.42365,-0.07589,-0.05434,0.64736,3.86695,0.39646,0.14031,-0.26453,-0.26453,0.6244,3.48562,-0.17124,-0.06275,-0.04062,12.45134,11.67448
"4","2012_Q1",14.6712903225806,"Up",12996000,-4008000,8988000,-11967000,-7966000,-4001000,-2979000,-442000,-390000,-390000,-52000,-3421000,-3421000,-36000,-3457000,-3457000,-3457000,-3457000,53467000,13553000,9253000,9253000,5970000,1343000,1343000,70033000,3256000,4537000,4537000,9293000,79326000,9239000,4010000,5229000,2011000,2011000,20171000,1041000,667000,374000,2258000,22429000,279448000,-221797000,-754000,56897000,56897000,79326000,-3457000,654000,833000,833000,-284999.999999999,-2255000,-679000,4958000,412000,412000,-1065000,1638000,1638000,34000,1672000,-2325000,10138000,-3253000,0.6916,-0.22922,-0.266,-0.06076,-0.04358,0.94099,3.47196,0.3942,0.1278,-0.16882,-0.16882,0.63463,2.77845,-0.15885,-0.05078,-0.04778,18.63613,14.54481
"5","2012_Q2",14.5368253968254,"Down",10945000,-3546000,7399000,-13682000,-9403000,-4279000,-6283000,-368000,-307000,-307000,-61000,-6651000,-6651000,-39000,-6690000,-6690000,-6690000,-6690000,38878000,8496000,9764000,9764000,6444000,1569000,1569000,56655000,3577000,4369000,4369000,14011000,70666000,9873000,4101000,5772000,1527000,1527000,17743000,1025000,687000,338000,1025000,18768000,281162000,-228487000,-777000,51898000,51898000,70666000,-6690000,495000,983000,983000,-1431000,-6643000,-397000,4570000,780000,780000,-3038000,-5111000,-5111000,54000,-5057000,-5788000,6343000,-7577000,0.67602,-0.57405,-0.61124,-0.12891,-0.09467,1.13259,3.19309,0.36163,0.08976,-0.32804,-0.32804,0.53668,2.54477,-0.37153,-0.11288,-0.12785,5.62111,5.17826
"6","2012_Q3",14.8728571428571,"Up",12948000,-3926000,9022000,-13408000,-9421000,-3987000,-4386000,-193000,-202000,-202000,9000,-4579000,-4579000,-1000.00000000001,-4580000,-4580000,-4580000,-4580000,37872000,9854000,9612000,9612000,6610000,1603000,1603000,55697000,4024000,4210000,4210000,9235000,64932000,8330000,3295000,5035000,1733000,1733000,14766000,1246000,944000,302000,1246000,16012000,282769000,-233067000,-782000,48920000,48920000,64932000,-4580000,564000,1056000,1056000,-1040000,-4e+06,-842000,6586000,525999.999999998,525999.999999998,-1134000,1452000,1452000,-94000,1358000,-3822000,4703000,-5703000,0.69679,-0.33874,-0.35372,-0.09362,-0.07054,1.2452,3.77198,0.32731,0.07243,-0.22458,-0.22458,0.63489,2.39874,-0.27964,-0.08347,-0.10394,8.67844,7.56247
"7","2012_Q4",14.8254838709677,"Down",12782000,-3518000,9264000,-13173000,-9102000,-4071000,-3909000,-182000,-107000,-107000,-75000,-4091000,-4091000,-61000,-4152000,-4152000,-4152000,-4152000,86158000,66011000,10654000,10654000,7219000,1513000,1513000,105544000,4308000,4041000,4041000,11551000,117095000,9116000,3345000,5771000,2134000,2134000,13125000,1311000,1047000,264000,1311000,14436000,340652000,-237219000,-774000,102659000,102659000,117095000,-4152000,533000,1034000,1034000,-751000,-3336000,-382000,5288000,56962000,56962000,54125000,56077000,56077000,80000,56157000,-3376000,1875000,-4448000,0.72477,-0.30582,-0.32483,-0.04044,-0.03546,1.07129,8.04145,0.14062,0.01601,-0.19621,-0.19621,0.60404,4.85133,-0.2102,-0.03923,-0.04202,24.96534,21.56127
"8","2013_Q1",16.9261666666667,"Up",15659000,-4335000,11324000,-14817000,-10552000,-4265000,-3493000,-74000,-12000,-12000,-62000,-3567000,-3567000,-35000,-3602000,-3602000,-3602000,-3602000,80011000,58649000,12900000,12900000,7169000,1131000,1131000,101211000,4974000,3881000,3881000,12521000,113732000,9711000,2555000,7156000,1886000,1886000,11597000,1478000,1241000,237000,1478000,13075000,342247000,-240821000,-769000,100657000,100657000,113732000,-3602000,599000,1041000,1041000,-1537000,-3499000,-763000,-2443000,443000.000000015,443000.000000015,-1432000,-7374000,-7374000,12000,-7361999.99999999,-2894000,4.65661287307739e-10,-5159000,0.72316,-0.22307,-0.23003,-0.03578,-0.03167,1.43226,8.72734,0.1299,3.46944695195361e-18,-0.14373,-0.14373,0.62484,4.01648,-0.20586,-0.03527,-0.05051,27.6472,22.9061
"9","2013_Q2",17.548125,"Up",14535000,-4259000,10276000,-15343000,-11146000,-4197000,-5067000,-223000,-10000,-10000,-213000,-5290000,-3513000,-38000,-3551000,-3551000,-3551000,-3551000,79570000,61815000,10056000,10056000,7371000,1560000,1560000,98557000,5019000,2363000,2363000,14680000,113237000,9609000,3214000,6395000,1928000,1928000,11537000,1576000,1371000,205000,1576000,13113000,345269000,-244373000,-772000,100124000,100124000,113237000,-3551000,584000,-522000,-522000,2605000,-884000,-698000,2395000,1767000,1767000,1767000,3278000,3278000,-112000,3166000,-4483000,0,-2538000,0.70698,-0.34861,-0.24431,-0.03547,-0.03136,0.71473,8.54269,0.13097,0,-0.14068,-0.14068,0.57583,3.96656,-0.10055,-0.03492,-0.02496,17.74928,15.70357
"10","2013_Q3",19.64421875,"Up",17480000,-4876000,12604000,-16594000,-11597000,-4997000,-3990000,-41000,-2000,-2000,-39000,-4031000,-4031000,-15000,-4046000,-4046000,-4046000,-4046000,60426000,32290000,10839000,10839000,7233000,2044000,2044000,80542000,4919000,3431000,3431000,31423000,111965000,9409000,1997000,7412000,2217000,2217000,11626000,1954000,1644000,310000,1954000,13580000,347598000,-248418000,-795000,98385000,98385000,111965000,-4046000,609000,1706000,1706000,-906000,-2637000,-1362000,-27518000,653000,653000,653000,-29502000,-29502000,-23000,-29525000,-3381000,0,-5634000,0.72105,-0.22826,-0.23146,-0.04112,-0.03614,1.39249,6.92775,0.13803,8.67361737988404e-19,-0.15902,-0.15902,0.687,3.86673,-0.22143,-0.04032,-0.05615,17.87223,15.14436
